"","Model","Time_to_steady_state"
"1","shield_cont10_age3_age2_20/IsolateYES_Limit10_FateD_TcheckYES_PopSize2000",132
"2","shield_cont10_age3_age2_20/IsolateYES_Limit10_FateD_TcheckYES_PopSize2000",354
"3","shield_cont10_age3_age2_20/IsolateYES_Limit10_FateD_TcheckYES_PopSize2000",202
"4","shield_cont10_age3_age2_20/IsolateYES_Limit10_FateD_TcheckYES_PopSize2000",208
"5","shield_cont10_age3_age2_20/IsolateYES_Limit10_FateD_TcheckYES_PopSize2000",105
"6","shield_cont10_age3_age2_20/IsolateYES_Limit10_FateD_TcheckYES_PopSize2000",261
"7","shield_cont10_age3_age2_20/IsolateYES_Limit10_FateD_TcheckYES_PopSize2000",176
"8","shield_cont10_age3_age2_20/IsolateYES_Limit10_FateD_TcheckYES_PopSize2000",228
"9","shield_cont10_age3_age2_20/IsolateYES_Limit10_FateD_TcheckYES_PopSize2000",196
"10","shield_cont10_age3_age2_20/IsolateYES_Limit10_FateD_TcheckYES_PopSize2000",123
"11","shield_cont10_age3_age2_20/IsolateYES_Limit10_FateD_TcheckYES_PopSize2000",274
"12","shield_cont10_age3_age2_20/IsolateYES_Limit10_FateD_TcheckYES_PopSize2000",123
"13","shield_cont10_age3_age2_20/IsolateYES_Limit10_FateD_TcheckYES_PopSize2000",361
"14","shield_cont10_age3_age2_20/IsolateYES_Limit10_FateD_TcheckYES_PopSize2000",1
"15","shield_cont10_age3_age2_20/IsolateYES_Limit10_FateD_TcheckYES_PopSize2000",222
"16","shield_cont10_age3_age2_20/IsolateYES_Limit10_FateD_TcheckYES_PopSize2000",174
"17","shield_cont10_age3_age2_20/IsolateYES_Limit10_FateD_TcheckYES_PopSize2000",336
"18","shield_cont10_age3_age2_20/IsolateYES_Limit10_FateD_TcheckYES_PopSize2000",235
"19","shield_cont10_age3_age2_20/IsolateYES_Limit10_FateD_TcheckYES_PopSize2000",135
"20","shield_cont10_age3_age2_20/IsolateYES_Limit10_FateD_TcheckYES_PopSize2000",130
"21","shield_cont10_age3_age2_20/IsolateYES_Limit10_FateD_TcheckYES_PopSize2000",184
"22","shield_cont10_age3_age2_20/IsolateYES_Limit10_FateD_TcheckYES_PopSize2000",361
"23","shield_cont10_age3_age2_20/IsolateYES_Limit10_FateD_TcheckYES_PopSize2000",361
"24","shield_cont10_age3_age2_20/IsolateYES_Limit10_FateD_TcheckYES_PopSize2000",349
"25","shield_cont10_age3_age2_20/IsolateYES_Limit10_FateD_TcheckYES_PopSize2000",334
"26","shield_cont10_age3_age2_20/IsolateYES_Limit10_FateD_TcheckYES_PopSize2000",17
"27","shield_cont10_age3_age2_20/IsolateYES_Limit10_FateD_TcheckYES_PopSize2000",113
"28","shield_cont10_age3_age2_20/IsolateYES_Limit10_FateD_TcheckYES_PopSize2000",359
"29","shield_cont10_age3_age2_20/IsolateYES_Limit10_FateD_TcheckYES_PopSize2000",254
"30","shield_cont10_age3_age2_20/IsolateYES_Limit10_FateD_TcheckYES_PopSize2000",360
"31","shield_cont10_age3_age2_20/IsolateYES_Limit10_FateD_TcheckYES_PopSize2000",148
"32","shield_cont10_age3_age2_20/IsolateYES_Limit10_FateD_TcheckYES_PopSize2000",24
"33","shield_cont10_age3_age2_20/IsolateYES_Limit10_FateD_TcheckYES_PopSize2000",90
"34","shield_cont10_age3_age2_20/IsolateYES_Limit10_FateD_TcheckYES_PopSize2000",155
"35","shield_cont10_age3_age2_20/IsolateYES_Limit10_FateD_TcheckYES_PopSize2000",279
"36","shield_cont10_age3_age2_20/IsolateYES_Limit10_FateD_TcheckYES_PopSize2000",62
"37","shield_cont10_age3_age2_20/IsolateYES_Limit10_FateD_TcheckYES_PopSize2000",1
"38","shield_cont10_age3_age2_20/IsolateYES_Limit10_FateD_TcheckYES_PopSize2000",313
"39","shield_cont10_age3_age2_20/IsolateYES_Limit10_FateD_TcheckYES_PopSize2000",10
"40","shield_cont10_age3_age2_20/IsolateYES_Limit10_FateD_TcheckYES_PopSize2000",139
"41","shield_cont10_age3_age2_20/IsolateYES_Limit10_FateD_TcheckYES_PopSize2000",193
"42","shield_cont10_age3_age2_20/IsolateYES_Limit10_FateD_TcheckYES_PopSize2000",237
"43","shield_cont10_age3_age2_20/IsolateYES_Limit10_FateD_TcheckYES_PopSize2000",151
"44","shield_cont10_age3_age2_20/IsolateYES_Limit10_FateD_TcheckYES_PopSize2000",361
"45","shield_cont10_age3_age2_20/IsolateYES_Limit10_FateD_TcheckYES_PopSize2000",134
"46","shield_cont10_age3_age2_20/IsolateYES_Limit10_FateD_TcheckYES_PopSize2000",110
"47","shield_cont10_age3_age2_20/IsolateYES_Limit10_FateD_TcheckYES_PopSize2000",346
"48","shield_cont10_age3_age2_20/IsolateYES_Limit10_FateD_TcheckYES_PopSize2000",359
"49","shield_cont10_age3_age2_20/IsolateYES_Limit10_FateD_TcheckYES_PopSize2000",361
"50","shield_cont10_age3_age2_20/IsolateYES_Limit10_FateD_TcheckYES_PopSize2000",1
"51","shield_cont10_age3_age2_20/IsolateYES_Limit10_FateD_TcheckYES_PopSize2000",185
"52","shield_cont10_age3_age2_20/IsolateYES_Limit10_FateD_TcheckYES_PopSize2000",192
"53","shield_cont10_age3_age2_20/IsolateYES_Limit10_FateD_TcheckYES_PopSize2000",143
"54","shield_cont10_age3_age2_20/IsolateYES_Limit10_FateD_TcheckYES_PopSize2000",97
"55","shield_cont10_age3_age2_20/IsolateYES_Limit10_FateD_TcheckYES_PopSize2000",197
"56","shield_cont10_age3_age2_20/IsolateYES_Limit10_FateD_TcheckYES_PopSize2000",362
"57","shield_cont10_age3_age2_20/IsolateYES_Limit10_FateD_TcheckYES_PopSize2000",296
"58","shield_cont10_age3_age2_20/IsolateYES_Limit10_FateD_TcheckYES_PopSize2000",103
"59","shield_cont10_age3_age2_20/IsolateYES_Limit10_FateD_TcheckYES_PopSize2000",234
