"","Model","Time_to_steady_state"
"1","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",94
"2","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",125
"3","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",128
"4","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",122
"5","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",78
"6","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",123
"7","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",110
"8","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",108
"9","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",149
"10","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",88
"11","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",112
"12","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",91
"13","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",132
"14","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",148
"15","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",107
"16","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",110
"17","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",135
"18","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",138
"19","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",97
"20","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",109
"21","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",117
"22","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",115
"23","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",120
"24","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",125
"25","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",128
"26","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",171
"27","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",89
"28","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",134
"29","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",132
"30","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",115
"31","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",122
"32","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",167
"33","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",76
"34","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",88
"35","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",117
"36","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",151
"37","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",147
"38","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",104
"39","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",143
"40","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",101
"41","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",128
"42","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",126
"43","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",88
"44","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",133
"45","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",105
"46","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",89
"47","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",128
"48","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",130
"49","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",127
"50","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",154
"51","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",99
"52","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",122
"53","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",102
"54","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",155
"55","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",113
"56","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",126
"57","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",138
"58","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",84
"59","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",110
"60","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",133
"61","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",146
"62","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",116
"63","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",129
"64","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",107
"65","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",168
"66","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",107
"67","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",87
"68","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",95
"69","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",115
"70","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",149
"71","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",110
"72","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",137
"73","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",137
"74","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",115
"75","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",149
"76","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",116
"77","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",93
"78","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",116
"79","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",150
"80","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",106
"81","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",97
"82","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",95
"83","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",110
"84","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",126
"85","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",98
"86","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",166
"87","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",125
"88","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",127
"89","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",146
"90","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",173
"91","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",93
"92","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",105
"93","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",81
"94","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",161
"95","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",172
"96","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",104
"97","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",101
"98","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",120
"99","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",116
"100","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",119
"101","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",86
"102","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",126
"103","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",100
"104","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",174
"105","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",88
"106","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",111
"107","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",131
"108","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",119
"109","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",102
"110","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",258
"111","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",98
"112","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",96
"113","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",68
"114","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",121
"115","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",68
"116","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",181
"117","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",102
"118","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",88
"119","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",117
"120","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",77
"121","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",149
"122","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",97
"123","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",103
"124","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",131
"125","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",147
"126","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",178
"127","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",87
"128","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",131
"129","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",120
"130","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",114
"131","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",107
"132","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",135
"133","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",88
"134","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",192
"135","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",90
"136","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",165
"137","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",128
"138","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",101
"139","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",112
"140","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",150
"141","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",99
"142","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",141
"143","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",137
"144","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",94
"145","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",105
"146","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",91
"147","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",118
"148","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",132
"149","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",118
"150","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",143
"151","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",112
"152","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",170
"153","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",87
"154","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",101
"155","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",89
"156","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",152
"157","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",114
"158","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",119
"159","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",85
"160","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",159
"161","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",125
"162","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",163
"163","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",113
"164","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",162
"165","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",115
"166","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",128
"167","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",104
"168","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",127
"169","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",96
"170","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",104
"171","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",131
"172","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",108
"173","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",110
"174","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",98
"175","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",101
"176","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",98
"177","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",134
"178","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",126
"179","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",117
"180","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",126
"181","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",244
"182","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",109
"183","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",97
"184","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",131
"185","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",82
"186","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",111
"187","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",175
"188","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",155
"189","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",111
"190","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",134
"191","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",103
"192","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",90
"193","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",134
"194","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",96
"195","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",157
"196","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",127
"197","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",110
"198","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",106
"199","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",112
"200","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",106
"201","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",124
"202","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",150
"203","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",115
"204","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",145
"205","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",107
"206","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",108
"207","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",138
"208","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",117
"209","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",75
"210","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",95
"211","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",87
"212","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",120
"213","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",112
"214","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",83
"215","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",139
"216","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",116
"217","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",188
"218","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",114
"219","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",122
"220","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",110
"221","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",106
"222","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",90
"223","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",105
"224","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",109
"225","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",141
"226","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",97
"227","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",96
"228","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",76
"229","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",151
"230","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",93
"231","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",118
"232","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",88
"233","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",105
"234","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",130
"235","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",155
"236","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",104
"237","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",167
"238","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",95
"239","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",119
"240","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",114
"241","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",126
"242","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",122
"243","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",134
"244","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",116
"245","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",90
"246","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",130
"247","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",102
"248","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",166
"249","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",101
"250","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",132
"251","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",128
"252","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",102
"253","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",92
"254","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",126
"255","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",101
"256","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",111
"257","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",88
"258","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",105
"259","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",118
"260","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",103
"261","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",101
"262","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",165
"263","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",104
"264","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",166
"265","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",100
"266","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",131
"267","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",99
"268","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",119
"269","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",75
"270","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",147
"271","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",142
"272","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",141
"273","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",107
"274","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",87
"275","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",81
"276","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",83
"277","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",171
"278","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",147
"279","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",136
"280","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",99
"281","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",141
"282","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",142
"283","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",112
"284","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",101
"285","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",89
"286","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",120
"287","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",113
"288","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",91
"289","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",139
"290","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000",117
