"","age1_orange.I","age1_green.I","age2_no_comorbid_orange.I","age2_no_comorbid_green.I","age2_comorbid_green.I","age3_no_comorbid_green.I","age3_comorbid_green.I"
"184",45,0,58,0,0,0,0
"185",51,6,59,7,12,4,8
"186",63,0,64,0,0,0,0
"187",59,0,69,0,0,0,0
"188",62,0,60,0,0,0,0
"189",55,0,46,0,0,0,0
"190",51,3,61,6,12,6,8
"191",64,4,53,5,15,6,12
"192",60,5,53,5,14,5,5
"193",50,9,54,5,16,5,10
"194",54,7,54,6,18,4,7
"195",51,0,51,0,0,0,0
"196",64,4,50,7,8,4,7
"197",59,0,51,0,0,0,0
"198",62,0,65,0,0,0,1
"199",59,0,51,0,0,0,0
"200",60,6,64,4,10,3,15
"201",50,0,53,0,0,1,0
"202",57,6,64,7,14,4,8
"203",53,1,52,0,1,1,1
"204",55,0,71,0,0,0,0
"205",49,0,59,0,0,0,0
"206",54,0,70,0,0,0,0
"207",46,6,54,6,16,7,7
"208",49,0,44,0,0,0,0
"209",51,0,61,0,0,0,0
"210",51,0,68,0,0,0,0
"211",59,4,49,10,21,4,11
"212",54,0,52,0,0,0,0
"213",51,0,63,0,0,0,0
"214",0,0,0,0,0,0,0
"215",50,5,46,8,15,7,15
"216",58,5,52,5,15,5,9
"217",44,4,62,5,19,6,7
"218",51,5,57,8,19,5,7
"219",0,0,0,0,0,0,0
"220",56,5,58,5,11,4,8
"221",56,0,55,1,0,0,1
"222",0,0,0,0,0,0,0
"223",63,0,60,0,0,0,0
"224",61,0,45,0,0,0,0
"225",51,0,46,0,0,0,0
"226",0,0,0,0,0,0,0
"227",56,6,62,6,11,4,9
"228",57,0,45,0,0,0,0
"229",0,0,0,0,0,0,0
"230",56,0,44,0,0,0,0
"231",0,0,0,0,0,0,0
"232",45,8,54,8,13,5,9
"233",0,0,0,0,0,0,0
"234",0,0,0,0,0,0,0
"235",60,0,51,0,0,0,0
"236",54,6,57,5,9,4,6
"237",55,6,53,9,13,7,10
"238",62,6,51,7,10,4,5
"239",50,0,59,1,0,0,0
"240",51,4,58,5,10,4,10
"241",58,0,59,0,1,0,0
"242",69,0,54,0,0,0,0
"243",0,0,0,0,0,0,0
"244",0,0,0,0,0,0,0
"245",73,9,69,8,17,6,9
"246",58,6,69,3,14,3,7
"247",54,3,49,8,10,3,6
"248",61,4,62,10,17,3,8
"249",0,0,0,0,0,0,0
"250",46,5,61,5,16,5,13
"251",47,0,49,0,0,0,0
"252",52,4,53,6,16,2,9
"253",62,0,58,0,0,1,0
"254",58,5,46,6,19,4,11
"255",56,0,47,0,0,0,0
"256",0,0,0,0,0,0,0
"257",48,5,43,8,14,5,8
"258",60,6,56,11,17,7,10
"259",65,0,49,0,0,0,0
"260",67,0,52,0,0,0,0
"261",62,0,54,0,0,0,0
"262",68,0,68,1,0,0,0
"263",62,0,55,0,0,0,0
"264",46,5,68,5,11,3,12
"265",60,0,53,0,0,0,0
"266",0,0,0,0,0,0,0
"267",58,0,64,0,0,0,0
"268",60,7,61,8,18,4,9
"269",0,0,0,0,0,0,0
"270",52,4,53,7,11,4,9
"271",58,4,63,7,18,7,9
"272",54,0,56,0,0,0,0
"273",56,6,54,6,15,4,8
"274",54,3,43,3,10,3,6
"275",0,0,0,0,0,0,0
"276",55,0,57,0,0,0,0
"277",58,0,63,0,0,0,0
"278",54,4,62,7,20,3,12
"279",63,0,57,0,0,0,0
"280",55,0,52,0,0,0,0
"281",57,0,54,0,0,0,0
"282",0,0,0,0,0,0,0
"283",66,0,63,0,0,0,0
"284",53,5,54,7,16,5,8
"285",64,6,58,6,10,6,7
"286",60,0,54,0,0,0,0
"287",57,0,55,0,0,0,0
"288",57,0,59,0,0,0,0
"289",49,0,60,0,0,0,0
"290",66,0,52,0,0,0,0
"291",60,0,59,0,0,0,0
"292",0,0,0,0,0,0,0
"293",46,0,62,0,0,0,0
"294",40,4,49,5,16,3,7
"295",46,0,63,0,1,0,0
"296",56,0,52,0,0,0,0
"297",55,0,71,0,0,0,0
"298",0,0,0,0,0,0,0
"299",53,0,50,0,0,0,0
"300",52,0,48,1,0,1,1
"301",53,0,48,0,0,0,0
"302",59,7,58,7,21,5,10
"303",62,6,62,6,9,5,7
"304",47,0,51,0,1,0,0
"305",52,6,61,8,12,7,7
"306",64,4,60,4,10,3,6
"307",62,0,51,0,0,0,0
"308",67,8,66,6,9,2,7
"309",0,0,0,0,0,0,0
"310",47,0,52,0,0,0,0
"311",65,0,59,0,0,0,0
"312",49,0,51,0,0,0,0
"313",0,0,0,0,0,0,0
"314",0,0,0,0,0,0,0
"315",56,7,40,10,12,4,12
"316",58,0,33,0,0,0,0
"317",64,7,55,5,11,6,6
"318",61,0,55,0,0,0,0
"319",68,0,54,0,0,0,0
"320",64,0,59,0,0,0,0
"321",0,0,0,0,0,0,0
"322",0,0,1,0,0,0,0
"323",61,0,59,0,0,0,0
"324",55,3,60,5,17,5,9
"325",50,0,55,0,0,0,0
"326",65,0,51,0,0,1,0
"327",0,0,0,0,0,0,0
"328",54,2,55,4,10,4,6
"329",42,0,50,0,0,0,0
"330",0,0,0,0,0,0,0
"331",54,7,52,7,14,7,13
"332",55,0,58,0,0,0,0
"333",57,0,52,0,0,0,0
"334",47,7,53,7,13,3,8
"335",55,0,60,0,0,0,0
"336",51,0,67,1,0,0,0
"337",61,5,51,7,12,4,8
"338",45,0,57,0,0,0,1
"339",56,5,57,6,11,3,4
