"","age1_orange.S","age1_green.S","age2_no_comorbid_orange.S","age2_no_comorbid_green.S","age2_comorbid_green.S","age3_no_comorbid_green.S","age3_comorbid_green.S"
"1",109,82,120,99,100,93,98
"2",105,79,117,96,97,90,96
"3",115,88,126,104,106,98,104
"4",135,103,144,120,122,111,118
"5",85,64,97,79,80,75,80
"6",87,66,99,81,82,77,82
"7",68,51,82,65,67,63,67
"8",100,74,111,90,92,85,90
"9",94,71,107,87,89,83,88
"10",68,50,81,65,66,62,67
