"","age1.V","age2_no_comorbid.V","age2_comorbid.V","age3_no_comorbid.V","age3_comorbid.V"
"1",29.5527417777268,37.4181232309845,18.6287806700845,0,50.1154784402915
"2",38.7480131111346,46.6665099617977,29.9879754473784,41.9545968244313,32.9746252726502
"3",41.146795024534,48.3240700388713,35.6847597381963,48.3925758731552,55.4801402430761
"4",29.3037728008618,28.7535621428237,31.8354169361239,30.95080930969,28.0593774327086
"5",0,0,0,0,0
"6",38.3158983370563,29.9931973859984,39.1681426423283,44.1170077763128,34.8748804215458
"7",48.6648593713559,59.4827715443666,55.6985509142929,0,62.4821016837025
"8",41.8673806389262,38.0232265062433,38.5856556158333,46.7761022930245,46.6052386113485
"9",0,0,0,0,0
"10",34.5512557309417,36.5905633051261,33.9282487655872,49.8901364986676,46.7454591292532
"11",0,0,0,0,0
"12",30.9811220045463,32.7046211364224,29.9450987313491,50.0322511391866,30.6507836135753
"13",31.4221392575833,36.5377494453528,22.9669825882663,37.8529219973152,31.5259040949436
"14",0,0,0,0,0
"15",31.8400495052216,29.4126352917773,43.2018499960115,0,23.7071304660678
"16",33.7969268650181,19.3341434690313,40.247613713435,41.8069037339114,33.5837610901491
"17",21.1462884032678,52.9228720713481,37.0495011002544,37.0224003037936,24.4757396959674
"18",48.7379943961302,46.8614608303946,49.6662334553086,0,43.7231421237905
"19",18.6600238150393,35.6968839458175,15.3743895566652,0,22.4459276089351
"20",52.3844891965375,55.737339079714,56.3967747222742,46.6865949707703,47.721701040329
"21",46.0711971632168,38.7755355385678,25.847960743804,48.1687462835084,39.8317338966083
"22",25.6266683897357,25.7845486967276,27.9117730294374,27.3306695289543,33.8155204289654
"23",24.9387660379857,7.55379557545249,39.3858738499392,44.4498702351196,29.203941649185
"24",0,0,0,0,0
"25",0,0,0,0,0
"26",52.5059685080816,42.3862736667104,63.0818582379209,42.1511890717225,54.1577234832693
"27",36.810657818485,36.9351342992556,40.1734084494291,45.539661394803,50.6750895776555
"28",34.0848906695024,28.0454625341469,15.312777141937,17.4551199131448,27.9778909351051
"29",44.7661917348973,38.5546098195516,35.8365021671353,38.7399252673432,37.1005230428211
"30",31.0842413786588,8.85988054617721,31.0842413786588,39.2449397370231,27.6943462351883
"31",28.7258546455381,31.4922237816661,25.8581516163731,33.571542517648,27.6992384468398
"32",41.6866316433305,39.0837551662149,33.4354360112134,33.3538138135164,44.2999184566415
"33",28.2935881494383,39.6912122030418,47.2365469467964,33.6477417514649,49.2367271665682
"34",34.5582753138428,32.3984828496957,42.3641143042579,35.0410209919842,48.8842167464439
"35",56.5742401934906,30.4152851399066,44.7535907740658,0,26.3176584787369
"36",35.7143731109226,34.1053225755009,26.6244941215073,35.8739587567992,32.8915184546562
"37",56.2573926620561,32.6920077154136,45.0278055265242,40.6413864924924,54.3806215044037
"38",0,0,0,0,0
"39",40.7781029496287,41.7899410648222,28.8036300996755,0,28.6756042271334
"40",33.8910204199916,52.4097352937386,36.2171227352671,46.5571931823739,39.2162069114653
"41",30.0390281033795,24.7091349813148,27.6162837879557,29.5783441734734,21.4828668731812
"42",40.2471145393723,39.9467696912908,22.0934911069791,41.6747924169569,28.9739033150957
"43",35.4397621903597,35.5539609501462,15.0829311497051,27.4810609738316,22.8729277829057
"44",23.7570154203311,32.9554538377049,28.9059875542179,36.2706027405467,27.8327657877615
"45",20.8328061213994,25.7780924584526,22.5776086996828,36.6061974721571,35.4720507695219
"46",48.3338530466638,51.0935564820037,48.1021393317876,30.8969728601388,32.0780149330495
"47",38.471601985845,38.3015388439715,38.0376414849299,33.0077443913267,27.0753486472116
"48",36.5549711243034,35.2740505241306,34.2606616604338,22.3045725461373,32.3484582906808
"49",44.7527192755415,47.1159681034045,43.9020523923147,26.918487724065,44.9247071826614
"50",47.9592411163665,48.877584928813,41.0252634698603,47.4256455918958,42.0014237013019
