"time" "age1.S" "age2_no_comorbid.S" "age2_comorbid.S" "age3_no_comorbid.S" "age3_comorbid.S" "age1.E" "age2_no_comorbid.E" "age2_comorbid.E" "age3_no_comorbid.E" "age3_comorbid.E" "age1.P" "age2_no_comorbid.P" "age2_comorbid.P" "age3_no_comorbid.P" "age3_comorbid.P" "age1.A" "age2_no_comorbid.A" "age2_comorbid.A" "age3_no_comorbid.A" "age3_comorbid.A" "age1.I" "age2_no_comorbid.I" "age2_comorbid.I" "age3_no_comorbid.I" "age3_comorbid.I" "age1.R" "age2_no_comorbid.R" "age2_comorbid.R" "age3_no_comorbid.R" "age3_comorbid.R" "age1.H" "age2_no_comorbid.H" "age2_comorbid.H" "age3_no_comorbid.H" "age3_comorbid.H" "age1.V" "age2_no_comorbid.V" "age2_comorbid.V" "age3_no_comorbid.V" "age3_comorbid.V" "age1.D" "age2_no_comorbid.D" "age2_comorbid.D" "age3_no_comorbid.D" "age3_comorbid.D"
15.8969132477338 808 938 125 43 74 4 0 0 0 0 0 1 0 0 1 1 0 0 0 0 1 1 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
15.9223103446535 808 938 125 43 74 4 0 0 0 0 0 0 0 0 1 1 1 0 0 0 1 1 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
16.1059633907882 808 938 125 43 74 3 0 0 0 0 1 0 0 0 1 1 1 0 0 0 1 1 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
16.1379614887355 807 938 125 43 74 4 0 0 0 0 1 0 0 0 1 1 1 0 0 0 1 1 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
16.1790881049201 807 937 125 43 74 4 1 0 0 0 1 0 0 0 1 1 1 0 0 0 1 1 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
16.2199140983784 806 937 125 43 74 5 1 0 0 0 1 0 0 0 1 1 1 0 0 0 1 1 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
16.3558610205589 805 937 125 43 74 6 1 0 0 0 1 0 0 0 1 1 1 0 0 0 1 1 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
16.3732413092785 805 937 125 43 74 6 0 0 0 0 1 1 0 0 1 1 1 0 0 0 1 1 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
16.5720319164058 804 937 125 43 74 7 0 0 0 0 1 1 0 0 1 1 1 0 0 0 1 1 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
16.5878117805365 804 937 125 43 74 6 0 0 0 0 2 1 0 0 1 1 1 0 0 0 1 1 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
16.6156661146286 804 937 124 43 74 6 0 1 0 0 2 1 0 0 1 1 1 0 0 0 1 1 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
16.8716187761435 804 937 124 43 74 5 0 1 0 0 3 1 0 0 1 1 1 0 0 0 1 1 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
16.8962647078724 803 937 124 43 74 6 0 1 0 0 3 1 0 0 1 1 1 0 0 0 1 1 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
16.9531121038823 802 937 124 43 74 7 0 1 0 0 3 1 0 0 1 1 1 0 0 0 1 1 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
17.0389076471707 801 937 124 43 74 8 0 1 0 0 3 1 0 0 1 1 1 0 0 0 1 1 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
17.0531663818586 801 937 124 43 74 8 0 1 0 0 3 1 0 0 0 1 1 0 0 0 1 1 0 1 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
17.1382734486382 800 937 124 43 74 9 0 1 0 0 3 1 0 0 0 1 1 0 0 0 1 1 0 1 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
17.1382942087096 800 937 124 43 74 9 0 1 0 0 2 1 0 0 0 1 1 0 0 0 2 1 0 1 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
17.319746097808 800 937 124 43 74 8 0 1 0 0 3 1 0 0 0 1 1 0 0 0 2 1 0 1 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
17.4302501224437 800 937 124 43 74 7 0 1 0 0 4 1 0 0 0 1 1 0 0 0 2 1 0 1 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
17.4505038254173 799 937 124 43 74 8 0 1 0 0 4 1 0 0 0 1 1 0 0 0 2 1 0 1 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
17.4945457725557 799 937 124 43 74 8 0 1 0 0 4 1 0 0 0 0 1 0 0 0 2 1 0 1 1 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
17.6043262946488 798 937 124 43 74 9 0 1 0 0 4 1 0 0 0 0 1 0 0 0 2 1 0 1 1 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
