"","age1.E","age2_no_comorbid.E","age2_comorbid.E","age3_no_comorbid.E","age3_comorbid.E"
"243",108,100,16,8,9
"244",0,1,0,0,0
"245",0,1,0,0,0
"246",0,1,0,0,0
"247",0,1,0,0,0
"248",84,102,20,7,9
"249",0,1,0,0,0
"250",0,1,0,0,0
"251",1,1,0,0,0
"252",0,1,0,0,0
"253",0,1,0,0,0
"254",0,1,0,0,0
"255",1,1,0,0,0
"256",0,1,0,0,0
"257",0,1,0,0,0
"258",0,1,0,0,0
"259",0,1,0,0,0
"260",0,1,0,0,0
"261",0,1,0,0,0
"262",1,1,0,0,0
"263",0,1,0,0,0
"264",0,1,0,0,0
"265",1,1,0,0,0
"266",0,1,0,0,0
"267",0,1,0,0,0
"268",1,1,0,0,0
"269",0,1,0,0,0
"270",2,1,0,0,0
"271",0,1,0,0,0
"272",2,2,0,0,1
"273",2,2,0,0,0
"274",0,1,0,0,0
"275",89,75,18,7,7
"276",0,1,0,0,0
"277",94,95,19,4,7
"278",0,1,0,0,0
"279",108,104,20,6,10
"280",0,1,0,0,0
"281",93,84,12,5,12
"282",3,3,0,0,1
"283",1,1,0,0,1
"284",1,1,0,0,0
"285",1,1,0,0,0
"286",5,3,1,0,1
"287",102,90,14,3,8
"288",0,1,0,0,0
"289",0,1,0,0,0
"290",0,1,0,1,0
"291",0,1,0,0,0
"292",0,1,0,0,0
"293",0,1,0,0,0
"294",2,1,0,0,0
"295",0,1,0,0,0
"296",100,117,20,9,11
"297",88,99,14,6,9
"298",0,1,0,0,0
"299",0,1,0,0,0
"300",95,99,14,8,14
"301",0,1,0,0,0
"302",0,1,0,0,0
"303",0,1,0,0,0
"304",0,1,0,0,0
"305",0,1,0,0,0
"306",86,91,15,9,12
"307",0,1,0,0,0
"308",0,1,0,0,0
"309",1,1,0,0,0
"310",0,1,0,0,0
"311",104,111,19,6,12
"312",0,1,0,0,0
"313",1,1,0,0,0
"314",0,1,0,0,0
"315",0,1,0,0,0
"316",0,1,0,0,0
"317",2,1,0,0,0
"318",0,1,0,0,0
"319",0,1,0,0,0
"320",0,1,0,0,0
"321",0,1,0,0,0
"322",0,1,0,0,0
"323",0,1,0,0,0
"324",0,1,0,0,0
"325",1,1,0,0,0
"326",0,1,0,0,0
"327",0,1,0,0,0
"328",0,1,0,0,0
"329",0,1,0,0,0
"330",88,85,20,4,11
"331",0,1,0,0,0
"332",0,1,0,0,0
"333",0,1,0,0,0
"334",0,1,0,0,0
"335",1,1,0,0,0
"336",0,1,0,0,0
"337",0,1,0,0,0
"338",0,1,0,0,0
"339",0,1,0,0,0
"340",0,1,0,0,0
"341",103,100,18,7,10
"342",2,2,0,1,0
"343",0,1,0,0,0
"344",4,3,1,0,0
"345",0,1,0,0,0
"346",2,1,0,0,0
"347",1,1,1,0,0
"348",0,1,0,0,0
"349",0,1,0,0,0
"350",0,1,0,0,0
"351",0,1,0,0,0
"352",0,1,0,0,0
"353",1,1,0,0,0
"354",0,1,0,0,0
"355",103,83,21,5,12
"356",0,1,1,0,0
"357",2,1,0,0,0
"358",0,1,0,0,0
"359",1,1,0,0,0
"360",0,1,0,0,0
"361",101,93,18,10,9
"362",0,1,0,0,0
"363",0,1,0,0,0
"364",1,2,0,0,0
"365",0,1,0,0,0
"366",2,3,1,0,0
"367",2,1,0,0,0
"368",0,1,0,0,0
"369",4,1,1,0,0
"370",0,1,0,0,0
"371",1,1,0,0,0
"372",4,2,1,0,0
"373",0,1,0,0,0
"374",0,1,0,0,0
"375",0,1,0,0,0
"376",0,1,0,0,0
"377",4,4,1,1,1
"378",2,2,1,0,0
"379",90,97,18,7,11
"380",0,1,0,0,0
"381",0,1,0,0,0
"382",2,1,0,0,0
"383",3,2,0,0,0
"384",5,4,1,0,1
"385",1,1,0,0,0
"386",1,1,0,1,0
"387",0,1,0,0,0
"388",0,1,0,0,0
"389",100,98,18,9,9
"390",0,1,0,0,0
"391",0,1,0,0,0
"392",0,1,0,0,0
"393",0,1,0,0,0
"394",0,1,0,0,0
"395",1,3,0,0,0
"396",0,1,0,0,0
"397",0,1,0,0,0
"398",6,4,2,1,2
"399",2,1,0,0,0
"400",2,1,0,0,0
"401",0,1,0,0,0
"402",1,1,0,0,1
"403",3,1,0,0,1
"404",0,1,0,0,0
"405",0,1,0,0,0
"406",0,1,0,0,0
"407",0,1,0,0,0
"408",0,1,0,0,0
"409",1,2,0,0,0
"410",0,1,0,0,1
"411",0,1,0,0,0
"412",0,1,0,0,0
"413",0,1,0,0,0
"414",4,3,2,1,0
"415",0,1,0,0,0
"416",1,3,0,0,1
"417",0,1,0,0,0
"418",1,1,0,0,0
"419",0,1,0,0,0
"420",0,1,0,0,0
"421",100,90,16,6,10
"422",0,1,0,0,0
"423",0,1,0,0,0
"424",0,1,0,0,0
"425",0,1,0,0,0
"426",0,1,0,0,0
"427",2,2,1,0,1
"428",2,2,1,0,0
"429",1,2,0,0,0
"430",93,100,16,5,9
"431",110,91,14,11,7
"432",99,107,20,9,10
"433",2,1,0,0,0
"434",0,1,0,0,0
"435",4,1,1,0,0
"436",0,1,0,0,0
"437",4,1,0,0,0
"438",1,1,0,0,0
"439",0,1,0,0,0
"440",2,2,1,0,0
"441",1,1,0,0,0
"442",5,4,2,1,2
"443",0,1,0,0,0
"444",1,1,0,0,0
"445",1,1,0,0,0
"446",0,1,0,0,0
"447",1,1,0,0,0
"448",0,1,0,0,0
"449",0,1,0,0,0
"450",0,1,0,0,0
"451",0,1,0,0,0
"452",0,1,0,0,0
"453",0,1,0,0,0
"454",89,95,17,6,8
"455",0,1,0,0,0
"456",0,1,0,0,0
"457",0,1,0,0,0
"458",2,2,0,0,0
"459",0,1,0,0,0
"460",0,1,0,0,0
"461",0,1,0,0,0
"462",0,1,0,0,0
"463",0,1,0,0,0
"464",0,1,0,0,0
"465",0,1,0,0,0
"466",0,1,0,0,0
"467",88,87,17,5,11
"468",107,98,17,6,9
"469",100,103,14,7,7
"470",1,1,0,0,0
"471",0,1,0,0,0
"472",0,1,0,0,0
"473",0,1,0,0,0
"474",0,1,0,0,0
"475",0,1,0,0,0
"476",0,1,0,0,0
"477",0,1,0,0,0
