"","age1.S","age2_no_comorbid.S","age2_comorbid.S","age3_no_comorbid.S","age3_comorbid.S"
"1",99.8771498771499,99.7876857749469,99.8402555910543,97.7272727272727,100.536193029491
"2",100,99.7876857749469,99.8402555910543,100,100.536193029491
"3",33.4152334152334,50.9554140127389,49.5207667731629,68.1818181818182,73.7265415549598
"4",99.6314496314496,99.7876857749469,99.0415335463259,100,100.536193029491
"5",39.4348894348894,57.3248407643312,55.111821086262,70.4545454545455,79.088471849866
"6",40.9090909090909,58.067940552017,57.5079872204473,72.7272727272727,67.0241286863271
"7",40.5405405405405,58.5987261146497,55.111821086262,75,75.0670241286863
"8",33.4152334152334,53.2908704883227,56.7092651757188,75,63.0026809651475
"9",39.4348894348894,58.8110403397028,58.3067092651757,65.9090909090909,73.7265415549598
"10",100,99.8938428874735,99.8402555910543,100,100.536193029491
"11",49.6314496314496,65.0743099787686,61.5015974440894,77.2727272727273,67.0241286863271
"12",100,99.8938428874735,99.8402555910543,100,100.536193029491
"13",100,99.8938428874735,99.8402555910543,100,99.1957104557641
"14",99.7542997542998,99.8938428874735,99.8402555910543,100,100.536193029491
"15",99.8771498771499,99.7876857749469,99.8402555910543,100,100.536193029491
"16",99.8771498771499,99.8938428874735,99.0415335463259,100,100.536193029491
"17",99.8771498771499,99.7876857749469,99.8402555910543,100,100.536193029491
"18",94.2260442260442,95.2229299363057,96.6453674121406,100,96.514745308311
"19",100,99.8938428874735,99.8402555910543,100,100.536193029491
"20",100,99.8938428874735,99.8402555910543,100,100.536193029491
"21",100,99.8938428874735,99.8402555910543,100,100.536193029491
"22",100,99.8938428874735,99.8402555910543,100,100.536193029491
"23",99.8771498771499,99.4692144373673,99.8402555910543,100,99.1957104557641
"24",100,99.8938428874735,99.8402555910543,100,100.536193029491
"25",98.8943488943489,99.5753715498938,99.0415335463259,100,100.536193029491
"26",35.8722358722359,51.6985138004246,53.5143769968051,65.9090909090909,61.6621983914209
"27",100,99.8938428874735,99.8402555910543,100,100.536193029491
"28",100,99.8938428874735,99.8402555910543,100,100.536193029491
"29",40.6633906633907,58.2802547770701,64.6964856230032,75,65.6836461126005
"30",98.2800982800983,98.7261146496815,99.0415335463259,100,99.1957104557641
"31",100,99.8938428874735,99.8402555910543,100,100.536193029491
"32",100,99.8938428874735,99.8402555910543,100,100.536193029491
"33",100,99.8938428874735,99.8402555910543,100,100.536193029491
"34",38.9434889434889,51.380042462845,59.9041533546326,79.5454545454545,73.7265415549598
"35",43.1203931203931,61.0403397027601,58.3067092651757,65.9090909090909,68.3646112600536
"36",99.8771498771499,99.8938428874735,99.8402555910543,100,100.536193029491
"37",100,99.8938428874735,99.8402555910543,100,100.536193029491
"38",99.8771498771499,99.8938428874735,99.0415335463259,100,100.536193029491
"39",99.5085995085995,99.5753715498938,99.8402555910543,100,100.536193029491
"40",100,99.8938428874735,99.8402555910543,100,100.536193029491
"41",100,99.8938428874735,99.8402555910543,100,100.536193029491
"42",100,99.8938428874735,99.8402555910543,100,100.536193029491
"43",99.8771498771499,99.7876857749469,99.8402555910543,100,100.536193029491
"44",99.1400491400491,99.7876857749469,98.2428115015974,100,100.536193029491
"45",100,99.8938428874735,99.8402555910543,100,100.536193029491
"46",40.1719901719902,60.2972399150743,57.5079872204473,61.3636363636364,76.4075067024129
"47",100,99.8938428874735,99.8402555910543,100,100.536193029491
"48",99.7542997542998,99.6815286624204,99.8402555910543,100,100.536193029491
"49",100,99.7876857749469,99.0415335463259,100,100.536193029491
"50",100,99.8938428874735,99.8402555910543,100,100.536193029491
"51",51.7199017199017,66.348195329087,63.8977635782748,81.8181818181818,85.7908847184987
"52",100,99.8938428874735,99.8402555910543,100,100.536193029491
"53",30.5896805896806,50.6369426751592,51.9169329073482,72.7272727272727,67.0241286863271
"54",98.6486486486486,99.1507430997877,99.0415335463259,100,99.1957104557641
"55",100,99.8938428874735,99.8402555910543,100,100.536193029491
"56",35.995085995086,53.8216560509554,51.9169329073482,70.4545454545455,69.7050938337802
"57",59.4594594594595,71.5498938428875,72.6837060702875,81.8181818181818,93.8337801608579
"58",100,99.8938428874735,99.8402555910543,100,100.536193029491
"59",100,99.8938428874735,99.8402555910543,100,99.1957104557641
"60",99.6314496314496,99.7876857749469,99.0415335463259,100,100.536193029491
"61",100,99.8938428874735,99.8402555910543,100,100.536193029491
"62",100,99.8938428874735,99.8402555910543,97.7272727272727,100.536193029491
"63",100,99.7876857749469,99.8402555910543,100,100.536193029491
"64",96.6830466830467,97.1337579617834,95.0479233226837,97.7272727272727,99.1957104557641
