"","age1.P","age2_no_comorbid.P","age2_comorbid.P","age3_no_comorbid.P","age3_comorbid.P"
"243",87,84,16,6,8
"244",83,81,14,6,7
"245",0,1,0,0,0
"246",1,1,0,0,0
"247",80,72,13,5,8
"248",102,88,13,7,7
"249",74,77,14,5,7
"250",86,98,16,7,9
"251",0,1,0,0,0
"252",77,76,13,10,9
"253",78,87,18,6,8
"254",85,66,15,5,7
"255",77,78,18,6,6
"256",83,88,12,5,7
"257",1,1,0,0,0
"258",75,83,17,5,10
"259",83,90,13,7,7
"260",92,92,10,5,8
"261",82,83,15,6,9
"262",1,1,1,0,0
"263",1,1,0,0,0
"264",80,102,15,4,7
"265",67,88,15,7,6
"266",93,78,12,7,12
"267",81,78,18,3,9
"268",81,72,12,7,7
"269",74,72,11,6,7
"270",68,67,14,5,6
"271",0,1,0,0,0
"272",66,68,14,7,8
"273",0,1,0,0,0
"274",85,80,13,4,7
"275",66,71,13,7,8
"276",87,88,14,6,6
"277",83,93,13,4,7
"278",73,64,9,5,7
"279",0,1,0,0,0
"280",66,75,12,5,6
"281",0,1,0,0,0
"282",93,85,16,5,7
"283",77,70,14,7,11
"284",68,65,15,8,8
"285",86,82,16,3,7
"286",82,70,11,8,7
"287",86,81,13,5,10
"288",74,61,12,6,9
"289",68,71,13,4,6
"290",76,75,12,5,8
"291",80,74,12,7,8
"292",78,91,13,7,8
"293",0,1,0,0,1
"294",77,79,12,5,7
"295",109,87,16,5,10
"296",84,68,14,7,9
"297",0,1,0,0,0
"298",71,70,14,7,6
"299",78,76,14,5,7
"300",85,75,12,6,7
"301",76,84,11,5,10
"302",82,89,17,5,8
"303",72,74,12,6,10
"304",76,96,13,7,7
"305",77,79,12,7,6
"306",76,81,12,6,7
"307",80,74,14,6,8
"308",83,89,18,6,10
"309",76,71,15,4,8
"310",0,1,0,0,0
"311",81,83,16,6,7
"312",70,72,21,4,9
"313",0,1,0,0,0
"314",80,76,12,5,8
"315",1,1,0,0,0
"316",80,77,12,5,8
"317",81,78,14,7,7
"318",83,83,14,8,7
"319",68,69,12,5,9
"320",80,82,12,6,7
"321",72,74,13,4,7
"322",83,88,14,5,10
"323",75,85,12,5,8
"324",73,93,13,8,9
"325",74,76,14,8,13
"326",82,83,13,6,10
"327",81,66,15,7,7
"328",67,63,13,6,6
"329",1,1,0,0,0
"330",0,1,0,0,0
"331",0,1,0,0,0
"332",75,98,12,7,7
"333",88,80,12,6,9
"334",94,86,14,6,10
"335",76,77,15,5,9
"336",90,82,15,7,7
"337",81,75,13,7,8
"338",75,69,11,5,7
"339",67,66,13,5,8
"340",78,79,13,5,9
"341",72,85,13,4,10
"342",85,89,14,7,11
"343",75,70,11,4,7
"344",89,85,13,7,10
"345",82,85,14,7,9
"346",0,1,0,0,0
"347",0,1,0,0,0
"348",72,67,15,5,7
"349",77,66,12,6,6
"350",78,75,15,5,6
"351",0,1,0,0,0
"352",89,84,13,7,8
"353",0,1,0,0,0
"354",83,79,12,6,8
"355",0,1,0,0,0
"356",0,1,0,0,0
"357",93,76,19,7,9
"358",76,79,11,6,7
"359",1,1,0,0,0
"360",76,100,15,3,7
"361",66,75,14,6,8
"362",83,75,13,7,11
"363",82,90,17,6,7
"364",78,80,13,5,9
"365",64,72,13,6,7
"366",89,86,16,4,10
"367",79,72,12,5,8
"368",82,82,17,5,9
"369",73,81,13,4,7
"370",0,1,0,0,0
"371",79,86,15,8,7
"372",73,70,16,6,7
"373",91,80,13,5,9
"374",0,2,1,0,0
"375",73,74,11,4,8
"376",85,80,14,12,8
"377",75,73,12,6,10
"378",73,78,18,5,10
"379",73,71,11,4,9
"380",80,74,17,6,8
"381",82,91,11,6,11
"382",77,70,12,6,6
"383",81,84,15,5,8
"384",69,80,12,4,6
"385",82,75,15,7,8
"386",83,81,12,8,8
"387",83,86,13,6,9
"388",0,1,0,0,0
"389",77,87,19,8,8
"390",81,92,15,6,9
"391",79,72,13,6,11
"392",71,78,12,6,7
"393",76,66,12,4,8
"394",67,61,15,5,7
"395",80,87,14,4,7
"396",86,82,16,7,9
"397",1,1,1,0,0
"398",0,1,0,0,0
"399",78,84,12,5,7
"400",71,77,15,6,6
"401",0,1,0,0,0
"402",74,110,15,7,7
"403",88,74,15,6,11
"404",76,79,15,5,7
"405",0,1,0,0,0
"406",79,86,13,4,8
"407",87,82,17,7,7
"408",76,75,14,6,8
