"","age1.S","age2_no_comorbid.S","age2_comorbid.S","age3_no_comorbid.S","age3_comorbid.S"
"279",806,934,123,44,74
"280",307,523,76,26,49
"281",813,941,125,44,75
"282",373,607,77,32,58
"283",814,940,125,44,75
"284",812,941,125,44,75
"285",813,941,125,44,75
"286",335,563,76,31,53
"287",242,459,70,32,50
"288",813,941,125,44,75
"289",451,637,88,32,60
"290",367,577,70,27,46
"291",814,941,125,44,75
"292",811,941,125,44,75
"293",812,940,125,43,75
"294",814,941,125,44,75
"295",310,570,65,36,50
"296",814,941,125,44,75
"297",813,941,125,44,75
"298",813,940,124,44,75
"299",813,941,125,44,75
"300",814,941,125,44,75
"301",812,941,124,44,75
"302",809,937,124,44,75
"303",814,941,125,43,75
"304",800,936,125,44,75
"305",813,941,125,44,75
"306",814,941,125,44,75
"307",806,939,124,44,75
"308",392,573,70,34,56
"309",455,661,83,36,60
"310",814,941,125,44,75
"311",814,939,125,44,75
"312",354,593,79,32,43
"313",251,506,63,30,53
"314",311,506,68,31,52
"315",338,525,81,28,57
"316",811,941,125,44,75
"317",814,939,125,43,75
"318",301,493,61,31,45
"319",813,941,125,44,75
"320",813,941,125,44,75
"321",813,941,125,44,75
"322",797,933,122,43,73
"323",446,670,88,30,59
"324",356,542,71,27,60
"325",814,941,125,44,75
"326",297,493,72,33,51
"327",811,938,125,44,75
"328",803,940,125,43,75
"329",312,553,64,32,61
"330",814,941,125,44,75
"331",297,467,72,31,48
"332",447,669,93,36,59
"333",814,941,125,44,75
"334",814,941,125,44,75
"335",261,497,49,29,47
"336",311,545,73,29,48
"337",813,941,125,44,75
"338",814,941,124,44,75
"339",414,624,84,29,62
"340",812,939,125,44,75
"341",811,941,125,44,75
"342",813,941,125,44,75
"343",811,935,125,44,75
"344",311,542,73,25,55
"345",814,941,125,44,75
"346",431,667,92,29,60
"347",814,939,125,44,75
"348",316,508,74,31,51
"349",377,605,73,32,55
"350",384,623,77,37,57
"351",814,941,125,44,75
"352",814,941,125,44,75
"353",813,940,125,44,75
"354",814,941,124,44,75
"355",814,941,125,44,75
"356",813,941,125,44,75
"357",814,940,125,44,75
"358",296,542,75,33,45
"359",814,941,125,44,75
"360",814,941,125,44,75
"361",814,941,125,44,75
"362",814,941,125,44,75
"363",813,940,125,44,75
"364",814,941,125,44,75
"365",813,941,125,44,75
"366",366,572,77,38,51
"367",812,941,125,44,75
"368",814,941,125,44,75
"369",813,940,125,44,75
"370",321,558,82,33,55
"371",814,941,125,44,75
"372",814,941,125,44,75
"373",812,941,124,44,75
"374",814,941,125,44,75
"375",812,941,124,44,75
"376",332,563,70,30,51
"377",812,940,122,44,75
"378",814,941,124,44,75
"379",804,935,122,43,75
"380",784,931,123,44,75
"381",813,940,124,44,75
"382",813,940,125,44,75
"383",814,941,125,44,75
"384",264,505,66,25,46
"385",292,535,76,27,51
"386",813,941,125,44,75
"387",810,938,125,43,75
"388",814,941,125,44,75
"389",814,941,125,44,75
"390",814,941,125,44,75
"391",365,581,83,28,56
"392",422,647,78,32,48
"393",813,940,125,44,75
"394",234,465,59,23,48
"395",812,938,125,44,75
"396",285,493,69,28,49
"397",811,939,125,44,75
"398",813,941,125,44,75
"399",814,941,125,44,75
"400",376,560,80,28,54
"401",301,498,57,34,49
"402",808,936,125,44,75
"403",814,941,125,44,75
"404",814,941,125,44,75
"405",402,603,74,33,54
"406",814,940,125,44,75
"407",809,940,123,44,75
"408",341,588,85,31,59
"409",808,940,124,44,75
"410",277,472,48,30,42
"411",467,687,82,33,56
"412",381,581,76,31,59
"413",814,941,125,44,75
"414",814,941,125,44,75
"415",812,940,125,44,75
"416",293,463,70,32,55
"417",467,685,91,37,61
"418",805,936,124,44,75
"419",269,491,63,31,52
"420",814,941,125,44,75
"421",814,941,125,44,75
"422",317,544,70,32,49
"423",814,941,125,44,75
"424",326,572,65,33,45
"425",814,941,125,44,74
"426",809,938,125,44,75
"427",254,484,67,31,51
"428",814,941,125,44,75
"429",814,941,125,44,75
"430",812,940,125,44,75
"431",810,939,123,43,74
"432",814,941,125,44,75
"433",376,593,78,35,65
"434",814,941,125,44,75
"435",814,941,125,44,75
"436",814,940,125,44,74
"437",814,941,125,44,75
"438",805,936,125,44,75
"439",335,492,72,33,49
"440",814,941,125,44,75
"441",809,934,124,44,74
"442",325,531,75,28,47
"443",814,941,125,44,75
"444",812,939,125,44,75
"445",429,632,78,33,59
"446",332,556,67,33,56
"447",814,941,125,44,75
"448",809,941,124,44,75
"449",810,938,125,44,75
"450",351,565,86,33,59
"451",811,941,125,44,75
"452",814,941,125,44,75
"453",814,939,125,44,75
