"","age1.O","age2_no_comorbid.O","age2_comorbid.O","age3_no_comorbid.O","age3_comorbid.O"
"243",41,25,5,3,2
"244",50,41,5,2,4
"245",0,1,0,0,0
"246",0,1,0,0,0
"247",17,15,4,1,1
"248",3,3,1,0,0
"249",0,1,0,0,0
"250",0,1,0,0,0
"251",2,1,0,0,0
"252",54,34,5,2,2
"253",25,24,7,2,2
"254",0,1,0,0,0
"255",1,1,1,0,0
"256",0,1,0,0,0
"257",1,2,0,0,0
"258",1,1,0,0,0
"259",39,34,4,2,3
"260",20,20,4,2,1
"261",1,2,0,0,0
"262",36,30,4,2,4
"263",28,28,4,2,2
"264",0,1,0,0,0
"265",1,2,0,0,0
"266",0,0,0,0,1
"267",24,18,6,3,2
"268",1,2,0,0,0
"269",0,1,0,0,0
"270",38,30,4,1,2
"271",1,0,0,0,0
"272",40,33,9,3,2
"273",2,2,0,0,1
"274",34,31,5,1,2
"275",0,1,0,0,0
"276",36,37,7,2,2
"277",2,2,0,1,0
"278",28,22,4,2,2
"279",2,3,1,0,1
"280",34,29,4,3,3
"281",1,1,0,0,0
"282",27,18,4,3,2
"283",0,1,0,0,0
"284",0,1,0,0,0
"285",1,1,0,0,0
"286",39,32,6,1,3
"287",42,46,6,2,3
"288",1,1,0,0,0
"289",15,16,3,2,2
"290",38,30,8,2,4
"291",0,1,0,0,0
"292",1,1,0,0,0
"293",2,1,0,1,0
"294",0,1,0,0,0
"295",28,23,3,1,3
"296",0,1,0,0,0
"297",0,0,0,0,0
"298",1,1,0,0,0
"299",1,0,0,0,0
"300",0,1,0,0,0
"301",2,1,1,0,0
"302",2,2,1,0,0
"303",0,0,0,1,0
"304",4,1,0,0,0
"305",1,0,0,0,0
"306",0,1,0,0,0
"307",2,1,1,0,0
"308",27,21,6,3,2
"309",23,15,6,2,1
"310",0,1,0,0,0
"311",0,2,0,0,0
"312",25,20,4,2,3
"313",33,33,6,3,4
"314",50,47,8,1,2
"315",37,27,5,3,2
"316",2,1,0,0,0
"317",0,2,0,1,0
"318",43,40,8,2,3
"319",1,0,0,0,0
"320",1,1,0,0,0
"321",1,0,0,0,0
"322",5,3,1,1,1
"323",23,16,4,2,1
"324",32,26,9,2,2
"325",0,1,0,0,0
"326",44,38,6,2,3
"327",2,2,0,0,0
"328",3,1,0,1,0
"329",38,40,5,2,1
"330",0,1,0,0,0
"331",32,34,5,3,2
"332",21,18,4,1,2
"333",0,1,0,0,0
"334",0,1,0,0,0
"335",57,36,8,3,2
"336",38,26,6,1,2
"337",1,1,0,0,0
"338",0,1,1,0,0
"339",33,24,4,3,2
"340",1,1,0,0,0
"341",1,1,0,0,0
"342",0,1,0,0,0
"343",2,3,0,0,0
"344",40,31,5,4,3
"345",0,0,0,0,0
"346",18,13,4,2,2
"347",0,3,0,0,0
"348",30,35,5,2,1
"349",31,24,3,1,2
"350",34,22,4,2,2
"351",0,1,0,0,0
"352",0,1,0,0,0
"353",0,1,0,0,0
"354",0,1,1,0,0
"355",0,1,0,0,0
"356",1,1,0,0,0
"357",0,2,0,0,0
"358",34,32,5,2,3
"359",0,1,0,0,0
"360",0,1,0,0,0
"361",0,1,0,0,0
"362",0,1,0,0,0
"363",0,2,0,0,0
"364",0,1,0,0,0
"365",1,1,0,0,0
"366",38,28,6,1,3
"367",1,1,0,0,0
"368",0,0,0,0,0
"369",1,1,0,0,0
"370",25,22,4,2,2
"371",0,1,0,0,0
"372",0,0,0,0,0
"373",2,0,1,0,0
"374",0,1,0,0,0
"375",1,1,1,0,0
"376",43,37,7,3,3
"377",1,1,1,0,0
"378",0,1,0,0,0
"379",3,1,1,1,0
"380",5,2,1,0,0
"381",0,2,1,0,0
"382",0,2,0,0,0
"383",0,1,0,0,0
"384",47,41,6,2,4
"385",42,26,5,4,2
"386",0,1,0,0,0
"387",1,2,0,1,0
"388",0,1,0,0,0
"389",0,1,0,0,0
"390",0,0,0,0,0
"391",28,25,3,2,2
"392",29,22,4,3,4
"393",1,2,0,0,0
"394",50,44,6,4,3
"395",2,2,0,0,0
"396",40,35,6,2,2
"397",2,2,0,0,0
"398",1,1,0,0,0
"399",0,1,0,0,0
"400",46,37,5,3,3
"401",31,28,7,2,3
"402",4,4,0,0,0
"403",0,1,0,0,0
"404",0,1,0,0,0
"405",28,20,4,3,4
"406",0,1,0,0,0
"407",2,1,2,0,0
"408",34,38,3,2,3
"409",3,2,1,0,0
"410",38,36,5,1,3
"411",24,17,5,2,2
"412",28,24,5,2,3
"413",0,1,0,0,0
"414",0,1,0,0,0
"415",1,2,0,0,0
"416",36,31,5,2,1
"417",26,20,3,2,2
"418",3,3,1,0,0
"419",42,33,9,3,2
"420",0,1,0,0,0
"421",0,0,0,0,0
"422",38,32,7,1,3
"423",0,1,0,0,0
"424",36,30,6,1,2
"425",0,1,0,0,0
"426",2,1,0,0,0
"427",35,33,4,2,3
"428",0,1,0,0,0
"429",0,1,0,0,0
"430",1,1,0,0,0
"431",1,1,1,1,1
"432",0,1,0,0,0
"433",21,25,3,2,2
"434",0,0,0,0,0
"435",0,1,0,0,0
"436",0,1,0,0,1
"437",0,0,0,0,0
"438",3,2,0,0,0
"439",33,37,5,3,4
"440",0,1,0,0,0
"441",2,3,1,0,1
"442",28,25,3,2,4
"443",0,1,0,0,0
"444",1,2,0,0,0
"445",23,22,4,1,3
"446",40,24,3,3,2
"447",0,1,0,0,0
"448",3,1,1,0,0
"449",2,2,0,0,0
"450",39,40,7,2,2
"451",1,1,0,0,0
"452",0,1,0,0,0
"453",0,2,0,0,0
"454",0,0,0,0,0
"455",1,0,0,0,0
"456",34,33,5,1,2
"457",1,1,0,0,0
"458",0,1,0,0,1
"459",1,1,0,0,0
"460",37,30,4,1,2
"461",0,0,0,0,0
"462",0,1,0,0,0
"463",0,1,0,0,0
"464",49,32,5,2,3
"465",1,1,0,0,0
"466",0,1,0,0,0
"467",39,23,5,2,2
"468",4,3,2,1,0
"469",1,1,0,0,0
"470",0,1,0,0,0
"471",1,0,0,0,0
"472",0,1,0,0,0
"473",0,1,0,0,0
"474",6,3,1,0,0
"475",41,27,5,3,3
"476",0,1,0,0,1
"477",37,30,4,3,2
"478",1,2,0,0,0
"479",0,1,0,0,0
"480",39,34,5,2,3
"481",42,42,6,2,3
"482",42,55,7,3,5
"483",29,20,5,2,3
"484",38,26,5,3,2
"485",0,1,0,0,0
"486",43,45,6,2,3
"487",33,26,4,2,3
"488",36,31,5,2,3
"489",2,1,0,0,0
"490",3,1,1,0,1
"491",1,1,1,0,0
"492",0,1,0,0,0
"493",32,28,5,2,3
"494",0,1,0,0,0
"495",2,2,0,0,0
"496",26,22,3,2,2
"497",38,39,5,2,2
"498",0,0,0,0,0
"499",0,1,0,0,0
"500",0,1,0,0,0
"501",4,0,0,0,0
"502",0,1,0,0,0
"503",0,1,0,0,0
"504",0,2,1,0,1
"505",0,1,0,0,0
"506",29,25,3,2,2
"507",38,37,4,1,2
"508",33,27,7,2,2
"509",0,1,0,1,0
"510",0,1,0,0,0
"511",15,14,3,2,2
"512",48,48,8,3,4
"513",0,0,0,0,0
"514",24,21,6,2,3
"515",0,1,0,0,0
"516",6,3,1,0,0
"517",41,36,5,3,3
"518",1,2,0,0,0
"519",30,28,3,2,2
"520",1,1,0,0,0
"521",0,1,0,0,0
"522",40,31,6,2,3
"523",29,24,4,2,4
"524",1,1,0,0,0
"525",2,1,1,0,0
"526",24,14,2,2,2
"527",34,30,4,3,3
"528",22,17,4,2,2
"529",53,40,6,2,4
"530",5,4,1,0,0
"531",44,39,6,4,2
"532",1,1,0,0,0
"533",1,1,0,0,0
"534",0,1,0,0,0
"535",1,1,0,0,0
"536",0,0,0,0,0
"537",1,2,1,0,0
"538",0,0,0,0,0
"539",41,29,4,5,2
"540",0,1,0,0,0
"541",29,26,5,2,2
"542",32,24,4,4,3
"543",38,40,5,3,3
"544",20,21,4,2,3
"545",46,33,3,2,3
"546",0,1,0,0,1
"547",0,1,0,0,0
"548",2,2,0,0,0
"549",29,23,5,3,2
"550",20,20,4,1,2
"551",31,27,7,2,2
"552",0,1,0,0,0
"553",0,1,0,0,0
"554",0,1,0,0,0
"555",0,1,0,0,0
"556",0,1,0,0,0
"557",41,37,5,1,3
"558",0,0,0,0,0
"559",0,1,0,0,1
"560",0,1,0,0,0
"561",23,20,6,2,3
"562",27,21,4,3,2
