"","age1.A","age2_no_comorbid.A","age2_comorbid.A","age3_no_comorbid.A","age3_comorbid.A"
"1",36.1645939579182,42.1861698952988,41.8329803874655,38.2051822246261,56.8368990213198
"2",0,0,0,0,0
"3",32.2388309729949,36.1107601216934,35.3923737932086,37.4223817602081,38.3119677949095
"4",33.6112904751224,39.9377419886972,33.3430672210879,42.5836671244692,33.7241289936452
"5",45.8310656915795,48.3260790643253,43.2287485156548,52.9392597733261,49.5651508189718
"6",34.9504997653475,35.9572996031666,33.081517620141,34.003927361116,37.0469571478638
"7",33.7449521179745,38.2982068127535,40.5551730519629,38.9836852352023,34.3045980959452
"8",0,0,0,0,0
"9",38.3300447374782,44.6767615758972,38.0575115881978,51.4176640110847,35.3709896835512
"10",45.7946933241507,45.8397394125041,47.4689033069063,61.5201811533044,48.0095821655658
"11",0,0,0,0,0
"12",36.9702642525817,40.4044413923719,35.124215896384,45.5724740429424,30.976734117871
"13",0,0,0,0,0
"14",33.922402871194,40.7320039651766,37.9203187015462,37.7780691141662,46.0376772549726
"15",30.8366523841627,33.2056071710211,25.8414548750658,37.3581271024158,40.4529400322666
"16",40.483389355521,43.5371369984954,43.4233569313342,38.7355154532949,41.0205517342963
"17",34.1086639781114,40.6340695719247,32.3242725069965,37.7897081636093,37.9453399780164
"18",35.2484524819369,41.5332048976095,39.7592479444181,43.6074781026555,44.3864653475897
"19",37.9497409635378,42.1147719834308,38.6273428174462,62.9147242831591,41.773503922678
"20",28.2480430140181,37.9562548680933,31.4940840228648,29.5495251904379,33.0149504426004
"21",0,0,0,0,0
"22",41.6541892641778,42.4312287978591,43.41403295775,27.4275611135906,45.0287783296601
"23",72.6680380126279,77.805225615517,76.3247101855577,72.373574830405,85.7557582939505
"24",36.9057639599497,32.396210970473,41.2186184603164,42.9139755761051,45.6450363029888
"25",32.7794486144146,34.6856880228161,34.5023258474443,38.0560656068159,44.8378439957706
"26",0,0,0,0,0
"27",35.1095339421876,38.5291164674804,42.3038021637298,59.1629533288932,40.8447802493346
"28",61.5573300754783,69.7806432263483,61.9803210377807,55.672344641492,63.8909050608451
"29",37.89689744276,36.2018457755917,38.2602459814238,31.1503010816796,32.8452368171196
"30",39.5892667766345,45.3728353485349,37.68162835779,38.0636567479085,40.7145628921847
"31",35.943851561922,38.3358704872402,38.2851103659948,46.1597541447114,37.8012369598732
"32",0,14.9402280735239,0,0,0
"33",35.8630638792513,37.9949142906253,37.0729211833443,37.0729211833443,38.7682414970348
"34",39.3245506685896,42.3683923624479,40.5286657188187,41.5319885756777,38.0350356491736
"35",41.2404592960257,41.0288926009793,41.2404592960257,41.4098621088397,45.5728240991009
"36",0,0,0,0,0
"37",32.3548560858344,32.7376221066602,29.1088331401643,30.1322067312341,37.7143718301658
"38",29.6645189676985,30.642945692862,27.9880556087935,23.8863028451312,27.5975752161509
"39",43.2663675781759,44.5291323305242,47.3416822167893,43.9421252233808,49.3123424113071
