"","age1_orange.D","age1_green.D","age2_no_comorbid_orange.D","age2_no_comorbid_green.D","age2_comorbid_green.D","age3_no_comorbid_green.D","age3_comorbid_green.D"
"184",48,4,75,7,31,6,35
"185",52,4,62,7,33,7,29
"186",48,5,69,7,28,16,32
"187",55,6,68,9,37,12,40
"188",63,6,77,6,32,12,42
"189",50,7,67,8,25,12,32
"190",60,3,58,5,27,11,35
"191",0,0,0,0,0,0,0
"192",0,0,0,0,0,0,0
"193",49,8,75,12,31,9,42
"194",60,6,56,6,32,10,39
"195",0,0,0,0,0,0,0
"196",64,5,68,7,37,7,38
"197",53,6,83,7,33,5,40
"198",0,0,0,0,0,0,0
"199",45,2,71,4,46,10,38
"200",58,0,81,0,0,0,1
"201",55,5,78,9,36,9,45
"202",55,0,68,0,0,0,0
"203",56,3,75,7,26,11,39
"204",52,5,74,12,32,6,36
"205",57,4,60,10,32,11,30
"206",0,0,0,0,0,0,0
"207",58,7,84,10,45,12,39
"208",61,7,68,7,31,11,41
"209",0,0,0,0,0,0,0
"210",58,3,61,8,27,11,28
"211",44,4,62,12,30,6,36
"212",58,4,59,8,34,10,37
"213",56,1,69,8,32,8,39
"214",55,2,71,8,41,12,43
"215",52,4,80,8,30,9,34
"216",53,5,73,12,40,16,42
"217",56,5,66,6,29,7,42
"218",76,0,60,0,0,0,0
"219",56,3,75,9,36,10,41
"220",51,1,57,4,35,12,33
"221",49,1,68,11,26,14,32
"222",49,0,72,0,0,0,0
"223",55,4,59,6,27,11,44
"224",58,4,74,8,31,7,35
"225",62,5,75,5,35,10,31
"226",66,7,66,7,26,10,38
"227",56,0,77,0,0,0,0
"228",47,7,68,5,36,13,35
"229",42,4,82,5,28,9,43
"230",37,4,73,11,41,10,35
"231",59,6,79,4,33,10,40
"232",0,0,0,0,0,0,0
"233",0,0,0,0,0,0,0
"234",57,8,71,11,31,13,47
"235",0,0,0,0,0,0,0
"236",55,5,74,7,40,13,39
"237",59,6,69,14,39,8,40
"238",76,5,84,6,25,9,36
"239",55,0,82,0,0,0,0
"240",50,4,76,8,30,9,39
"241",66,0,78,0,0,0,0
"242",40,8,71,8,32,14,42
"243",59,2,75,5,35,12,41
"244",52,3,69,7,32,14,46
"245",59,6,69,8,41,6,34
"246",43,4,82,8,36,8,41
"247",50,2,65,11,24,12,32
"248",59,8,75,8,30,8,40
"249",53,4,70,7,34,14,41
"250",62,5,62,10,36,15,42
"251",43,6,68,4,43,6,32
"252",0,0,0,0,0,0,0
"253",53,3,64,9,39,8,33
"254",54,2,58,5,33,4,34
"255",58,2,70,12,31,10,39
"256",55,0,80,0,1,0,0
"257",50,5,74,5,40,8,41
"258",63,5,64,13,38,9,45
"259",53,2,70,8,37,10,38
"260",55,8,74,7,34,11,44
"261",60,5,58,12,48,10,32
"262",0,0,0,0,0,0,0
"263",65,4,72,4,36,5,45
"264",65,6,68,7,33,10,40
"265",60,7,65,7,27,9,32
"266",53,3,67,11,33,7,42
"267",53,8,66,16,30,5,34
"268",57,7,70,4,34,9,36
"269",44,5,60,7,40,10,47
"270",42,2,79,6,41,4,40
"271",42,6,64,6,39,7,46
"272",59,2,70,8,34,8,41
"273",0,0,0,0,0,0,0
"274",40,0,69,0,0,0,0
"275",62,0,86,0,0,0,0
"276",49,4,72,6,37,8,37
"277",62,10,78,7,26,11,41
"278",58,7,60,10,30,4,38
"279",0,0,0,0,0,0,0
"280",50,4,62,6,35,5,46
"281",65,4,71,6,33,9,45
"282",54,4,67,6,41,7,40
"283",51,5,74,10,39,7,38
"284",63,8,74,12,36,9,42
"285",66,6,75,12,40,12,32
"286",59,5,76,10,38,8,36
"287",55,1,80,10,37,6,37
"288",51,8,81,10,39,8,35
"289",0,0,0,0,0,0,0
"290",47,5,72,4,33,8,32
"291",68,6,74,6,49,5,40
"292",63,4,70,9,33,7,40
"293",46,1,77,10,31,10,39
"294",0,0,0,0,0,0,0
"295",48,7,64,11,36,5,41
"296",68,5,63,7,29,9,36
"297",56,5,77,5,30,8,36
"298",50,3,62,14,36,11,31
"299",55,0,75,0,0,0,0
"300",47,3,71,2,28,7,39
"301",49,2,67,9,26,11,38
"302",63,3,69,7,33,8,40
"303",62,4,81,3,28,10,39
"304",57,4,65,10,45,16,27
"305",45,2,67,9,30,9,44
"306",0,0,0,0,0,0,0
"307",60,6,62,12,36,9,39
"308",49,4,87,9,34,5,40
"309",51,6,66,4,36,13,35
"310",42,4,68,6,29,9,38
"311",54,0,80,1,0,0,0
"312",51,6,70,7,37,10,35
"313",0,0,0,0,0,0,0
"314",54,3,74,5,37,8,39
"315",55,6,81,4,27,13,40
"316",50,0,66,0,0,0,0
"317",0,0,0,0,0,0,0
"318",48,6,55,4,21,9,39
"319",65,2,78,10,32,10,40
"320",0,0,0,0,0,0,0
"321",43,0,84,0,0,0,0
"322",40,2,64,6,51,10,41
"323",62,8,90,9,32,10,37
"324",49,0,78,0,0,0,0
"325",64,1,69,3,27,10,36
"326",54,6,64,6,37,6,36
"327",62,4,66,4,43,9,41
"328",70,6,65,8,38,5,31
"329",45,7,75,9,33,6,39
"330",0,0,0,0,0,0,0
"331",60,2,80,6,41,4,44
"332",50,5,74,3,25,12,39
"333",0,0,0,0,0,0,0
"334",48,6,64,14,34,12,33
"335",56,3,77,5,20,11,36
"336",55,5,69,6,35,11,37
"337",45,4,67,3,40,10,37
"338",50,2,68,6,45,6,34
"339",56,3,86,10,35,11,43
"340",57,0,83,0,0,0,0
