"time" "S" "E" "IR" "ID" "R" "D"
0 0 1000 0 0 0 0
0.00605896173383961 0 999 1 0 0 0
0.00721896083835574 0 998 1 1 0 0
0.0076845402727107 0 997 2 1 0 0
0.00949407139483437 0 996 3 1 0 0
0.0110948295588606 0 995 4 1 0 0
0.0139840983616587 0 994 4 2 0 0
0.0159193484933716 0 993 5 2 0 0
0.0172812012368736 0 992 5 3 0 0
0.017633913084843 0 991 6 3 0 0
0.0186469277107256 0 990 6 4 0 0
0.019474833762455 0 989 7 4 0 0
0.0208435378424261 0 988 7 5 0 0
0.0220101651685134 0 987 7 6 0 0
0.0241065260183657 0 986 7 7 0 0
0.0249719562797892 0 985 8 7 0 0
0.0264435291916429 0 984 9 7 0 0
0.0268833691261488 0 983 9 8 0 0
0.0279772091135515 0 982 10 8 0 0
0.0331312585056575 0 981 11 8 0 0
0.0346676272202 0 980 12 8 0 0
0.0370688265941383 0 979 12 9 0 0
0.0376913444761623 0 978 12 10 0 0
0.0398047079729273 0 977 13 10 0 0
0.0398330654068406 0 976 14 10 0 0
0.0411656329141302 0 975 15 10 0 0
0.0423450012034255 0 974 16 10 0 0
0.043733132915035 0 973 17 10 0 0
0.0439449474346919 0 972 18 10 0 0
0.0470158101416902 0 971 18 11 0 0
0.0484092786678553 0 970 19 11 0 0
0.0492411125807023 0 969 19 12 0 0
0.049260960705587 0 968 20 12 0 0
0.0495489216665703 0 967 20 13 0 0
0.0499127849907746 0 966 20 14 0 0
0.0506953746819066 0 965 21 14 0 0
0.0510768554592984 0 964 21 15 0 0
0.0510809325800373 0 963 21 16 0 0
0.0523702905242066 0 962 21 17 0 0
0.0534332378175362 0 961 22 17 0 0
0.0544486309711076 0 960 22 18 0 0
0.0547703873595873 0 959 23 18 0 0
0.0550627549738868 0 958 24 18 0 0
0.0587763625462317 0 957 25 18 0 0
0.0589441319459043 0 956 26 18 0 0
0.0594355301099911 0 955 26 19 0 0
0.0605829457182642 0 954 27 19 0 0
0.0606229427782536 0 953 27 20 0 0
0.0609872373750585 0 952 28 20 0 0
0.0632246309276861 0 951 29 20 0 0
0.0649743980460159 0 950 30 20 0 0
0.0649970334813917 0 949 30 21 0 0
0.0656304963185994 0 948 30 22 0 0
0.0656693601771329 0 947 31 22 0 0
0.0664087969323618 0 946 31 23 0 0
0.0679392400860296 0 945 32 23 0 0
0.0679831381795604 0 944 32 24 0 0
0.0685364982309914 0 943 33 24 0 0
0.070224238931287 0 942 34 24 0 0
0.0721805983079421 0 941 34 25 0 0
0.0724311481581695 0 940 35 25 0 0
0.0735146073221043 0 939 36 25 0 0
0.0738972756589145 0 938 37 25 0 0
0.0756229646695722 0 937 38 25 0 0
0.0760511510031803 0 936 39 25 0 0
0.0770190075276071 0 935 39 26 0 0
0.0788640175216523 0 934 40 26 0 0
0.0823715642823823 0 933 41 26 0 0
0.0835252491134679 0 932 41 27 0 0
0.0840953209001912 0 931 42 27 0 0
0.0841662138617533 0 930 42 28 0 0
0.0845365518412693 0 929 43 28 0 0
0.0884589548721716 0 928 44 28 0 0
0.0921919410711614 0 927 44 29 0 0
0.0924465759043623 0 926 45 29 0 0
0.0925676690515274 0 925 45 30 0 0
0.0957490565535215 0 924 46 30 0 0
0.0978036818954118 0 923 47 30 0 0
0.0994514011414933 0 922 47 31 0 0
0.101069325448587 0 921 47 32 0 0
0.101366845509471 0 920 48 32 0 0
0.10140270671242 0 919 49 32 0 0
0.101470347982742 0 918 49 33 0 0
0.101974669872656 0 917 50 33 0 0
0.10204097306341 0 916 51 33 0 0
0.104554665430076 0 915 52 33 0 0
0.105367670478142 0 914 53 33 0 0
0.105560298463505 0 913 53 34 0 0
0.106651075485714 0 912 53 35 0 0
0.109025126595851 0 911 54 35 0 0
0.10970238350482 0 910 54 36 0 0
0.109855041153662 0 909 55 36 0 0
0.111032335977866 0 908 55 37 0 0
0.111614067619306 0 907 55 38 0 0
0.11232360505625 0 906 56 38 0 0
0.112440382499591 0 905 56 39 0 0
0.11527535038403 0 904 56 40 0 0
0.115405137838611 0 903 56 41 0 0
0.118201541891408 0 902 56 42 0 0
0.125201488563838 0 901 56 43 0 0
0.126553787187159 0 900 56 44 0 0
0.12665294956169 0 899 56 45 0 0
0.128324295835719 0 898 56 46 0 0
0.128568587419426 0 897 56 47 0 0
0.129390537639479 0 896 56 48 0 0
0.130118318736197 0 895 56 49 0 0
0.133097483064721 0 894 57 49 0 0
0.134828152225729 0 893 58 49 0 0
0.135721723133125 0 892 58 50 0 0
0.13669804526374 0 891 59 50 0 0
0.138267674879945 0 890 59 51 0 0
0.140527370435023 0 889 59 52 0 0
0.140917146755312 0 888 60 52 0 0
0.141290404745211 0 887 61 52 0 0
0.141627746346149 0 886 61 53 0 0
0.14460507832824 0 885 61 54 0 0
0.145274561408325 0 884 62 54 0 0
0.145567733473136 0 883 62 55 0 0
