"time" "S" "E" "I" "R" "D"
0 0 1000 0 0 0
0.00104817509646983 0 999 1 0 0
0.0025169435017757 0 998 2 0 0
0.00462000527827023 0 997 3 0 0
0.00508308956489387 0 996 4 0 0
0.00535707511010317 0 995 5 0 0
0.00560956358145908 0 994 6 0 0
0.00570554070897147 0 993 7 0 0
0.00662763386202393 0 992 8 0 0
0.00917699109048147 0 991 9 0 0
0.00937877229138156 0 990 10 0 0
0.0101881740984574 0 989 11 0 0
0.0113134726900936 0 988 12 0 0
0.0116493055390186 0 987 13 0 0
0.0125515188258352 0 986 14 0 0
0.0147994624824588 0 985 15 0 0
0.0154850056606759 0 984 16 0 0
0.0156544514532739 0 983 17 0 0
0.0167810054699611 0 982 18 0 0
0.0175870277614936 0 981 19 0 0
0.0224926884911498 0 980 20 0 0
0.0233038511930819 0 979 21 0 0
0.0241958732951313 0 978 22 0 0
0.0246936407446913 0 977 23 0 0
0.0250148455229161 0 976 24 0 0
0.0256967800804068 0 975 25 0 0
0.0284274007861482 0 974 26 0 0
0.0287746013701282 0 973 27 0 0
0.0355187439386379 0 972 28 0 0
0.0374113490106949 0 971 29 0 0
0.041153658713806 0 970 30 0 0
0.0415371675491287 0 969 31 0 0
0.0436003555949539 0 968 32 0 0
0.0455444056212639 0 967 33 0 0
0.0479785456800613 0 966 34 0 0
0.0496567582669842 0 965 35 0 0
0.0505349380079483 0 964 36 0 0
0.0507381894342561 0 963 37 0 0
0.0518066717349099 0 962 38 0 0
0.0535427273256205 0 961 39 0 0
0.0544214566574977 0 960 40 0 0
0.0560213646171484 0 959 41 0 0
0.0573018846435202 0 958 42 0 0
0.0580128587555803 0 957 43 0 0
0.0626383091101275 0 956 44 0 0
0.0631550607814111 0 955 45 0 0
0.0638777001064697 0 954 46 0 0
0.064481268586911 0 953 47 0 0
0.0645304538090191 0 952 48 0 0
0.0645510941345704 0 951 49 0 0
0.0654580884156353 0 950 50 0 0
0.0662559383210696 0 949 51 0 0
0.068910102170726 0 948 52 0 0
0.0705911878254058 0 947 53 0 0
0.0714938835329292 0 946 54 0 0
0.0723450757235763 0 945 55 0 0
0.0730533669639334 0 944 56 0 0
0.0731613771531475 0 943 57 0 0
0.0733675017220744 0 942 58 0 0
0.0750377386401909 0 941 59 0 0
0.0757293013198007 0 940 60 0 0
0.0758089691180587 0 939 61 0 0
0.077513802486784 0 938 62 0 0
0.0788110441545705 0 937 63 0 0
0.0793568031006962 0 936 64 0 0
0.0795235188780039 0 935 65 0 0
0.0797064549730133 0 934 66 0 0
0.0798028852125097 0 933 67 0 0
0.0801068106975208 0 932 68 0 0
0.0816086527082626 0 931 69 0 0
0.0818312384531376 0 930 70 0 0
0.0818641811034145 0 929 71 0 0
0.0831468846653757 0 928 72 0 0
0.0836084838702194 0 927 73 0 0
0.0838353168219934 0 927 72 0 1
0.0843305385727689 0 926 73 0 1
0.085137220234733 0 925 74 0 1
0.0857206929414255 0 924 75 0 1
0.0857289213452405 0 923 76 0 1
0.0859110602479915 0 922 77 0 1
0.0863233922130953 0 921 78 0 1
0.0868601106509383 0 920 79 0 1
0.0869018696824361 0 919 80 0 1
0.0870311021803475 0 918 81 0 1
0.087212950470279 0 917 82 0 1
0.0878026568793001 0 916 83 0 1
0.0884204401460276 0 915 84 0 1
0.0891915371032617 0 914 85 0 1
0.0917125393319127 0 913 86 0 1
0.0948020164722486 0 912 87 0 1
0.0948984488097489 0 911 88 0 1
0.0951531370155284 0 910 89 0 1
0.0952876368274417 0 909 90 0 1
0.0959668077510277 0 908 91 0 1
0.0988631060151887 0 907 92 0 1
0.099496290494056 0 906 93 0 1
0.100640446006238 0 905 94 0 1
0.101558862420072 0 904 95 0 1
0.102826183759335 0 903 96 0 1
0.103884968805911 0 902 97 0 1
0.104250257051977 0 901 98 0 1
0.104820041155277 0 900 99 0 1
0.104898858775438 0 899 100 0 1
0.105752967247291 0 898 101 0 1
0.106022012389949 0 897 102 0 1
0.106108126014343 0 896 103 0 1
0.106486976232642 0 895 104 0 1
0.107738214380969 0 894 105 0 1
0.111084206232046 0 893 106 0 1
0.111588203364951 0 892 107 0 1
0.112369973293458 0 891 108 0 1
0.112465377718275 0 890 109 0 1
0.112837164817602 0 889 110 0 1
0.11346826927264 0 888 111 0 1
0.114437196009124 0 887 112 0 1
0.115070394949858 0 886 113 0 1
0.116592975556632 0 885 114 0 1
0.11761097914237 0 884 115 0 1
0.118513216132854 0 883 116 0 1
0.1191865225745 0 882 117 0 1
0.121253827925793 0 881 118 0 1
0.123019492324337 0 880 119 0 1
0.125261742245665 0 879 120 0 1
0.126215329635508 0 878 121 0 1
0.127265190182776 0 877 122 0 1
0.127853275597458 0 876 123 0 1
0.128227509158502 0 875 124 0 1
0.12895930751013 0 874 125 0 1
0.130182907424081 0 873 126 0 1
0.130486485413431 0 872 127 0 1
0.135455447207921 0 871 128 0 1
0.136732177987939 0 870 129 0 1
0.139912334232719 0 869 130 0 1
0.140177401584149 0 868 131 0 1
0.140284229823775 0 867 132 0 1
0.141237608141849 0 866 133 0 1
0.143925729905255 0 865 134 0 1
0.144279038216332 0 864 135 0 1
0.144426682845981 0 863 136 0 1
0.144750113782404 0 862 137 0 1
0.145639976600045 0 861 138 0 1
0.147285606640798 0 860 139 0 1
0.149819776668026 0 859 140 0 1
0.150264766551144 0 858 141 0 1
