"","age1.P","age2_no_comorbid.P","age2_comorbid.P","age3_no_comorbid.P","age3_comorbid.P"
"1",46,34,7,4,4
"2",44,41,8,5,5
"3",0,1,0,0,0
"4",42,39,9,3,4
"5",43,47,5,3,5
"6",39,43,8,4,5
"7",32,43,7,7,6
"8",37,41,10,3,4
"9",42,41,10,4,6
"10",0,1,0,0,0
"11",38,38,6,3,5
"12",0,1,0,0,0
"13",43,37,8,2,4
"14",43,39,8,2,6
"15",36,33,8,5,7
"16",43,32,10,3,5
"17",41,36,6,2,5
"18",36,42,8,3,5
"19",39,39,7,4,4
"20",43,37,7,2,4
"21",31,35,6,4,5
"22",42,39,10,3,4
"23",43,45,10,3,4
"24",41,35,8,6,4
"25",37,36,6,2,5
"26",37,39,6,3,6
"27",31,34,8,3,4
"28",39,44,7,4,5
"29",34,44,8,2,5
"30",36,38,8,3,4
"31",37,45,7,3,6
"32",0,1,0,0,0
"33",38,37,8,3,6
"34",36,31,7,3,3
"35",34,39,6,3,3
"36",32,38,7,3,5
"37",50,42,10,2,5
"38",1,1,0,0,0
"39",0,1,0,0,0
"40",39,41,7,3,7
"41",42,45,9,4,9
"42",36,34,6,2,5
"43",41,36,9,2,4
"44",44,40,10,3,6
"45",41,46,9,3,5
"46",36,46,9,4,5
"47",36,37,8,3,4
"48",50,52,8,3,5
"49",49,48,10,4,5
"50",38,38,9,3,3
"51",42,40,8,3,4
"52",41,41,9,6,3
"53",0,1,0,0,0
"54",0,1,0,0,0
"55",40,39,9,4,5
"56",1,1,1,0,0
"57",1,1,0,0,0
"58",42,41,7,4,4
"59",37,37,9,4,3
"60",41,36,10,4,4
"61",0,1,0,0,0
"62",30,39,5,3,4
"63",40,34,7,4,4
"64",35,32,10,2,5
"65",37,38,10,3,4
"66",36,39,11,4,3
"67",0,1,0,0,0
"68",46,38,8,4,5
"69",38,37,10,3,6
"70",35,41,9,4,4
"71",40,33,11,3,4
"72",40,33,8,3,5
"73",39,41,10,4,7
"74",42,39,7,4,7
"75",36,35,7,4,6
"76",36,39,9,3,5
"77",40,41,9,5,6
"78",37,40,9,4,3
"79",38,42,7,3,6
"80",31,36,12,4,4
"81",42,32,8,4,4
"82",35,42,8,2,4
"83",33,42,8,3,3
"84",40,39,7,3,5
"85",45,38,8,3,8
"86",42,34,10,3,4
"87",43,37,7,5,3
"88",38,41,6,3,4
"89",0,1,0,0,0
"90",32,30,9,4,5
"91",31,39,7,3,5
"92",0,2,0,0,0
"93",42,44,7,3,4
"94",46,52,11,3,6
"95",44,36,6,3,4
"96",0,1,0,0,0
"97",33,36,10,3,5
"98",36,34,9,4,4
"99",38,40,7,3,5
"100",39,42,8,6,4
"101",48,42,9,4,5
"102",36,38,11,3,5
"103",37,37,11,6,5
"104",36,37,8,3,4
"105",36,38,7,3,5
"106",0,1,0,0,0
"107",38,40,6,3,3
"108",40,38,10,2,4
"109",43,40,11,4,7
"110",0,1,0,0,0
"111",35,40,8,2,4
"112",38,38,6,4,5
"113",34,40,8,3,5
"114",0,1,0,0,0
"115",46,39,7,4,3
"116",0,1,0,0,0
"117",0,1,0,0,0
"118",37,42,7,3,6
"119",0,1,0,0,0
"120",44,43,6,6,4
"121",1,1,0,0,0
"122",53,50,11,3,5
"123",38,45,7,4,5
"124",41,44,8,5,4
"125",37,41,6,3,4
"126",0,1,0,0,0
"127",0,1,0,0,0
"128",40,45,7,3,4
"129",37,42,7,4,4
"130",0,1,0,0,0
"131",35,47,6,3,7
"132",36,34,8,3,5
"133",39,34,7,4,6
"134",40,35,10,6,4
"135",43,34,9,4,5
"136",34,35,9,4,4
"137",38,42,9,3,3
"138",33,38,6,3,7
"139",43,44,7,6,3
"140",42,53,8,5,5
"141",41,36,6,2,3
"142",32,39,7,3,5
"143",34,34,11,5,3
"144",37,34,7,2,5
"145",0,1,0,0,0
"146",43,43,9,4,3
"147",39,37,9,3,4
"148",42,35,7,4,6
"149",34,30,8,3,4
"150",49,37,7,3,8
"151",36,37,8,3,5
"152",35,42,8,4,5
"153",0,1,0,0,0
"154",35,33,9,4,7
"155",35,37,9,2,3
"156",43,42,8,4,4
"157",33,34,11,3,7
"158",43,52,9,3,5
"159",40,31,8,3,4
"160",40,44,7,2,4
"161",42,43,8,5,4
"162",45,43,9,5,7
"163",43,35,10,3,4
"164",0,1,0,1,0
"165",34,37,10,4,3
"166",46,39,9,3,5
"167",0,1,0,0,0
"168",33,32,6,4,4
"169",41,42,8,2,6
"170",40,40,6,3,6
"171",0,1,0,1,0
"172",41,33,12,3,5
"173",45,34,10,3,5
"174",43,38,7,3,6
"175",45,44,12,3,5
"176",39,35,9,5,4
"177",36,31,7,3,5
"178",42,40,8,4,5
"179",44,38,7,4,6
"180",44,43,7,5,5
"181",44,38,9,3,5
"182",38,36,7,4,7
"183",34,32,6,4,5
"184",37,41,8,3,4
"185",31,40,9,2,5
"186",35,36,7,5,5
"187",37,50,6,2,5
"188",37,38,7,6,6
"189",51,34,7,3,4
"190",44,46,6,2,6
"191",42,43,8,4,5
"192",35,34,7,3,5
"193",0,1,0,0,0
"194",0,1,0,0,0
"195",44,39,8,4,5
"196",48,42,11,5,5
"197",0,1,0,0,0
"198",0,1,0,0,0
"199",0,1,0,0,0
"200",43,40,8,3,5
"201",40,37,8,3,6
"202",0,1,0,0,0
"203",0,1,0,0,0
"204",38,37,8,3,4
"205",49,45,7,2,6
"206",0,1,0,0,0
"207",1,1,0,0,0
"208",0,1,0,0,0
"209",0,1,0,0,0
"210",30,33,6,3,4
"211",41,46,8,3,3
"212",36,37,7,3,5
"213",0,1,0,0,0
"214",38,34,7,3,8
"215",38,35,6,4,4
"216",0,1,0,0,0
"217",32,38,9,5,6
"218",31,40,9,5,7
"219",46,46,9,3,5
"220",42,43,9,4,7
"221",0,1,1,0,0
"222",39,43,11,2,7
"223",32,35,8,3,5
"224",37,49,7,4,5
"225",0,1,0,0,0
"226",40,39,9,3,4
"227",36,37,9,2,3
"228",38,35,7,3,5
"229",39,48,8,4,5
"230",0,1,0,0,0
"231",43,39,9,4,5
"232",38,38,8,3,4
"233",41,36,8,2,4
"234",31,41,8,3,3
"235",0,1,0,0,0
"236",39,39,7,3,6
"237",41,42,11,3,5
"238",37,43,9,5,4
"239",45,43,8,4,5
"240",43,44,7,4,5
"241",0,1,0,0,0
"242",0,1,0,0,0
"243",36,39,6,3,4
"244",35,38,9,4,5
"245",47,33,10,3,6
"246",0,1,0,0,0
"247",40,40,7,3,5
"248",35,42,6,3,5
"249",39,37,9,3,6
"250",0,1,0,0,0
"251",40,34,8,4,5
"252",44,46,7,4,6
"253",50,45,8,4,5
"254",38,35,8,4,6
"255",41,38,10,2,5
"256",45,38,8,4,4
"257",0,1,0,0,0
"258",39,35,9,3,4
"259",39,36,7,4,5
"260",33,38,7,3,6
"261",0,1,0,0,0
"262",49,37,9,3,5
"263",45,35,8,4,7
"264",35,38,7,2,5
"265",43,53,6,4,6
"266",36,38,7,4,4
"267",41,35,6,3,5
"268",44,41,7,3,4
"269",44,40,7,6,4
"270",1,1,0,0,0
"271",37,34,7,4,4
"272",35,36,8,3,5
"273",0,1,0,0,0
"274",41,40,6,3,8
"275",0,1,0,0,0
"276",42,40,8,3,4
"277",37,41,7,4,5
"278",44,38,10,3,5
"279",38,41,6,4,5
"280",40,35,6,3,5
"281",32,36,6,3,4
"282",43,40,9,3,6
"283",1,1,0,0,0
"284",37,34,9,3,5
"285",0,1,0,0,0
"286",49,46,7,4,5
"287",32,35,8,5,5
"288",34,38,6,3,5
"289",35,39,6,3,4
"290",36,33,6,2,4
"291",38,33,9,3,5
"292",37,36,9,3,5
"293",50,37,7,3,7
"294",1,1,0,0,0
"295",1,1,0,0,0
"296",47,45,9,4,6
"297",41,49,7,3,4
"298",38,38,8,3,4
"299",42,44,8,4,4
"300",38,29,5,2,7
"301",36,38,8,5,5
"302",0,1,0,0,0
"303",32,34,8,3,4
"304",38,45,7,4,5
"305",1,1,0,0,0
"306",39,49,6,3,4
"307",37,42,8,3,3
"308",34,34,9,5,4
"309",48,43,10,3,5
"310",0,1,0,0,0
"311",40,42,7,4,5
"312",41,43,7,4,6
"313",0,1,0,0,0
"314",43,38,10,3,5
"315",40,33,8,3,4
"316",41,34,8,3,5
"317",39,40,7,3,4
"318",37,39,9,3,3
"319",41,34,7,2,5
"320",40,34,9,2,5
"321",39,37,5,2,5
"322",44,40,9,4,5
"323",40,38,9,3,5
"324",0,1,0,0,0
"325",39,42,8,3,5
"326",0,1,0,0,0
"327",37,43,7,4,5
