"","age1.D","age2_no_comorbid.D","age2_comorbid.D","age3_no_comorbid.D","age3_comorbid.D"
"1",7.49385749385749,8.17409766454352,27.1565495207668,15.9090909090909,37.5335120643432
"2",7.24815724815725,7.00636942675159,24.7603833865815,13.6363636363636,32.171581769437
"3",5.65110565110565,7.00636942675159,27.1565495207668,9.09090909090909,36.1930294906166
"4",0,0,0,0,0
"5",6.63390663390663,8.17409766454352,20.7667731629393,25,45.5764075067024
"6",0,0,0,0,0
"7",5.65110565110565,6.36942675159236,19.9680511182109,6.81818181818182,40.2144772117963
"8",7.24815724815725,6.68789808917197,22.3642172523962,13.6363636363636,28.1501340482574
"9",7.73955773955774,6.36942675159236,19.9680511182109,11.3636363636364,36.1930294906166
"10",0.122850122850123,0,0,0,0
"11",7.61670761670762,8.28025477707006,17.5718849840256,11.3636363636364,40.2144772117963
"12",0,0,0,0,0
"13",0,0,0,0,0
"14",0,0,0,0,0
"15",0,0,0,0,0
"16",7.37100737100737,7.32484076433121,27.9552715654952,13.6363636363636,30.8310991957105
"17",7.24815724815725,6.68789808917197,25.5591054313099,11.3636363636364,42.8954423592493
"18",0,0,0,0,0
"19",0,0,0.798722044728434,0,0
"20",0,0,0,0,0
"21",0,0,0,0,0
"22",6.26535626535627,6.26326963906582,17.5718849840256,15.9090909090909,40.2144772117963
"23",7.86240786240786,7.00636942675159,19.1693290734824,20.4545454545455,45.5764075067024
"24",0,0,0,0,0
"25",0,0,0,0,0
"26",0,0,0,0,0
"27",0,0,0,0,0
"28",0,0,0,0,0
"29",0,0,0,0,0
"30",7.002457002457,7.21868365180467,24.7603833865815,15.9090909090909,38.8739946380697
"31",6.63390663390663,7.64331210191083,22.3642172523962,11.3636363636364,41.5549597855228
"32",7.002457002457,7.43099787685775,29.5527156549521,9.09090909090909,38.8739946380697
"33",0,0,0,0,0
"34",6.26535626535627,8.70488322717622,15.9744408945687,11.3636363636364,42.8954423592493
"35",6.38820638820639,7.53715498938429,25.5591054313099,20.4545454545455,49.597855227882
"36",0,0,0,0,0
"37",6.63390663390663,7.43099787685775,19.1693290734824,11.3636363636364,45.5764075067024
"38",6.14250614250614,7.96178343949045,18.370607028754,11.3636363636364,38.8739946380697
"39",0,0,0,0,0
"40",7.73955773955774,5.62632696390658,27.9552715654952,25,36.1930294906166
"41",5.77395577395577,6.68789808917197,20.7667731629393,11.3636363636364,37.5335120643432
"42",6.14250614250614,7.00636942675159,23.961661341853,15.9090909090909,44.2359249329759
"43",6.14250614250614,6.90021231422505,17.5718849840256,18.1818181818182,34.8525469168901
"44",6.38820638820639,6.4755838641189,19.9680511182109,18.1818181818182,46.916890080429
"45",7.24815724815725,7.32484076433121,18.370607028754,25,36.1930294906166
"46",0,0,0,0,0
"47",7.73955773955774,7.21868365180467,19.1693290734824,15.9090909090909,29.4906166219839
"48",7.49385749385749,7.11252653927813,15.9744408945687,18.1818181818182,26.8096514745308
"49",0,0,0,0,0
"50",0,0,0,0,0
"51",6.14250614250614,6.79405520169851,20.7667731629393,6.81818181818182,33.5120643431635
"52",7.002457002457,8.17409766454352,23.1629392971246,31.8181818181818,40.2144772117963
"53",7.002457002457,6.26326963906582,18.370607028754,20.4545454545455,44.2359249329759
"54",7.49385749385749,7.43099787685775,25.5591054313099,22.7272727272727,44.2359249329759
"55",0,0.106157112526539,0,0,0
"56",8.47665847665848,7.21868365180467,20.7667731629393,27.2727272727273,38.8739946380697
"57",0,0,0,0,0
"58",7.12530712530713,6.58174097664544,23.961661341853,6.81818181818182,40.2144772117963
"59",7.002457002457,6.58174097664544,31.1501597444089,22.7272727272727,34.8525469168901
"60",7.12530712530713,7.53715498938429,24.7603833865815,15.9090909090909,30.8310991957105
"61",0,0,0,0,0
"62",0,0,0,0,0
"63",5.40540540540541,5.62632696390658,24.7603833865815,18.1818181818182,41.5549597855228
"64",7.002457002457,7.64331210191083,14.3769968051118,15.9090909090909,44.2359249329759
"65",4.54545454545455,6.58174097664544,26.3578274760383,22.7272727272727,34.8525469168901
"66",0,0,0,0,0
"67",0,0,0,0,0
"68",0,0,0,0,0
"69",4.54545454545455,5.73248407643312,31.1501597444089,15.9090909090909,44.2359249329759
"70",8.23095823095823,7.21868365180467,23.1629392971246,11.3636363636364,54.9597855227882
"71",0,0,0,0,0
"72",0,0.106157112526539,0,0,0
"73",8.10810810810811,7.53715498938429,23.1629392971246,18.1818181818182,37.5335120643432
"74",6.75675675675676,6.4755838641189,23.1629392971246,11.3636363636364,44.2359249329759
"75",0,0,0,0,0
"76",0,0,0,0,0
"77",7.98525798525798,7.32484076433121,20.7667731629393,25,30.8310991957105
"78",6.75675675675676,6.79405520169851,24.7603833865815,20.4545454545455,28.1501340482574
"79",8.84520884520884,6.58174097664544,16.7731629392971,22.7272727272727,38.8739946380697
"80",7.61670761670762,6.90021231422505,24.7603833865815,29.5454545454545,40.2144772117963
"81",0,0,0,0,0
"82",5.77395577395577,5.30785562632696,18.370607028754,18.1818181818182,38.8739946380697
"83",0,0,0,0,0
"84",0,0.106157112526539,0,0,0
"85",6.26535626535627,8.17409766454352,21.5654952076677,18.1818181818182,38.8739946380697
"86",5.77395577395577,6.36942675159236,24.7603833865815,15.9090909090909,44.2359249329759
"87",0,0,0,0,0
"88",0,0,0,0,0
"89",0,0,0,0,0
"90",5.8968058968059,7.11252653927813,21.5654952076677,22.7272727272727,40.2144772117963
"91",6.14250614250614,6.68789808917197,19.1693290734824,20.4545454545455,46.916890080429
