"","age1.I","age2_no_comorbid.I","age2_comorbid.I","age3_no_comorbid.I","age3_comorbid.I"
"243",4,1,0,0,0
"244",1,1,0,0,0
"245",1,0,0,0,0
"246",0,1,0,0,0
"247",0,1,0,0,0
"248",1,1,0,0,1
"249",1,1,1,0,0
"250",0,0,0,0,0
"251",24,20,5,1,3
"252",2,6,1,0,0
"253",13,11,1,1,2
"254",0,1,0,0,0
"255",0,0,0,0,0
"256",0,1,0,0,0
"257",0,1,0,0,0
"258",0,1,0,0,0
"259",1,1,1,0,0
"260",18,19,5,1,3
"261",24,20,3,3,2
"262",0,1,0,0,0
"263",2,2,0,0,0
"264",0,0,0,0,0
"265",18,16,3,1,2
"266",0,1,0,0,0
"267",28,26,4,1,2
"268",0,1,0,0,0
"269",17,14,3,1,2
"270",0,1,0,0,0
"271",0,1,0,0,0
"272",1,2,0,0,0
"273",0,1,0,0,0
"274",25,21,5,3,3
"275",1,1,0,0,0
"276",0,1,0,0,0
"277",0,1,0,0,0
"278",17,16,3,2,3
"279",26,19,5,3,3
"280",1,1,0,1,0
"281",17,21,4,1,2
"282",5,2,1,0,0
"283",0,1,0,0,0
"284",0,1,0,0,0
"285",0,1,0,0,0
"286",2,2,0,0,0
"287",0,0,0,0,0
"288",0,1,0,0,0
"289",0,1,0,0,0
"290",19,15,3,1,1
"291",30,18,4,2,2
"292",0,1,0,0,0
"293",1,1,0,0,0
"294",0,1,0,0,0
"295",0,1,0,0,0
"296",2,2,0,0,0
"297",11,8,2,1,1
"298",0,1,0,0,0
"299",34,25,5,5,4
"300",33,29,6,2,3
"301",1,1,0,0,0
"302",3,1,0,0,0
"303",0,2,0,0,0
"304",17,16,4,2,3
"305",1,0,0,0,0
"306",1,1,0,0,0
"307",0,1,0,0,0
"308",0,1,0,0,0
"309",0,2,0,0,1
"310",0,1,1,0,0
"311",29,22,4,1,2
"312",0,1,0,0,0
"313",20,17,3,1,1
"314",0,1,0,1,0
"315",0,0,0,0,0
"316",1,1,0,1,0
"317",2,1,1,0,0
"318",2,1,0,0,0
"319",0,1,0,0,0
"320",0,1,0,0,0
"321",26,22,5,3,3
"322",2,2,0,0,0
"323",17,15,3,2,1
"324",0,0,0,0,0
"325",0,1,0,0,0
"326",0,1,0,0,0
"327",0,1,0,0,0
"328",0,1,0,0,0
"329",0,1,0,0,0
"330",0,1,0,0,0
"331",0,1,0,0,0
"332",0,1,0,0,0
"333",27,28,3,2,3
"334",0,1,0,0,0
"335",0,0,0,0,0
"336",0,1,0,0,0
"337",1,1,0,0,0
"338",3,2,0,1,0
"339",0,1,0,0,0
"340",14,12,4,1,3
"341",14,11,3,1,2
"342",17,15,4,1,3
"343",1,2,0,0,0
"344",18,17,2,1,2
"345",4,4,0,0,1
"346",0,1,0,0,0
"347",0,1,0,0,0
"348",8,4,1,0,2
"349",1,1,1,0,0
"350",17,18,5,2,3
"351",1,1,0,0,0
"352",23,16,6,1,3
"353",0,1,0,0,0
"354",17,15,4,2,2
"355",1,0,0,0,0
"356",0,0,0,0,0
"357",6,5,1,0,1
"358",0,1,0,0,0
"359",1,0,0,0,0
"360",0,1,0,0,0
"361",0,1,0,0,0
"362",1,1,1,0,0
"363",1,3,0,0,0
"364",24,17,4,2,2
"365",0,0,0,0,0
"366",0,0,0,0,0
"367",1,2,1,0,0
"368",21,19,3,3,3
"369",0,1,0,0,0
"370",25,18,6,2,3
"371",3,3,0,0,1
"372",1,1,0,0,0
"373",0,1,0,0,0
"374",1,1,0,0,0
"375",1,2,0,0,0
"376",2,1,0,0,0
"377",0,1,0,0,1
"378",17,15,5,1,2
"379",15,12,5,1,1
"380",0,1,0,0,0
"381",0,1,0,0,0
"382",0,1,0,0,0
"383",1,1,1,0,0
"384",8,8,2,0,1
"385",0,1,0,0,0
"386",0,1,0,0,0
"387",3,3,0,0,0
"388",11,5,2,1,1
"389",4,3,0,0,0
"390",21,19,3,2,3
"391",1,1,0,0,0
"392",0,1,0,0,0
"393",0,1,0,0,0
"394",0,1,0,0,0
"395",27,24,6,2,3
"396",0,1,0,0,0
"397",11,13,2,1,2
"398",0,0,0,0,0
"399",2,2,2,0,0
"400",25,16,5,2,4
"401",0,1,0,0,0
"402",1,2,0,0,0
"403",0,1,0,0,0
"404",0,1,0,0,0
"405",0,1,0,0,0
"406",19,15,3,2,4
"407",20,21,3,3,3
"408",18,15,4,2,1
"409",1,1,0,0,0
"410",21,20,4,1,2
"411",4,2,1,1,0
"412",0,1,0,0,0
"413",0,1,0,0,0
"414",0,1,0,0,0
"415",0,1,0,0,0
"416",37,21,4,1,2
"417",0,1,0,1,0
"418",0,1,0,0,0
"419",0,1,0,0,0
"420",18,12,4,1,2
"421",0,1,0,0,0
"422",0,1,0,0,0
"423",2,1,0,0,0
"424",31,24,8,2,3
"425",2,3,0,0,0
"426",0,1,0,0,0
"427",0,2,0,0,0
"428",4,3,1,0,1
"429",1,1,0,0,1
"430",19,11,2,1,1
"431",0,1,0,0,0
"432",0,1,0,0,0
"433",1,0,0,0,0
"434",1,1,0,0,0
"435",0,1,0,0,0
"436",1,3,0,0,0
"437",29,33,6,1,2
"438",20,12,3,2,2
"439",1,1,0,0,0
"440",2,1,0,0,0
"441",20,19,3,1,2
"442",0,1,0,0,0
"443",1,1,0,0,0
"444",0,1,0,0,0
"445",11,8,2,2,3
"446",1,1,0,0,0
"447",20,15,5,1,4
"448",0,0,0,0,0
"449",0,1,0,0,0
"450",2,2,2,0,0
"451",37,30,5,2,3
"452",25,25,4,1,5
"453",5,4,1,1,0
"454",0,1,0,0,1
"455",0,1,0,0,0
"456",0,1,0,0,0
"457",20,15,2,1,3
"458",0,1,0,0,0
"459",1,1,0,0,0
"460",0,0,0,1,0
"461",23,14,3,1,2
"462",4,2,0,0,0
"463",0,1,0,0,0
"464",31,20,4,2,4
"465",3,0,0,0,0
"466",1,2,0,0,0
"467",0,1,0,0,0
"468",1,1,1,0,0
"469",1,1,1,0,0
"470",34,30,4,2,2
"471",1,1,0,0,0
"472",22,20,6,1,4
"473",3,2,2,0,0
"474",0,1,0,0,0
"475",1,1,0,0,0
"476",32,28,6,3,1
"477",0,1,0,0,0
"478",0,1,0,0,0
"479",29,31,4,3,2
"480",31,31,5,3,3
"481",0,1,0,0,0
"482",0,1,0,0,0
"483",9,8,1,1,1
"484",1,1,0,0,0
"485",27,23,6,2,4
"486",5,3,1,0,2
"487",0,0,0,0,0
"488",17,13,5,1,2
"489",3,4,2,0,1
"490",0,1,0,0,0
"491",4,3,1,1,1
"492",3,1,0,0,0
"493",0,2,1,0,0
"494",0,0,0,0,0
"495",21,17,5,3,3
"496",0,1,0,0,0
"497",0,0,0,0,0
"498",1,1,0,0,0
"499",0,2,0,0,0
"500",0,0,0,0,0
"501",0,1,0,0,0
"502",18,13,4,2,3
"503",0,1,0,0,0
"504",0,1,0,0,0
"505",0,1,0,0,0
"506",1,1,0,0,0
"507",1,1,0,0,0
"508",28,26,4,1,4
"509",0,1,0,0,0
"510",1,1,1,0,0
"511",1,1,0,0,0
"512",0,3,0,0,0
"513",1,2,1,0,1
"514",0,1,0,0,0
"515",18,12,2,2,1
"516",13,17,2,1,2
"517",0,2,0,0,0
"518",0,1,0,0,0
"519",0,1,0,0,0
"520",2,1,0,0,0
"521",0,1,0,0,0
"522",0,1,0,0,0
"523",30,24,4,3,3
"524",0,1,0,0,0
"525",0,0,0,0,0
"526",0,1,0,0,0
"527",0,1,0,0,0
"528",0,1,0,0,0
"529",8,5,3,1,1
"530",0,1,1,0,0
"531",0,1,0,0,0
"532",1,1,0,0,0
"533",27,32,4,3,3
"534",5,4,3,1,1
"535",1,1,0,0,0
"536",22,15,3,1,2
"537",0,1,0,0,0
"538",24,19,4,2,3
"539",2,2,0,0,0
"540",1,1,1,0,0
"541",33,28,4,3,2
"542",3,3,1,0,0
"543",3,3,1,0,1
"544",0,1,0,0,0
"545",0,1,0,0,0
"546",0,1,0,0,0
"547",23,18,5,3,3
"548",0,1,0,0,0
"549",0,1,0,0,0
"550",24,16,3,1,3
"551",3,4,1,0,1
"552",7,9,1,2,2
"553",20,17,6,2,1
"554",2,1,0,0,0
"555",3,2,0,0,0
"556",0,1,0,0,0
"557",1,1,0,0,0
"558",20,21,3,1,2
"559",0,1,0,0,0
"560",3,1,0,0,0
"561",3,2,1,0,1
"562",0,1,0,0,0
"563",0,1,0,0,0
"564",37,28,4,3,3
"565",1,1,0,0,0
"566",0,1,0,0,0
"567",2,1,1,0,0
"568",20,18,3,1,3
"569",0,1,0,0,0
"570",0,1,0,0,0
"571",1,1,0,0,0
"572",0,0,0,1,0
"573",18,15,3,2,1
"574",1,1,0,0,0
"575",1,1,0,0,0
"576",1,1,0,0,0
"577",0,1,0,0,0
"578",3,4,1,0,1
"579",1,1,0,0,0
"580",23,15,4,2,3
"581",33,22,5,4,4
"582",0,0,0,0,0
"583",0,1,0,0,0
"584",0,1,0,0,0
"585",0,1,0,0,0
"586",0,1,0,0,0
"587",1,1,0,0,0
"588",23,15,5,1,3
"589",3,3,2,0,1
"590",0,1,0,0,0
"591",21,15,4,2,2
"592",5,4,1,0,1
"593",24,23,6,2,2
"594",0,1,0,0,0
"595",23,20,4,3,2
"596",5,4,1,0,1
"597",9,14,3,1,2
"598",34,25,5,2,7
"599",0,1,0,0,0
"600",0,0,0,0,0
"601",32,27,6,2,3
"602",2,1,0,0,0
"603",32,18,5,2,4
"604",0,1,0,0,0
"605",0,0,0,0,0
"606",22,14,5,1,2
"607",2,1,0,0,0
"608",1,2,0,0,0
"609",3,1,0,0,0
"610",20,14,4,1,2
"611",2,2,0,0,0
"612",18,10,2,2,2
"613",16,13,3,2,3
"614",0,0,0,0,0
"615",2,1,1,0,1
"616",0,1,0,0,0
"617",1,2,1,0,0
"618",33,35,6,2,4
"619",21,19,5,2,3
"620",0,0,0,0,0
"621",31,24,6,4,3
"622",20,12,7,1,2
"623",0,1,1,0,0
"624",4,8,2,1,1
"625",0,1,0,0,0
"626",21,16,3,1,1
"627",14,14,3,1,1
"628",21,18,4,1,2
"629",0,1,0,0,0
"630",0,0,0,0,0
"631",0,1,0,0,0
"632",29,26,4,2,2
"633",24,18,4,1,2
"634",1,1,0,0,0
"635",0,0,0,0,0
"636",12,9,2,1,2
"637",15,12,3,2,3
"638",1,3,0,0,0
"639",5,5,1,1,0
"640",1,2,0,0,0
"641",0,0,0,0,0
"642",9,9,3,1,2
"643",0,1,0,0,0
"644",0,1,0,0,0
"645",0,2,0,0,0
"646",0,1,0,0,0
"647",0,1,0,0,0
"648",14,15,5,2,1
"649",3,2,0,0,1
"650",1,2,0,0,1
"651",25,16,5,2,2
"652",6,4,3,0,1
"653",0,1,0,0,0
"654",16,13,3,1,2
"655",0,1,0,1,0
"656",2,2,0,0,0
"657",0,0,0,0,0
"658",0,2,0,0,0
"659",1,1,0,0,0
"660",1,1,0,0,0
"661",2,3,0,0,0
"662",7,5,2,1,1
"663",0,1,0,0,0
"664",0,2,0,0,0
"665",1,2,0,0,1
"666",0,2,0,0,0
"667",18,11,3,1,1
"668",1,1,0,0,0
"669",0,1,0,0,1
"670",0,1,0,0,0
"671",6,2,1,0,1
"672",1,1,0,0,0
"673",1,2,0,0,0
"674",0,1,0,0,0
"675",19,18,6,1,1
"676",31,25,5,2,2
"677",2,1,1,0,1
"678",3,1,1,0,0
"679",0,1,0,0,0
"680",0,1,0,0,0
"681",0,1,0,0,0
"682",17,15,3,1,2
"683",2,2,2,0,0
"684",19,11,3,1,2
"685",5,7,1,1,1
"686",32,23,5,2,3
"687",3,1,0,0,0
"688",18,15,4,2,3
"689",0,0,0,0,0
"690",0,1,0,0,0
"691",0,2,0,0,0
"692",0,0,0,0,0
"693",26,18,5,1,2
"694",29,18,4,3,3
"695",29,24,5,3,3
"696",2,2,1,0,2
"697",0,1,0,0,0
"698",38,29,5,4,2
"699",4,1,0,0,1
"700",27,27,8,2,3
"701",0,1,0,0,0
"702",0,1,0,0,0
"703",0,1,0,0,0
"704",2,1,1,0,0
"705",1,1,0,0,0
"706",1,1,0,0,0
"707",0,1,0,0,0
"708",0,1,0,0,0
"709",33,26,5,3,3
"710",2,3,0,0,0
"711",0,1,0,0,0
"712",19,14,5,3,3
"713",3,1,0,0,0
"714",17,14,4,2,2
"715",0,1,0,0,0
