"","age1.H","age2_no_comorbid.H","age2_comorbid.H","age3_no_comorbid.H","age3_comorbid.H"
"243",0,0,0,0,0
"244",22,21,8,2,10
"245",21,16,5,5,6
"246",0,0,0,0,0
"247",16,17,7,3,7
"248",22,18,8,3,10
"249",21,14,10,4,6
"250",14,18,10,5,12
"251",16,18,4,3,7
"252",16,16,7,5,10
"253",22,16,8,2,8
"254",19,17,4,1,10
"255",21,20,5,2,7
"256",21,16,8,4,9
"257",14,16,12,2,10
"258",18,15,6,2,16
"259",0,0,0,0,0
"260",22,25,6,4,13
"261",0,0,0,0,0
"262",11,18,5,3,5
"263",15,15,11,2,9
"264",20,18,11,2,8
"265",20,19,8,2,10
"266",20,21,9,4,10
"267",0,1,0,0,0
"268",9,17,8,2,8
"269",20,15,5,3,10
"270",0,0,0,0,0
"271",20,17,10,3,7
"272",13,20,6,4,9
"273",21,15,10,4,7
"274",19,17,6,2,8
"275",17,18,8,2,9
"276",18,24,7,4,8
"277",21,24,8,2,7
"278",20,15,7,3,6
"279",16,19,11,5,8
"280",15,17,8,3,8
"281",14,15,3,4,7
"282",0,0,0,0,0
"283",16,11,4,6,7
"284",12,18,8,2,8
"285",0,0,0,0,0
"286",0,0,0,0,0
"287",15,23,10,4,7
"288",18,22,5,2,10
"289",0,0,0,0,0
"290",17,20,8,4,10
"291",16,15,4,1,6
"292",15,18,6,4,6
"293",16,12,6,2,7
"294",12,14,9,2,5
"295",0,1,0,0,0
"296",18,18,6,5,8
"297",17,19,8,5,9
"298",19,16,7,2,8
"299",17,12,8,3,5
"300",20,19,8,5,8
"301",14,15,5,1,10
"302",23,15,5,5,8
"303",0,0,0,0,0
"304",0,0,0,0,0
"305",17,16,7,2,12
"306",15,20,9,1,8
"307",19,17,10,3,10
"308",12,13,8,3,8
"309",17,14,8,3,8
"310",15,22,4,1,6
"311",26,22,11,2,7
"312",18,21,8,2,7
"313",14,18,9,3,6
"314",0,0,0,0,0
"315",0,0,0,0,0
"316",0,0,0,0,0
"317",15,16,9,1,5
"318",18,23,6,3,5
"319",15,18,9,3,8
"320",15,12,8,2,11
"321",20,20,8,2,8
"322",21,17,9,3,8
"323",19,17,8,3,8
"324",17,19,7,3,9
"325",12,15,8,2,8
"326",17,17,9,2,10
"327",19,11,4,3,7
"328",16,21,8,3,5
"329",0,0,0,0,0
"330",14,26,6,3,4
"331",0,0,0,0,0
"332",0,0,0,0,0
"333",0,0,0,0,0
"334",20,21,9,3,7
"335",17,18,11,5,7
"336",17,20,7,1,8
"337",0,0,0,0,0
"338",18,16,5,2,8
"339",21,20,8,5,8
"340",0,0,0,0,0
"341",13,20,9,2,12
"342",22,17,9,3,7
