"","age1_orange.I","age1_green.I","age2_no_comorbid_orange.I","age2_no_comorbid_green.I","age2_comorbid_green.I","age3_no_comorbid_green.I","age3_comorbid_green.I"
"364",127,0,109,0,0,0,0
"365",132,12,134,14,23,5,8
"366",136,8,124,10,14,3,11
"367",0,0,0,0,0,0,0
"368",136,7,126,11,14,6,13
"369",121,9,109,10,14,7,5
"370",0,0,1,0,0,0,0
"371",132,14,116,12,14,5,8
"372",0,0,0,0,0,0,0
"373",117,9,133,12,15,6,7
"374",0,0,0,0,0,0,0
"375",167,13,138,13,16,7,12
"376",0,0,0,0,0,0,0
"377",120,9,106,12,16,6,9
"378",130,8,122,9,12,5,8
"379",0,0,1,0,0,0,0
"380",1,0,1,0,0,0,0
"381",126,0,125,0,0,0,0
"382",0,0,1,0,0,0,0
"383",136,19,127,19,25,7,13
"384",2,0,1,0,0,0,0
"385",144,10,125,18,15,3,8
"386",137,0,116,0,1,0,0
"387",147,0,141,0,0,0,0
"388",146,11,141,14,24,6,7
"389",121,9,109,10,13,4,9
"390",156,9,118,8,10,5,6
"391",137,8,133,11,12,3,7
"392",119,9,105,12,12,4,8
"393",123,13,126,13,11,4,7
"394",0,0,1,0,0,0,0
"395",112,12,122,8,10,3,6
"396",144,9,117,12,21,4,7
"397",140,0,124,0,0,0,0
"398",123,0,113,0,0,0,0
"399",130,11,121,7,12,5,5
"400",144,12,122,12,11,7,10
"401",121,1,104,0,1,1,1
"402",0,0,1,0,0,0,0
"403",129,10,111,9,21,8,11
"404",0,0,1,0,0,0,0
"405",152,0,125,1,1,0,1
"406",131,10,121,9,15,5,5
"407",125,8,131,12,15,6,8
"408",123,11,131,10,8,6,6
"409",143,6,112,6,10,3,3
"410",138,7,106,11,13,3,7
"411",126,8,109,11,17,4,9
"412",132,13,109,13,24,4,7
"413",139,10,129,17,18,5,9
"414",132,11,113,14,16,10,10
"415",131,0,138,0,0,0,0
"416",124,0,111,0,1,0,0
"417",140,9,129,10,12,5,6
"418",0,0,1,0,0,0,0
"419",129,10,115,12,15,6,12
"420",130,0,116,0,0,0,0
"421",2,0,2,0,0,0,0
"422",0,0,1,0,0,0,0
"423",0,0,1,0,0,0,0
"424",115,10,116,11,14,5,7
"425",116,0,124,0,0,0,0
"426",123,5,133,7,10,3,7
"427",154,11,143,12,22,4,11
"428",128,10,105,16,16,6,11
"429",1,0,1,0,0,0,0
"430",144,8,131,9,15,7,10
"431",142,0,134,0,0,0,0
"432",141,0,122,0,0,0,0
"433",0,0,1,0,0,0,0
"434",121,13,127,12,20,9,10
"435",150,11,138,20,18,6,13
"436",120,13,127,15,18,4,8
"437",137,14,115,14,21,6,9
"438",148,7,129,8,14,5,4
"439",124,1,120,0,1,1,1
"440",114,0,102,0,0,0,0
"441",0,0,0,0,0,0,0
"442",158,13,147,11,18,7,10
"443",119,0,130,0,0,0,0
"444",131,8,111,14,14,5,11
"445",163,0,148,0,1,0,0
"446",1,0,1,0,0,0,0
"447",0,0,1,0,0,0,0
"448",0,0,1,0,0,0,0
"449",127,0,115,0,1,0,0
"450",132,9,113,10,17,2,7
"451",157,0,124,0,0,0,0
"452",1,0,1,0,0,0,0
"453",117,12,107,10,14,5,7
"454",144,7,140,12,18,4,6
"455",123,0,117,0,0,0,0
"456",118,0,119,0,0,0,0
"457",2,0,1,0,0,0,0
"458",0,0,1,0,0,0,0
"459",121,0,109,1,1,0,0
"460",155,11,138,15,15,5,7
"461",147,10,117,12,14,5,8
"462",127,12,117,17,19,7,7
"463",124,11,134,9,13,4,9
"464",138,2,131,0,1,0,0
"465",0,0,1,0,0,0,0
"466",137,12,135,15,22,8,9
"467",129,12,120,10,20,4,5
"468",140,12,131,10,14,5,8
"469",123,0,133,0,0,0,0
"470",116,12,121,14,17,5,10
"471",134,10,133,8,14,7,7
"472",152,1,106,0,0,0,0
"473",127,9,106,12,22,7,15
"474",165,0,141,0,0,0,0
"475",137,0,107,1,0,0,0
"476",132,0,137,0,0,0,0
"477",1,0,1,0,0,0,0
"478",135,14,102,19,18,6,8
"479",125,0,133,0,0,0,0
"480",138,0,141,0,0,0,0
"481",0,0,1,0,0,0,0
"482",151,0,158,0,0,0,0
"483",153,7,155,15,15,5,13
"484",142,10,145,11,17,7,13
"485",133,8,108,10,13,6,6
"486",0,0,2,0,0,0,0
"487",0,0,1,0,0,0,0
"488",128,0,122,1,0,0,0
"489",0,0,1,0,0,0,0
"490",125,1,128,0,1,0,1
"491",145,11,116,13,15,5,13
"492",138,12,125,13,14,5,10
"493",0,0,1,0,0,0,0
"494",1,0,2,0,0,0,0
"495",113,11,121,8,9,4,8
"496",0,0,1,0,0,0,0
"497",146,10,128,9,20,4,9
"498",0,0,1,0,0,0,0
"499",115,13,115,12,16,7,6
"500",0,0,1,0,0,0,0
"501",130,11,117,16,20,6,8
"502",132,11,121,13,17,8,7
"503",0,0,0,0,0,0,0
"504",0,0,0,0,0,0,0
"505",134,0,110,0,0,0,0
"506",136,13,127,16,17,6,8
"507",0,0,1,0,0,0,0
"508",0,0,1,0,0,0,0
"509",0,0,0,0,0,0,0
"510",148,12,126,17,14,6,9
"511",122,0,111,0,0,0,0
