"","Model","Time_peak_infected"
"1","null_model_mixed/IsolateYES_Limit25_FateD_TcheckNO_PopSize2000.age3_comorbid.I",106
"2","null_model_mixed/IsolateYES_Limit25_FateD_TcheckNO_PopSize2000.age3_comorbid.I",60
"3","null_model_mixed/IsolateYES_Limit25_FateD_TcheckNO_PopSize2000.age3_comorbid.I",183
"4","null_model_mixed/IsolateYES_Limit25_FateD_TcheckNO_PopSize2000.age3_comorbid.I",207
"5","null_model_mixed/IsolateYES_Limit25_FateD_TcheckNO_PopSize2000.age3_comorbid.I",79
"6","null_model_mixed/IsolateYES_Limit25_FateD_TcheckNO_PopSize2000.age3_comorbid.I",224
"7","null_model_mixed/IsolateYES_Limit25_FateD_TcheckNO_PopSize2000.age3_comorbid.I",170
"8","null_model_mixed/IsolateYES_Limit25_FateD_TcheckNO_PopSize2000.age3_comorbid.I",211
"9","null_model_mixed/IsolateYES_Limit25_FateD_TcheckNO_PopSize2000.age3_comorbid.I",32
"10","null_model_mixed/IsolateYES_Limit25_FateD_TcheckNO_PopSize2000.age3_comorbid.I",95
"11","null_model_mixed/IsolateYES_Limit25_FateD_TcheckNO_PopSize2000.age3_comorbid.I",265
"12","null_model_mixed/IsolateYES_Limit25_FateD_TcheckNO_PopSize2000.age3_comorbid.I",94
"13","null_model_mixed/IsolateYES_Limit25_FateD_TcheckNO_PopSize2000.age3_comorbid.I",339
"14","null_model_mixed/IsolateYES_Limit25_FateD_TcheckNO_PopSize2000.age3_comorbid.I",17
"15","null_model_mixed/IsolateYES_Limit25_FateD_TcheckNO_PopSize2000.age3_comorbid.I",210
"16","null_model_mixed/IsolateYES_Limit25_FateD_TcheckNO_PopSize2000.age3_comorbid.I",160
"17","null_model_mixed/IsolateYES_Limit25_FateD_TcheckNO_PopSize2000.age3_comorbid.I",283
"18","null_model_mixed/IsolateYES_Limit25_FateD_TcheckNO_PopSize2000.age3_comorbid.I",218
"19","null_model_mixed/IsolateYES_Limit25_FateD_TcheckNO_PopSize2000.age3_comorbid.I",109
"20","null_model_mixed/IsolateYES_Limit25_FateD_TcheckNO_PopSize2000.age3_comorbid.I",97
"21","null_model_mixed/IsolateYES_Limit25_FateD_TcheckNO_PopSize2000.age3_comorbid.I",195
"22","null_model_mixed/IsolateYES_Limit25_FateD_TcheckNO_PopSize2000.age3_comorbid.I",364
"23","null_model_mixed/IsolateYES_Limit25_FateD_TcheckNO_PopSize2000.age3_comorbid.I",265
"24","null_model_mixed/IsolateYES_Limit25_FateD_TcheckNO_PopSize2000.age3_comorbid.I",40
"25","null_model_mixed/IsolateYES_Limit25_FateD_TcheckNO_PopSize2000.age3_comorbid.I",38
"26","null_model_mixed/IsolateYES_Limit25_FateD_TcheckNO_PopSize2000.age3_comorbid.I",20
"27","null_model_mixed/IsolateYES_Limit25_FateD_TcheckNO_PopSize2000.age3_comorbid.I",82
"28","null_model_mixed/IsolateYES_Limit25_FateD_TcheckNO_PopSize2000.age3_comorbid.I",366
"29","null_model_mixed/IsolateYES_Limit25_FateD_TcheckNO_PopSize2000.age3_comorbid.I",230
