"","Model","Time_peak_infected"
"1","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000.age3_comorbid.I",56
"2","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000.age3_comorbid.I",66
"3","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000.age3_comorbid.I",70
"4","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000.age3_comorbid.I",71
"5","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000.age3_comorbid.I",47
"6","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000.age3_comorbid.I",70
"7","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000.age3_comorbid.I",61
"8","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000.age3_comorbid.I",60
"9","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000.age3_comorbid.I",85
"10","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000.age3_comorbid.I",50
"11","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000.age3_comorbid.I",58
"12","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000.age3_comorbid.I",55
"13","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000.age3_comorbid.I",73
"14","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000.age3_comorbid.I",71
"15","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000.age3_comorbid.I",59
"16","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000.age3_comorbid.I",62
"17","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000.age3_comorbid.I",75
"18","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000.age3_comorbid.I",61
"19","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000.age3_comorbid.I",51
"20","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000.age3_comorbid.I",52
"21","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000.age3_comorbid.I",55
"22","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000.age3_comorbid.I",67
"23","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000.age3_comorbid.I",62
"24","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000.age3_comorbid.I",65
"25","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000.age3_comorbid.I",70
"26","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000.age3_comorbid.I",94
"27","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000.age3_comorbid.I",52
"28","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000.age3_comorbid.I",79
"29","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000.age3_comorbid.I",74
"30","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000.age3_comorbid.I",66
"31","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000.age3_comorbid.I",56
"32","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000.age3_comorbid.I",95
"33","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000.age3_comorbid.I",42
"34","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000.age3_comorbid.I",51
"35","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000.age3_comorbid.I",66
"36","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000.age3_comorbid.I",84
"37","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000.age3_comorbid.I",77
"38","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000.age3_comorbid.I",59
"39","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000.age3_comorbid.I",81
"40","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000.age3_comorbid.I",58
"41","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000.age3_comorbid.I",70
"42","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000.age3_comorbid.I",61
"43","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000.age3_comorbid.I",49
"44","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000.age3_comorbid.I",61
"45","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000.age3_comorbid.I",52
"46","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000.age3_comorbid.I",51
"47","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000.age3_comorbid.I",55
"48","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000.age3_comorbid.I",67
"49","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000.age3_comorbid.I",74
"50","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000.age3_comorbid.I",87
"51","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000.age3_comorbid.I",56
"52","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000.age3_comorbid.I",74
"53","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000.age3_comorbid.I",59
"54","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000.age3_comorbid.I",73
"55","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000.age3_comorbid.I",55
"56","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000.age3_comorbid.I",74
"57","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000.age3_comorbid.I",68
"58","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000.age3_comorbid.I",45
"59","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000.age3_comorbid.I",66
"60","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000.age3_comorbid.I",64
"61","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000.age3_comorbid.I",83
"62","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000.age3_comorbid.I",60
"63","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000.age3_comorbid.I",74
"64","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000.age3_comorbid.I",61
"65","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000.age3_comorbid.I",94
"66","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000.age3_comorbid.I",61
"67","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000.age3_comorbid.I",50
"68","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000.age3_comorbid.I",48
"69","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000.age3_comorbid.I",47
"70","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000.age3_comorbid.I",73
"71","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000.age3_comorbid.I",60
"72","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000.age3_comorbid.I",73
"73","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000.age3_comorbid.I",64
"74","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000.age3_comorbid.I",49
"75","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000.age3_comorbid.I",83
"76","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000.age3_comorbid.I",71
"77","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000.age3_comorbid.I",52
"78","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000.age3_comorbid.I",64
"79","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000.age3_comorbid.I",84
"80","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000.age3_comorbid.I",54
"81","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000.age3_comorbid.I",52
"82","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000.age3_comorbid.I",47
"83","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000.age3_comorbid.I",63
"84","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000.age3_comorbid.I",57
"85","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000.age3_comorbid.I",59
"86","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000.age3_comorbid.I",66
"87","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000.age3_comorbid.I",66
"88","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000.age3_comorbid.I",73
"89","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000.age3_comorbid.I",83
"90","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000.age3_comorbid.I",97
"91","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000.age3_comorbid.I",46
"92","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000.age3_comorbid.I",62
"93","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000.age3_comorbid.I",46
"94","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000.age3_comorbid.I",88
"95","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000.age3_comorbid.I",69
"96","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000.age3_comorbid.I",53
"97","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000.age3_comorbid.I",57
"98","null_model_mixed/IsolateNO_Limit0_FateD_TcheckNO_PopSize2000.age3_comorbid.I",70
