contacts,Isolate,Limit,Onset,Fate,Tcheck,PopSize,lock,self,mod,NumFinalDeaths.mean,NumFinalDeaths.stderr,NumFinalDeaths.mean.E,NumFinalDeaths.stderr.E,NumFinalDeaths.mean.S,NumFinalDeaths.stderr.S,P.outbrk,P.outbrk.E,P.outbrk.S,P.cases.lt.thr,P.cases.lt.thr.E,P.cases.lt.thr.S,NumFinalRecovered.mean,NumFinalRecovered.stderr,NumFinalRecovered.mean.E,NumFinalRecovered.stderr.E,NumFinalRecovered.mean.S,NumFinalRecovered.stderr.S,CFR,CFR.E,CFR.S,TimePeakSymptomatic.mean,TimePeakSymptomatic.stderr,TimePeakSymptomatic.mean.E,TimePeakSymptomatic.stderr.E,TimePeakSymptomatic.mean.S,TimePeakSymptomatic.stderr.S
shield_cont2_age3_age2_20,IsolateYES,Limit50,Onset24,FateD,TcheckYES,PopSize2000,lock0.9,self0.5,modSV,0.02864,0.0002726,0.03509,0.0002651,0.07659,0.004625,0.626,0.626,0.008,0.374,0.374,0.978,0.5426,0.001409,0.6754,0.001503,0.3057,0.02095,0.05014,0.0494,0.1717,73.46,0.9429,71.79,0.7644,140.1,10.81
shield_cont2_age3_age2_20,IsolateYES,Limit50,Onset24,FateD,TcheckYES,PopSize2000,lockNO,self0.2,modSV,0.05735,0.0007721,0.04378,0.0002661,0.158,0.001285,0.794,0.794,0.558,0.206,0.206,0.44,0.7873,0.002723,0.8831,0.0006355,0.5721,0.002452,0.0679,0.04723,0.2114,65.73,0.841,48.28,0.3864,82.88,1.061
shield_cont2_age3_age2_20,IsolateYES,Limit50,Onset24,FateD,TcheckYES,PopSize2000,lockNO,self0.5,modSV,0.01929,0.0002389,0.02367,0.0002822,0.045,0.0075,0.434,0.434,0,0.504,0.504,0.994,0.3954,0.002269,0.4924,0.00276,0.1758,0.03715,0.04651,0.04587,0.1664,117,1.793,114.3,1.704,193.5,19.01
shield_cont2_age3_age2_20,IsolateYES,Limit50,Onset24,FateD,TcheckYES,PopSize2000,lockNO,selfNO,modSV,0.04616,0.000718,0.04011,0.0002502,0.1361,0.001495,0.798,0.798,0.406,0.202,0.202,0.59,0.758,0.002822,0.8776,0.0006009,0.5411,0.004127,0.0574,0.04371,0.194,78.79,1.151,59.31,0.4173,112,1.511
shield_cont2_age3_age2_20,IsolateYES,Limit50,Onset24,FateD,TcheckYES,PopSize500,lock0.5,self0.2,modSV,0.04264,0.0006389,0.04913,0.000469,0.1748,0.00544,0.104,0.104,0,0.324,0.332,0.954,0.7099,0.002279,0.871,0.001161,0.5835,0.0138,0.05666,0.05339,0.2241,42.83,0.6252,40.81,0.4386,60.53,3.331
shield_cont2_age3_age2_20,IsolateYES,Limit50,Onset24,FateD,TcheckYES,PopSize500,lock0.5,selfNO,modSV,0.04803,0.0008868,0.0495,0.000473,0.1934,0.00331,0.122,0.122,0.002,0.254,0.274,0.846,0.7591,0.00307,0.9092,0.0008147,0.653,0.006337,0.05951,0.05164,0.2272,38.5,0.4944,35.03,0.3394,55.52,1.462
shield_cont2_age3_age2_20,IsolateYES,Limit50,Onset24,FateD,TcheckYES,PopSize500,lockNO,self0.2,modSV,0.04729,0.0008727,0.04865,0.0004931,0.1859,0.003913,0.11,0.11,0.002,0.362,0.396,0.888,0.7301,0.003165,0.8717,0.001236,0.5852,0.009209,0.06083,0.05286,0.2384,46.54,0.7392,40.79,0.4526,67.88,2.094
shield_cont2_age3_age2_25,IsolateNO,Limit0,Onset0,FateD,TcheckYES,PopSize2000,lockNO,selfNO,modSV,0.1062,0.0007333,0.07947,0.0003488,0.2024,0.0008563,0.842,0.842,0.776,0.158,0.158,0.224,0.8376,0.002419,0.893,0.0004421,0.7286,0.0009571,0.1126,0.08172,0.2093,53.68,0.4917,36.6,0.2954,62.54,0.5641
shield_cont2_age3_age2_30,IsolateNO,Limit0,Onset0,FateD,TcheckYES,PopSize2000,lockNO,selfNO,modSV,0.1063,0.0007081,0.07894,0.0003403,0.182,0.0007946,0.856,0.856,0.8,0.144,0.144,0.2,0.8366,0.002741,0.893,0.0004078,0.7542,0.0008317,0.1127,0.08121,0.1939,52.91,0.4875,36.5,0.3301,61.12,0.5492
shield_cont2_age3_age2,IsolateNO,Limit0,Onset0,FateD,TcheckYES,PopSize2000,lockNO,selfNO,modSV,0.09807,0.0009249,0.07865,0.0003203,0.3279,0.001918,0.828,0.828,0.6,0.172,0.172,0.4,0.8344,0.001577,0.8937,0.0004002,0.5612,0.001939,0.1052,0.08088,0.2909,52.49,0.6252,37.81,0.304,71.43,0.8105
shield_cont2_age3,IsolateNO,Limit0,Onset0,FateD,TcheckYES,PopSize2000,lockNO,selfNO,modSV,0.09522,0.0006328,0.09256,0.0003516,0.3842,0.004795,0.796,0.796,0.282,0.204,0.204,0.718,0.8351,0.0007411,0.878,0.0004073,0.4363,0.004137,0.1023,0.09537,0.202,43.68,0.5529,38.28,0.3284,75.55,1.717
