contacts,Isolate,Limit,Onset,Fate,Tcheck,PopSize,lock,self,mod,NumFinalDeaths.mean,NumFinalDeaths.stderr,NumFinalDeaths.mean.E,NumFinalDeaths.stderr.E,NumFinalDeaths.mean.S,NumFinalDeaths.stderr.S,P.outbrk,P.outbrk.E,P.outbrk.S,P.cases.lt.thr,P.cases.lt.thr.E,P.cases.lt.thr.S,NumFinalRecovered.mean,NumFinalRecovered.stderr,NumFinalRecovered.mean.E,NumFinalRecovered.stderr.E,NumFinalRecovered.mean.S,NumFinalRecovered.stderr.S,CFR,CFR.E,CFR.S,TimePeakSymptomatic.mean,TimePeakSymptomatic.stderr,TimePeakSymptomatic.mean.E,TimePeakSymptomatic.stderr.E,TimePeakSymptomatic.mean.S,TimePeakSymptomatic.stderr.S
null_model_mixed,IsolateNO,Limit100,Onset24,FateD,TcheckNO,PopSize2000,lockNO,selfNO,modSV,0.07683,0.0002598,NA,NA,NA,NA,0.852,NA,NA,0.148,NA,NA,0.8747,0.0004243,NA,NA,NA,NA,0.08075,NA,NA,42.5,0.3197,NA,NA,NA,NA
null_model_mixed,IsolateNO,Limit2000,Onset24,FateD,TcheckNO,PopSize2000,lockNO,selfNO,modSV,0.07691,0.000279,NA,NA,NA,NA,0.846,NA,NA,0.154,NA,NA,0.9003,0.0003234,NA,NA,NA,NA,0.0787,NA,NA,34.7,0.3037,NA,NA,NA,NA
null_model_mixed,IsolateNO,Limit25,Onset24,FateD,TcheckNO,PopSize2000,lockNO,selfNO,modSV,0.07751,0.0002834,NA,NA,NA,NA,0.832,NA,NA,0.168,NA,NA,0.8832,0.0003695,NA,NA,NA,NA,0.08068,NA,NA,43.83,0.3846,NA,NA,NA,NA
null_model_mixed,IsolateNO,Limit250,Onset24,FateD,TcheckNO,PopSize2000,lockNO,selfNO,modSV,0.07625,0.0002644,NA,NA,NA,NA,0.862,NA,NA,0.138,NA,NA,0.8773,0.000375,NA,NA,NA,NA,0.07997,NA,NA,40.7,0.3254,NA,NA,NA,NA
null_model_mixed,IsolateNO,Limit50,Onset12,FateD,TcheckNO,PopSize2000,lockNO,selfNO,modSV,0.08372,0.0002795,NA,NA,NA,NA,0.866,NA,NA,0.134,NA,NA,0.8717,0.0003842,NA,NA,NA,NA,0.08762,NA,NA,42.17,0.3001,NA,NA,NA,NA
null_model_mixed,IsolateNO,Limit50,Onset24,FateD,TcheckNO,PopSize2000,lockNO,self0.2,modSV,0.07198,0.0002903,NA,NA,NA,NA,0.802,NA,NA,0.198,NA,NA,0.8404,0.000526,NA,NA,NA,NA,0.07889,NA,NA,50.9,0.3918,NA,NA,NA,NA
null_model_mixed,IsolateNO,Limit50,Onset24,FateD,TcheckNO,PopSize2000,lockNO,self0.5,modSV,0.05092,0.0002935,NA,NA,NA,NA,0.668,NA,NA,0.332,NA,NA,0.6206,0.001392,NA,NA,NA,NA,0.07582,NA,NA,74.56,0.6966,NA,NA,NA,NA
null_model_mixed,IsolateNO,Limit50,Onset24,FateD,TcheckNO,PopSize2000,lockNO,selfNO,modSV,0.07657,0.0002702,NA,NA,NA,NA,0.826,NA,NA,0.174,NA,NA,0.8805,0.0003637,NA,NA,NA,NA,0.08,NA,NA,42.76,0.3081,NA,NA,NA,NA
null_model_mixed,IsolateNO,Limit50,Onset48,FateD,TcheckNO,PopSize2000,lockNO,selfNO,modSV,0.0929,0.0003194,NA,NA,NA,NA,0.814,NA,NA,0.186,NA,NA,0.8653,0.0004287,NA,NA,NA,NA,0.09695,NA,NA,41.95,0.32,NA,NA,NA,NA
null_model_mixed,IsolateNO,Limit500,Onset24,FateD,TcheckNO,PopSize2000,lockNO,selfNO,modSV,0.07644,0.0002782,NA,NA,NA,NA,0.856,NA,NA,0.144,NA,NA,0.8851,0.0003597,NA,NA,NA,NA,0.07949,NA,NA,38.55,0.3035,NA,NA,NA,NA
