contacts,Isolate,Limit,Onset,Fate,Tcheck,PopSize,lock,self,mod,NumFinalDeaths.mean,NumFinalDeaths.stderr,NumFinalDeaths.mean.E,NumFinalDeaths.stderr.E,NumFinalDeaths.mean.S,NumFinalDeaths.stderr.S,P.outbrk,P.outbrk.E,P.outbrk.S,P.cases.lt.thr,P.cases.lt.thr.E,P.cases.lt.thr.S,N.nodeath,N.nodeath.E,N.nodeath.S,N.death,N.death.E,N.death.S,NumFinalRecovered.mean,NumFinalRecovered.stderr,NumFinalRecovered.mean.E,NumFinalRecovered.stderr.E,NumFinalRecovered.mean.S,NumFinalRecovered.stderr.S,CFR,CFR.E,CFR.S,TimePeakSymptomatic.mean,TimePeakSymptomatic.stderr,TimePeakSymptomatic.mean.E,TimePeakSymptomatic.stderr.E,TimePeakSymptomatic.mean.S,TimePeakSymptomatic.stderr.S
null_model_mixed,IsolateNO,Limit50,Onset24,FateD,TcheckNO,PopSize2000,lockNO,self0.5,modSV,0.04325,0.0004009,NA,NA,NA,NA,0.5424,NA,NA,0.434,NA,NA,1085,2500,2500,1415,0,0,0.531,0.004707,NA,NA,NA,NA,0.07531,NA,NA,78.55,0.6992,NA,NA,NA,NA
null_model_mixed,IsolateNO,Limit50,Onset24,FateD,TcheckNO,PopSize2000,lockNO,selfNO,modSV,0.07585,0.0002095,NA,NA,NA,NA,0.8072,NA,NA,0.1908,NA,NA,477,2500,2500,2023,0,0,0.8707,0.001941,NA,NA,NA,NA,0.08013,NA,NA,44.42,0.1759,NA,NA,NA,NA
null_model_mixed,IsolateNO,Limit50,Onset48,FateD,TcheckNO,PopSize2000,lockNO,selfNO,modSV,0.08196,0.0002172,NA,NA,NA,NA,0.8432,NA,NA,0.1552,NA,NA,388,2500,2500,2112,0,0,0.8666,0.001897,NA,NA,NA,NA,0.0864,NA,NA,43.76,0.1665,NA,NA,NA,NA
null_model_mixed,IsolateNO,Limit500,Onset24,FateD,TcheckNO,PopSize2000,lockNO,selfNO,modSV,0.07408,0.00024,NA,NA,NA,NA,0.8036,NA,NA,0.194,NA,NA,485,2500,2500,2015,0,0,0.8555,0.002389,NA,NA,NA,NA,0.07969,NA,NA,44.11,0.1878,NA,NA,NA,NA
null_model_mixed,IsolateYES,Limit0,Onset0,FateD,TcheckNO,PopSize2000,lockNO,selfNO,modSV,0.1084,0.0003597,NA,NA,NA,NA,0.8488,NA,NA,0.1492,NA,NA,373,2500,2500,2127,0,0,0.8356,0.002546,NA,NA,NA,NA,0.1148,NA,NA,40.04,0.1816,NA,NA,NA,NA
null_model_mixed,IsolateYES,Limit50,Onset24,FateD,TcheckNO,PopSize2000,lockNO,self0.2,modSV,0.06896,0.0003255,NA,NA,NA,NA,0.736,NA,NA,0.254,NA,NA,635,2500,2500,1865,0,0,0.806,0.003525,NA,NA,NA,NA,0.07881,NA,NA,51.57,0.258,NA,NA,NA,NA
null_model_mixed,IsolateYES,Limit50,Onset24,FateD,TcheckNO,PopSize2000,lockNO,self0.5,modSV,0.04089,0.0004374,NA,NA,NA,NA,0.52,NA,NA,0.4516,NA,NA,1129,2500,2500,1371,0,0,0.5021,0.005234,NA,NA,NA,NA,0.07531,NA,NA,76.52,0.7694,NA,NA,NA,NA
shield_cont10_age3_age2_20,IsolateNO,Limit0,Onset0,FateD,TcheckNO,PopSize2000,lockNO,selfNO,modSV,0.1077,0.0002963,0.07808,0.0002365,0.229,0.0004424,0.852,0.852,0.8424,0.1472,0.1472,0.1576,368,368,394,2132,2132,2106,0.8392,0.002027,0.881,0.002128,0.6804,0.0005019,0.1137,0.08141,0.2307,48.7,0.1912,38.21,0.1698,53.49,0.1725
shield_cont10_age3_age2_20,IsolateNO,Limit0,Onset0,FateD,TcheckYES,PopSize2000,lockNO,selfNO,modSV,0.107,0.0003298,0.07791,0.000259,0.227,0.0004483,0.8572,0.8572,0.8432,0.1424,0.1424,0.1568,356,356,392,2144,2144,2108,0.835,0.00233,0.877,0.002446,0.6781,0.0005032,0.1135,0.08158,0.2293,50.86,0.2174,38.65,0.1848,56.6,0.1939
shield_cont10_age3_age2_20,IsolateNO,Limit0,Onset0,FateR,TcheckYES,PopSize2000,lockNO,selfNO,modSV,0.02454,8.199e-05,0.01353,6.559e-05,0.06888,0.0002698,0.8528,0.8528,0.8488,0.1472,0.1472,0.1512,368,368,378,2132,2132,2122,0.9285,0.001388,0.9525,0.001423,0.8365,0.0004976,0.02574,0.01401,0.07734,50.62,0.1769,38.3,0.1508,55.79,0.1834
shield_cont2_age3_age2_20,IsolateNO,Limit0,Onset0,FateD,TcheckNO,PopSize2000,lockNO,selfNO,modSV,0.108,0.0003103,0.07843,0.0002212,0.2323,0.0006277,0.8464,0.8464,0.8212,0.1532,0.1532,0.1752,383,383,438,2117,2117,2062,0.8425,0.001811,0.8863,0.001843,0.6849,0.001372,0.1136,0.0813,0.2326,55.78,0.2395,37.87,0.1667,63.91,0.2582
shield_cont2_age3_age2_20,IsolateNO,Limit0,Onset0,FateD,TcheckYES,PopSize1000,lockNO,selfNO,modSV,0.09148,0.0005524,0.0782,0.0002694,0.2245,0.001297,0.8664,0.8664,0.5496,0.1324,0.1324,0.4412,331,331,1103,2169,2169,1397,0.7923,0.002301,0.8823,0.002018,0.6706,0.003288,0.1035,0.08141,0.2283,47.13,0.2929,34.87,0.1584,61.69,0.3624
shield_cont2_age3_age2_20,IsolateNO,Limit0,Onset0,FateD,TcheckYES,PopSize2000,lock0.5,selfNO,modSV,0.09282,0.0005415,0.07803,0.0002452,0.2271,0.001125,0.8684,0.8684,0.5732,0.1308,0.1308,0.4184,327,327,1046,2173,2173,1454,0.7956,0.002457,0.8822,0.002246,0.6707,0.003006,0.1045,0.08126,0.2311,52.26,0.3189,37.81,0.1639,68.42,0.3569
shield_cont2_age3_age2_20,IsolateNO,Limit0,Onset0,FateD,TcheckYES,PopSize2000,lock0.9,selfNO,modSV,0.07147,0.0004447,0.07815,0.0002363,0.2225,0.002366,0.8708,0.8708,0.1716,0.1284,0.1284,0.8248,321,321,2062,2179,2179,438,0.7335,0.002115,0.8836,0.002127,0.663,0.006633,0.08878,0.08127,0.2281,42.21,0.273,37.64,0.1614,69.71,0.7652
shield_cont2_age3_age2_20,IsolateNO,Limit0,Onset0,FateD,TcheckYES,PopSize2000,lock0.99,selfNO,modSV,0.0641,0.0002575,0.07844,0.000232,0.218,0.007838,0.8624,0.8624,0.026,0.136,0.136,0.9732,340,340,2433,2160,2160,67,0.7112,0.001733,0.884,0.002065,0.6392,0.0224,0.08269,0.0815,0.2288,38.17,0.182,37.57,0.1642,63.17,2.015
shield_cont2_age3_age2_20,IsolateNO,Limit0,Onset0,FateD,TcheckYES,PopSize2000,lockNO,self0.1,modSV,0.09811,0.0004716,0.0768,0.0002476,0.22,0.0008664,0.8368,0.8368,0.694,0.162,0.1624,0.3012,405,406,753,2095,2094,1747,0.8067,0.002416,0.8713,0.002303,0.6596,0.002224,0.1084,0.08101,0.2276,59.02,0.3258,40.92,0.1914,71.78,0.3428
shield_cont2_age3_age2_20,IsolateNO,Limit0,Onset0,FateD,TcheckYES,PopSize2000,lockNO,self0.2,modSV,0.09238,0.0005172,0.07533,0.0002902,0.206,0.001114,0.8096,0.8096,0.6208,0.1884,0.1884,0.3672,471,471,918,2029,2029,1582,0.7749,0.002833,0.8474,0.002809,0.6215,0.00305,0.1065,0.08164,0.2232,63.71,0.3888,44.42,0.2083,79.75,0.417
shield_cont2_age3_age2_20,IsolateNO,Limit0,Onset0,FateD,TcheckYES,PopSize2000,lockNO,self0.3,modSV,0.08324,0.0005516,0.07217,0.0003242,0.1813,0.001523,0.7592,0.7592,0.516,0.2368,0.2372,0.4628,592,593,1157,1908,1907,1343,0.7289,0.003197,0.8133,0.00325,0.5573,0.004424,0.1025,0.0815,0.2143,69.71,0.5126,49.88,0.2783,90.45,0.6009
shield_cont2_age3_age2_20,IsolateNO,Limit0,Onset0,FateD,TcheckYES,PopSize2000,lockNO,self0.4,modSV,0.07059,0.0005529,0.06686,0.0003726,0.148,0.001914,0.7136,0.7136,0.3868,0.2816,0.2816,0.5848,704,704,1462,1796,1796,1038,0.6572,0.003614,0.7541,0.003905,0.466,0.005803,0.09699,0.08145,0.2018,75.77,0.6636,57.44,0.3738,104.2,0.9055
shield_cont2_age3_age2_20,IsolateNO,Limit0,Onset0,FateD,TcheckYES,PopSize2000,lockNO,self0.5,modSV,0.05515,0.0004983,0.05813,0.0004202,0.09762,0.002312,0.6372,0.6372,0.2508,0.3508,0.3508,0.7124,877,877,1781,1623,1623,719,0.5536,0.003899,0.6568,0.004477,0.3164,0.007346,0.0906,0.08131,0.1778,83.43,0.8833,67.43,0.5345,122.6,1.565
shield_cont2_age3_age2_20,IsolateNO,Limit0,Onset0,FateD,TcheckYES,PopSize2000,lockNO,selfNO,modSV,0.1027,0.0004359,0.07826,0.000237,0.2281,0.0008579,0.8668,0.8668,0.7544,0.132,0.132,0.2368,330,330,592,2170,2170,1908,0.826,0.002189,0.8835,0.002095,0.6777,0.002202,0.1106,0.08137,0.2302,54.8,0.2728,37.6,0.1621,65.35,0.2864
shield_cont2_age3_age2_20,IsolateNO,Limit0,Onset0,FateD,TcheckYES,PopSize500,lockNO,selfNO,modSV,0.0813,0.0005728,0.07889,0.0003187,0.2223,0.002071,0.8568,0.8568,0.342,0.1432,0.1432,0.6496,358,358,1624,2142,2142,876,0.7605,0.002075,0.8834,0.00174,0.6562,0.004997,0.09658,0.08199,0.2288,39.56,0.2755,32.32,0.1579,57.08,0.4793
shield_cont2_age3_age2_20,IsolateNO,Limit0,Onset0,FateR,TcheckYES,PopSize2000,lockNO,selfNO,modSV,0.02319,0.0001268,0.01352,6.48e-05,0.07005,0.0003324,0.844,0.844,0.742,0.1556,0.156,0.2544,389,390,636,2111,2110,1864,0.9129,0.001869,0.9553,0.001441,0.8434,0.002084,0.02477,0.01396,0.07806,55.51,0.2672,38.16,0.1591,65.79,0.2965
shield_cont2_age3_age2_20,IsolateNO,Limit10,Onset24,FateD,TcheckYES,PopSize2000,lockNO,selfNO,modSV,0.07095,0.0003569,0.04471,0.0001468,0.1997,0.0008026,0.8324,0.8324,0.7276,0.1664,0.1664,0.2656,416,416,664,2084,2084,1836,0.8578,0.001998,0.9198,0.001833,0.6919,0.002363,0.0764,0.04636,0.2293,58.27,0.2704,42.47,0.1651,67.86,0.3044
shield_cont2_age3_age2_20,IsolateNO,Limit100,Onset24,FateD,TcheckYES,PopSize2000,lockNO,selfNO,modSV,0.06665,0.0003572,0.04375,0.0001552,0.1829,0.0009074,0.8212,0.8212,0.7016,0.178,0.178,0.2888,445,445,722,2055,2055,1778,0.8365,0.002243,0.9049,0.002132,0.6503,0.002871,0.0738,0.04612,0.2216,58.93,0.2817,42.45,0.1674,69.17,0.3242
shield_cont2_age3_age2_20,IsolateNO,Limit2000,Onset24,FateD,TcheckYES,PopSize2000,lockNO,selfNO,modSV,0.06699,0.0003475,0.04371,0.0001465,0.1836,0.0008792,0.8116,0.8116,0.6988,0.1876,0.1876,0.2916,469,469,729,2031,2031,1771,0.838,0.002097,0.9055,0.001962,0.6508,0.002769,0.07403,0.04605,0.2224,59.4,0.2904,42.8,0.1741,69.65,0.3341
shield_cont2_age3_age2_20,IsolateNO,Limit25,Onset24,FateD,TcheckYES,PopSize2000,lockNO,selfNO,modSV,0.06929,0.0003551,0.04423,0.0001521,0.1942,0.0007439,0.8336,0.8336,0.7216,0.166,0.166,0.272,415,415,680,2085,2085,1820,0.8508,0.002185,0.9152,0.002076,0.6794,0.00214,0.07531,0.0461,0.2268,58.72,0.2765,42.28,0.166,69.03,0.3008
shield_cont2_age3_age2_20,IsolateNO,Limit250,Onset24,FateD,TcheckYES,PopSize2000,lockNO,selfNO,modSV,0.06699,0.0003475,0.04371,0.0001465,0.1836,0.0008792,0.8116,0.8116,0.6988,0.1876,0.1876,0.2916,469,469,729,2031,2031,1771,0.838,0.002097,0.9055,0.001962,0.6508,0.002769,0.07403,0.04605,0.2224,59.4,0.2904,42.8,0.1741,69.65,0.3341
shield_cont2_age3_age2_20,IsolateNO,Limit50,Onset12,FateD,TcheckYES,PopSize2000,lockNO,selfNO,modSV,0.07316,0.0003755,0.05082,0.0001794,0.188,0.0008185,0.814,0.814,0.6972,0.1848,0.1848,0.2956,462,462,739,2038,2038,1761,0.8319,0.002375,0.9005,0.002318,0.6452,0.002375,0.08083,0.05342,0.2216,58.49,0.2903,42.11,0.1752,68.99,0.3185
shield_cont2_age3_age2_20,IsolateNO,Limit50,Onset24,FateD,TcheckYES,PopSize2000,lock0.5,self0.2,modSV,0.04893,0.0004107,0.04191,0.0001701,0.1474,0.001641,0.7628,0.7628,0.3788,0.2356,0.2356,0.6008,589,589,1502,1911,1911,998,0.7494,0.00263,0.8661,0.0026,0.5406,0.005729,0.06129,0.04616,0.2081,63.31,0.426,50.52,0.2245,85.55,0.639
shield_cont2_age3_age2_20,IsolateNO,Limit50,Onset24,FateD,TcheckYES,PopSize2000,lock0.5,self0.5,modSV,0.02585,0.0002283,0.03052,0.0002316,0.03562,0.002271,0.5488,0.5488,0.0896,0.4472,0.4476,0.8876,1118,1119,2219,1382,1381,281,0.4961,0.003386,0.6135,0.00412,0.1373,0.008956,0.04953,0.0474,0.1374,79.41,0.7094,75.21,0.5863,107.1,2.436
