"","age1_orange.H","age1_green.H","age2_no_comorbid_orange.H","age2_no_comorbid_green.H","age2_comorbid_green.H","age3_no_comorbid_green.H","age3_comorbid_green.H"
"184",14,3,9,8,9,4,13
"185",20,3,13,7,9,2,10
"186",19,4,15,7,13,4,12
"187",0,0,0,0,0,0,0
"188",14,7,17,4,7,3,9
"189",13,5,15,6,10,2,9
"190",20,3,18,7,12,2,10
"191",20,4,15,7,6,3,11
"192",14,3,15,5,5,3,8
"193",16,5,20,7,8,3,10
"194",15,4,15,4,7,4,7
"195",22,3,18,5,10,3,12
"196",13,4,14,7,7,3,9
"197",19,5,17,5,6,4,14
"198",12,4,12,7,10,3,8
"199",19,5,17,5,8,2,8
"200",20,5,16,4,6,2,13
"201",14,4,18,4,12,2,7
"202",0,0,0,0,0,0,0
"203",20,5,8,5,11,4,8
"204",15,5,18,3,8,3,8
"205",13,6,17,7,8,5,9
"206",21,6,21,4,12,3,8
"207",13,5,21,4,9,4,9
"208",16,4,12,5,10,3,9
"209",22,5,12,6,8,4,6
"210",14,0,17,0,0,0,0
"211",15,4,18,8,9,5,8
"212",10,3,12,9,5,2,7
"213",20,4,20,5,6,3,8
"214",20,0,17,0,0,0,0
"215",13,5,19,4,10,1,9
"216",17,5,18,5,10,5,6
"217",0,0,1,0,0,0,0
"218",15,4,17,4,8,4,8
"219",16,3,14,3,9,2,8
"220",14,2,12,6,6,3,7
"221",17,8,19,5,12,2,8
"222",17,3,16,5,7,3,12
"223",16,6,14,6,6,3,6
"224",17,5,14,3,8,3,9
"225",17,5,18,11,7,4,13
"226",14,0,13,0,0,0,0
"227",17,7,15,8,10,4,7
"228",16,8,18,4,8,3,7
"229",16,7,19,7,9,4,8
"230",14,2,23,5,6,3,11
"231",11,3,20,7,8,3,10
"232",0,0,0,0,0,0,0
"233",17,5,20,7,8,2,10
"234",22,4,18,5,8,4,9
"235",15,3,19,5,7,2,7
"236",21,5,15,6,5,3,5
"237",18,3,23,3,9,3,11
"238",20,5,23,6,7,2,9
"239",18,5,18,5,7,3,8
"240",12,3,13,5,8,2,8
"241",20,4,15,5,8,3,9
"242",0,0,0,0,0,0,0
"243",17,7,16,6,13,3,9
"244",15,6,18,5,5,3,9
"245",0,0,0,0,0,0,0
"246",12,5,18,7,10,3,12
"247",16,2,11,9,9,3,8
"248",15,4,18,4,6,5,11
"249",21,5,16,5,9,3,10
"250",19,10,18,9,9,3,12
"251",16,3,14,7,9,2,9
"252",0,0,0,0,0,0,0
"253",16,3,13,9,7,3,9
"254",0,0,0,0,0,0,0
"255",17,3,9,5,12,3,8
"256",19,3,17,6,8,3,10
"257",0,0,0,0,0,0,0
"258",15,2,14,8,5,2,7
"259",17,6,18,6,11,3,11
"260",16,7,14,3,11,1,11
"261",0,0,0,0,0,0,0
"262",17,4,16,3,9,2,8
"263",14,3,14,8,11,5,9
"264",16,6,18,6,9,3,12
"265",19,4,17,5,10,3,6
"266",18,5,21,3,11,2,10
"267",14,4,14,4,9,3,11
"268",18,7,16,7,7,3,10
"269",17,4,17,4,14,3,7
"270",11,7,13,4,10,2,9
"271",22,3,13,6,9,3,10
"272",16,6,18,5,7,3,9
"273",17,6,17,8,8,2,11
"274",0,0,1,0,0,0,0
"275",0,0,0,0,0,0,0
"276",17,3,14,3,13,4,8
"277",20,4,16,7,8,4,14
"278",10,5,23,3,8,2,10
"279",13,4,13,2,6,3,9
"280",17,4,9,6,8,3,9
"281",16,5,23,5,9,2,11
"282",17,5,16,6,8,5,12
"283",18,3,18,4,7,2,11
"284",16,4,16,4,8,5,6
"285",16,2,20,7,8,3,10
"286",18,4,15,3,5,4,12
"287",0,0,0,0,0,0,0
"288",14,4,16,6,7,3,9
"289",18,2,16,7,5,3,9
"290",12,5,14,2,9,3,9
"291",9,0,19,0,0,0,0
"292",10,5,18,4,5,3,12
"293",14,5,14,5,8,2,9
"294",17,4,17,5,9,2,15
"295",0,0,0,0,0,0,0
"296",18,2,18,7,10,2,6
"297",13,4,22,5,10,2,7
"298",0,0,0,0,0,0,0
"299",0,0,0,0,0,0,0
"300",17,4,11,6,7,3,10
"301",14,3,12,5,7,2,7
"302",20,4,21,7,7,3,10
"303",0,0,0,0,0,0,0
"304",14,3,20,6,9,3,13
"305",11,6,15,4,6,4,9
"306",13,4,15,4,7,4,8
"307",15,3,14,3,10,3,10
"308",18,4,18,4,7,3,8
"309",10,3,15,2,9,4,13
"310",17,4,14,3,11,3,8
"311",14,3,15,4,10,2,7
"312",17,0,14,0,0,0,0
"313",14,5,12,3,10,3,8
"314",22,4,12,3,11,3,10
"315",20,6,13,2,5,1,8
"316",0,0,0,0,0,0,0
"317",0,0,0,0,0,0,0
"318",14,3,18,3,9,3,7
"319",17,7,13,8,8,2,10
"320",18,3,16,6,8,4,9
"321",11,5,14,4,9,3,8
"322",20,3,20,4,9,3,6
"323",17,0,16,0,0,0,0
"324",19,2,18,6,4,3,8
"325",19,5,19,7,11,5,9
"326",15,5,16,4,9,4,11
"327",12,3,17,3,10,4,8
"328",16,4,7,7,6,3,5
"329",19,5,16,5,6,1,10
"330",20,0,18,0,1,0,0
"331",17,6,14,4,7,3,13
"332",0,0,0,0,0,0,0
"333",15,5,15,4,5,5,13
"334",16,0,18,0,0,0,0
"335",13,3,16,4,8,1,9
"336",17,4,22,11,8,3,7
"337",0,0,0,0,0,0,0
"338",13,5,17,6,10,3,8
"339",16,6,17,3,9,5,9
"340",0,0,0,0,0,0,0
"341",12,4,15,4,7,6,8
"342",12,4,12,5,7,1,7
"343",13,0,15,0,0,0,0
"344",13,4,17,6,11,3,6
"345",13,4,16,5,8,4,6
"346",17,4,14,7,8,4,7
"347",0,0,0,0,0,0,0
"348",17,2,16,4,7,4,8
"349",18,2,18,4,8,5,9
"350",16,5,20,9,10,2,7
"351",0,0,0,0,0,0,0
"352",12,4,15,5,9,3,9
"353",0,0,0,0,0,0,0
"354",17,0,19,0,0,0,0
"355",15,3,18,6,10,1,12
"356",0,0,0,0,0,0,0
"357",18,3,14,4,8,4,11
"358",14,5,19,5,7,5,6
"359",13,3,14,4,10,3,9
"360",16,4,25,5,11,5,8
"361",15,5,18,3,6,2,6
"362",18,4,15,8,10,1,9
"363",14,2,13,5,8,3,8
"364",15,4,11,5,10,4,11
"365",18,6,12,6,8,4,12
"366",17,3,18,6,9,3,8
"367",22,4,14,8,7,3,8
"368",16,5,19,6,10,5,11
"369",12,7,17,4,8,2,10
"370",13,6,13,5,10,4,10
"371",11,5,15,3,7,4,9
"372",18,3,13,3,9,2,6
"373",16,3,15,7,10,3,10
"374",15,5,17,5,12,4,8
"375",19,4,16,5,5,4,9
"376",15,6,15,3,9,2,8
"377",22,0,21,0,0,0,0
"378",17,4,12,3,7,2,8
"379",14,3,14,6,11,3,8
"380",17,3,14,7,6,3,8
"381",13,8,22,5,7,4,8
"382",0,0,0,0,0,0,0
"383",16,6,14,10,9,5,8
"384",18,6,14,5,9,4,10
"385",18,3,18,6,8,3,6
"386",0,0,0,0,0,0,0
"387",16,2,14,6,9,3,9
"388",18,4,16,5,12,3,10
"389",13,4,13,6,7,2,10
"390",15,4,15,6,7,4,11
"391",13,5,15,6,6,6,9
"392",0,0,1,0,0,0,0
"393",16,3,15,8,7,2,8
"394",19,0,22,0,0,0,0
"395",11,5,14,6,9,2,9
"396",19,3,19,6,6,5,5
"397",18,2,21,7,9,4,10
"398",18,9,18,11,9,5,13
"399",12,6,15,6,12,4,8
"400",0,0,0,0,0,0,0
"401",22,8,13,5,11,2,8
"402",14,6,20,4,8,3,11
"403",16,0,16,0,1,0,0
"404",13,4,18,6,8,4,6
"405",15,3,23,5,5,2,8
"406",15,0,16,0,0,0,0
"407",15,4,16,4,5,2,10
"408",18,5,11,5,8,6,7
"409",18,3,23,7,5,5,10
"410",0,0,0,0,0,0,0
"411",18,2,14,4,12,3,11
"412",0,0,0,0,0,0,0
"413",19,5,15,7,6,4,8
"414",16,5,13,6,11,4,7
"415",16,0,18,0,0,0,0
"416",23,5,17,6,10,3,8
"417",10,0,14,0,0,0,0
"418",18,5,15,4,11,3,7
"419",18,5,20,7,12,5,6
"420",0,0,0,0,0,0,0
"421",16,3,14,4,11,2,11
"422",18,5,17,11,9,1,6
"423",18,3,19,6,11,4,11
"424",18,2,12,6,6,6,7
"425",13,5,15,6,5,1,8
"426",15,7,15,5,11,5,10
"427",18,0,22,0,0,0,0
"428",17,4,13,7,9,2,7
"429",16,5,13,3,5,1,13
"430",17,6,16,8,11,8,8
"431",0,0,0,0,0,0,0
"432",14,2,13,4,11,3,9
"433",18,5,14,4,10,2,11
"434",17,4,17,6,9,4,7
"435",23,5,9,8,6,3,10
"436",9,4,21,5,8,4,11
"437",21,4,16,3,8,3,7
"438",20,6,16,4,12,3,10
"439",13,2,21,4,6,5,5
"440",13,3,17,8,9,3,7
"441",15,4,15,6,8,3,11
"442",15,3,11,6,12,3,6
"443",20,0,23,0,0,0,0
"444",13,3,24,3,7,3,10
"445",13,5,16,8,5,3,6
"446",16,4,14,6,6,2,9
"447",21,3,18,6,9,3,10
"448",10,6,16,6,11,3,9
"449",23,3,14,8,10,6,8
"450",0,0,0,0,0,0,0
"451",15,2,15,5,11,2,7
"452",12,5,15,6,9,2,9
"453",16,5,16,10,9,3,6
"454",18,4,14,4,8,2,10
"455",16,5,16,5,10,6,8
"456",19,6,10,6,6,2,9
"457",18,4,13,6,8,3,7
"458",17,4,14,8,9,4,15
"459",11,6,19,10,5,3,6
"460",12,5,17,3,8,3,10
"461",0,0,0,0,0,0,0
"462",0,0,0,0,0,0,0
"463",13,2,18,3,7,3,12
"464",18,4,18,5,5,4,7
"465",0,0,0,0,0,0,0
"466",20,2,20,2,10,2,8
"467",18,5,25,6,8,4,11
"468",20,4,15,6,9,3,8
"469",15,8,13,5,12,4,9
"470",21,4,16,3,8,2,6
"471",25,5,13,4,12,3,8
"472",15,5,12,4,7,4,6
"473",10,5,18,6,13,2,7
"474",17,3,15,2,7,3,8
"475",21,4,21,5,8,4,10
"476",14,6,15,7,10,4,8
"477",18,0,15,0,0,0,0
"478",18,5,23,6,10,2,13
"479",12,5,16,5,9,3,9
"480",17,5,14,5,10,3,8
"481",13,4,24,6,10,4,9
"482",16,4,16,6,9,3,10
"483",21,2,14,8,10,5,12
"484",22,5,14,6,9,2,5
"485",19,4,15,4,6,2,6
"486",18,6,13,7,8,3,5
"487",14,4,11,3,7,1,12
"488",12,5,16,9,8,2,6
"489",20,4,9,3,9,4,7
"490",12,5,18,8,8,4,10
"491",18,6,13,7,7,4,9
"492",0,0,0,0,0,0,0
"493",0,0,0,0,0,0,0
"494",14,5,19,4,5,4,8
"495",10,3,18,8,7,3,6
"496",14,5,13,8,7,5,11
"497",17,6,15,6,8,7,6
"498",19,3,17,10,9,2,7
"499",17,5,12,5,11,2,11
"500",15,4,22,6,8,3,10
