"","age1_orange.S","age1_green.S","age2_no_comorbid_orange.S","age2_no_comorbid_green.S","age2_comorbid_green.S","age3_no_comorbid_green.S","age3_comorbid_green.S"
"188",6492,6481,6362,6323,6482,6366,6385
"189",6,1,10,1,1,1,1
"190",1,1,1,1,1,1,1
"191",1,1,3,1,1,1,1
"192",1,1,1,1,1,1,1
"193",57,1,29,1,1,1,1
"194",3,1,4,1,1,1,1
"195",1,1,1,1,1,1,1
"196",1,1,1,1,1,1,1
"197",18,1,19,1,1,1,1
"198",222,1,209,1,1,1,1
"199",1,1,1,1,1,1,1
"200",1,1,1,1,1,1,1
"201",4,1,6,1,1,1,1
"202",1,1,1,1,1,1,1
"203",1,1,1,1,1,1,1
"204",1,1,3,1,1,1,1
"205",3,1,6,1,1,1,1
"206",103,119,96,122,118,130,1
"207",42,1,43,1,1,1,1
"208",1,1,1,1,1,1,1
"209",1,1,1,1,1,1,1
"210",7,1,4,1,1,1,1
"211",17,1,11,1,1,1,1
"212",3,1,7,1,1,1,1
"213",24,1,17,1,1,1,1
"214",3,1,13,1,1,1,1
"215",1,1,1,1,1,1,1
"216",64,1,41,1,1,1,1
"217",1,1,1,1,1,1,1
"218",1,1,1,1,1,1,1
"219",1,1,1,1,1,1,1
"220",3,1,5,1,1,1,1
"221",1,1,1,1,1,1,1
"222",35,1,37,1,1,1,1
"223",7,1,1,1,1,1,1
"224",46,1,52,1,1,1,1
"225",7,1,1,1,1,1,1
"226",1,1,1,1,1,1,1
"227",243,73,235,1,1,1,1
"228",1,1,1,1,1,1,1
"229",1,1,1,1,1,1,1
"230",19,1,8,1,1,1,1
"231",1,1,1,1,1,1,1
"232",1,1,6,1,1,1,1
"233",5,1,4,1,1,1,1
"234",1,1,3,1,1,1,1
"235",1,1,1,1,1,1,1
"236",1,1,1,1,1,1,1
"237",6548,6915,6685,6975,6957,6845,6962
"238",1,1,1,1,1,1,1
"239",40,1,34,1,1,1,1
"240",1,1,1,1,1,1,1
"241",1187,1,1196,1,1,1,1
"242",30,1,35,1,1,1,1
"243",1,1,3,1,1,1,1
"244",16,1,10,1,1,1,1
"245",1,1,1,1,1,1,1
"246",1,1,1,1,1,1,1
"247",1,1,1,1,1,1,1
"248",1,1,1,1,1,1,1
"249",1,1,1,1,1,1,1
"250",1,1,1,1,1,1,1
"251",6374,6556,6419,6622,6587,6587,6626
"252",1,1,1,1,1,1,1
"253",26,1,23,1,1,1,1
"254",1,1,4,1,1,1,1
"255",490,1,398,1,1,1,1
"256",1,1,1,1,1,1,1
"257",1,1,1,1,1,1,1
"258",5336,5596,5555,5621,5686,5539,5689
"259",1,1,1,1,1,1,1
"260",1,1,1,1,1,1,1
"261",5398,5639,5666,5730,5739,5739,5737
"262",1,1,1,1,1,1,1
"263",1,1,1,1,1,1,1
"264",1,1,1,1,1,1,1
"265",1,1,1,1,1,1,1
"266",1,1,1,1,1,1,1
"267",1,1,1,1,1,1,1
"268",3,1,1,1,1,1,1
"269",13,1,1,1,1,1,1
"270",3,1,1,1,1,1,1
"271",1,1,1,1,1,1,1
"272",1,1,3,1,1,1,1
"273",1,1,3,1,1,1,1
"274",1,1,3,1,1,1,1
"275",5,1,19,1,1,1,1
"276",1,1,1,1,1,1,1
"277",1,1,1,1,1,1,1
"278",1,1,1,1,1,1,1
"279",18,1,8,1,1,1,1
"280",1,1,1,1,1,1,1
"281",1,1,1,1,1,1,1
"282",1,1,1,1,1,1,1
"283",1,1,1,1,1,1,1
"284",1,1,1,1,1,1,1
"285",1,1,1,1,1,1,1
"286",1,1,1,1,1,1,1
"287",17,1,16,1,1,1,1
"288",1,1,1,1,1,1,1
"289",1,1,1,1,1,1,1
"290",12,1,3,1,1,1,1
"291",3,1,4,1,1,1,1
"292",54,1,45,1,1,1,1
"293",22,1,1,1,1,1,1
"294",3,1,4,1,1,1,1
"295",1,1,1,1,1,1,1
"296",1,1,1,1,1,1,1
"297",1,1,1,1,1,1,1
"298",1,1,1,1,1,1,1
"299",11,1,3,1,1,1,1
"300",1,1,1,1,1,1,1
"301",5246,5674,5685,5725,5639,5577,5770
"302",6232,6432,6418,6385,6445,6302,6406
"303",1,1,1,1,1,1,1
"304",1,1,3,1,1,1,1
"305",1,1,1,1,1,1,1
"306",1,1,1,1,1,1,1
"307",33,1,39,1,1,1,1
"308",130,1,108,1,1,1,1
"309",39,1,5,1,1,1,1
"310",1,1,1,1,1,1,1
"311",1,1,3,1,1,1,1
"312",15,1,13,1,1,1,1
"313",3,1,1,1,1,1,1
"314",1,1,1,1,1,1,1
"315",1,1,1,1,1,1,1
"316",1,1,3,1,1,1,1
"317",1,1,5,1,1,1,1
"318",3,1,4,1,1,1,1
"319",1,1,1,1,1,1,1
"320",10,1,1,1,1,1,1
"321",1,1,1,1,1,1,1
"322",1,1,1,1,1,1,1
"323",30,1,25,1,1,1,1
"324",1,1,1,1,1,1,1
"325",5,1,3,1,1,1,1
"326",113,1,84,1,1,1,1
"327",1,1,1,1,1,1,1
"328",6508,6674,6621,6714,6688,6392,6689
"329",1,1,1,1,1,1,1
"330",1,1,1,1,1,1,1
"331",11,1,15,1,1,1,1
"332",1,1,1,1,1,1,1
"333",1,1,1,1,1,1,1
"334",1,1,1,1,1,1,1
"335",1,1,1,1,1,1,1
"336",1,1,1,1,1,1,1
"337",369,228,350,1,283,1,212
"338",1,1,1,1,1,1,1
"339",151,1,103,1,1,1,1
"340",6,1,1,1,1,1,1
"341",212,1,191,1,1,1,1
"342",1,1,1,1,1,1,1
"343",1,1,1,1,1,1,1
"344",1,1,1,1,1,1,1
"345",3,1,8,1,1,1,1
"346",1,1,1,1,1,1,1
"347",3,1,4,1,1,1,1
"348",1,1,6,1,1,1,1
"349",1,1,1,1,1,1,1
"350",1,1,1,1,1,1,1
"351",1,1,1,1,1,1,1
"352",1,1,12,1,1,1,1
"353",5629,6083,6001,6088,6083,6021,6010
"354",1,1,1,1,1,1,1
"355",1,1,1,1,1,1,1
"356",1,1,1,1,1,1,1
"357",1,1,1,1,1,1,1
"358",7,1,12,1,1,1,1
"359",6343,6377,6413,6511,6512,6432,6547
"360",949,1,979,1,856,1,1
"361",1,1,1,1,1,1,1
"362",1,1,1,1,1,1,1
"363",1,1,1,1,1,1,1
"364",6,1,1,1,1,1,1
"365",3,1,6,1,1,1,1
"366",1,1,4,1,1,1,1
"367",1,1,1,1,1,1,1
"368",5105,5062,5071,5080,5041,5009,3464
"369",1,1,1,1,1,1,1
"370",3,1,1,1,1,1,1
"371",55,1,52,1,1,1,1
"372",1,1,6,1,1,1,1
"373",21,1,14,1,1,1,1
"374",1,1,1,1,1,1,1
"375",1,1,1,1,1,1,1
"376",1,1,1,1,1,1,1
"377",25,1,33,1,1,1,1
"378",4,1,1,1,1,1,1
"379",19,1,12,1,1,1,1
"380",11,1,18,1,1,1,1
"381",1302,313,1305,1,465,330,1
