"","age1_orange.D","age1_green.D","age2_no_comorbid_orange.D","age2_no_comorbid_green.D","age2_comorbid_green.D","age3_no_comorbid_green.D","age3_comorbid_green.D"
"1",3.19148936170213,0,5.30660377358491,0,0,0,0
"2",4.12234042553191,0,4.00943396226415,0,0,0,0
"3",3.45744680851064,0,5.07075471698113,0,0,0,0
"4",2.52659574468085,0,3.65566037735849,0,0,0,0
"5",4.25531914893617,0,4.4811320754717,0,0,0,0
"6",4.25531914893617,0,3.89150943396226,0,0,0,0
"7",4.12234042553191,0,5.77830188679245,0,0,0,0
"8",3.45744680851064,0,5.30660377358491,0,0,0,0
"9",3.05851063829787,0,4.71698113207547,0,0,0,0
"10",2.92553191489362,0,4.71698113207547,0,0,0,0
"11",3.8563829787234,0,6.01415094339623,0,0,0,0
"12",3.45744680851064,0,4.4811320754717,0,0,0,0
"13",0,0,0,0,0,0,0
"14",4.25531914893617,0,4.4811320754717,0,0,0,0
"15",4.65425531914894,0,5.42452830188679,0,0,0,0
"16",3.19148936170213,0,3.65566037735849,3.19829424307036,19.9680511182109,9.09090909090909,37.5335120643432
"17",2.92553191489362,3.20512820512821,5.30660377358491,1.06609808102345,23.961661341853,13.6363636363636,38.8739946380697
"18",3.19148936170213,0,3.77358490566038,0,0,0,0
"19",2.79255319148936,0,4.95283018867925,0,0,0,0
"20",5.0531914893617,0,4.59905660377358,0,0,0,0
"21",3.98936170212766,0,4.95283018867925,0,0,0,0
"22",0,0,0,0,0,0,0
"23",3.59042553191489,0,4.00943396226415,0,0,0,0
"24",3.45744680851064,0,4.71698113207547,0,0,0,0
"25",4.78723404255319,0,5.54245283018868,0,0,0,0
"26",4.52127659574468,0,4.59905660377358,0,0,0,0
"27",4.12234042553191,0,4.12735849056604,0,0,0,0
"28",3.45744680851064,0,4.59905660377358,0,0,0,0
"29",0,0,0,0,0,0,0
"30",3.8563829787234,0,4.24528301886792,0,0,0,0
"31",3.45744680851064,0,5.30660377358491,0,0,0,0
"32",3.72340425531915,0,6.72169811320755,0,0,0,0
"33",4.25531914893617,0,5.30660377358491,0,0,0,0
"34",0,0,0,0,0,0,0
"35",3.32446808510638,0,3.77358490566038,0,0,0,0
"36",4.25531914893617,0,4.36320754716981,0,0,0,0
"37",0,0,0,0,0,0,0
"38",3.45744680851064,0,5.30660377358491,0,0,0,0
"39",4.25531914893617,0,5.66037735849057,0,0,0,0
"40",4.25531914893617,0,5.18867924528302,0,0,0,0
"41",3.32446808510638,0,4.36320754716981,0,0,0,0
"42",0,0,0.117924528301887,0,0,0,0
"43",4.12234042553191,0,3.65566037735849,0,0,0,0
"44",2.26063829787234,0,3.41981132075472,0,0,0,0
"45",3.59042553191489,1.6025641025641,4.00943396226415,4.26439232409382,23.1629392971246,15.9090909090909,44.2359249329759
"46",3.19148936170213,0,4.71698113207547,0,0,0,0
"47",3.19148936170213,0,4.24528301886792,0,0,0,0
"48",3.72340425531915,0,4.24528301886792,0,0,0,0
"49",3.19148936170213,0,4.71698113207547,0,0,0,0
"50",0,0,0,0,0,0,0
"51",3.98936170212766,0,5.18867924528302,0,0,0,0
"52",3.32446808510638,0,4.4811320754717,0,0,0,0
"53",3.8563829787234,0,3.89150943396226,0,0,0,0
"54",0,0,0,0,0,0,0
"55",4.52127659574468,0,5.18867924528302,0,0,0,0
"56",3.45744680851064,0,4.95283018867925,0,0,0,0
"57",3.32446808510638,0,4.4811320754717,0,0,0,0
"58",3.32446808510638,0,4.12735849056604,0,0,0,0
"59",3.19148936170213,0,4.4811320754717,0,0,0,0
"60",4.25531914893617,0,3.89150943396226,0,0,0,0
"61",2.92553191489362,0,4.24528301886792,0,0,0,0
"62",3.19148936170213,0,5.42452830188679,0,0,0,0
"63",4.92021276595745,0,5.42452830188679,0,0,0,0
"64",3.8563829787234,0,5.42452830188679,0,0,0,0
"65",4.78723404255319,4.80769230769231,6.13207547169811,4.26439232409382,18.370607028754,11.3636363636364,34.8525469168901
"66",4.12234042553191,0,3.89150943396226,0,0,0,0
"67",3.05851063829787,0,6.01415094339623,0,0,0,0
