"","age1_orange.P","age2_no_comorbid_orange.P","age2_comorbid_green.P","age3_no_comorbid_green.P","age3_comorbid_green.P"
"82",36,38,72,75,75
"83",52,55,118,121,121
"84",44,46,86,89,89
"85",46,48,91,94,94
"86",52,56,111,115,115
"87",52,56,109,113,113
"88",58,61,121,124,124
"89",65,69,152,156,156
"90",78,82,190,195,195
"91",37,39,74,76,76
"92",50,53,100,103,103
"93",36,38,69,72,72
"94",73,77,162,166,166
"95",56,60,112,116,116
"96",41,44,83,86,86
"97",45,47,91,94,94
"98",55,58,116,119,119
"99",50,53,111,114,114
"100",52,55,109,113,113
"101",38,40,75,77,77
"102",59,63,124,128,128
"103",42,45,91,94,94
"104",76,80,200,204,204
"105",40,43,77,80,80
"106",49,52,100,103,103
"107",59,62,133,137,137
"108",56,59,117,121,121
"109",38,40,76,78,78
"110",100,105,222,229,229
"111",41,43,87,89,89
"112",43,46,86,89,89
"113",27,29,55,57,57
"114",49,52,100,103,103
"115",31,32,58,60,60
"116",60,63,122,126,126
"117",46,49,94,97,97
"118",38,40,77,79,79
"119",54,57,117,120,120
"120",30,32,59,61,61
"121",68,72,149,153,153
"122",42,44,88,91,91
"123",47,50,93,96,96
"124",44,47,90,93,93
"125",62,66,140,144,144
"126",74,78,162,167,167
"127",35,37,69,72,72
"128",57,60,121,125,125
"129",44,46,87,90,90
"130",51,53,109,112,112
"131",49,51,103,106,106
"132",63,66,133,137,137
"133",36,38,72,74,74
"134",80,84,167,172,172
"135",39,41,79,82,82
"136",75,79,190,194,194
"137",56,59,124,127,127
"138",45,47,98,101,101
"139",51,54,108,111,111
"140",66,70,146,150,150
"141",39,41,75,78,78
"142",60,64,134,138,138
"143",52,55,120,124,124
"144",36,39,74,77,77
"145",45,48,95,98,98
"146",39,42,77,80,80
"147",55,58,108,112,112
"148",59,62,123,127,127
"149",51,54,99,103,103
"150",64,68,139,143,143
"151",53,56,109,112,112
"152",65,69,140,145,145
"153",38,40,77,80,80
"154",48,51,95,98,98
"155",30,32,60,62,62
"156",65,69,139,143,143
"157",48,51,97,100,100
"158",48,51,100,104,104
"159",37,39,73,76,76
"160",68,72,150,154,154
"161",48,51,93,97,97
"162",69,72,147,152,152
"163",48,51,100,103,103
"164",71,75,156,160,160
"165",52,55,111,115,115
"166",51,53,107,110,110
"167",45,47,93,96,96
"168",54,57,116,119,119
"169",44,46,87,89,89
"170",45,48,91,94,94
"171",57,60,120,124,124
"172",48,51,96,100,100
"173",40,42,80,83,83
"174",42,45,84,87,87
"175",38,40,74,76,76
"176",47,50,90,93,93
"177",49,52,101,105,105
"178",59,62,123,127,127
"179",47,50,94,97,97
"180",56,59,119,122,122
"181",109,114,295,300,300
"182",46,49,92,95,95
"183",45,48,89,92,92
"184",46,49,92,95,95
"185",38,41,72,75,75
"186",40,43,82,85,85
"187",79,84,186,190,190
"188",60,63,133,137,137
"189",39,41,81,84,84
"190",64,67,138,142,142
"191",43,46,94,96,96
"192",36,38,72,74,74
"193",49,52,97,101,101
"194",37,39,74,77,77
"195",70,74,161,165,165
"196",57,61,120,124,124
"197",52,55,104,108,108
"198",48,51,98,101,101
"199",46,49,88,91,91
"200",47,50,96,100,100
"201",39,41,79,82,82
"202",65,68,145,149,149
"203",53,56,112,116,116
"204",64,67,145,149,149
"205",51,54,102,105,105
"206",39,42,77,80,80
"207",63,66,133,137,137
"208",49,52,95,98,98
"209",33,35,65,67,67
"210",44,46,94,97,97
"211",38,40,74,77,77
"212",50,53,103,106,106
"213",50,53,101,104,104
"214",29,31,61,63,63
"215",65,68,139,143,143
"216",50,53,104,107,107
"217",58,61,118,122,122
"218",47,50,107,110,110
"219",55,58,111,115,115
"220",51,54,109,112,112
"221",47,50,93,96,96
"222",42,45,88,91,91
"223",48,51,98,101,101
"224",47,50,93,96,96
"225",56,60,118,122,122
"226",41,43,83,85,85
"227",39,41,78,81,81
"228",31,33,59,61,61
"229",67,71,152,156,156
"230",44,46,85,88,88
"231",50,53,105,108,108
"232",37,39,75,78,78
"233",49,52,95,98,98
"234",55,58,118,122,122
"235",60,64,131,135,135
"236",46,49,95,98,98
"237",73,77,165,169,169
"238",43,46,83,86,86
"239",51,54,106,109,109
"240",48,51,103,106,106
"241",49,51,101,105,105
"242",53,56,109,113,113
"243",51,54,101,104,104
"244",43,46,85,88,88
"245",37,39,75,77,77
"246",57,60,126,129,129
"247",43,45,86,89,89
"248",68,72,140,144,144
"249",44,47,91,94,94
"250",48,51,96,99,99
"251",57,60,120,124,124
"252",45,48,94,97,97
"253",41,44,87,89,89
"254",57,60,115,119,119
"255",41,43,82,85,85
"256",49,52,98,102,102
"257",38,40,77,80,80
"258",44,47,91,94,94
"259",54,57,119,122,122
"260",48,51,97,100,100
"261",44,47,90,93,93
"262",59,62,121,125,125
"263",47,50,95,98,98
"264",69,73,142,147,147
"265",36,38,75,78,78
"266",60,63,136,139,139
"267",46,49,93,96,96
"268",51,54,112,115,115
"269",31,33,62,64,64
"270",66,70,143,147,147
"271",59,63,131,135,135
"272",63,67,141,144,144
"273",43,45,86,89,89
"274",38,40,74,77,77
"275",35,37,70,72,72
"276",35,37,71,74,74
"277",76,80,172,177,177
"278",67,70,144,148,148
"279",51,54,100,104,104
"280",46,48,91,94,94
"281",50,53,112,115,115
"282",64,67,173,176,176
"283",51,54,101,105,105
"284",44,46,88,91,91
"285",40,42,80,83,83
"286",53,56,114,117,117
"287",46,48,99,102,102
"288",42,45,84,87,87
"289",58,61,119,123,123
"290",54,58,114,117,117
"291",51,54,105,108,108
"292",45,47,85,88,88
"293",44,47,86,89,89
"294",55,58,128,131,131
"295",43,46,87,90,90
"296",73,78,161,166,166
"297",47,50,97,100,100
"298",71,75,162,166,166
"299",42,45,87,90,90
"300",45,48,88,91,91
"301",41,44,81,84,84
"302",40,42,82,85,85
"303",43,46,85,88,88
"304",51,54,103,107,107
"305",60,63,126,130,130
"306",42,44,88,91,91
"307",98,102,242,248,248
"308",56,60,125,128,128
"309",44,46,92,95,95
"310",40,42,86,89,89
"311",59,62,123,127,127
"312",50,53,112,115,115
"313",53,56,110,114,114
"314",52,55,110,113,113
"315",62,65,125,129,129
"316",58,61,122,126,126
"317",51,54,101,104,104
"318",44,47,89,92,92
"319",47,50,100,103,103
"320",45,47,94,97,97
"321",36,38,75,77,77
"322",43,45,87,90,90
"323",56,59,114,117,117
"324",44,47,90,93,93
"325",57,61,124,128,128
"326",32,34,65,67,67
"327",43,45,86,89,89
"328",79,84,193,198,198
"329",67,71,147,151,151
"330",57,60,120,124,124
"331",61,65,130,134,134
"332",47,50,98,101,101
"333",55,58,112,115,115
"334",75,79,161,165,165
"335",57,61,126,130,130
"336",46,49,92,95,95
"337",48,51,96,100,100
"338",55,58,123,127,127
"339",51,55,107,110,110
"340",34,36,64,67,67
"341",37,39,73,76,76
"342",46,49,98,101,101
"343",62,66,129,133,133
"344",70,74,154,158,158
"345",57,60,123,127,127
"346",39,41,73,76,76
"347",42,45,86,89,89
"348",45,48,91,94,94
"349",48,50,96,99,99
"350",70,74,206,210,210
"351",52,55,115,118,118
"352",38,40,74,77,77
"353",40,43,79,82,82
"354",46,49,91,94,94
"355",45,48,92,95,95
"356",32,34,64,66,66
"357",46,48,89,92,92
"358",40,43,79,81,81
"359",42,45,88,91,91
"360",50,53,110,113,113
"361",49,52,103,106,106
"362",47,50,93,96,96
"363",57,60,125,129,129
"364",45,48,95,98,98
"365",59,63,116,120,120
"366",47,50,98,101,101
"367",38,40,81,83,83
"368",48,51,100,103,103
"369",40,43,81,84,84
"370",65,69,136,140,140
"371",44,47,89,92,92
"372",28,30,58,60,60
"373",36,38,74,76,76
"374",57,60,129,132,132
"375",48,51,97,101,101
"376",55,58,115,119,119
"377",46,49,89,92,92
"378",68,72,160,164,164
"379",80,84,181,186,186
"380",45,48,89,92,92
"381",48,51,96,99,99
"382",38,41,75,77,77
"383",65,68,135,139,139
"384",36,38,76,79,79
"385",34,36,73,75,75
"386",57,61,125,129,129
"387",49,52,98,102,102
"388",48,51,101,104,104
"389",49,52,98,101,101
"390",45,48,93,96,96
"391",53,56,110,113,113
"392",76,80,193,197,197
"393",47,49,103,106,106
"394",48,51,103,106,106
