"","age1_orange.H","age2_no_comorbid_orange.H","age2_comorbid_green.H","age3_no_comorbid_green.H","age3_comorbid_green.H"
"1",50,52,93,96,97
"2",67,71,126,131,131
"3",71,75,132,136,135
"4",65,69,131,134,134
"5",46,49,80,83,83
"6",62,66,131,134,134
"7",61,64,111,114,116
"8",59,63,112,115,115
"9",79,83,161,165,166
"10",48,51,89,92,91
"11",60,64,107,111,110
"12",52,56,94,97,98
"13",71,75,135,139,139
"14",71,75,141,145,146
"15",58,62,108,112,112
"16",60,63,112,115,116
"17",75,79,141,145,145
"18",65,68,116,121,121
"19",52,55,94,97,97
"20",56,60,98,102,102
"21",57,61,103,107,106
"22",64,68,121,124,125
"23",62,66,117,121,121
"24",66,70,127,131,131
"25",70,74,131,135,135
"26",87,91,205,209,208
"27",50,53,89,92,93
"28",75,79,142,147,147
"29",73,77,137,141,141
"30",62,65,119,123,123
"31",60,63,104,107,107
"32",89,94,182,187,188
"33",40,43,72,75,75
"34",51,54,92,95,95
"35",64,67,124,128,128
"36",82,87,155,160,162
"37",76,80,154,158,158
"38",58,61,109,113,112
"39",74,78,154,158,159
"40",58,62,104,108,107
"41",70,74,128,132,132
"42",62,66,120,123,123
"43",49,52,90,93,93
"44",64,68,118,123,123
"45",54,58,97,100,100
"46",50,53,89,93,93
"47",59,63,112,116,115
"48",68,72,130,134,133
"49",72,76,135,139,139
"50",84,89,171,175,176
"51",56,59,102,105,105
"52",67,71,129,133,133
"53",58,62,106,109,108
"54",75,79,140,145,145
"55",57,60,102,106,107
"56",70,74,132,135,136
"57",69,73,128,132,132
"58",44,47,80,83,84
"59",59,63,113,117,118
"60",66,69,124,128,129
"61",79,83,156,161,161
"62",62,65,111,115,115
"63",70,74,143,147,146
"64",58,61,114,117,116
"65",89,94,183,188,188
"66",57,61,115,118,117
"67",49,51,88,91,91
"68",50,53,88,91,90
"69",52,55,89,93,93
"70",74,79,135,139,140
"71",60,64,109,113,114
"72",73,78,138,142,142
"73",67,71,127,132,130
"74",52,56,91,94,96
"75",81,85,161,166,166
"76",66,70,121,125,126
"77",52,55,92,95,95
"78",63,67,117,121,121
"79",80,84,164,168,169
"80",56,60,102,105,105
"81",54,57,95,98,98
"82",49,52,87,90,91
"83",59,62,125,128,127
"84",60,64,105,109,110
"85",55,58,101,104,105
"86",70,75,131,136,136
"87",66,70,124,128,128
"88",70,74,134,138,139
"89",75,80,163,167,168
"90",88,92,201,205,205
"91",49,52,87,90,89
"92",60,63,110,114,114
"93",48,51,82,85,85
"94",86,90,175,180,178
"95",75,80,131,137,135
"96",55,58,99,102,102
"97",56,60,104,107,107
"98",66,70,128,131,132
"99",63,66,124,128,127
"100",64,68,123,126,127
"101",48,51,86,89,89
"102",71,75,137,141,140
"103",51,54,102,105,105
"104",88,92,211,215,214
"105",52,55,89,93,93
"106",59,62,112,115,117
"107",69,72,144,148,147
"108",66,70,128,132,131
"109",52,55,92,95,95
"110",120,126,243,250,249
"111",52,55,99,102,102
"112",55,58,98,101,102
"113",35,37,63,65,65
"114",64,67,116,120,119
"115",40,42,68,71,71
"116",79,84,144,149,149
"117",57,60,105,109,109
"118",48,51,88,91,91
"119",64,68,127,130,129
"120",42,44,72,75,75
"121",80,84,161,165,164
"122",49,52,96,99,100
"123",59,63,106,110,109
"124",61,64,109,113,114
"125",75,79,154,158,157
"126",90,96,180,185,185
"127",48,51,84,87,88
"128",70,74,137,141,142
"129",58,62,104,108,108
"130",61,65,120,124,123
"131",61,65,117,121,120
"132",74,79,145,150,149
"133",47,50,85,88,89
"134",98,104,188,194,194
"135",49,51,90,93,93
"136",84,89,200,204,203
"137",67,70,136,140,139
"138",53,56,106,109,108
"139",61,65,119,122,122
"140",81,85,161,166,166
"141",53,56,91,94,93
"142",75,80,151,155,155
"143",67,70,137,141,140
"144",49,52,89,92,93
"145",57,60,108,111,111
"146",52,55,91,94,94
"147",68,72,122,126,125
"148",72,76,137,141,142
"149",67,71,117,122,122
"150",78,82,153,158,158
"151",63,66,119,123,122
"152",83,88,161,166,167
"153",46,49,87,90,90
"154",58,62,106,109,109
"155",42,44,71,74,73
"156",81,85,157,162,162
"157",62,66,112,116,116
"158",63,67,117,121,123
"159",48,51,85,88,88
"160",83,88,167,172,172
"161",63,67,110,114,114
"162",85,90,166,171,172
"163",60,64,115,118,119
"164",85,90,172,176,176
"165",63,67,123,126,127
"166",66,70,125,129,129
"167",57,60,106,110,110
"168",67,71,131,135,136
"169",55,58,99,102,103
"170",58,62,105,109,109
"171",71,74,136,140,141
"172",61,65,111,115,115
"173",55,59,98,101,103
"174",54,58,98,101,101
"175",54,57,92,95,97
"176",60,64,105,109,109
"177",65,69,120,124,124
"178",71,75,136,140,140
