"time" "age1_orange.S" "age2_no_comorbid_orange.S" "age2_comorbid_green.S" "age3_no_comorbid_green.S" "age3_comorbid_green.S" "age1_orange.E" "age2_no_comorbid_orange.E" "age2_comorbid_green.E" "age3_no_comorbid_green.E" "age3_comorbid_green.E" "age1_orange.P" "age2_no_comorbid_orange.P" "age2_comorbid_green.P" "age3_no_comorbid_green.P" "age3_comorbid_green.P" "age1_orange.A" "age2_no_comorbid_orange.A" "age2_comorbid_green.A" "age3_no_comorbid_green.A" "age3_comorbid_green.A" "age1_orange.I" "age2_no_comorbid_orange.I" "age2_comorbid_green.I" "age3_no_comorbid_green.I" "age3_comorbid_green.I" "age1_orange.H" "age2_no_comorbid_orange.H" "age2_comorbid_green.H" "age3_no_comorbid_green.H" "age3_comorbid_green.H" "age1_orange.R" "age2_no_comorbid_orange.R" "age2_comorbid_green.R" "age3_no_comorbid_green.R" "age3_comorbid_green.R" "age1_orange.D" "age2_no_comorbid_orange.D" "age2_comorbid_green.D" "age3_no_comorbid_green.D" "age3_comorbid_green.D"
0 814 941 125.2 44 74.6 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 813.961328693388 940.973184981131 125.199987469382 43.99999560975 74.5999925565306 0.0348346847651771 0.754142950454438 1.12649631217383e-05 3.94628034807271e-06 6.69073895377782e-06 0.00352067977181057 0.229021246634364 1.16022544010825e-06 4.06964475997617e-07 6.89989770668686e-07 4.98617418511971e-05 0.00675007942258975 1.66347751098122e-08 5.83867161846953e-09 9.89920233495061e-09 0.00025676627182458 0.0347508503548619 8.56181716715794e-08 3.0042450921122e-08 5.08764878286866e-08 7.16567008956527e-07 0.000171802159549431 7.49081341660473e-10 2.41810391731144e-10 9.9597840833261e-10 8.55835847471449e-06 0.0019566964165024 2.30814748284776e-09 8.52538202954857e-10 8.03239915974327e-10 3.91355565344501e-08 2.13934262498778e-05 1.19061988694926e-10 2.97343948777642e-11 1.65735431941931e-10
2 813.856217475735 940.90029737581 125.199955877235 43.9999846780643 74.5999740223545 0.116963743750681 0.61398869047841 3.56924066838356e-05 1.2381208680083e-05 2.0991776534868e-05 0.0225861528850885 0.341925243533991 7.07657216976006e-06 2.4673608782775e-06 4.18329821635231e-06 0.000648079116729191 0.0210840237260734 2.07111920269952e-07 7.24123626292617e-08 1.22771869366885e-07 0.00333451086594561 0.108420819485469 1.06452599677518e-06 3.71966297217196e-07 6.29169255523724e-07 1.87351488201332e-05 0.00109566582959306 1.88600196637877e-08 6.06999180620081e-09 2.4976867236974e-08 0.000229752894210368 0.0130004257166661 5.96991713151375e-08 2.19864506367675e-08 2.07070662501099e-08 1.54960392213845e-06 0.00018775542004381 3.58869671720272e-09 9.31027747924466e-10 4.94569845835991e-09
3 813.693254667326 940.787286108956 125.199908507834 43.9999686590605 74.5999468628616 0.226455438554553 0.54603606826344 6.70513789863561e-05 2.28923631090047e-05 3.88129610893579e-05 0.0621430858266765 0.395466351824299 1.88186961676076e-05 6.49520671031544e-06 1.10123277406712e-05 0.00269323340859474 0.0376051357047399 8.33132273521718e-07 2.89374777193073e-07 4.90621781331891e-07 0.0138454758892789 0.193150132064576 4.27622187196043e-06 1.48391537577498e-06 2.5069614613325e-06 0.0001172731519168 0.00297373597249114 1.14505971872528e-07 3.66739909526429e-08 1.50756828218313e-07 0.00147765336843405 0.0368216375850135 3.72644852955666e-07 1.36596227734647e-07 1.28597918915115e-07 1.31724743007942e-05 0.000660829629424442 2.55859770429454e-08 6.80930964751208e-09 3.49115153201949e-08
4 813.473297828902 940.634736320072 125.19984389086 43.9999474131875 74.5999108414497 0.355330412376632 0.530387920313836 0.000104809902453505 3.50650456993517e-05 5.94511911175372e-05 0.122218762824541 0.423064979717381 3.63886839946507e-05 1.23861708877417e-05 2.10001897323984e-05 0.00706698502745106 0.053906330068679 2.13959383095204e-06 7.36365095592858e-07 1.24847354843698e-06 0.036299349812832 0.276550171919266 1.09667948225238e-05 3.76966659872664e-06 6.36091691017999e-06 0.000410488730994807 0.00572274298293084 3.91726264612371e-07 1.24618166583032e-07 5.11762081792372e-07 0.00531731042100292 0.0740463938183604 1.3113099558615e-06 4.77577463477025e-07 4.49440809395528e-07 5.88619046598709e-05 0.00158514110791268 1.01128602775523e-07 2.73685704648914e-08 1.36576053726847e-07
5 813.191553261613 940.439309892398 125.199757753103 43.9999198720824 74.5998641467578 0.502579300800693 0.555862974476213 0.00015095686682676 4.93837049991423e-05 8.37278271121821e-05 0.201768197408808 0.444454513984499 6.00456850250836e-05 2.00980314268998e-05 3.40752987374255e-05 0.0144956586813417 0.0692394885332226 4.34273552285066e-06 1.47754757026226e-06 2.50511474412646e-06 0.0743940940036959 0.354802614187482 2.22296710430472e-05 7.55144756030632e-06 1.27273738115719e-05 0.00104912796622523 0.0091696417089709 9.86130309987398e-07 3.11056677162703e-07 1.27614233971583e-06 0.0139759930664728 0.12408578108584 3.39589444312682e-06 1.22685354799742e-06 1.15414061214852e-06 0.000184366459999258 0.00307509362600434 2.89914165094761e-07 7.92758477114056e-08 3.8734480554258e-07
6 812.838645394018 940.194484246133 125.199643804231 43.9998843288832 74.5998038848791 0.671380568856442 0.617020150760163 0.00020866558372773 6.67460187717105e-05 0.000113164840917491 0.300414890582612 0.471525078554569 9.06876163827501e-05 2.97946494142134e-05 5.05154737795527e-05 0.0255677590212594 0.0837518917544897 7.6597765818822e-06 2.57157956892697e-06 4.35999626913527e-06 0.131110773289293 0.428702510493993 3.91595278922399e-05 1.31219799706317e-05 2.20913963006736e-05 0.00220510745344151 0.0131494437145404 2.05724305617491e-06 6.4241690386333e-07 2.63305212641554e-06 0.0302142669216743 0.186149433951209 7.2860670459397e-06 2.60751222592609e-06 2.45208373602756e-06 0.000461239857602896 0.00521724463766626 6.79954809151095e-07 1.86959978319943e-07 8.98277684021604e-07
7 812.401003861735 939.890816530118 125.199493890428 43.9998385225571 74.5997262223354 0.867650810764199 0.712391395456595 0.000281852665149596 8.82824191994859e-05 0.000149678828915492 0.419145444081869 0.511856294661557 0.000129906008773325 4.18662470710462e-05 7.09823188977282e-05 0.0408084593681673 0.0980619087857072 1.23440401356657e-05 4.08384303443336e-06 6.92397023565292e-06 0.209100363537528 0.501461614231255 6.3033239127054e-05 2.08076440786462e-05 3.4994017975081e-05 0.00406176558143823 0.0175492855016611 3.78894422055025e-06 1.16978103237556e-06 4.79010488587893e-06 0.0572402863097323 0.259783617918562 1.37930346959935e-05 4.88417102091934e-06 4.59145055304002e-06 0.000989008621867904 0.0080793533271765 1.3916396627062e-06 3.83337459769597e-07 1.81697308467313e-06
8 811.860774388994 939.515875493916 125.199297793781 43.999779606344 74.599626332574 1.09939059860992 0.843473330339502 0.00037515532451715 0.000115322228194584 0.000195523595984453 0.560538909456176 0.570872245930611 0.000179973829974563 5.69189229479159e-05 9.6503446634421e-05 0.0607659924393487 0.113034243989192 1.871580054688e-05 6.09703744311013e-06 1.03372498467276e-05 0.311129876113945 0.577546304124967 9.54677504137687e-05 3.10227410180384e-05 5.21238427923014e-05 0.00681096330106481 0.0223246833584551 6.39661257542264e-06 1.95051647840775e-06 7.98008510329628e-06 0.09869271555887 0.345151893840164 2.39135589378039e-05 8.37136544522353e-06 7.86708539515038e-06 0.00189655552699536 0.0117218045014079 2.58334246006859e-06 7.1084451575051e-07 3.33212017115067e-06
9 811.195369171112 939.053920186017 125.199042806576 43.9997040439526 74.599498219974 1.37651510355497 1.01420778848173 0.000494106499365322 0.000149430423446562 0.000253352490661671 0.728827451332651 0.653174081504075 0.000243861271121609 7.57690523942282e-05 0.000128462984286578 0.0860931748797552 0.129673529582638 2.71889342954091e-05 8.71987045155561e-06 1.47841439928647e-05 0.440501619617377 0.662128394896363 0.000138555583220675 4.43136305328493e-05 7.4391101391941e-05 0.0106561688093658 0.0275024424453165 1.01390624900666e-05 3.05146622008335e-06 1.24740393135972e-05 0.158693613202138 0.443184198387894 3.88827778520255e-05 1.34485824198099e-05 1.26346118891221e-05 0.00334369749250229 0.0162093786848674 4.45929615373969e-06 1.22302200383863e-06 5.68065440017945e-06
