"","age1_orange.I","age2_no_comorbid_orange.I","age2_comorbid_green.I","age3_no_comorbid_green.I","age3_comorbid_green.I"
"124",50,52,96,100,100
"125",67,71,145,149,148
"126",80,84,168,173,173
"127",40,43,75,78,79
"128",62,66,128,132,133
"129",48,51,93,96,96
"130",56,59,114,117,116
"131",54,57,109,112,112
"132",68,72,139,143,142
"133",40,43,78,80,81
"134",86,91,174,179,179
"135",43,46,85,87,87
"136",80,85,196,200,199
"137",61,65,130,133,133
"138",50,52,103,106,105
"139",56,59,113,117,116
"140",72,76,152,156,156
"141",43,46,80,83,82
"142",66,70,140,144,144
"143",58,61,127,130,130
"144",41,44,80,83,84
"145",51,53,101,104,104
"146",44,47,82,85,86
"147",60,64,114,117,117
"148",65,68,129,133,133
"149",56,60,105,109,110
"150",70,74,145,149,149
"151",58,61,114,118,117
"152",71,75,147,152,153
"153",43,46,83,86,86
"154",54,57,101,104,104
"155",34,36,63,65,64
"156",71,75,145,150,150
"157",53,57,102,106,106
"158",54,57,107,110,112
"159",41,44,78,81,80
"160",74,78,156,161,161
"161",53,56,99,102,102
"162",74,79,154,159,160
"163",53,56,107,110,110
"164",77,81,162,166,166
"165",58,61,117,121,121
"166",56,59,113,116,116
"167",50,53,98,102,101
"168",59,63,122,126,127
"169",49,52,92,95,96
"170",51,54,97,100,101
"171",63,66,127,130,131
"172",53,56,102,106,106
"173",45,48,86,89,90
"174",47,50,90,93,92
"175",43,45,79,82,83
"176",52,55,96,100,100
"177",54,58,107,111,111
"178",64,68,129,133,133
"179",52,55,100,103,103
"180",62,65,125,128,128
"181",116,121,303,308,309
"182",51,54,99,102,103
"183",50,53,96,99,99
"184",51,54,96,100,98
"185",43,46,78,81,82
"186",45,48,88,91,91
"187",86,90,193,197,198
"188",65,68,138,142,141
"189",44,46,86,89,88
"190",69,73,143,147,147
"191",48,51,100,103,104
"192",41,43,78,80,81
"193",54,57,102,106,105
"194",42,44,80,83,84
"195",76,80,167,171,171
"196",63,66,127,131,132
"197",57,60,109,113,112
"198",53,56,104,107,107
"199",51,54,94,97,96
"200",52,55,103,106,106
"201",43,46,84,87,86
"202",71,74,152,156,156
"203",58,61,118,122,122
"204",69,73,151,155,154
"205",56,59,108,111,111
"206",44,47,83,86,86
"207",68,72,139,143,142
"208",55,58,100,104,104
"209",38,40,70,73,73
"210",49,52,99,102,101
"211",43,45,80,82,82
"212",55,58,109,112,113
"213",55,59,108,111,112
"214",34,36,66,69,68
"215",70,74,146,150,150
"216",55,58,109,112,111
"217",63,67,123,127,126
"218",53,55,112,116,115
"219",60,64,117,121,121
"220",57,60,114,118,117
"221",52,55,99,103,103
"222",47,50,93,96,95
"223",53,56,103,107,106
"224",52,55,99,103,103
"225",62,65,124,128,128
"226",45,48,88,91,91
"227",44,46,84,86,87
"228",36,38,63,66,65
"229",73,77,160,164,166
"230",49,52,91,94,95
"231",55,59,111,114,114
"232",42,44,81,84,84
"233",54,57,101,104,105
"234",60,64,124,128,128
"235",66,69,137,141,140
"236",51,54,101,104,105
"237",79,83,171,175,174
