"","age1_orange.I","age1_green.I","age2_no_comorbid_orange.I","age2_no_comorbid_green.I","age2_comorbid_green.I","age3_no_comorbid_green.I","age3_comorbid_green.I"
"286",134,13,141,15,27,11,10
"287",182,15,158,18,18,6,11
"288",167,0,164,0,0,0,0
"289",168,13,175,16,20,11,12
"290",0,0,1,0,0,0,0
"291",167,16,142,18,21,6,9
"292",175,13,147,18,22,9,15
"293",153,0,130,0,0,0,0
"294",169,14,175,15,29,12,13
"295",166,13,163,18,22,11,15
"296",152,15,172,19,25,5,12
"297",145,12,143,12,19,6,6
"298",0,0,1,0,0,0,0
"299",159,12,166,19,22,7,16
"300",153,0,153,0,0,0,0
"301",160,11,181,13,23,7,17
"302",171,16,164,18,24,12,12
"303",0,0,1,0,0,0,0
"304",0,0,1,0,0,0,0
"305",176,17,150,22,27,9,12
"306",185,0,157,1,0,0,0
"307",0,0,1,0,0,0,0
"308",148,12,169,25,26,7,14
"309",155,0,158,1,0,0,0
"310",147,0,151,0,0,0,0
"311",173,11,146,17,15,8,10
"312",164,0,136,0,0,0,0
"313",154,13,151,18,22,5,15
"314",152,0,155,0,0,0,0
"315",174,12,148,17,21,8,13
"316",150,1,153,0,0,0,0
"317",154,15,161,15,23,8,11
"318",161,0,158,0,0,0,0
"319",164,13,158,13,19,10,11
"320",171,17,158,24,28,7,15
"321",171,17,167,24,23,11,10
"322",180,16,177,18,24,8,11
"323",141,13,160,20,25,6,11
"324",143,20,164,20,24,8,16
"325",156,0,168,0,0,0,0
"326",153,0,163,0,0,0,0
"327",1,0,2,0,0,0,0
"328",159,0,146,0,0,0,0
"329",169,13,170,24,25,7,8
"330",0,0,1,0,0,0,0
"331",142,14,150,17,22,8,15
"332",0,0,1,0,0,0,0
"333",169,0,155,0,0,0,0
"334",145,0,157,0,0,0,0
"335",158,0,165,0,0,0,0
"336",165,14,166,21,23,10,16
"337",152,0,151,0,1,0,0
"338",158,0,167,0,0,0,0
"339",175,11,179,17,21,11,8
"340",145,0,141,0,0,0,0
"341",165,12,173,18,22,7,13
"342",162,13,156,18,27,11,12
"343",163,0,149,0,0,0,0
"344",160,0,141,0,0,0,0
"345",169,15,164,17,26,9,13
