"","age1_orange.P","age1_green.P","age2_no_comorbid_orange.P","age2_no_comorbid_green.P","age2_comorbid_green.P","age3_no_comorbid_green.P","age3_comorbid_green.P"
"1",34.1492784555359,69.7670214959441,38.2237185465345,82.7634540606976,87.2764236656415,86.69034166889,80.8594687493134
"2",31.3659732796448,73.1686997275408,36.3620834130171,73.8822770621746,84.0252659875326,82.3138516388105,78.083279796324
"3",40.8788933440296,61.6207792640979,40.543592542542,60.9843564618777,60.1649917061973,66.96524655477,62.8866359322552
"4",36.0375183914396,58.7541812911733,36.6091507755268,63.1420026334312,69.0122086524451,65.0562383827858,65.320241437654
"5",29.8490182652238,41.2527687899209,29.8490182652238,52.6734473440424,49.4588413515872,49.7037916914086,55.6500210250026
"6",24.1165114486801,57.2381612826063,26.4223894563051,63.4126825149547,66.8642398823639,67.9777691013298,57.858949585343
"7",31.908229688364,59.0050479322248,33.6852438666654,55.7813817320342,54.6813199239197,64.8734751009914,58.7665677980896
"8",0,0,11.9515035377041,0,0,0,0
"9",0,0,2.20796246429399,0,0,0,0
"10",24.4134062558264,60.0499737010149,25.9047529310986,61.1619234158075,57.9826996572492,62.3858402626597,57.8454767950116
"11",22.7795944694488,54.897310254561,28.4929644828659,58.8973900372499,59.3879152006078,53.4360865813011,63.3912402542431
"12",28.9371402398904,45.8853401684446,30.1127370030152,59.9121247814439,51.2992951629618,57.6310395213201,49.9011033097366
"13",22.3058596084613,43.9686722239883,25.4699277294843,49.7680690190675,48.0262712503162,47.4326145622672,38.4278921744435
"14",38.0280313396983,56.9934864652002,40.8218240740798,62.9035163664163,63.4462070418303,65.9729671156044,64.4241297557878
"15",0,0,12.0339883549509,0,0,0,0
"16",30.2807650816419,40.223294808918,30.7995977460464,44.1230935526454,43.5500447107642,42.4046442366622,44.3320114617665
"17",28.5211741751246,61.1715248328125,30.1051879714003,71.443410414576,70.3433417498182,63.3636501310623,73.6221777590981
"18",22.997858540387,0,23.251198806016,0,34.3372795919456,0,0
"19",26.6865638121173,40.7267668049832,28.0068994929726,47.4497061427356,45.5446996631373,40.092997937205,46.3276695047258
"20",29.3058903424462,47.2118377480353,29.9952973925629,45.3615603878462,47.6344900973183,46.5188009069277,52.3557134272561
"21",35.3922250630926,84.3675179086234,40.2850135416307,87.0187525814507,93.3197035677536,96.5101419689334,82.0854110513693
"22",28.4940964218032,45.2789871295313,31.8169659233371,47.3352423447946,45.5611230824798,48.7279078791966,59.8540588592309
"23",26.9700089462424,72.1216121042643,29.419644895339,70.9710160408876,73.4926746204927,82.1376370913421,78.7239306584151
