"","age1_orange.P","age1_green.P","age2_no_comorbid_orange.P","age2_no_comorbid_green.P","age2_comorbid_green.P","age3_no_comorbid_green.P","age3_comorbid_green.P"
"270",117,9,125,13,16,7,9
"271",122,9,122,10,12,5,9
"272",94,11,97,12,13,6,8
"273",126,11,129,13,13,5,9
"274",96,9,101,13,14,7,10
"275",117,13,127,14,14,5,8
"276",103,9,139,13,18,5,7
"277",120,11,100,14,18,8,9
"278",116,10,99,20,24,7,7
"279",99,10,102,14,17,7,10
"280",94,7,96,16,17,8,9
"281",94,9,111,12,15,6,8
"282",113,11,114,17,12,6,11
"283",89,9,111,13,14,5,9
"284",138,11,113,12,16,7,7
"285",96,8,99,12,16,6,5
"286",137,9,135,11,16,6,7
"287",145,11,119,11,12,6,6
"288",125,9,136,13,20,4,11
"289",100,10,103,10,12,4,6
"290",96,8,114,10,12,6,7
"291",125,11,117,12,16,6,9
"292",144,14,123,9,18,6,10
"293",0,0,1,0,0,0,0
"294",99,11,116,14,16,5,7
"295",0,0,1,0,0,0,0
"296",0,0,1,0,0,0,0
"297",112,9,107,13,17,5,10
"298",133,9,130,13,20,8,10
"299",94,13,111,14,19,9,11
"300",117,11,118,13,14,8,11
"301",108,10,116,10,15,6,7
"302",102,10,96,8,15,6,10
"303",118,8,118,10,21,8,6
"304",119,11,109,14,17,9,12
"305",102,10,102,13,16,10,10
"306",121,11,117,13,18,5,8
"307",93,11,99,15,17,6,9
"308",95,9,109,10,17,7,9
"309",120,10,96,13,14,8,14
"310",95,8,94,10,18,6,7
"311",101,10,93,11,12,7,9
"312",104,10,108,13,18,6,9
"313",102,14,96,16,16,5,11
"314",87,9,95,11,10,5,8
"315",117,9,116,13,15,9,9
"316",102,9,100,12,18,6,12
"317",95,10,84,12,16,8,8
"318",116,12,114,12,16,11,8
"319",106,12,123,10,15,5,12
"320",132,8,140,9,11,4,7
"321",128,9,102,11,16,6,9
"322",112,14,127,19,16,8,9
"323",103,13,107,10,15,6,10
"324",122,12,124,13,13,5,10
"325",0,0,2,0,0,0,0
"326",122,12,112,15,16,6,10
"327",100,12,95,12,17,6,11
"328",99,10,114,11,16,7,8
"329",130,10,118,11,14,4,9
"330",116,9,104,12,12,4,8
"331",111,9,100,13,14,6,9
"332",95,14,102,10,17,5,11
"333",99,9,104,14,23,7,8
"334",99,11,101,12,12,7,8
"335",112,9,105,10,12,5,12
"336",108,16,99,12,16,7,11
"337",115,10,105,12,13,7,6
"338",99,10,120,11,16,5,7
"339",120,11,140,12,13,7,12
"340",94,11,102,10,16,7,8
"341",99,12,105,11,13,7,12
"342",112,9,106,14,16,6,10
"343",115,9,96,11,13,6,7
"344",91,10,116,12,18,5,8
"345",115,8,96,13,15,6,12
"346",112,8,125,13,14,5,5
"347",93,10,85,10,13,5,11
"348",0,0,1,0,0,0,0
"349",117,9,95,13,18,8,9
"350",110,7,133,17,16,4,9
"351",114,13,102,10,17,6,10
"352",0,0,1,0,0,0,0
"353",90,11,99,11,18,5,8
"354",105,10,136,12,12,4,8
"355",137,12,115,17,20,8,9
"356",102,10,115,12,12,5,10
"357",0,0,1,0,0,0,0
"358",99,9,103,10,15,5,7
"359",94,10,83,13,15,7,9
"360",118,11,123,10,15,8,10
"361",115,16,134,13,17,6,11
"362",111,9,105,10,12,4,8
"363",100,13,89,11,20,6,13
"364",106,12,106,12,16,5,10
"365",109,9,101,16,14,7,8
"366",109,12,113,11,16,6,10
"367",0,0,1,0,0,0,0
"368",108,11,99,10,17,4,7
"369",121,15,101,13,18,6,9
"370",0,0,1,0,0,0,0
"371",126,9,119,15,17,6,9
"372",87,9,101,12,12,6,9
"373",124,8,99,11,15,5,9
"374",125,10,113,10,16,4,6
"375",113,11,97,13,13,5,12
"376",91,9,89,12,12,6,8
"377",112,9,104,14,15,6,7
"378",94,10,116,16,13,4,7
"379",137,12,106,15,16,10,10
"380",104,7,109,8,7,6,6
"381",104,11,99,14,15,4,9
"382",108,11,106,12,15,5,9
"383",0,0,1,0,0,0,0
"384",136,11,127,14,13,4,7
"385",0,0,1,0,0,0,0
"386",117,10,112,9,15,5,8
"387",116,12,134,12,14,5,7
"388",122,11,142,11,16,9,10
"389",1,0,1,0,0,0,0
"390",118,10,127,12,16,6,8
"391",118,16,106,13,15,6,8
"392",95,10,85,14,16,3,8
"393",118,9,100,10,14,8,7
"394",108,10,108,13,22,6,12
"395",131,14,119,12,16,7,8
"396",97,11,84,9,16,6,10
"397",124,11,132,13,14,6,8
"398",114,17,115,11,17,6,14
"399",0,0,1,0,0,0,0
"400",108,10,115,13,15,6,8
"401",117,10,123,12,15,6,10
"402",120,11,105,14,15,4,7
"403",122,13,112,8,15,8,10
"404",114,13,108,13,16,9,7
"405",111,10,96,13,12,4,10
"406",129,9,113,11,15,4,12
"407",110,10,118,12,13,6,11
"408",112,9,131,13,14,8,7
"409",121,10,121,12,15,4,6
"410",107,9,112,12,13,4,7
"411",112,9,89,10,10,5,7
"412",90,11,95,9,12,5,6
"413",115,7,125,10,14,4,6
"414",106,12,99,22,16,9,10
"415",0,0,1,0,0,0,0
"416",120,13,96,11,17,8,8
"417",118,10,109,15,14,6,7
"418",0,0,1,0,0,0,0
"419",115,13,105,16,13,8,6
"420",92,12,93,15,16,5,15
"421",106,10,96,16,24,8,10
"422",104,6,116,11,10,4,9
"423",0,0,1,0,0,0,0
"424",106,8,119,11,13,5,8
"425",91,15,87,15,17,6,12
"426",108,9,102,15,15,5,8
"427",103,8,105,18,18,8,10
"428",123,7,112,10,10,7,6
"429",132,8,116,13,16,5,12
"430",112,12,95,15,18,8,9
"431",127,9,122,10,11,6,9
"432",94,9,104,14,14,7,11
"433",115,9,113,12,12,9,8
"434",125,10,112,11,16,6,6
"435",96,10,97,10,17,6,9
"436",109,14,117,12,15,5,8
"437",126,10,116,12,12,5,10
"438",102,8,117,15,10,6,10
"439",0,0,1,0,0,0,0
"440",101,9,125,11,16,7,6
"441",113,11,113,11,20,5,9
"442",100,8,108,9,12,5,7
"443",119,11,112,12,15,6,10
"444",110,10,103,15,18,6,11
"445",120,10,110,13,14,6,8
"446",113,12,98,13,15,9,9
"447",110,14,141,13,16,6,11
"448",120,9,111,13,15,6,8
"449",124,9,104,16,17,9,12
"450",103,11,95,15,16,6,10
"451",106,13,105,17,14,8,9
"452",0,0,1,0,0,0,0
"453",123,7,109,10,13,5,8
"454",0,0,1,0,0,0,0
"455",117,12,125,11,13,4,9
"456",116,11,109,11,17,4,9
"457",116,11,119,10,13,6,12
"458",116,10,118,12,15,6,7
"459",92,12,81,17,11,4,7
"460",125,8,141,12,16,5,8
"461",131,13,110,13,15,6,8
"462",117,12,118,17,12,6,7
"463",94,10,104,13,17,9,8
"464",0,0,1,0,0,0,0
"465",105,9,102,11,14,6,11
"466",0,0,1,0,0,0,0
"467",114,10,121,11,14,7,8
"468",122,8,106,8,12,4,7
"469",110,12,115,15,18,5,7
"470",93,10,77,10,14,6,7
"471",118,16,131,15,14,4,12
"472",122,13,125,16,17,7,9
"473",124,12,101,17,20,7,9
"474",93,12,96,12,15,5,8
"475",111,8,106,15,15,6,8
"476",134,10,124,12,12,5,9
"477",0,0,1,0,0,0,0
"478",104,8,113,15,15,5,7
"479",118,9,130,10,11,6,7
"480",128,9,119,13,13,5,13
"481",111,11,103,10,16,8,7
"482",106,10,115,8,11,6,7
"483",92,10,93,12,12,7,7
"484",94,13,91,13,16,5,12
"485",93,12,113,12,13,7,8
"486",132,9,125,14,16,5,9
"487",138,12,119,10,14,8,9
"488",0,0,1,0,0,0,0
"489",111,10,111,11,14,5,7
"490",1,0,1,0,0,0,0
"491",0,0,1,0,0,0,0
"492",108,7,119,12,19,5,7
"493",93,8,93,13,13,8,6
"494",103,9,101,12,14,7,11
"495",127,11,120,14,12,5,8
"496",98,14,102,16,14,5,11
"497",121,10,137,12,17,7,8
"498",104,11,117,9,14,5,9
"499",95,16,112,12,14,6,10
"500",118,8,113,12,15,6,6
