"","age1.H","age2_no_comorbid.H","age2_comorbid.H","age3_no_comorbid.H","age3_comorbid.H"
"243",17,21,7,3,11
"244",0,0,0,0,0
"245",13,18,16,3,13
"246",18,20,11,1,9
"247",22,23,7,2,14
"248",0,0,0,0,0
"249",0,0,0,0,0
"250",17,18,10,1,12
"251",0,0,0,0,0
"252",18,24,11,2,5
"253",16,18,13,2,11
"254",14,17,14,1,15
"255",14,17,4,3,13
"256",12,17,10,3,5
"257",18,22,10,1,9
"258",14,21,8,2,11
"259",16,21,10,7,6
"260",0,0,0,0,0
"261",0,0,0,0,0
"262",19,13,7,5,9
"263",15,17,6,2,10
"264",16,16,7,2,5
"265",15,16,10,2,7
"266",0,0,0,0,0
"267",0,0,0,0,0
"268",14,24,10,3,9
"269",18,20,8,3,14
"270",19,18,9,2,12
"271",0,0,0,0,0
"272",0,0,0,0,0
"273",16,17,12,2,6
"274",0,0,0,0,0
"275",11,17,6,2,11
"276",0,0,0,0,0
"277",0,0,0,0,0
"278",17,19,10,3,11
"279",0,0,0,0,0
"280",20,17,8,2,10
"281",0,1,0,0,0
"282",26,19,8,4,11
"283",17,15,9,4,7
"284",0,0,0,0,0
"285",0,0,0,0,0
"286",0,0,0,0,0
"287",23,21,9,2,8
"288",13,15,10,2,12
"289",18,21,9,2,10
"290",0,0,0,0,0
"291",0,0,0,0,0
"292",17,25,7,4,10
"293",15,19,6,2,9
"294",0,0,0,0,0
"295",0,0,0,0,0
"296",18,17,9,3,6
"297",14,29,3,3,7
"298",17,21,7,4,11
"299",17,16,11,3,12
"300",24,16,5,1,9
"301",20,24,11,3,8
"302",14,18,4,5,9
"303",0,0,0,0,0
"304",0,0,0,0,0
"305",20,15,9,3,8
"306",0,0,0,0,0
"307",12,18,7,3,6
"308",16,22,6,2,12
"309",0,0,0,0,0
"310",23,25,9,3,9
"311",0,0,0,0,0
"312",12,19,8,4,5
"313",24,18,7,3,7
"314",0,0,0,0,0
"315",24,23,5,4,11
"316",29,18,9,4,8
"317",20,18,11,5,7
"318",0,0,0,0,0
"319",0,0,0,0,0
"320",0,0,0,0,0
"321",12,17,7,2,9
"322",19,19,10,2,10
"323",21,22,8,3,10
"324",10,14,9,3,7
"325",21,14,5,3,9
"326",18,20,5,3,12
"327",27,18,9,2,7
"328",0,0,0,0,0
"329",21,19,13,4,10
"330",0,0,0,0,0
"331",18,12,8,2,8
"332",15,21,6,3,7
"333",16,20,11,4,6
"334",15,18,10,2,9
"335",1,0,0,0,0
"336",22,20,13,5,11
"337",0,0,0,0,0
"338",19,22,11,2,14
"339",0,0,0,0,0
"340",18,20,8,4,8
"341",18,16,7,3,10
"342",0,0,0,0,0
"343",0,0,0,0,0
"344",0,0,0,0,0
"345",18,22,9,5,8
"346",0,0,0,0,0
"347",19,17,11,2,6
"348",0,0,0,0,0
"349",23,22,10,5,10
"350",0,0,0,0,0
"351",0,0,0,0,0
"352",17,20,9,2,12
"353",0,0,0,0,0
"354",20,16,9,3,11
"355",18,17,8,1,10
"356",23,19,7,3,9
"357",9,12,8,3,9
"358",0,0,0,0,0
"359",18,22,5,2,7
"360",15,22,6,3,8
"361",0,1,0,0,0
"362",15,12,5,3,8
"363",17,13,7,2,8
"364",27,18,7,1,8
"365",17,18,6,4,6
"366",0,0,0,0,0
"367",27,22,8,5,9
"368",0,0,0,0,0
"369",13,18,12,4,8
"370",0,0,0,0,0
"371",15,20,7,2,4
"372",12,18,6,2,8
"373",20,20,8,2,7
"374",16,14,6,6,9
"375",0,0,0,0,0
"376",16,14,13,3,5
"377",0,0,0,0,0
"378",17,14,9,7,8
"379",21,21,8,3,7
"380",20,20,5,5,6
"381",0,1,0,0,0
"382",0,0,0,0,0
"383",26,24,7,3,5
"384",21,16,6,5,9
"385",22,16,11,6,10
"386",20,18,9,5,9
"387",18,25,9,5,9
"388",15,20,5,1,10
"389",21,17,11,3,11
"390",18,20,12,5,10
"391",25,24,7,3,6
"392",20,19,9,1,8
"393",19,20,9,3,6
"394",16,23,11,2,7
"395",15,20,9,6,7
"396",21,22,9,3,7
"397",19,15,11,3,11
"398",0,0,0,0,0
"399",0,0,0,0,0
"400",12,15,9,4,11
"401",0,0,0,0,0
"402",0,0,0,0,0
"403",0,0,0,0,0
"404",0,0,0,0,0
"405",19,12,7,4,8
"406",0,0,0,0,0
"407",16,15,11,2,8
"408",0,0,0,0,0
"409",14,21,8,3,5
"410",0,0,0,0,0
"411",0,0,0,0,0
"412",17,19,7,4,10
"413",17,19,8,3,7
"414",20,21,9,4,7
"415",0,0,0,0,0
"416",14,17,7,3,8
"417",0,1,0,0,0
"418",0,0,0,0,0
"419",18,15,8,1,7
"420",16,17,9,5,11
"421",17,23,8,6,13
"422",0,0,0,0,0
"423",22,23,9,3,10
"424",21,17,8,3,11
"425",18,19,7,4,9
"426",18,28,12,2,12
"427",0,0,0,0,0
"428",0,0,0,0,0
"429",17,22,11,2,10
"430",23,20,7,5,11
"431",22,23,6,2,9
"432",0,0,0,0,0
"433",0,0,0,0,0
"434",18,16,8,5,13
"435",17,22,13,4,11
"436",21,21,6,2,5
"437",17,19,6,5,8
"438",14,18,13,3,5
"439",0,0,0,0,1
"440",16,15,8,3,9
"441",0,0,0,0,0
"442",22,18,9,4,10
"443",0,0,0,0,0
"444",17,15,6,2,6
"445",21,22,14,3,11
"446",0,0,0,0,0
"447",17,19,9,2,8
"448",21,22,5,5,9
"449",0,0,0,0,0
"450",23,15,7,4,10
"451",0,0,0,0,0
"452",0,0,0,0,0
"453",0,0,0,0,0
"454",19,11,11,4,7
"455",22,19,8,3,5
"456",0,0,0,0,0
"457",0,0,0,0,0
"458",0,1,0,0,0
