"","age1_orange.O","age1_green.O","age2_no_comorbid_orange.O","age2_no_comorbid_green.O","age2_comorbid_green.O","age3_no_comorbid_green.O","age3_comorbid_green.O"
"844",168,11,162,13,12,4,6
"845",185,20,189,18,15,7,7
"846",175,21,151,22,19,6,7
"847",173,13,162,18,17,9,8
"848",0,0,1,0,0,0,0
"849",154,0,164,0,1,0,0
"850",0,0,1,0,0,0,0
"851",168,0,150,0,1,0,0
"852",170,0,164,0,1,0,1
"853",166,14,167,15,11,7,10
"854",149,1,155,0,0,0,0
"855",167,16,141,16,24,7,9
"856",182,0,174,0,0,0,0
"857",165,13,174,19,18,5,6
"858",178,14,178,17,17,9,9
"859",0,0,1,0,0,0,0
"860",173,0,149,0,0,0,0
"861",0,0,1,0,0,0,0
"862",156,0,176,0,0,0,0
"863",181,13,179,17,17,7,9
"864",157,15,158,16,21,5,7
"865",161,15,146,15,14,6,7
"866",160,0,173,0,0,0,0
"867",171,0,169,0,0,0,0
"868",165,0,188,0,0,0,0
"869",189,18,181,16,26,8,10
"870",181,0,161,0,0,0,0
"871",1,0,0,0,0,0,0
"872",185,12,170,15,12,8,5
"873",2,0,1,0,0,0,0
"874",172,16,167,19,14,9,8
"875",168,0,156,0,0,0,0
"876",164,11,146,17,13,4,10
"877",154,0,155,0,0,0,0
"878",188,0,174,0,0,0,0
"879",165,14,157,15,11,8,6
"880",166,16,166,20,18,9,11
"881",0,0,1,0,0,0,0
"882",171,14,166,14,20,8,11
"883",0,0,1,0,0,0,0
"884",1,0,1,0,0,0,0
"885",193,15,173,19,17,6,9
"886",1,0,1,0,0,0,0
"887",158,0,162,0,0,0,0
"888",167,0,152,0,0,0,0
"889",171,15,171,13,17,5,10
"890",186,9,209,16,14,5,6
"891",177,13,196,16,12,7,6
"892",156,0,151,0,0,0,0
"893",177,23,187,25,15,5,7
"894",165,16,166,21,20,7,7
"895",176,0,174,0,0,0,0
"896",166,12,164,10,13,4,6
"897",0,0,0,0,0,0,0
"898",176,7,184,11,15,5,6
"899",0,0,0,0,0,0,0
"900",0,0,1,0,0,0,0
"901",0,0,0,0,0,0,0
"902",171,19,160,23,18,8,10
"903",171,12,173,18,17,6,8
"904",0,0,1,0,0,0,0
"905",191,13,172,18,14,5,8
"906",182,18,184,16,15,9,7
"907",203,0,204,0,0,0,0
"908",169,14,153,16,15,6,7
"909",158,13,155,19,21,7,6
"910",183,13,166,19,11,6,5
"911",190,15,205,23,15,5,6
"912",156,15,154,23,22,7,8
"913",0,0,1,0,0,0,0
"914",166,15,155,14,15,5,7
"915",157,12,155,13,18,8,7
"916",165,0,182,0,0,0,0
"917",162,0,163,0,0,0,0
"918",181,0,182,1,0,0,0
"919",0,0,1,0,0,0,0
"920",1,0,1,0,0,0,0
"921",0,0,1,0,0,0,0
"922",154,0,167,0,0,0,0
"923",181,0,175,0,0,0,0
"924",171,0,152,0,1,0,0
"925",161,13,156,21,19,6,9
"926",150,16,165,23,19,5,12
"927",176,14,165,26,19,9,7
"928",0,0,1,0,0,0,0
"929",0,0,1,0,0,0,0
"930",0,0,1,0,0,0,0
"931",0,0,1,0,0,0,0
"932",161,19,165,19,23,6,7
"933",149,0,168,0,0,0,0
"934",0,0,1,0,0,0,0
"935",150,13,149,13,16,6,7
"936",149,16,147,22,21,6,10
"937",168,13,188,23,20,7,5
"938",177,13,183,12,14,4,5
"939",172,0,184,1,0,0,0
"940",0,0,1,0,0,0,0
"941",188,15,177,15,18,8,6
"942",162,0,165,0,0,0,0
"943",177,15,163,24,17,9,11
"944",178,0,182,0,0,0,0
"945",154,0,165,0,0,0,0
"946",178,12,156,21,22,6,8
"947",180,20,169,18,22,6,6
"948",178,15,180,17,15,6,7
"949",219,19,190,16,13,6,9
"950",175,18,162,17,16,8,9
"951",185,0,194,0,0,0,0
"952",169,10,166,23,19,9,7
"953",189,15,177,17,18,8,9
"954",185,9,186,21,23,5,7
"955",174,16,167,13,13,5,6
"956",172,12,169,14,15,7,7
"957",187,0,177,0,0,0,0
"958",186,15,149,16,18,6,7
"959",165,0,168,0,0,0,0
"960",165,13,167,16,15,8,8
"961",0,0,1,0,0,0,0
"962",168,17,184,17,18,8,6
"963",172,0,169,0,0,0,0
"964",173,0,150,0,0,0,0
"965",172,0,162,0,0,0,0
"966",0,0,2,0,0,0,0
"967",172,16,180,11,11,7,6
"968",161,13,167,20,15,5,6
"969",168,1,166,0,0,0,0
"970",0,0,1,0,0,0,0
"971",183,15,172,21,15,5,6
"972",197,16,192,20,15,5,5
"973",167,0,175,0,0,0,0
"974",0,0,1,0,0,0,0
"975",173,0,190,0,0,0,0
"976",188,11,161,16,15,5,9
"977",0,0,1,0,0,0,0
"978",0,0,1,0,0,0,0
"979",0,0,2,0,0,0,0
"980",165,14,151,22,26,8,6
"981",178,13,181,16,27,5,7
"982",181,16,177,23,13,6,8
"983",210,11,167,17,22,8,5
"984",169,0,186,0,0,0,0
"985",183,13,174,16,15,6,6
"986",153,0,143,0,0,0,0
"987",154,0,172,0,0,0,0
"988",150,18,149,15,13,6,6
"989",0,0,1,0,0,0,0
"990",167,15,165,17,17,4,6
"991",168,12,166,17,16,4,6
"992",167,0,167,0,0,0,0
"993",169,15,173,17,18,8,7
"994",168,0,172,0,0,0,0
"995",171,18,166,16,19,4,7
"996",190,0,179,0,0,0,0
"997",163,14,158,18,17,6,9
"998",183,18,171,20,16,8,6
"999",152,1,169,1,1,0,2
"1000",182,18,172,19,16,12,7
"1001",175,0,173,0,0,0,0
"1002",168,0,185,0,0,0,0
"1003",179,14,168,22,15,8,7
"1004",161,12,139,14,22,7,9
"1005",146,0,162,0,0,0,0
"1006",199,0,189,0,0,0,0
"1007",177,15,183,18,18,5,7
"1008",158,1,157,1,0,0,0
"1009",167,15,153,18,17,7,12
"1010",170,0,186,0,0,0,0
"1011",181,16,175,18,14,6,8
"1012",207,0,173,0,0,0,0
"1013",168,0,138,0,0,0,0
"1014",169,16,174,17,18,6,6
"1015",187,11,159,18,13,4,8
"1016",170,0,187,0,0,0,0
"1017",192,10,165,15,14,9,6
"1018",177,14,180,19,19,7,9
"1019",178,18,164,17,18,6,9
"1020",0,0,1,0,0,0,0
"1021",0,0,1,0,0,0,0
"1022",1,0,2,0,0,0,0
"1023",1,0,0,0,0,0,0
"1024",166,0,166,0,0,0,0
"1025",189,0,188,0,1,1,0
"1026",195,20,160,24,20,9,10
"1027",169,23,169,18,12,7,8
"1028",201,17,160,25,16,8,6
"1029",167,13,169,19,18,4,11
"1030",164,10,167,18,18,6,9
"1031",157,0,131,0,0,0,0
"1032",178,0,163,0,0,0,0
"1033",189,15,164,25,16,5,9
"1034",0,0,1,0,0,0,0
"1035",180,0,183,0,0,0,0
"1036",173,0,143,1,0,0,0
"1037",166,10,168,16,12,6,5
"1038",174,12,144,18,14,8,6
"1039",170,17,179,19,15,5,6
"1040",163,0,144,0,0,0,0
"1041",159,13,176,22,13,5,6
"1042",170,17,196,21,16,8,7
"1043",187,11,173,25,18,6,6
"1044",176,15,173,21,20,6,7
"1045",192,15,179,19,13,5,6
"1046",179,15,161,17,17,5,11
"1047",153,14,174,17,13,5,7
"1048",182,12,177,17,15,4,6
"1049",175,19,154,25,18,7,10
"1050",190,20,174,19,21,5,12
"1051",147,1,170,1,1,0,2
"1052",177,0,187,0,0,0,0
"1053",159,15,180,13,15,6,8
"1054",152,1,190,1,0,0,0
"1055",178,0,151,0,1,0,0
"1056",0,0,1,0,0,0,0
"1057",171,0,152,0,0,0,0
"1058",160,11,177,15,18,8,8
"1059",0,0,1,0,0,0,0
"1060",161,17,167,21,15,6,10
"1061",152,0,143,0,0,0,0
"1062",168,15,164,23,19,10,8
"1063",166,0,159,0,0,0,0
"1064",172,0,147,0,0,0,0
"1065",158,0,150,0,0,0,0
"1066",175,0,161,0,0,0,0
"1067",0,0,1,0,0,0,0
"1068",175,20,175,13,18,7,9
"1069",169,0,165,0,0,0,0
"1070",155,12,149,15,15,6,6
"1071",0,0,1,0,0,0,0
"1072",148,16,157,20,28,9,8
"1073",175,13,189,15,15,6,6
"1074",179,21,191,15,14,5,7
"1075",178,0,162,0,0,0,0
"1076",174,11,164,20,15,6,9
"1077",177,0,149,0,0,0,0
"1078",159,13,164,23,18,6,8
"1079",144,0,149,0,0,0,0
"1080",149,0,151,0,0,0,0
"1081",179,14,166,16,10,6,10
"1082",1,0,0,0,0,0,0
"1083",164,21,151,18,14,6,7
"1084",172,15,161,18,16,6,7
"1085",179,1,167,0,0,0,1
"1086",0,0,1,0,0,0,0
"1087",174,0,173,0,0,0,0
"1088",0,0,1,0,0,0,0
"1089",1,0,0,0,0,0,0
"1090",160,9,158,14,13,5,9
"1091",154,16,159,17,14,6,8
"1092",1,0,1,0,0,0,0
"1093",180,0,179,0,0,0,0
"1094",176,22,166,19,22,5,12
"1095",0,0,1,0,0,0,0
"1096",183,14,187,21,19,5,6
"1097",176,11,150,14,18,11,6
"1098",175,11,196,11,13,4,6
"1099",173,21,158,21,18,8,7
"1100",1,0,1,0,0,0,0
"1101",157,14,178,19,20,5,5
"1102",178,0,184,0,0,0,0
"1103",181,15,162,19,12,7,6
"1104",202,11,170,13,19,7,6
"1105",156,23,171,20,18,8,8
"1106",186,0,170,0,0,0,0
"1107",0,0,2,0,0,0,0
"1108",155,22,169,24,18,7,8
"1109",176,14,191,14,15,6,7
"1110",188,0,171,0,0,0,0
"1111",143,0,135,0,0,0,0
"1112",0,0,1,0,0,0,0
"1113",0,0,0,0,0,0,0
"1114",0,0,1,0,0,0,0
"1115",179,14,150,15,14,9,6
"1116",0,0,1,0,0,0,0
"1117",194,0,173,1,0,0,0
"1118",0,0,1,0,0,0,0
"1119",168,13,168,15,18,8,9
"1120",195,0,172,0,0,0,0
"1121",160,15,167,18,20,7,7
"1122",1,0,0,0,0,0,0
"1123",169,0,193,0,0,0,0
"1124",0,0,1,0,0,0,0
"1125",159,0,152,0,0,0,0
"1126",0,0,1,0,0,0,0
"1127",167,0,148,1,1,0,1
"1128",0,0,1,0,0,0,0
"1129",159,15,153,14,14,5,5
"1130",177,13,150,20,19,8,9
"1131",156,14,174,18,17,7,6
"1132",190,14,169,18,20,7,8
"1133",164,16,154,23,22,9,12
"1134",0,0,0,0,0,0,0
"1135",185,0,184,0,0,0,0
"1136",163,0,162,0,0,0,0
"1137",0,0,1,0,0,0,0
"1138",1,0,1,0,0,0,0
"1139",0,0,1,0,0,0,0
"1140",1,0,1,0,0,0,0
"1141",210,12,178,19,20,8,7
"1142",162,17,176,24,20,9,6
"1143",207,0,178,0,0,0,0
"1144",0,0,0,0,0,0,0
"1145",202,19,189,20,24,9,9
"1146",0,0,1,0,0,0,0
"1147",165,15,151,24,22,7,8
"1148",175,0,178,0,0,0,0
"1149",175,0,177,0,0,1,0
"1150",174,0,169,0,0,0,0
"1151",0,0,1,0,0,0,0
"1152",0,0,1,0,0,0,0
"1153",167,14,163,23,17,8,8
