"","age1_orange.I","age1_green.I","age2_no_comorbid_orange.I","age2_no_comorbid_green.I","age2_comorbid_green.I","age3_no_comorbid_green.I","age3_comorbid_green.I"
"184",61,9,60,8,15,4,10
"185",55,7,73,8,16,4,12
"186",67,4,72,7,17,4,11
"187",71,7,65,5,15,7,12
"188",58,1,59,0,0,0,0
"189",67,7,68,6,14,4,13
"190",74,11,63,12,16,4,9
"191",77,6,67,6,16,5,11
"192",74,7,68,5,15,10,12
"193",67,5,69,6,17,3,13
"194",66,0,69,0,0,0,0
"195",69,0,67,0,0,0,0
"196",61,5,71,7,12,5,8
"197",67,8,50,7,21,5,14
"198",0,0,0,0,0,0,0
"199",70,7,56,5,11,6,9
"200",70,5,74,5,16,4,14
"201",62,7,56,6,16,7,13
"202",0,0,0,0,0,0,0
"203",65,5,61,9,14,6,13
"204",66,5,59,9,15,5,9
"205",54,10,73,7,17,5,10
"206",68,4,79,7,17,6,10
"207",55,0,69,0,0,0,0
"208",57,7,63,7,10,3,6
"209",77,7,70,10,18,9,10
"210",0,0,0,0,0,0,0
"211",58,7,60,7,19,3,8
"212",60,3,66,7,19,4,12
"213",65,7,64,7,17,8,9
"214",63,8,63,7,16,3,12
"215",56,0,65,0,0,0,0
"216",72,0,68,0,0,0,1
"217",0,0,0,0,0,0,0
"218",70,0,70,0,0,0,0
"219",67,6,56,10,18,5,13
"220",69,7,66,7,16,7,17
"221",66,6,69,6,17,6,11
"222",0,0,0,0,0,0,0
"223",65,5,69,9,18,4,8
"224",71,4,63,8,19,7,17
"225",77,0,62,0,0,0,0
"226",67,3,72,11,16,7,8
"227",67,6,74,6,16,5,9
"228",0,0,0,0,0,0,0
"229",61,4,76,11,15,5,10
"230",68,5,58,6,18,5,9
"231",0,0,0,0,0,0,0
"232",64,5,57,8,15,5,8
"233",70,7,56,9,15,9,10
"234",76,4,65,7,16,5,8
"235",57,0,69,0,0,0,0
"236",78,7,81,10,15,3,10
"237",62,6,60,7,12,4,11
"238",0,0,0,0,0,0,0
"239",65,0,62,0,0,0,0
"240",68,6,62,7,16,4,13
"241",74,4,61,8,12,10,16
"242",71,4,71,8,19,3,13
"243",76,3,72,12,21,7,13
