"","age1_orange.P","age1_green.P","age2_no_comorbid_orange.P","age2_no_comorbid_green.P","age2_comorbid_green.P","age3_no_comorbid_green.P","age3_comorbid_green.P"
"1053",102,9,111,9,12,4,6
"1054",114,0,109,0,1,0,0
"1055",89,6,90,14,15,4,10
"1056",109,11,116,13,17,6,8
"1057",103,9,96,10,10,6,7
"1058",119,11,122,19,18,6,14
"1059",0,0,1,0,0,0,0
"1060",0,0,1,0,0,0,0
"1061",113,0,102,0,0,0,0
"1062",117,8,106,11,14,5,11
"1063",106,9,128,12,11,5,6
"1064",0,0,1,0,0,0,0
"1065",106,0,82,0,0,0,0
"1066",112,9,119,11,16,6,8
"1067",0,0,1,0,0,0,0
"1068",106,6,101,9,11,6,7
"1069",101,7,108,13,19,8,7
"1070",99,11,88,16,18,8,12
"1071",135,14,128,11,16,6,9
"1072",131,7,123,13,15,5,9
"1073",0,0,1,0,0,0,0
"1074",112,0,117,1,1,0,0
"1075",99,11,93,10,18,6,9
"1076",1,0,1,0,0,0,0
"1077",99,9,119,13,19,4,8
"1078",134,10,130,8,9,3,5
"1079",105,9,112,10,14,6,9
"1080",113,13,99,11,13,6,7
"1081",127,12,123,16,14,7,12
"1082",117,8,110,11,14,3,7
"1083",1,0,1,0,0,0,0
"1084",121,0,95,1,0,1,0
"1085",0,0,1,0,0,0,0
"1086",110,10,106,14,14,5,12
"1087",0,0,1,0,0,0,0
"1088",0,0,1,0,0,0,0
"1089",120,0,111,0,0,0,0
"1090",1,0,1,0,0,0,0
"1091",0,0,1,0,0,0,0
"1092",107,9,89,10,17,5,7
"1093",104,9,93,11,13,5,7
"1094",128,8,116,10,10,6,8
"1095",108,7,92,10,14,6,7
"1096",114,10,116,11,14,4,7
"1097",0,0,1,0,0,0,0
"1098",0,0,1,0,0,0,0
"1099",112,11,118,13,18,7,10
"1100",105,12,100,12,16,6,9
"1101",103,7,114,9,11,4,6
"1102",0,0,1,0,0,0,0
"1103",121,9,112,16,16,5,6
"1104",91,12,94,12,17,5,7
"1105",126,10,97,12,13,8,10
"1106",111,10,117,11,12,7,8
"1107",89,9,83,9,12,3,8
"1108",113,9,114,11,13,5,7
"1109",101,8,93,7,11,5,5
"1110",99,10,92,11,15,10,8
"1111",96,8,120,11,14,6,12
"1112",1,0,1,0,0,0,0
"1113",110,9,105,14,16,8,8
"1114",92,8,116,11,12,5,7
"1115",95,8,116,14,15,6,9
"1116",103,10,110,12,18,6,8
"1117",132,9,126,11,17,5,6
"1118",114,13,122,16,19,6,11
"1119",120,9,110,18,17,4,7
"1120",105,10,115,12,17,5,8
"1121",115,10,122,13,13,6,9
"1122",97,9,107,10,16,3,8
"1123",103,13,86,17,18,5,11
"1124",0,0,1,0,0,0,0
"1125",114,0,107,0,0,0,0
"1126",103,8,117,10,16,8,7
"1127",105,9,114,12,16,7,8
"1128",129,11,117,9,11,4,7
"1129",101,14,96,15,16,7,10
"1130",92,0,88,0,0,0,0
"1131",123,7,89,14,15,4,7
"1132",0,0,1,0,0,0,0
"1133",109,0,104,0,0,0,1
"1134",101,14,112,21,18,7,10
"1135",120,10,110,9,13,4,7
"1136",87,12,108,14,16,8,10
"1137",81,0,94,0,0,0,1
"1138",109,7,109,14,10,6,6
"1139",130,9,151,11,14,4,7
"1140",113,10,117,12,16,5,11
"1141",94,9,118,16,16,7,8
"1142",111,9,101,15,11,4,6
"1143",102,9,99,11,12,7,7
"1144",125,8,113,10,13,5,8
"1145",130,8,112,9,17,5,9
"1146",107,11,89,14,21,5,10
"1147",102,10,111,12,15,9,11
"1148",0,0,1,0,0,0,0
"1149",136,10,117,12,13,7,9
"1150",1,0,1,0,0,0,0
"1151",101,12,109,10,14,7,14
"1152",135,9,108,8,13,6,9
"1153",112,10,106,10,12,5,11
"1154",124,10,101,13,15,7,9
"1155",114,10,109,12,16,6,10
"1156",0,0,1,0,0,0,0
"1157",139,10,149,11,16,8,10
"1158",111,11,105,11,17,6,9
"1159",101,10,87,14,20,5,12
"1160",84,0,79,0,0,0,0
"1161",115,8,108,12,12,4,9
