"","age1.IH","age2_no_comorbid.IH","age2_comorbid.IH","age3_no_comorbid.IH","age3_comorbid.IH"
"1",11,12,6,4,5
"2",11,11,7,2,4
"3",0,0,0,0,0
"4",13,13,3,2,7
"5",11,13,4,3,4
"6",16,9,4,3,6
"7",11,13,5,2,7
"8",0,0,0,0,0
"9",15,10,5,1,8
"10",14,13,6,2,7
"11",0,0,0,0,0
"12",4,12,7,2,3
"13",0,0,0,0,0
"14",12,9,7,3,7
"15",0,0,0,0,0
"16",11,11,6,2,4
"17",10,10,6,2,6
"18",15,9,5,1,7
"19",0,0,0,0,0
"20",0,0,0,0,0
"21",11,10,6,2,3
"22",0,0,0,0,0
"23",13,15,8,2,5
"24",0,0,0,0,0
"25",12,9,4,2,4
"26",9,15,5,2,6
"27",16,7,4,2,6
"28",10,15,5,2,5
"29",0,0,0,0,0
"30",0,0,0,0,0
"31",0,0,0,0,0
"32",8,11,5,1,7
"33",0,0,0,0,0
"34",15,11,7,1,6
"35",9,17,7,3,8
"36",14,8,5,1,6
"37",0,0,0,0,0
"38",10,10,6,4,8
"39",12,15,4,2,2
"40",0,0,0,0,0
"41",11,13,6,1,4
"42",14,13,10,2,5
"43",12,11,3,1,4
"44",13,15,6,2,3
"45",9,9,8,1,5
"46",0,0,0,0,0
"47",13,12,8,3,4
"48",16,13,3,2,5
"49",0,0,0,0,0
"50",13,10,6,2,7
