"","age1.IR","age2_no_comorbid.IR","age2_comorbid.IR","age3_no_comorbid.IR","age3_comorbid.IR"
"1",160,116,21,9,5
"2",167,154,22,7,5
"3",0,1,0,0,0
"4",169,157,17,6,8
"5",175,149,14,7,8
"6",163,158,17,6,5
"7",162,149,19,6,6
"8",0,1,0,0,0
"9",131,136,18,7,7
"10",143,144,13,8,4
"11",0,1,0,0,0
"12",153,147,18,6,5
"13",2,1,1,0,0
"14",138,146,17,6,6
"15",0,1,0,0,0
"16",172,165,18,7,8
"17",156,164,19,5,4
"18",148,127,18,4,5
"19",5,4,1,1,0
"20",0,1,0,0,0
"21",132,120,22,6,4
"22",1,1,0,0,0
"23",142,137,19,8,4
"24",0,1,0,0,0
"25",164,158,17,7,6
"26",151,138,17,6,3
"27",141,143,17,7,2
"28",163,148,17,8,5
"29",0,1,0,0,0
"30",0,2,0,0,0
"31",0,1,0,0,0
"32",162,153,16,8,4
"33",1,1,0,0,0
"34",167,165,18,6,4
"35",164,158,16,3,4
"36",155,175,17,8,10
"37",0,1,0,0,0
"38",167,144,21,7,4
"39",157,150,16,6,4
"40",0,2,0,0,0
"41",149,121,19,6,5
"42",180,165,19,7,5
"43",148,130,16,7,6
"44",152,132,18,10,6
"45",145,166,17,6,5
"46",0,1,0,0,0
"47",168,148,15,7,6
"48",156,137,19,7,6
"49",0,2,0,0,0
"50",157,151,20,7,5
