"","age1.ID","age2_no_comorbid.ID","age2_comorbid.ID","age3_no_comorbid.ID","age3_comorbid.ID"
"1",1,6,4,1,5
"2",3,8,5,1,4
"3",0,0,0,0,0
"4",1,8,5,0,3
"5",3,7,2,1,6
"6",1,9,5,1,1
"7",2,4,3,1,3
"8",0,0,0,0,0
"9",2,4,3,0,4
"10",2,4,4,0,3
"11",0,0,0,0,0
"12",2,3,3,1,7
"13",0,0,0,0,0
"14",2,10,3,1,4
"15",0,0,0,0,0
"16",6,4,2,1,3
"17",2,4,4,0,3
"18",4,3,3,1,5
"19",0,1,0,0,0
"20",0,0,0,0,0
"21",4,5,3,1,7
"22",0,0,0,0,0
"23",2,4,2,1,3
"24",0,0,0,0,0
"25",1,3,3,2,5
"26",2,4,2,1,4
"27",1,5,7,1,2
"28",2,4,4,2,6
"29",0,0,0,0,0
"30",0,0,0,0,0
"31",0,0,0,0,0
"32",1,5,2,2,2
"33",0,0,0,0,0
"34",1,5,3,0,2
"35",3,3,3,1,4
"36",2,4,3,2,3
"37",0,0,0,0,0
"38",1,5,2,0,5
"39",1,5,4,1,6
"40",0,0,0,0,0
"41",1,4,5,0,4
"42",2,5,4,2,5
"43",2,8,4,2,3
"44",2,4,4,1,4
"45",0,6,5,1,4
"46",0,0,0,0,0
"47",2,4,4,2,6
"48",3,3,2,1,6
"49",0,0,0,0,0
"50",3,3,6,2,6
