"","age1.IH","age2_no_comorbid.IH","age2_comorbid.IH","age3_no_comorbid.IH","age3_comorbid.IH"
"1",54.2535239172915,49.7977319691279,52.5254136789625,54.6386425901879,56.746421537605
"2",51.287333070279,52.3671398596367,55.6489873851545,47.7170579038163,44.8590604925794
"3",0,0,0,0,0
"4",49.2958897084365,48.5080719772726,42.152420915532,40.1183654180672,40.7410214405802
"5",55.3897868362789,52.3770728014875,45.8885906561299,47.2030439535211,61.4851496068769
"6",26.6784421325256,27.897073605844,28.0310020696914,23.8190784465772,45.7270909796938
"7",36.7914364173662,33.2559122351326,26.9182115608028,47.719133849211,39.8880189595407
"8",0,0,0,0,0
"9",45.3256581548022,37.7096106686226,45.6110086000236,31.511242810574,50.5786388254552
"10",61.4437903238682,66.6775661958964,62.5077650886806,63.7426412807686,57.3591832709806
"11",0,0,0,0,0
"12",57.2465988270481,69.7333790713668,76.4937943920662,59.4709892434847,69.2926422597702
"13",0,0,0,0,0
"14",44.2060062590951,36.880877525251,46.145968254167,58.9376276030832,46.2405498447484
"15",0,0,0,0,0
"16",38.670138299585,43.3596445594404,47.7089826867821,35.195273957411,39.6298779304545
"17",62.9653932576205,71.6411817095258,66.9503752457997,71.6411817095258,74.6450851996264
"18",33.2561815561381,31.0291037179969,41.1946824083249,28.5411310168762,44.0289148388813
"19",0,0,0,0,0
"20",0,0,0,0,0
"21",89.6341161537997,113.00673762371,94.394280253287,86.6489118562194,87.5024840747637
"22",0,0,0,0,0
"23",66.4342030127802,72.4892458585949,63.5451109709496,78.5743791210019,67.351655448893
"24",0,0,0,0,0
"25",57.2868279791023,67.3940626305383,54.4906605473804,69.0239876856994,59.2246151733154
"26",45.8970293451404,59.214848349173,60.1415348363473,58.1146064866926,52.8576739227847
"27",44.6050824146334,44.0685417329245,49.7854176140471,42.3875257508761,48.2998881643898
"28",53.5847268539986,57.3611815450323,55.2410836268993,61.6108526322617,52.5637310338007
"29",0,0,0,0,0
"30",0,0,0,0,0
"31",0,0,0,0,0
"32",34.4465148944363,44.4738052882115,26.8091796049671,43.7862462574981,48.353072806223
"33",0,0,0,0,0
"34",38.0826667918172,28.2770343520406,35.1266799256197,13.4219716155076,35.5075713919075
"35",43.4395828188046,43.256714317229,39.4329761438401,38.2777566977903,43.4395828188046
"36",55.38077372146,51.6510982327095,62.2746240548791,46.066007621052,51.7398650752019
"37",0,0,0,0,0
"38",53.2027775472268,56.1834462100643,54.0429413657569,56.3378469661836,52.382294846311
"39",46.692965533915,48.6970938008035,46.2446395528171,32.103932928432,40.4625486372765
"40",0,0,0,0,0
"41",45.3126756962059,38.7462730987733,45.9589990686252,26.814126408568,42.8175162556455
"42",44.8204940471386,50.3666883103608,47.747565047685,50.7696902238895,49.3165040350235
"43",49.936839608361,49.8210481180457,42.2661944746563,43.3995450022369,43.5576441326195
"44",35.3221132243602,39.10105942247,32.4091210518081,30.9195382328352,25.6648020742381
"45",31.7578323527012,37.7662671269478,37.9778023137996,36.3009094304508,36.8522974343695
"46",0,0,0,0,0
"47",58.75290377116,61.3634651611305,60.5504049049295,66.8821866630606,60.0907115634605
"48",57.3440193897545,58.5326288593255,45.8726833021469,71.1285537895192,62.0634171041482
"49",0,0,0,0,0
"50",39.5134205288868,45.5210105193967,51.5389234226829,47.7398701719567,44.809107759751
