"","age1.S","age2_no_comorbid.S","age2_comorbid.S","age3_no_comorbid.S","age3_comorbid.S"
"447",64,98,66,63,70
"448",141,159,126,115,123
"449",111,124,102,95,100
"450",170,195,154,140,151
"451",97,120,91,85,92
"452",87,102,83,78,83
"453",89,104,85,80,85
"454",97,111,91,85,90
"455",70,85,69,67,71
"456",135,148,122,112,119
"457",67,82,65,62,66
"458",84,106,81,77,83
"459",72,86,68,64,69
"460",56,71,56,54,58
"461",91,105,87,82,87
"462",94,108,88,82,87
"463",99,110,90,83,89
"464",128,138,116,106,112
"465",122,134,112,103,109
"466",130,142,115,104,111
"467",70,90,69,67,72
"468",76,95,73,70,75
"469",97,119,90,83,90
"470",58,75,57,55,59
"471",87,119,82,76,85
"472",107,120,98,90,96
"473",69,100,71,69,76
"474",123,136,112,103,110
"475",98,113,92,87,92
"476",84,101,81,78,83
"477",71,88,69,66,71
"478",75,92,72,68,73
"479",81,93,76,71,76
"480",94,107,86,79,85
"481",86,103,84,81,86
"482",84,100,82,78,83
"483",111,123,102,95,100
"484",72,86,67,63,68
"485",76,91,73,69,74
"486",90,103,85,80,84
"487",97,115,93,88,94
"488",66,86,66,63,68
"489",78,92,73,69,73
"490",94,114,89,84,90
"491",64,82,64,61,66
"492",86,99,81,76,81
"493",88,127,84,78,88
"494",79,93,76,72,76
"495",86,100,81,76,81
"496",96,117,89,83,89
"497",63,84,63,61,66
"498",120,133,108,99,105
"499",121,130,107,98,104
"500",71,87,70,68,72
