"","age1.D","age2_no_comorbid.D","age2_comorbid.D","age3_no_comorbid.D","age3_comorbid.D"
"1",0,0.106157112526539,0,0,0
"2",0,0.106157112526539,0,0,0
"3",1.71990171990172,1.80467091295117,3.99361022364217,9.09090909090909,16.0857908847185
"4",0,0.106157112526539,0,0,0
"5",0,0,0,0,0
"6",0,0,0,0,0
"7",0,0,0,0,0
"8",0,0,0,0,0
"9",0,0,0,0,0
"10",0.85995085995086,2.22929936305732,6.38977635782748,9.09090909090909,18.7667560321716
"11",1.84275184275184,2.01698513800425,7.98722044728434,2.27272727272727,9.38337801608579
"12",2.21130221130221,1.48619957537155,12.779552715655,4.54545454545455,16.0857908847185
"13",3.19410319410319,1.91082802547771,6.38977635782748,6.81818181818182,18.7667560321716
"14",0.982800982800983,2.22929936305732,9.58466453674121,2.27272727272727,13.4048257372654
"15",1.71990171990172,2.33545647558386,10.3833865814696,2.27272727272727,20.1072386058981
"16",0,0,0,0,0
"17",0,0,0,0,0
"18",1.22850122850123,2.01698513800425,4.79233226837061,4.54545454545455,13.4048257372654
"19",0,0,0,0,0
"20",0,0,0,0,0
"21",0,0,0,0,0
"22",0,0,0,0,0
"23",0,0,0,0,0
"24",1.84275184275184,2.01698513800425,6.38977635782748,9.09090909090909,14.745308310992
"25",1.5970515970516,2.01698513800425,9.58466453674121,0,18.7667560321716
"26",1.22850122850123,2.22929936305732,12.779552715655,4.54545454545455,13.4048257372654
"27",1.84275184275184,1.59235668789809,8.78594249201278,2.27272727272727,17.426273458445
"28",0,0,0,0,0
"29",1.47420147420147,2.33545647558386,7.18849840255591,11.3636363636364,17.426273458445
"30",2.57985257985258,1.48619957537155,9.58466453674121,2.27272727272727,14.745308310992
"31",0,0,0,0,0
"32",0.122850122850123,0,0,0,0
"33",0,0,0,0,0
"34",0,0,0,0,0
"35",0,0.106157112526539,0,0,0
"36",0,0,0,0,0
"37",0,0,0,0,0
"38",0,0,0,0,0
"39",2.08845208845209,3.07855626326964,11.9808306709265,2.27272727272727,18.7667560321716
"40",1.35135135135135,2.54777070063694,8.78594249201278,4.54545454545455,16.0857908847185
"41",0,0,0,0,0
"42",0,0,0,0,0
"43",0.982800982800983,2.22929936305732,11.1821086261981,15.9090909090909,20.1072386058981
"44",0,0,0,0,0
"45",1.84275184275184,1.69851380042463,6.38977635782748,9.09090909090909,13.4048257372654
"46",0,0.106157112526539,0,0,0
"47",2.45700245700246,2.22929936305732,10.3833865814696,4.54545454545455,10.7238605898123
"48",0,0,0,0,0
"49",0,0,0,0,0
"50",0,0,0,0,0
"51",0,0,0,0,0
"52",2.33415233415233,1.59235668789809,9.58466453674121,0,10.7238605898123
"53",0,0,0,0,0
"54",0,0,0,0,0
"55",0,0,0,0,0
"56",0,0,0,0,0
"57",1.5970515970516,1.59235668789809,7.98722044728434,0,12.0643431635389
"58",0,0,0,0,0
"59",0.122850122850123,0.636942675159236,0.798722044728434,0,1.34048257372654
"60",0,0,0,0,0
"61",0,0,0,0,0
"62",0,0,0,0,0
"63",0,0,0,0,0
"64",0,0,0,0,0
"65",2.45700245700246,2.22929936305732,4.79233226837061,2.27272727272727,5.36193029490617
"66",1.35135135135135,2.01698513800425,8.78594249201278,2.27272727272727,13.4048257372654
"67",0.737100737100737,1.16772823779193,7.98722044728434,2.27272727272727,14.745308310992
"68",0,0,0,0,0
"69",1.47420147420147,1.27388535031847,15.9744408945687,6.81818181818182,14.745308310992
"70",0,0,0,0,0
"71",0,0,0,0,0
