"","age1.O","age2_no_comorbid.O","age2_comorbid.O","age3_no_comorbid.O","age3_comorbid.O"
"1",147,127,13,7,6
"2",151,161,18,4,7
"3",1,0,0,0,0
"4",166,151,15,7,9
"5",145,158,17,7,7
"6",158,150,20,5,6
"7",128,130,12,7,9
"8",168,177,19,7,11
"9",142,130,14,6,6
"10",0,1,0,0,0
"11",158,158,21,7,7
"12",139,136,13,4,10
"13",136,116,13,7,8
"14",0,0,0,0,0
"15",153,165,19,8,6
"16",171,147,16,5,7
"17",1,1,0,0,0
"18",130,141,13,7,6
"19",164,139,15,5,7
"20",147,169,21,8,6
"21",156,138,13,6,10
"22",175,149,14,11,9
"23",117,117,12,7,7
"24",147,156,18,10,7
"25",0,1,0,0,0
"26",152,137,18,6,6
"27",158,127,18,8,8
"28",178,158,19,6,8
"29",164,155,17,5,8
"30",146,110,16,7,7
"31",122,137,16,5,7
"32",0,0,0,0,0
"33",159,168,21,9,6
"34",144,168,21,6,9
"35",0,0,0,0,0
"36",168,165,17,8,7
"37",170,163,16,6,9
"38",155,126,18,10,7
"39",126,133,18,4,7
"40",140,152,14,5,7
"41",0,1,0,0,0
"42",169,116,11,6,6
"43",149,132,18,5,6
"44",142,127,17,6,9
"45",155,150,20,7,8
"46",154,159,17,5,8
"47",152,161,20,7,7
"48",0,1,0,0,0
"49",146,120,20,5,9
"50",150,144,16,8,6
"51",138,135,16,5,9
"52",0,1,0,0,0
"53",148,141,14,6,5
"54",0,1,0,0,0
"55",143,155,20,7,6
"56",160,155,19,5,9
"57",153,147,15,8,7
"58",147,139,17,5,6
"59",149,129,15,6,7
"60",172,158,22,9,9
"61",0,1,0,0,0
"62",0,1,0,0,0
"63",138,152,14,8,6
"64",136,164,18,6,7
"65",167,153,20,5,6
"66",146,135,22,6,5
"67",142,149,19,5,7
"68",0,0,0,0,0
"69",126,145,20,6,8
"70",130,128,17,6,6
"71",166,157,14,5,8
"72",0,1,0,0,0
"73",157,150,16,6,7
"74",140,136,16,8,9
"75",136,125,17,7,4
"76",144,148,19,4,5
"77",150,138,17,6,6
"78",131,133,16,6,5
"79",162,147,18,6,8
"80",151,128,20,5,7
"81",155,143,17,7,6
"82",133,161,22,9,10
"83",162,168,21,5,9
"84",148,147,14,9,6
"85",134,143,17,7,8
"86",140,142,18,6,11
"87",150,138,13,10,6
"88",127,165,14,5,6
"89",140,163,19,7,8
"90",121,139,18,6,9
"91",160,151,18,4,9
"92",163,141,15,5,7
"93",153,152,14,6,10
"94",1,0,0,0,0
"95",177,136,17,8,11
"96",148,150,20,7,7
"97",148,136,16,6,7
"98",164,156,20,7,6
"99",169,161,16,7,7
"100",159,158,26,7,7
"101",158,147,22,5,8
"102",0,1,0,0,0
"103",158,147,20,5,10
"104",137,165,20,9,8
"105",142,154,19,4,8
"106",125,128,11,8,7
"107",149,159,25,7,7
"108",173,135,15,7,6
"109",148,165,16,7,8
"110",163,153,18,8,9
"111",2,1,0,0,0
"112",149,154,18,5,8
"113",187,176,25,8,7
"114",159,149,15,7,9
"115",138,139,13,9,5
"116",143,150,19,7,5
"117",151,141,17,6,6
"118",0,0,0,0,0
"119",150,142,15,6,7
"120",155,135,18,7,10
"121",139,136,15,5,6
"122",151,159,20,9,9
"123",151,141,18,7,7
"124",150,150,15,6,7
"125",120,134,16,8,8
"126",0,1,0,0,0
"127",172,156,16,6,9
"128",142,138,17,7,8
"129",0,0,0,0,0
"130",151,170,17,10,6
"131",169,149,15,8,7
"132",131,137,14,6,9
"133",153,155,17,5,6
"134",168,172,18,9,9
"135",167,156,17,8,9
"136",143,135,18,5,8
"137",157,174,16,7,8
"138",148,145,13,9,8
"139",0,1,0,0,0
"140",0,1,0,0,0
"141",157,147,17,7,6
"142",145,131,15,7,12
"143",129,144,17,6,8
"144",0,2,0,0,0
"145",176,163,18,9,12
"146",153,156,17,6,6
"147",129,135,15,7,8
"148",165,157,16,7,7
"149",0,1,0,0,0
"150",134,139,19,5,7
"151",150,155,17,9,9
"152",0,1,0,0,0
"153",168,154,14,6,7
"154",157,159,18,7,9
"155",150,144,15,9,10
"156",151,131,18,6,8
"157",130,132,21,6,6
"158",177,153,17,8,9
"159",143,127,16,7,12
"160",148,143,16,6,6
"161",125,146,20,7,7
"162",149,169,21,6,6
"163",0,0,0,0,0
"164",146,139,14,5,7
"165",0,1,0,0,0
"166",164,138,14,5,6
"167",158,156,14,9,8
"168",154,140,19,10,10
"169",143,138,16,5,7
"170",152,147,18,11,8
"171",145,134,15,6,7
"172",151,168,16,9,9
"173",0,1,0,0,0
"174",136,139,16,7,6
"175",150,156,13,7,8
"176",142,140,16,7,8
"177",0,1,0,0,0
"178",146,144,16,8,10
"179",0,1,0,0,0
"180",0,1,0,0,0
"181",151,155,19,9,5
"182",145,137,15,8,8
"183",125,135,12,7,7
"184",148,152,13,5,9
"185",155,147,18,7,5
"186",1,1,0,0,0
"187",0,1,0,0,0
"188",0,1,0,0,0
"189",169,154,24,9,7
"190",125,132,15,7,7
"191",146,152,15,7,8
"192",1,1,0,0,0
"193",132,141,21,7,6
"194",0,1,0,0,0
"195",149,141,16,7,7
"196",131,130,14,5,8
"197",136,147,22,5,6
"198",131,124,15,7,7
"199",139,149,16,6,6
"200",153,121,16,8,6
"201",1,0,0,0,0
"202",155,150,18,6,7
"203",149,137,13,7,6
"204",0,1,0,0,0
"205",0,1,0,0,0
"206",134,132,18,5,6
"207",159,150,18,7,6
"208",142,160,19,8,8
"209",155,146,18,8,5
"210",172,157,18,6,7
"211",143,141,17,7,7
"212",159,152,14,4,7
"213",174,161,15,11,7
"214",150,148,15,7,5
"215",150,138,19,5,8
"216",141,145,16,6,10
"217",156,153,15,6,8
"218",139,147,14,5,7
"219",138,145,19,8,9
"220",128,124,13,5,8
"221",0,0,0,0,0
"222",146,143,18,6,8
"223",151,166,17,8,11
"224",140,142,18,6,5
"225",154,148,16,7,9
"226",141,135,22,10,9
"227",175,150,21,8,9
"228",152,139,14,8,9
"229",146,150,15,7,6
"230",153,131,19,6,6
"231",0,0,0,0,0
"232",127,133,15,11,6
"233",0,0,0,0,0
"234",152,159,19,6,8
"235",146,139,21,9,6
"236",139,145,24,8,11
"237",0,1,0,0,0
"238",142,133,17,6,8
"239",160,146,14,5,12
"240",147,132,14,6,7
"241",151,152,15,5,9
"242",144,135,16,6,6
"243",0,1,0,0,0
"244",147,124,18,7,7
"245",163,145,21,8,7
"246",128,115,16,7,9
"247",140,141,15,6,6
"248",0,1,0,0,0
"249",140,134,18,7,7
"250",139,144,14,5,5
"251",1,1,0,0,0
"252",137,124,19,6,5
"253",146,138,18,8,8
"254",150,137,14,8,10
"255",138,147,19,6,7
"256",150,136,12,9,5
"257",0,1,0,0,0
"258",144,135,19,6,11
"259",157,161,15,6,9
"260",142,137,12,7,6
"261",153,126,14,6,6
"262",148,148,19,8,6
"263",166,137,20,7,8
"264",143,158,15,8,9
"265",132,132,16,7,6
"266",165,157,22,7,6
"267",146,133,20,9,5
"268",0,1,0,0,0
"269",154,140,22,5,9
"270",0,1,0,0,0
"271",161,142,16,6,10
"272",168,137,13,5,6
"273",134,143,20,6,9
"274",154,144,17,6,10
"275",130,124,14,9,5
"276",145,166,18,7,10
"277",168,139,22,6,5
"278",129,140,22,7,10
"279",113,131,18,6,6
"280",168,171,14,6,9
"281",147,150,17,9,7
"282",0,1,0,0,0
"283",152,144,19,8,7
"284",137,138,17,7,5
"285",152,163,17,9,8
"286",136,143,15,6,8
"287",140,129,17,12,6
"288",0,1,0,0,0
"289",155,152,14,5,7
"290",165,160,15,6,9
"291",147,152,19,5,8
"292",0,1,0,0,0
"293",140,155,15,6,10
"294",0,1,0,0,0
"295",0,1,0,0,0
"296",153,158,19,6,8
"297",171,170,14,6,6
"298",0,0,0,0,0
"299",153,146,19,8,10
"300",0,1,0,0,0
"301",136,147,17,5,14
"302",166,166,18,7,8
"303",160,129,19,5,6
"304",169,161,17,6,7
"305",153,144,19,6,8
"306",168,140,16,6,7
"307",149,137,15,7,6
"308",146,138,14,5,6
"309",135,126,17,6,7
"310",163,179,17,7,9
"311",155,142,17,5,7
"312",154,140,17,11,5
"313",126,148,17,8,7
"314",134,154,15,7,8
"315",131,132,11,7,8
"316",171,149,25,6,7
"317",0,1,0,0,0
"318",150,130,22,6,6
"319",141,169,19,4,10
"320",155,141,18,8,6
"321",149,141,20,6,6
"322",130,130,16,6,7
