"","age1_orange.E","age1_green.E","age2_no_comorbid_orange.E","age2_no_comorbid_green.E","age2_comorbid_green.E","age3_no_comorbid_green.E","age3_comorbid_green.E"
"469",40,0,36,0,0,0,0
"470",53,0,40,1,0,0,0
"471",43,0,32,0,0,0,0
"472",42,0,41,0,0,0,0
"473",0,0,1,0,0,0,0
"474",41,0,32,0,0,0,0
"475",39,0,36,0,0,0,0
"476",46,0,43,0,0,0,0
"477",1,0,2,0,0,0,0
"478",46,0,39,0,0,0,0
"479",40,0,37,1,0,0,0
"480",55,0,51,0,0,0,0
"481",44,0,40,0,0,0,0
"482",38,0,36,0,0,0,0
"483",0,0,1,0,0,0,0
"484",0,0,1,0,0,0,0
"485",33,0,30,0,0,0,0
"486",41,0,33,0,0,0,0
"487",52,0,46,0,0,0,0
"488",50,0,43,0,0,0,0
"489",46,0,35,0,0,0,0
"490",0,0,1,0,0,0,0
"491",0,0,1,0,0,0,0
"492",0,0,1,0,0,0,0
"493",0,0,1,0,0,0,0
"494",52,0,36,0,0,0,0
"495",42,0,37,0,0,0,0
"496",0,0,1,0,0,0,0
"497",0,0,1,0,0,0,0
"498",52,0,45,0,0,0,0
"499",0,0,1,0,0,0,0
"500",0,0,1,0,0,0,0
