"","age1_orange.S","age1_green.S","age2_no_comorbid_orange.S","age2_no_comorbid_green.S","age2_comorbid_green.S","age3_no_comorbid_green.S","age3_comorbid_green.S"
"2122",3,16,16,23,31,11,19
"2123",188,16,211,23,31,11,19
"2124",188,16,211,23,31,11,19
"2125",188,16,211,23,31,11,19
"2126",4,16,15,23,31,11,19
"2127",1,16,12,23,31,11,19
"2128",188,16,211,23,31,11,19
"2129",6,16,18,23,31,11,19
"2130",2,16,16,23,31,11,19
"2131",5,16,14,23,31,11,19
"2132",187,16,211,23,31,11,19
"2133",4,16,21,23,31,11,19
"2134",2,16,18,23,31,11,19
"2135",188,16,210,23,31,11,19
"2136",188,16,211,23,31,11,19
"2137",1,16,14,23,31,11,19
"2138",1,16,15,23,31,11,19
"2139",1,16,17,23,31,11,19
"2140",3,16,23,23,31,11,19
"2141",3,16,16,23,31,11,19
"2142",3,0,14,4,4,4,9
"2143",4,16,17,23,31,11,19
"2144",0,16,12,23,31,11,19
"2145",7,0,21,5,7,3,8
"2146",188,16,211,23,31,11,19
"2147",188,16,211,23,31,11,19
"2148",5,1,18,1,4,3,2
"2149",2,16,14,23,31,11,19
"2150",1,0,13,5,2,2,3
"2151",3,16,12,23,31,11,19
"2152",3,0,15,2,1,0,3
"2153",188,16,211,23,31,11,19
"2154",3,16,19,23,31,11,19
"2155",3,16,24,23,31,11,19
"2156",2,16,10,23,31,11,19
"2157",1,16,14,23,28,11,19
"2158",2,16,22,23,31,11,19
"2159",3,16,22,23,31,11,19
"2160",3,16,23,23,31,11,19
"2161",3,16,15,23,31,11,19
"2162",4,16,17,23,31,11,19
"2163",4,16,20,23,31,11,19
"2164",188,16,211,23,31,11,19
"2165",187,16,211,23,31,11,19
"2166",188,16,211,23,31,11,19
"2167",2,16,19,23,31,11,19
"2168",188,16,211,23,31,11,19
"2169",4,0,19,3,1,3,3
"2170",188,16,211,23,31,11,19
"2171",1,16,18,23,31,11,19
"2172",3,16,19,23,31,11,19
"2173",188,16,211,23,31,11,19
"2174",3,0,11,1,2,4,3
"2175",1,16,14,23,31,11,19
"2176",4,16,13,23,31,11,19
"2177",6,16,20,23,31,11,19
"2178",188,16,211,23,31,11,19
"2179",2,16,13,23,31,11,19
"2180",3,16,17,23,31,11,19
"2181",4,16,15,23,31,11,19
"2182",188,16,211,23,31,11,19
"2183",5,16,15,23,31,11,19
"2184",3,16,20,23,31,11,19
"2185",5,1,15,5,5,2,6
"2186",5,16,24,23,31,11,19
"2187",188,16,211,23,31,11,19
"2188",2,16,12,23,31,11,19
"2189",188,16,210,23,31,11,19
"2190",2,16,15,23,31,11,19
"2191",2,16,13,23,31,11,19
"2192",1,16,24,23,31,11,19
"2193",3,16,11,23,31,11,19
"2194",4,16,17,23,31,11,19
"2195",5,16,14,23,31,11,19
"2196",3,16,16,23,31,10,19
"2197",188,16,211,23,31,11,19
