"","age1.R","age2_no_comorbid.R","age2_comorbid.R","age3_no_comorbid.R","age3_comorbid.R"
"243",750,752,84,21,26
"244",0,1,0,0,0
"245",746,782,89,30,27
"246",1,3,0,0,0
"247",1,1,0,0,0
"248",0,1,0,0,0
"249",760,783,77,24,21
"250",766,774,80,29,28
"251",760,780,80,24,18
"252",0,1,0,0,0
"253",741,761,85,24,18
"254",764,792,88,29,24
"255",0,1,0,0,0
"256",756,778,82,23,26
"257",757,782,89,30,18
"258",759,758,82,24,19
"259",756,799,77,28,21
"260",0,1,0,0,0
"261",753,770,91,27,22
"262",761,778,83,25,34
"263",758,781,71,27,22
"264",750,795,95,26,20
"265",0,1,0,0,0
"266",0,1,0,0,0
"267",751,778,78,33,26
"268",751,774,83,21,25
"269",0,1,0,0,0
"270",754,780,80,23,20
"271",0,1,0,0,0
"272",761,774,81,24,22
"273",0,1,0,0,0
"274",759,765,79,33,20
"275",751,808,83,31,20
"276",747,747,77,30,24
"277",761,805,83,25,25
"278",744,770,82,23,21
"279",753,764,81,25,31
"280",763,799,81,23,23
"281",741,768,80,24,17
"282",744,773,82,28,18
"283",730,791,77,29,30
"284",761,770,89,28,23
"285",0,2,0,0,0
"286",756,770,80,27,25
"287",769,776,86,25,19
"288",763,783,86,27,16
"289",766,789,75,25,19
"290",761,770,88,19,18
"291",755,783,89,32,18
"292",0,1,0,0,0
"293",750,790,80,26,24
"294",755,796,81,23,24
"295",742,763,93,28,17
"296",756,758,72,23,23
"297",753,752,84,27,15
"298",1,2,0,0,0
"299",750,757,77,26,18
"300",753,777,86,29,18
"301",750,763,78,28,22
"302",758,782,78,29,18
"303",758,776,83,26,24
"304",759,778,86,23,31
"305",756,781,76,29,20
"306",0,1,0,0,0
"307",748,777,89,28,23
"308",768,757,78,30,18
"309",762,792,82,22,25
"310",749,774,84,20,17
"311",774,797,76,20,22
"312",759,770,91,27,22
"313",771,779,82,27,22
"314",754,791,75,28,25
"315",748,757,83,34,20
"316",760,766,85,25,27
"317",735,789,89,25,23
"318",763,778,77,23,17
"319",746,805,75,25,26
"320",769,773,88,26,22
"321",0,1,0,0,0
"322",766,749,84,27,19
"323",753,769,94,35,22
"324",0,1,0,0,0
"325",742,766,85,32,24
"326",750,750,72,25,24
"327",0,1,0,0,0
"328",768,776,79,24,22
"329",766,811,85,27,27
"330",750,770,72,28,24
"331",764,789,81,27,32
"332",0,1,0,0,0
"333",751,791,82,23,22
"334",762,775,72,25,30
"335",747,775,82,36,19
"336",1,0,0,0,0
"337",752,782,75,23,14
"338",753,773,90,24,25
"339",760,801,87,21,25
"340",756,789,79,31,26
"341",746,753,85,27,27
"342",0,1,0,0,0
"343",749,771,86,31,21
"344",745,784,74,26,24
"345",743,804,86,29,17
"346",0,1,0,0,0
"347",757,776,82,23,26
"348",0,2,0,0,0
"349",0,1,0,0,0
"350",761,779,81,26,26
"351",772,775,77,25,24
"352",747,759,74,31,25
"353",765,779,77,23,27
"354",748,776,85,30,24
"355",758,790,84,28,22
"356",763,794,91,25,18
"357",767,769,82,23,27
"358",766,793,78,25,25
"359",754,770,87,26,17
"360",742,786,87,28,20
"361",746,788,77,28,22
"362",752,756,79,26,20
"363",738,779,89,28,21
"364",771,809,83,33,24
"365",754,768,82,28,20
"366",768,818,82,22,24
"367",766,788,85,28,24
"368",761,758,76,24,22
"369",751,782,76,22,27
"370",769,783,83,26,30
"371",763,774,91,26,22
"372",764,767,85,26,29
"373",0,1,0,0,0
"374",776,795,92,31,23
"375",761,758,81,24,19
"376",753,752,80,23,29
"377",755,757,77,27,21
"378",766,785,84,29,31
"379",0,1,0,0,0
"380",742,783,73,19,18
"381",744,774,83,24,19
"382",763,775,82,26,15
"383",766,780,74,22,20
"384",742,787,73,26,27
"385",769,797,91,29,19
"386",0,1,0,0,0
"387",759,759,78,25,24
"388",761,771,85,24,26
"389",768,793,85,17,23
"390",755,749,80,21,17
"391",745,803,81,25,19
"392",763,748,75,28,24
"393",757,786,83,26,18
"394",0,1,0,0,0
"395",0,1,0,0,0
"396",759,778,77,28,27
"397",2,1,0,0,0
"398",763,818,88,24,23
"399",748,756,76,22,25
"400",0,1,0,0,0
"401",758,785,74,28,19
"402",745,767,86,25,26
"403",751,783,84,23,22
"404",0,1,0,0,0
"405",762,798,82,25,23
"406",1,1,0,0,0
"407",759,769,80,25,22
"408",746,760,88,26,19
"409",735,793,79,26,25
"410",770,797,83,23,28
"411",768,800,85,25,26
"412",0,1,0,0,0
"413",765,795,85,17,21
"414",753,760,87,28,28
"415",778,779,78,28,24
"416",764,771,84,21,26
"417",748,770,83,22,22
"418",0,1,0,0,0
"419",756,778,77,26,21
"420",0,1,0,0,0
"421",752,787,77,27,23
"422",757,768,79,31,18
"423",752,767,80,24,28
"424",757,759,81,24,29
"425",0,1,0,0,0
"426",0,1,0,0,0
"427",0,1,0,0,0
"428",741,761,81,23,22
"429",740,759,76,27,14
"430",753,778,80,25,27
"431",765,763,84,23,23
"432",759,769,84,30,18
"433",735,759,78,25,20
"434",752,771,74,23,19
"435",762,787,74,28,28
"436",0,1,0,0,0
"437",755,753,80,25,20
"438",756,797,84,33,19
"439",1,1,0,0,0
"440",757,766,81,31,19
"441",745,790,85,23,19
"442",760,786,84,26,24
"443",756,773,75,21,24
"444",765,765,76,30,31
"445",764,781,83,31,24
"446",756,741,82,28,17
"447",0,5,0,0,0
"448",762,776,84,26,26
"449",0,1,0,0,0
"450",755,774,81,26,18
"451",0,1,0,0,0
"452",758,792,84,26,27
"453",760,780,87,31,23
"454",761,802,86,27,24
"455",761,772,75,25,25
"456",760,779,75,21,25
"457",0,1,0,0,0
"458",752,756,94,27,21
"459",766,755,84,24,23
"460",0,1,0,0,0
"461",744,766,77,29,15
"462",739,778,85,31,13
"463",754,787,86,24,20
"464",0,1,0,0,0
"465",758,763,85,32,23
"466",0,1,0,1,0
"467",760,789,88,27,19
"468",753,770,81,31,19
"469",753,769,81,26,25
"470",768,803,80,24,30
"471",777,795,77,29,19
"472",766,785,76,27,24
"473",1,1,0,0,0
"474",756,809,86,29,24
"475",755,758,77,25,22
"476",739,764,94,29,21
"477",751,797,91,28,26
"478",757,792,80,29,22
"479",765,787,97,34,17
"480",761,777,78,23,23
"481",751,753,81,25,21
"482",776,784,83,27,24
"483",765,791,79,25,26
"484",759,780,83,19,24
"485",1,1,0,0,0
"486",746,776,86,23,26
"487",765,776,86,25,19
"488",733,769,79,29,20
"489",760,789,83,28,22
"490",0,1,0,0,0
"491",1,3,0,0,0
"492",756,770,89,25,21
"493",754,794,78,24,18
"494",749,792,77,25,25
"495",757,795,86,29,30
"496",761,779,84,28,26
"497",757,789,79,26,25
"498",760,776,78,25,24
"499",766,784,92,27,24
"500",754,794,88,28,21
