"","age1.E","age2_no_comorbid.E","age2_comorbid.E","age3_no_comorbid.E","age3_comorbid.E"
"243",0,1,0,0,0
"244",142,160,23,10,13
"245",140,154,27,10,14
"246",156,150,23,11,16
"247",141,126,18,8,13
"248",139,141,23,6,13
"249",153,161,27,6,10
"250",135,127,20,8,14
"251",130,141,22,10,10
"252",161,148,22,9,12
"253",141,138,21,11,12
"254",135,139,23,9,11
"255",126,141,19,7,9
"256",157,131,18,10,17
"257",0,1,0,0,0
"258",1,1,0,0,0
"259",137,133,23,6,8
"260",147,133,22,8,14
"261",157,133,27,8,13
"262",144,136,16,7,9
"263",0,1,0,0,0
"264",163,130,24,8,14
"265",143,148,23,8,14
"266",141,156,22,7,18
"267",0,1,0,0,0
"268",134,132,24,11,11
"269",143,150,20,8,11
"270",143,150,27,6,14
"271",132,147,26,13,11
"272",128,139,18,6,10
"273",0,1,0,0,0
"274",131,124,23,8,13
"275",0,1,0,0,0
"276",141,132,21,9,13
"277",139,145,18,5,12
"278",0,1,0,0,0
"279",158,158,21,9,16
"280",156,146,22,6,20
"281",149,145,23,6,12
"282",0,1,0,0,0
"283",126,134,22,9,11
"284",158,143,19,8,11
"285",160,143,22,8,9
"286",126,130,19,9,11
"287",148,154,23,9,14
"288",135,148,22,6,13
"289",170,158,26,8,15
"290",1,1,0,0,0
"291",136,127,17,7,11
"292",143,152,22,9,14
"293",146,134,16,7,10
"294",0,1,0,0,0
"295",150,149,26,12,13
"296",0,1,0,0,0
"297",144,135,17,6,9
"298",139,148,19,9,11
"299",140,148,24,9,12
"300",136,126,21,7,13
"301",149,142,18,5,11
"302",149,143,29,8,13
"303",128,135,18,7,11
"304",136,146,23,10,11
"305",127,132,22,8,11
"306",122,138,27,11,10
"307",0,1,0,0,0
"308",126,143,21,6,14
"309",139,123,20,5,11
"310",157,143,18,7,11
"311",148,167,21,8,11
"312",151,151,24,9,12
"313",152,141,18,11,12
"314",135,147,20,9,11
"315",148,128,16,10,11
"316",138,134,22,7,12
"317",154,142,21,8,11
"318",139,138,21,8,17
"319",0,1,0,0,0
"320",0,1,0,0,0
"321",146,152,20,11,13
"322",128,139,24,7,12
"323",142,135,24,9,15
"324",0,1,0,0,0
"325",0,1,0,0,0
"326",147,157,23,8,10
"327",0,1,0,0,0
"328",143,133,21,11,12
"329",144,147,24,6,13
"330",0,1,0,0,0
"331",145,152,26,10,19
"332",151,165,22,8,9
"333",142,155,22,9,13
"334",139,138,21,8,11
"335",134,132,29,9,12
"336",141,132,20,6,14
"337",151,148,25,8,12
"338",142,130,24,5,17
"339",136,145,20,7,12
"340",133,116,19,5,17
"341",125,119,22,9,14
"342",144,163,24,10,12
"343",0,1,0,0,0
"344",138,156,22,10,12
"345",134,154,24,9,11
"346",142,131,19,7,12
"347",162,139,19,7,10
"348",142,133,22,6,12
"349",129,138,22,10,9
"350",145,143,21,5,13
"351",0,1,0,0,0
"352",156,159,22,10,15
"353",128,145,21,10,10
"354",146,137,25,8,13
"355",140,134,24,9,9
"356",139,155,20,9,13
"357",139,143,18,11,13
"358",0,1,0,0,0
"359",150,149,24,6,12
"360",0,1,0,0,0
"361",161,143,26,13,13
"362",139,129,24,7,12
"363",130,124,22,7,11
"364",151,125,20,9,11
"365",139,131,22,8,11
"366",125,117,20,9,12
"367",144,138,21,8,13
"368",124,148,18,6,12
"369",140,138,21,11,17
"370",137,142,22,14,11
"371",140,138,18,8,15
"372",118,117,22,8,11
"373",0,1,0,0,0
"374",150,148,22,8,11
"375",147,148,22,11,10
"376",0,1,0,0,0
"377",146,138,18,9,16
"378",152,137,23,7,11
"379",161,151,22,6,13
"380",1,1,0,0,0
"381",133,134,20,7,11
"382",163,149,28,8,13
"383",149,145,26,9,11
"384",157,155,21,10,13
"385",145,146,25,8,13
"386",0,1,0,0,0
"387",150,141,26,7,16
"388",150,148,30,8,11
"389",128,119,18,7,16
"390",140,125,24,9,13
"391",131,120,29,10,10
"392",130,131,20,6,11
"393",0,1,0,0,0
"394",0,1,0,0,0
"395",145,151,21,7,13
"396",136,132,21,6,12
"397",0,1,0,0,0
"398",148,138,21,7,18
"399",0,1,0,0,0
"400",161,142,22,9,8
"401",154,124,25,7,14
"402",151,159,23,8,12
"403",0,1,0,0,0
"404",135,141,22,7,17
"405",133,129,20,6,17
"406",132,151,23,6,16
"407",1,1,0,0,0
"408",0,1,0,0,0
"409",138,130,25,9,11
"410",138,147,22,8,16
"411",151,137,17,11,10
"412",154,144,26,8,15
"413",132,125,20,8,11
"414",133,131,21,6,16
"415",137,149,23,8,13
"416",0,1,0,0,0
"417",140,133,21,8,17
"418",151,129,24,7,13
"419",139,135,21,9,11
"420",130,133,22,6,12
"421",146,127,20,8,14
"422",0,1,0,0,0
"423",151,129,26,6,13
"424",1,1,0,0,0
"425",150,153,25,8,15
"426",152,140,21,5,15
"427",132,143,24,7,13
"428",154,146,23,8,13
"429",142,146,21,10,11
"430",153,136,20,6,11
"431",128,126,24,11,13
"432",154,158,25,6,15
"433",143,155,22,9,15
"434",140,137,25,4,8
"435",145,134,22,7,16
"436",166,151,25,9,20
"437",151,144,20,6,11
"438",140,147,18,8,10
"439",0,1,0,0,0
"440",153,148,21,6,13
"441",129,126,17,9,12
"442",147,133,17,7,11
"443",142,148,24,6,15
"444",0,1,0,0,0
"445",134,141,25,7,9
"446",0,1,0,0,0
"447",157,154,23,8,11
"448",0,1,0,0,0
"449",145,136,29,10,10
"450",0,1,0,0,0
"451",135,128,19,10,14
"452",0,1,0,0,0
"453",121,121,22,7,12
"454",124,135,22,7,13
"455",140,131,19,8,13
"456",145,138,22,6,12
"457",157,164,16,8,11
"458",0,1,0,0,0
"459",165,155,21,10,20
"460",143,149,24,9,11
"461",147,132,20,7,11
"462",0,1,0,0,0
"463",0,1,0,0,0
"464",0,1,0,0,0
"465",144,135,20,9,12
"466",161,139,18,9,13
"467",159,139,19,6,16
"468",148,136,21,7,14
"469",151,117,20,7,13
"470",137,142,20,7,13
"471",131,151,22,9,14
"472",152,128,18,9,10
"473",149,140,18,8,13
"474",121,119,19,8,14
"475",135,149,25,7,14
"476",140,143,24,8,12
"477",147,135,26,10,16
"478",146,151,23,9,11
"479",130,168,22,9,16
"480",150,162,20,10,10
"481",144,134,22,7,10
"482",132,149,24,7,9
"483",144,149,25,9,11
"484",138,132,14,8,12
"485",148,128,24,8,11
"486",143,155,24,9,16
"487",139,149,25,7,13
"488",158,158,20,11,12
"489",140,139,21,7,13
"490",138,157,23,7,11
"491",0,1,0,0,0
"492",157,127,24,9,13
"493",0,1,0,0,0
"494",143,144,20,8,12
"495",152,142,24,8,20
"496",154,156,21,9,13
"497",142,148,21,8,11
"498",150,145,25,6,10
"499",127,132,17,9,13
"500",108,125,22,8,12
"501",141,144,22,8,13
"502",140,139,18,8,14
"503",173,157,27,8,14
"504",0,1,0,0,0
"505",147,141,20,7,12
"506",119,128,21,9,10
"507",128,140,26,7,12
"508",0,1,0,0,0
"509",141,143,17,7,12
"510",154,117,27,5,9
"511",128,131,28,10,13
"512",149,144,28,7,13
"513",152,142,18,8,16
"514",0,1,0,0,0
"515",142,138,21,7,12
"516",125,147,22,9,11
"517",145,148,28,9,16
"518",0,1,0,0,0
"519",140,142,20,6,11
"520",159,146,25,9,12
"521",137,137,26,6,12
"522",140,162,17,11,13
"523",123,123,20,9,9
"524",138,142,28,4,10
"525",153,123,21,6,15
"526",150,146,21,5,12
"527",128,131,20,7,13
"528",148,145,20,9,11
"529",149,139,19,11,12
"530",0,1,0,0,0
"531",149,132,22,5,16
"532",145,149,23,7,14
"533",131,149,23,6,17
"534",137,132,24,7,13
"535",155,166,22,12,13
"536",134,147,23,8,10
"537",115,127,21,8,12
"538",153,148,26,8,12
"539",0,1,0,0,0
"540",136,143,25,7,11
"541",148,144,22,10,14
"542",145,130,25,7,13
"543",158,157,23,10,15
"544",148,155,25,8,12
"545",164,152,25,8,14
"546",1,1,0,0,0
"547",132,131,28,10,9
"548",146,137,20,9,12
"549",2,1,0,0,0
"550",121,153,25,8,20
"551",141,143,21,10,12
"552",150,150,22,9,11
"553",0,1,0,0,0
"554",133,133,20,5,12
"555",135,141,26,8,15
"556",123,116,20,6,12
"557",163,160,22,7,12
"558",137,129,23,6,9
"559",134,136,26,10,13
"560",151,156,25,7,11
"561",1,1,0,0,0
"562",0,1,0,0,0
"563",137,136,20,6,14
"564",150,150,20,10,12
"565",141,152,21,11,11
"566",0,1,0,0,0
"567",0,1,0,0,0
"568",158,151,19,7,12
"569",158,136,25,11,12
"570",0,1,0,0,0
"571",128,127,20,7,11
"572",152,139,18,8,14
"573",156,142,26,9,15
"574",137,133,21,6,13
"575",160,153,20,9,13
"576",153,130,25,11,11
"577",136,140,22,6,12
"578",126,142,23,5,12
"579",155,141,22,10,13
"580",136,136,19,6,8
"581",0,1,0,0,0
"582",0,1,0,0,0
"583",134,120,26,8,10
"584",146,149,21,6,15
"585",144,141,19,6,13
"586",136,131,23,6,15
"587",144,155,23,9,11
"588",140,145,22,10,9
"589",141,127,21,9,12
"590",147,139,23,12,14
"591",0,1,0,0,0
"592",0,1,0,0,0
"593",0,1,0,0,0
"594",138,131,26,11,11
"595",0,1,0,0,0
"596",1,1,0,0,0
"597",1,1,0,0,0
"598",0,1,0,0,0
"599",131,131,16,6,13
"600",148,140,24,9,12
"601",139,141,18,8,9
"602",143,159,20,7,15
"603",135,151,24,8,14
"604",151,149,20,10,14
"605",0,1,0,0,0
"606",129,136,18,8,14
"607",161,144,20,9,13
"608",148,144,24,7,14
"609",130,136,23,9,9
"610",136,158,19,10,15
"611",0,1,0,0,0
"612",140,140,23,7,10
"613",126,116,21,9,11
"614",152,134,28,7,12
"615",137,133,24,9,15
"616",138,145,25,8,11
"617",150,144,15,8,12
"618",0,1,0,0,0
"619",147,148,25,7,11
"620",147,131,18,8,10
"621",142,139,19,8,14
"622",126,131,18,6,11
"623",132,139,19,8,14
"624",160,146,27,9,15
"625",137,130,25,7,12
"626",160,139,17,11,11
"627",138,126,20,6,11
"628",0,1,0,0,0
"629",0,1,0,0,0
"630",132,141,25,7,10
"631",0,1,0,0,0
"632",130,130,21,8,15
"633",151,143,26,6,11
"634",0,1,0,0,0
"635",125,146,28,11,12
"636",0,1,0,0,0
"637",0,1,0,0,0
"638",140,135,19,5,11
"639",153,145,23,9,13
"640",156,138,23,9,9
"641",144,151,26,7,14
"642",0,1,0,1,0
"643",157,138,27,7,11
"644",149,142,18,9,11
"645",150,142,18,8,10
"646",139,130,19,8,9
"647",141,124,22,7,14
"648",133,117,21,7,13
"649",146,153,19,8,14
"650",148,148,19,7,13
"651",0,1,0,0,0
"652",145,146,20,7,13
"653",151,145,19,10,11
"654",130,118,21,6,14
"655",0,1,0,0,0
"656",138,146,21,7,11
"657",145,144,20,10,11
"658",134,144,19,8,14
"659",0,1,0,0,0
"660",144,154,22,9,16
"661",0,1,0,0,0
"662",130,142,22,6,15
"663",146,143,19,7,16
"664",155,158,22,8,10
"665",135,142,21,6,14
"666",138,133,19,11,12
"667",135,146,22,8,15
"668",142,134,23,6,16
"669",150,145,19,6,14
"670",0,1,0,0,0
"671",155,157,25,10,12
"672",129,137,21,9,10
"673",137,143,19,11,11
"674",0,1,0,0,0
"675",0,1,0,0,0
"676",141,158,22,7,10
"677",145,142,23,6,12
"678",132,141,22,7,8
"679",147,133,21,7,13
"680",0,1,0,0,0
"681",140,128,13,9,13
"682",147,136,19,6,13
"683",0,1,0,0,0
"684",149,136,24,8,12
"685",0,1,0,0,0
"686",137,150,27,8,10
"687",138,127,20,6,10
"688",153,163,22,9,17
"689",142,165,27,9,12
"690",143,136,21,9,12
"691",152,155,20,7,13
"692",140,160,27,5,17
"693",151,148,22,10,12
"694",143,138,27,8,15
"695",130,118,21,7,12
"696",137,150,20,10,19
"697",143,136,17,8,12
"698",0,1,0,0,0
"699",148,153,26,11,14
"700",135,149,20,9,10
"701",139,133,17,9,12
"702",138,143,25,5,9
"703",118,130,19,10,9
"704",158,147,26,10,13
"705",150,140,20,6,12
"706",138,154,23,7,13
"707",146,143,29,11,13
"708",146,133,22,7,16
"709",1,1,0,0,0
"710",129,142,22,8,15
"711",170,156,19,7,13
"712",150,136,19,7,16
"713",156,136,24,12,15
"714",0,1,0,0,0
"715",136,131,27,9,10
"716",134,150,23,7,16
"717",156,148,23,6,19
"718",123,122,22,8,9
"719",150,146,26,10,14
"720",140,139,21,6,11
"721",1,1,0,0,0
"722",161,149,18,10,11
"723",149,144,23,12,12
"724",142,140,24,10,13
"725",151,137,30,9,15
"726",160,151,26,9,11
"727",119,126,20,6,13
"728",152,136,26,8,11
"729",0,1,0,0,0
"730",0,1,0,0,0
"731",0,1,0,0,0
"732",142,136,22,7,18
"733",132,146,23,13,13
"734",127,135,24,9,14
"735",151,114,21,8,12
"736",128,137,16,7,15
"737",133,134,23,10,11
"738",130,150,21,7,16
"739",143,148,26,10,19
"740",134,149,21,8,13
"741",123,131,19,6,9
"742",152,141,23,9,11
"743",0,1,0,0,0
"744",152,152,22,8,14
"745",0,1,0,0,0
"746",142,134,20,6,9
"747",156,136,25,5,12
"748",138,138,22,11,16
"749",135,142,17,6,12
"750",0,1,0,0,0
"751",0,1,0,0,0
"752",140,152,26,7,10
"753",128,147,24,8,10
"754",144,140,24,7,16
"755",0,1,0,0,0
"756",140,154,26,11,13
"757",143,138,18,7,12
