"","age1_orange.O","age1_green.O","age2_no_comorbid_orange.O","age2_no_comorbid_green.O","age2_comorbid_green.O","age3_no_comorbid_green.O","age3_comorbid_green.O"
"184",144,14,153,19,21,9,6
"185",154,0,157,0,0,0,0
"186",167,11,168,20,15,10,8
"187",182,0,170,0,0,0,0
"188",155,11,139,15,17,4,5
"189",175,17,181,15,12,6,8
"190",0,0,1,0,0,0,0
"191",176,18,147,19,17,7,6
"192",170,9,173,12,15,4,7
"193",155,13,159,16,16,7,8
"194",183,0,166,0,0,0,0
"195",167,0,161,0,0,0,0
"196",0,0,1,0,0,0,0
"197",0,0,1,0,0,0,0
"198",169,16,176,19,16,6,7
"199",174,18,175,19,17,6,7
"200",189,0,163,0,0,1,0
"201",178,20,150,18,18,8,7
"202",183,13,185,16,15,7,8
"203",176,13,159,24,15,4,8
"204",182,0,159,1,0,0,0
"205",195,15,157,17,16,5,7
"206",0,0,1,0,0,0,0
"207",158,20,171,21,17,7,7
"208",177,14,166,17,16,7,8
"209",172,16,163,19,18,8,8
"210",176,13,189,17,16,4,6
"211",174,18,174,19,21,11,8
"212",158,17,172,20,19,9,9
"213",164,12,164,15,15,7,5
"214",152,17,169,20,17,9,8
"215",0,0,1,0,0,0,0
"216",170,18,153,23,19,9,8
"217",168,1,160,0,1,0,1
"218",171,0,160,0,1,0,0
"219",162,14,172,21,19,8,9
"220",178,11,194,11,10,5,10
"221",142,16,153,19,19,9,12
"222",176,15,182,20,14,6,8
"223",167,11,168,17,18,4,8
"224",188,15,185,18,16,4,6
"225",181,9,155,14,16,5,8
"226",161,10,168,17,18,9,6
"227",162,13,157,17,19,6,7
"228",173,12,158,21,19,8,9
"229",158,13,176,20,22,8,7
"230",172,15,165,18,13,7,8
"231",178,0,164,1,0,0,0
"232",160,0,135,0,0,0,0
"233",189,17,166,20,19,9,7
"234",0,0,0,0,0,0,0
"235",156,18,158,16,16,6,10
"236",169,0,175,0,0,0,0
"237",170,1,172,0,0,0,0
"238",168,17,170,18,15,6,9
"239",149,14,160,16,25,5,10
"240",154,18,156,15,17,6,8
"241",158,17,155,20,19,7,9
"242",172,18,182,18,19,9,8
"243",175,14,179,18,19,8,7
"244",183,16,182,17,18,7,5
"245",197,12,175,12,12,7,7
"246",190,15,200,13,13,8,11
"247",163,14,173,18,15,6,5
"248",179,14,188,20,25,8,7
"249",145,18,163,24,21,6,7
"250",158,10,185,18,14,4,8
"251",142,18,166,24,28,9,10
"252",183,10,189,17,15,5,8
"253",169,13,162,10,16,7,11
"254",168,0,164,0,1,0,0
"255",0,0,1,0,0,0,0
"256",168,13,160,16,21,7,6
"257",175,13,189,13,18,7,7
"258",180,16,164,18,16,6,7
"259",0,0,1,0,0,0,0
"260",0,0,1,0,0,0,0
"261",162,17,145,22,17,6,10
"262",170,16,185,20,18,9,7
"263",164,15,163,19,17,6,10
"264",162,11,155,14,16,8,7
"265",150,10,150,12,14,6,8
"266",178,18,165,19,19,6,9
"267",151,11,177,22,19,4,7
"268",0,0,0,0,0,0,0
