"","age1_orange.A","age2_no_comorbid_orange.A","age2_comorbid_orange.A","age3_no_comorbid_green.A","age3_comorbid_green.A"
"1",42,32,7,2,2
"2",39,40,6,0,0
"3",36,34,4,0,0
"4",0,0,0,0,0
"5",40,36,8,0,0
"6",33,48,9,0,0
"7",0,0,0,0,0
"8",35,48,7,0,0
"9",32,39,4,0,0
"10",35,38,9,0,0
"11",0,0,0,0,0
"12",45,38,6,0,0
"13",43,32,5,0,0
"14",34,34,6,0,0
"15",29,31,5,0,0
"16",33,37,7,0,0
"17",38,37,5,0,1
"18",39,36,6,0,0
"19",45,37,4,0,0
"20",46,40,10,0,1
"21",42,38,5,0,0
"22",0,0,0,0,0
"23",34,35,7,1,1
"24",0,0,0,0,0
"25",39,43,4,0,0
"26",29,36,4,0,0
"27",36,38,8,0,0
"28",39,35,9,3,4
"29",38,39,6,0,0
"30",0,0,0,0,0
"31",36,31,7,0,0
"32",33,35,5,2,5
"33",37,36,6,2,3
"34",31,39,6,1,3
"35",48,35,6,0,0
"36",35,27,7,0,0
"37",40,41,6,0,0
"38",40,45,5,0,0
"39",29,32,6,2,3
"40",0,0,0,0,0
"41",26,31,10,0,0
"42",0,0,0,0,0
"43",35,33,3,0,0
"44",0,0,0,0,0
"45",33,51,6,0,0
"46",35,38,10,0,0
"47",0,0,0,0,0
"48",41,36,7,0,0
"49",32,26,6,0,0
"50",44,35,6,0,0
"51",24,33,8,1,1
"52",45,41,5,2,2
"53",32,32,6,1,0
"54",0,0,0,0,0
"55",28,39,4,0,0
"56",33,32,6,0,0
"57",43,32,4,0,0
"58",34,46,5,0,0
"59",30,38,6,0,0
"60",35,24,3,0,0
"61",0,0,0,0,0
"62",0,0,0,0,0
"63",36,35,4,0,1
"64",40,36,4,0,0
"65",25,31,9,0,0
"66",32,42,6,0,0
"67",40,27,7,0,0
"68",36,35,4,0,0
"69",33,31,14,0,0
"70",1,0,0,0,0
"71",0,0,0,0,0
"72",0,1,0,0,0
"73",0,0,0,0,0
"74",40,37,6,0,0
"75",40,33,5,2,4
"76",41,40,6,0,0
"77",37,35,6,0,0
"78",0,0,0,0,0
"79",35,32,11,0,0
"80",37,36,7,0,0
"81",30,34,6,0,0
"82",29,47,5,0,0
"83",36,37,11,0,0
"84",41,39,5,2,2
"85",34,42,7,1,6
"86",32,36,6,0,0
"87",43,39,8,4,3
"88",41,35,5,0,0
"89",0,0,0,0,0
"90",36,34,6,1,4
"91",50,31,9,0,0
"92",39,39,4,0,0
"93",38,33,7,0,0
"94",44,37,3,0,0
"95",0,0,0,0,0
"96",33,29,8,0,0
"97",1,0,0,0,0
"98",43,41,4,3,3
"99",39,34,8,0,0
"100",38,36,6,0,0
"101",0,1,0,0,0
"102",28,32,5,0,0
"103",33,32,10,0,0
"104",51,37,6,0,0
"105",41,41,11,0,0
"106",39,41,4,3,2
"107",37,30,8,0,0
"108",0,1,0,0,0
"109",35,39,4,0,0
"110",29,37,9,1,2
"111",30,30,6,0,0
"112",24,37,7,0,0
"113",31,35,8,0,0
"114",39,26,9,0,0
"115",32,35,7,0,0
"116",36,30,3,0,0
"117",32,33,5,0,0
"118",31,33,6,0,0
"119",39,37,8,0,0
"120",0,0,0,0,0
"121",43,36,7,0,0
"122",33,44,7,2,3
"123",0,0,0,0,0
"124",0,0,0,0,0
"125",27,37,6,0,0
"126",38,42,8,3,1
"127",38,36,8,0,0
"128",33,49,11,0,0
"129",31,45,9,0,0
"130",0,0,0,0,0
"131",0,0,0,0,0
"132",30,34,7,2,3
"133",47,36,6,0,0
"134",46,42,5,3,3
"135",40,29,7,0,0
"136",27,41,5,0,0
"137",33,42,7,3,2
"138",36,29,5,0,0
"139",43,38,4,2,2
"140",30,43,3,3,3
"141",36,38,6,0,0
"142",39,40,7,0,0
"143",34,31,6,2,3
"144",33,45,7,0,0
"145",34,39,12,0,0
"146",26,38,5,0,0
"147",43,41,7,0,0
"148",32,30,8,2,5
"149",35,44,8,0,0
"150",36,32,4,0,0
"151",32,32,8,3,3
"152",33,34,8,0,0
"153",41,42,7,2,4
"154",43,47,5,0,0
"155",34,34,6,0,0
"156",39,35,7,2,4
"157",36,34,6,0,0
"158",38,46,6,0,0
"159",25,42,6,0,0
"160",0,0,0,0,0
"161",36,35,8,0,0
"162",34,43,8,0,0
"163",36,38,5,0,0
"164",37,40,7,0,0
"165",40,38,5,4,2
"166",40,38,6,0,0
"167",40,42,10,0,0
"168",28,39,7,0,0
"169",30,31,7,0,0
"170",0,0,0,0,0
"171",35,37,8,0,0
"172",1,0,0,0,0
"173",29,35,6,0,0
"174",32,36,7,0,0
"175",35,46,4,0,0
"176",41,32,7,4,4
"177",37,31,5,0,0
"178",35,34,9,0,0
"179",43,42,5,0,0
"180",36,40,7,0,0
"181",31,38,7,0,0
"182",31,37,7,1,3
"183",34,33,7,0,0
"184",0,0,0,0,0
"185",36,40,7,0,0
"186",34,32,10,0,0
"187",34,34,5,3,3
"188",47,35,6,2,2
"189",33,46,4,0,0
"190",37,30,8,2,3
"191",44,30,8,0,0
"192",38,45,6,0,0
"193",39,36,6,3,3
"194",36,50,6,0,1
"195",44,39,7,2,3
"196",40,32,8,1,3
"197",0,0,0,0,0
"198",34,39,9,0,0
"199",40,42,8,0,0
"200",39,37,7,4,7
"201",37,41,6,0,0
"202",36,35,7,0,0
"203",32,38,5,0,0
"204",42,34,6,0,0
"205",33,34,6,4,3
"206",39,44,6,2,2
"207",0,0,0,0,0
"208",45,43,11,2,2
"209",39,39,8,0,0
"210",32,38,5,0,0
"211",38,34,10,0,0
"212",1,1,0,0,0
"213",46,33,8,0,0
"214",26,29,7,0,0
"215",44,29,8,0,0
"216",43,42,5,1,2
"217",42,39,8,0,0
"218",41,29,4,0,0
"219",35,39,6,0,0
"220",40,33,6,0,0
"221",35,36,7,0,0
"222",42,34,9,0,0
"223",49,31,7,0,0
"224",40,31,7,0,0
"225",29,37,10,0,0
"226",32,32,7,2,3
"227",39,45,5,1,0
"228",30,40,3,0,0
"229",31,33,5,1,5
"230",34,37,6,0,0
"231",0,0,0,0,0
"232",35,35,3,0,0
"233",47,33,4,2,7
"234",39,32,5,2,3
"235",38,44,8,0,0
"236",37,44,8,0,0
"237",31,28,3,0,0
"238",36,38,6,0,0
"239",41,33,9,0,0
"240",35,34,9,1,3
"241",35,40,5,3,2
"242",30,42,6,0,0
"243",42,38,7,2,4
"244",38,53,5,0,0
"245",36,37,5,1,2
"246",36,45,7,0,0
"247",45,31,5,0,0
"248",0,0,0,0,0
"249",0,0,0,0,0
"250",36,51,8,0,0
"251",36,40,5,0,0
"252",34,30,6,0,0
"253",40,38,6,4,1
"254",0,0,0,0,0
"255",0,1,0,0,0
"256",30,36,5,0,0
"257",42,42,9,0,0
"258",31,38,5,5,5
"259",32,36,5,2,5
"260",0,0,0,0,0
"261",35,38,7,0,0
"262",0,1,0,0,0
"263",39,34,6,2,3
"264",36,36,7,1,2
"265",26,33,6,0,0
"266",32,35,11,0,0
"267",40,45,7,0,0
"268",34,38,6,0,0
"269",46,43,5,0,0
"270",43,35,7,0,0
"271",36,30,7,0,0
"272",39,43,6,2,4
"273",34,39,7,0,0
"274",0,0,0,0,0
"275",0,0,0,0,0
