"","age1_orange.R","age2_no_comorbid_orange.R","age2_comorbid_orange.R","age3_no_comorbid_green.R","age3_comorbid_green.R"
"133",753,776,74,0,0
"134",757,787,87,27,29
"135",758,804,84,0,1
"136",740,803,80,0,0
"137",748,810,83,34,23
"138",749,798,90,0,0
"139",738,802,81,26,21
"140",746,788,88,30,24
"141",745,807,76,0,0
"142",748,819,82,0,0
"143",735,799,92,29,27
"144",764,792,87,0,0
"145",734,790,82,0,0
"146",751,787,85,0,0
"147",740,791,86,0,0
"148",743,802,84,28,26
"149",747,796,81,0,0
"150",750,791,86,0,0
"151",760,798,85,32,25
"152",740,810,89,0,0
"153",744,802,86,27,26
"154",733,799,88,0,0
"155",755,770,82,0,0
"156",745,822,85,26,27
"157",752,806,81,0,0
"158",740,798,92,0,0
"159",736,806,84,0,0
"160",0,1,0,0,0
"161",746,801,89,0,0
"162",742,804,91,0,0
"163",761,801,92,0,0
"164",741,810,85,0,0
"165",757,815,85,27,28
"166",751,802,80,0,0
"167",750,801,90,0,0
"168",748,816,83,0,0
"169",746,795,84,0,0
"170",0,1,0,0,0
"171",748,785,79,0,0
"172",2,2,0,0,0
"173",749,814,90,0,0
"174",735,810,85,0,0
"175",748,815,89,0,0
"176",759,803,87,34,24
"177",754,794,79,0,0
"178",737,806,91,0,0
"179",753,814,83,0,0
"180",743,793,80,0,0
"181",741,804,80,0,0
"182",753,807,80,33,29
"183",755,783,84,0,0
"184",0,1,0,0,0
"185",744,806,89,0,0
"186",747,821,87,0,0
"187",751,801,92,22,27
"188",759,798,79,26,19
"189",738,805,89,0,0
"190",747,808,79,29,28
"191",751,792,76,0,0
"192",737,820,83,0,0
"193",752,798,75,29,17
"194",751,786,89,1,1
"195",751,802,90,33,16
"196",753,804,84,26,29
"197",1,1,0,0,0
"198",738,796,85,0,0
"199",757,813,81,0,0
"200",737,792,80,30,30
"201",748,789,84,0,0
"202",736,822,83,0,0
"203",752,807,80,0,0
"204",745,795,83,0,0
"205",754,789,84,27,21
"206",748,806,88,30,22
"207",0,1,0,0,0
"208",766,792,84,29,22
"209",744,811,87,0,0
"210",736,793,93,0,0
"211",747,802,90,0,0
"212",3,5,0,0,0
"213",753,810,87,0,0
"214",751,817,97,0,0
"215",739,802,92,0,0
"216",754,804,78,26,25
"217",742,812,77,0,0
"218",755,792,79,0,0
"219",757,792,86,0,0
"220",746,788,90,0,0
"221",743,808,88,0,0
"222",745,791,92,0,0
"223",740,789,88,0,0
"224",734,793,84,1,1
"225",747,794,88,0,0
"226",742,798,90,22,24
"227",738,819,91,2,0
"228",744,800,80,0,0
"229",747,790,79,26,35
"230",725,815,89,0,0
"231",0,1,0,0,0
"232",748,803,76,0,0
"233",763,798,84,32,32
"234",750,796,89,31,28
"235",744,786,84,0,0
"236",744,800,94,0,0
"237",742,786,82,1,0
"238",739,781,83,0,0
"239",751,808,80,0,0
"240",747,794,87,27,31
"241",729,808,80,31,22
"242",743,800,83,0,0
"243",742,789,86,27,31
"244",742,795,81,0,0
"245",763,817,83,27,19
"246",754,822,83,0,0
"247",756,789,85,0,0
"248",0,1,0,0,0
"249",0,1,0,0,0
"250",749,802,90,0,0
"251",736,790,85,0,0
"252",738,777,77,0,0
"253",741,804,80,25,22
"254",0,1,0,0,0
"255",0,1,0,0,0
"256",746,789,83,0,0
"257",736,786,86,0,0
"258",759,792,80,35,27
"259",735,812,85,25,28
"260",0,1,0,0,0
"261",746,795,95,0,0
"262",0,1,0,0,0
"263",745,781,86,28,25
"264",743,814,84,26,19
"265",749,814,84,0,0
"266",756,801,89,0,0
"267",739,810,85,0,0
"268",744,784,79,0,0
"269",744,799,80,0,0
"270",752,801,86,0,0
"271",732,809,90,0,0
"272",753,813,87,24,24
