"","age1_orange.E","age2_no_comorbid_orange.E","age2_comorbid_orange.E","age3_no_comorbid_green.E","age3_comorbid_green.E"
"1",116,105,23,5,7
"2",115,115,20,1,0
"3",114,120,18,0,0
"4",0,1,0,0,0
"5",106,116,19,0,0
"6",108,124,20,0,0
"7",0,1,0,0,0
"8",109,117,24,0,0
"9",104,111,20,0,0
"10",110,114,17,0,0
"11",0,1,0,0,0
"12",112,114,16,0,0
"13",117,116,27,0,0
"14",108,103,19,0,0
"15",103,115,15,0,0
"16",124,124,16,0,0
"17",104,93,17,0,1
"18",119,116,19,0,0
"19",120,118,20,0,0
"20",106,112,15,1,1
"21",107,116,21,0,0
"22",1,1,0,0,0
"23",105,120,19,6,5
"24",0,1,0,0,0
"25",106,99,18,0,0
"26",117,118,17,0,0
"27",120,127,18,0,0
"28",115,109,15,4,9
"29",119,102,18,0,1
"30",0,1,0,0,0
"31",104,112,17,0,0
"32",133,108,21,6,11
"33",124,98,18,5,5
"34",101,98,20,5,5
"35",118,111,19,0,0
"36",129,107,19,0,0
"37",103,111,20,0,0
"38",107,95,16,0,0
"39",110,104,15,5,10
"40",0,1,0,0,0
"41",106,117,19,0,1
"42",0,1,0,0,0
"43",108,107,16,0,0
"44",0,1,0,0,0
"45",107,104,22,0,0
"46",116,127,22,0,0
"47",0,1,0,0,0
"48",112,101,20,0,0
"49",100,102,14,0,0
"50",104,108,15,0,0
"51",111,116,17,1,1
"52",114,107,17,6,6
"53",102,101,18,1,0
"54",0,1,0,0,0
"55",104,99,16,0,0
"56",119,114,19,0,0
"57",121,116,19,0,0
"58",112,109,24,0,0
"59",113,103,17,0,0
"60",116,107,16,0,0
"61",0,1,0,0,0
"62",0,1,0,0,0
"63",124,114,16,0,1
"64",115,116,18,0,1
"65",97,95,15,0,0
"66",127,114,17,0,0
"67",107,119,18,0,0
"68",115,112,17,0,0
"69",109,109,19,0,0
"70",1,1,0,0,0
"71",0,1,0,0,0
"72",0,1,0,0,0
"73",0,1,0,0,0
"74",116,109,18,0,0
"75",107,112,15,4,10
"76",130,105,19,0,0
"77",108,95,17,0,0
"78",0,1,0,0,0
"79",113,98,19,0,0
"80",100,105,16,0,0
"81",107,100,17,0,0
"82",108,119,12,0,0
"83",111,101,16,0,0
"84",118,108,20,5,6
"85",114,128,16,6,9
"86",111,131,20,0,0
"87",112,111,18,5,6
"88",116,112,22,1,0
"89",1,1,0,0,0
"90",107,97,21,4,5
"91",97,104,21,0,0
"92",114,118,18,0,0
"93",118,112,20,0,1
"94",108,120,13,0,1
"95",0,1,0,0,0
"96",114,109,16,0,0
"97",1,1,0,0,0
"98",124,119,18,5,12
"99",115,105,17,0,0
"100",126,97,21,0,0
"101",0,1,0,0,0
"102",100,105,21,0,0
"103",110,112,20,0,0
"104",126,109,23,0,0
"105",108,106,19,0,0
"106",114,112,16,4,7
"107",124,110,16,0,0
"108",0,1,0,0,0
"109",122,124,21,0,0
"110",105,114,21,5,7
"111",106,115,18,0,0
"112",110,110,13,0,0
"113",108,113,26,0,0
"114",109,101,20,0,0
"115",116,109,21,0,0
"116",109,121,16,0,0
"117",100,108,15,0,0
"118",104,112,16,0,0
"119",104,117,20,0,0
"120",0,1,0,0,0
"121",110,109,16,0,0
"122",103,114,15,4,6
"123",0,1,0,0,0
"124",0,1,0,0,0
"125",115,93,21,0,0
"126",108,116,22,5,7
"127",133,113,21,0,0
"128",115,109,17,0,0
"129",119,117,20,0,0
"130",0,1,0,0,0
"131",0,1,0,0,0
"132",112,106,18,4,5
"133",111,129,18,0,0
"134",99,102,15,4,8
"135",107,106,21,0,1
"136",102,100,16,0,0
"137",109,110,22,4,7
"138",103,107,17,0,0
"139",104,112,19,4,6
"140",107,101,24,4,5
"141",116,110,16,0,0
"142",125,116,15,0,0
"143",106,118,17,3,7
"144",111,123,20,0,0
"145",111,116,16,0,0
"146",107,122,20,0,0
"147",110,99,16,0,0
"148",125,105,18,6,7
"149",111,103,17,0,0
"150",110,97,22,0,0
"151",110,111,15,8,5
"152",103,105,22,0,0
"153",104,96,20,5,9
"154",124,122,15,0,0
"155",96,107,14,0,0
"156",114,102,14,3,6
"157",101,116,15,0,0
"158",118,115,16,0,0
"159",102,101,21,0,0
"160",0,1,0,0,0
"161",116,105,19,0,0
"162",107,110,18,0,1
"163",109,121,18,0,0
"164",114,102,19,0,1
"165",113,118,21,5,7
"166",122,125,16,0,0
"167",103,105,16,0,0
"168",114,122,16,0,0
"169",106,117,17,0,0
"170",0,1,0,0,0
"171",120,107,14,0,0
"172",1,1,0,0,0
"173",109,118,16,0,0
"174",116,121,19,0,0
"175",102,114,17,0,0
"176",101,109,15,7,7
"177",101,100,16,0,0
"178",112,103,21,0,0
"179",118,105,16,0,0
"180",114,112,19,0,0
"181",120,108,20,0,0
"182",120,99,17,4,8
"183",122,116,21,0,0
