"","age1_orange.S","age2_no_comorbid_orange.S","age2_comorbid_orange.S","age3_no_comorbid_green.S","age3_comorbid_green.S"
"1",3840,3980,3716,4226,4254
"2",3682,3703,3501,3331,1
"3",3825,3835,3473,1,1
"4",1,1,1,1,1
"5",4412,4520,4341,1,1
"6",3828,3742,3821,1,1
"7",1,1,1,1,1
"8",4092,4077,4020,1,1
"9",3406,3381,3394,1,1
"10",3937,3964,3667,1,1
"11",1,1,1,1,1
"12",4000,4004,4035,1,1
"13",3513,3610,3423,1,1
"14",4357,4365,4346,1,1
"15",3781,3906,3842,1,1
"16",3831,3897,3689,1,1
"17",4254,4260,4246,1,3061
"18",3625,3728,3740,1,1
"19",3506,3570,3568,1,1
"20",3387,3414,3133,3260,3281
"21",3835,3852,3740,1,1
"22",6,1,1,1,1
"23",3685,3701,3683,4017,4036
"24",1,1,1,1,1
"25",3815,3893,3818,1,1
"26",3643,3739,3705,1,1
"27",3908,3957,3887,1,1
"28",4204,4199,4192,4148,4174
"29",3740,3901,3958,1,3214
"30",1,1,1,1,1
"31",3913,3936,3846,1,1
"32",3742,3795,3396,3962,3957
"33",3999,3976,3721,4372,4395
"34",4513,4617,4583,4829,4851
"35",4043,4026,3919,1,1
"36",4040,4029,3924,1,1
"37",3554,3563,3578,1,1
"38",4136,4211,4191,1,1
"39",5007,5079,4897,5072,5083
"40",1,1,1,1,1
"41",3391,3458,3379,1,1993
"42",1,1,1,1,1
"43",3972,3951,3848,1,1
"44",1,1,1,1,1
"45",3842,3984,3982,1,1
"46",3965,3999,3947,1,1
"47",1,3,1,1,1
"48",3754,3838,3634,1,1
"49",4077,4113,3852,1,1
"50",4113,4171,4019,1,1
"51",3089,3104,2964,2476,2748
"52",3283,3458,3127,3815,3830
"53",3780,3779,3764,2102,1
"54",1,1,1,1,1
"55",3918,3925,3774,1,1
"56",4170,4197,3914,1,1
"57",3608,3776,3755,1,1
"58",3764,3913,3922,1,1
"59",4255,4367,4061,1,1
"60",4017,4025,4025,1,1
"61",1,1,1,1,1
"62",1,1,1,1,1
"63",3461,3480,3426,1,1713
"64",3573,3588,3603,1,442
"65",4272,4335,4204,1,1
"66",3882,3911,3848,1,1
"67",4471,4484,4341,1,1
"68",4180,4199,4221,1,1
"69",3916,3931,3622,1,1
"70",3,1,1,1,1
"71",1,1,1,1,1
"72",1,4,1,1,1
"73",1,1,1,1,1
"74",3655,3669,3669,1,1
"75",3981,3968,3884,4091,4104
"76",3378,3465,3427,1,1
"77",3694,3676,3631,1,1
"78",1,1,1,1,1
"79",4455,4443,4452,1,1
"80",3455,3544,3373,1,1
"81",3753,3995,3412,1,1
"82",3864,4148,4076,1,1
"83",3775,3830,3764,1,1
"84",3807,3875,3566,4164,4151
"85",3829,3889,3670,3931,3942
"86",3816,3840,3749,1,1
"87",3350,3474,3207,3808,3825
"88",3976,3960,4011,1781,1
"89",6,1,1,1,1
"90",3546,3638,3369,3941,3960
"91",3534,3640,3301,1,1
"92",3782,3807,3377,1,1
"93",4501,4478,4484,1,2086
"94",3166,3411,3270,1,352
"95",1,1,1,1,1
"96",3312,3561,3546,1,1
"97",8,1,1,1,1
"98",3230,3358,3290,3778,3758
"99",4064,4052,4001,1,1
"100",4385,4434,4194,1,1
"101",1,1,1,1,1
"102",4243,4280,4197,1,1
"103",4162,4195,4150,1,1
"104",4319,4341,4307,1,1
"105",3939,4016,3644,1,1
"106",4470,4696,4085,4733,4797
"107",3643,3646,3606,1,1
"108",1,8,1,1,1
"109",3429,3472,3365,1,1
"110",3362,3635,3684,4020,4017
"111",3320,3347,3335,1,1
"112",4473,4452,4433,1,1
"113",3691,3713,3633,1,1
"114",3083,3205,3081,1,1
"115",3508,3541,3489,1,1
"116",3918,3960,3605,1,1
"117",4108,4125,3937,1,1
"118",4209,4212,4174,1,1
"119",3986,3984,3793,1,1
"120",1,3,1,1,1
"121",3688,3687,3663,1,1
"122",3692,3637,3496,3995,3986
"123",1,1,1,1,1
"124",1,1,1,1,1
"125",3653,3643,3243,1,1
"126",4407,4365,4125,4652,4662
"127",3388,3449,3120,1,1
"128",3742,3762,3759,1,1
"129",3499,3602,3289,1,1
"130",1,1,1,1,1
"131",1,1,1,1,1
"132",3826,4014,3671,4118,4116
"133",3638,3645,3514,1,1
"134",4305,4298,3903,4412,4399
"135",4105,4106,3870,1,1540
"136",4205,4256,4247,1,1
"137",3900,3790,3871,4316,4313
"138",3051,3167,3141,1,1
"139",3848,4048,3715,4203,4215
"140",4079,4096,3736,4392,4435
"141",4124,4175,4186,1,1
"142",3760,3822,3770,1,1
"143",3921,4014,3778,4344,4336
"144",3685,3667,3397,1,1
"145",3877,3950,3304,1,1
"146",4081,4151,3856,1,1
"147",4045,4054,3857,1,1
"148",3796,3953,3555,4209,4194
"149",3328,3474,3447,1,1
"150",3559,3636,3534,1,1
"151",4590,4716,4585,4738,4727
"152",4178,4180,4042,1,1
"153",4237,4310,4024,4298,4318
"154",3862,3886,3825,1,1
"155",4437,4448,4441,1,1
"156",3257,3453,3481,3582,3596
"157",4422,4432,4282,1,1
"158",3351,3427,3364,1,1
"159",3748,3925,3580,1,1
"160",1,1,1,1,1
"161",3625,3635,3639,1,1
"162",3451,3493,3261,1,3022
"163",3529,3527,3505,1,1
"164",3303,3384,3151,1,1730
"165",3819,3728,3557,4069,4063
"166",3713,3783,3518,1,1
"167",3366,3517,3502,1,1
"168",3754,3912,3898,1,1
"169",4409,4445,4159,1,1
"170",1,1,1,1,1
"171",3870,3961,3715,1,1
"172",12,4,1,1,1
"173",3964,4044,4005,1,1
"174",4371,4396,4379,1,1
"175",3864,3866,3786,1,1
"176",3938,4118,3950,4402,4432
"177",3611,3688,3637,1,1
"178",3988,4018,4003,1,1
"179",3863,3958,3951,1,1
"180",3768,3852,3808,1,1
"181",4244,4343,4297,1,1
"182",3841,4024,3294,4137,4178
"183",3392,3404,3261,1,1
"184",1,1,1,1,1
"185",3934,4076,3900,1,1
"186",3538,3602,3570,1,1
"187",3815,3779,3801,4239,4227
"188",4188,4327,3803,4615,4636
"189",3635,3624,3398,1,1
"190",3776,3792,3532,4006,4035
"191",4172,4400,4037,1,1
"192",3583,3614,3542,1,1
"193",4202,4390,3824,4408,4431
"194",3426,3575,3509,1749,1389
"195",4303,4504,4211,4540,4546
"196",4356,4408,3969,4608,4611
"197",3,1,1,1,1
"198",3299,3450,3306,1,1
"199",3494,3486,3348,1,1
"200",3713,3864,3412,4111,4090
"201",3789,3795,3740,1,1
"202",3330,3378,2961,1,1
"203",4225,4254,3929,1,1
"204",4492,4468,4369,1,1
"205",3392,3658,3478,3960,3995
"206",4139,4477,4134,4612,4613
"207",1,1,1,1,1
"208",3428,3442,3286,3582,3565
"209",3808,3903,3770,1,1
"210",3624,3758,3729,1,1
"211",3286,3295,2951,1,1
"212",21,16,1,1,1
"213",4184,4245,4134,1,1
"214",4143,4141,3978,1,1
"215",3953,3966,3876,1,1
"216",3794,3822,3645,4147,4154
"217",3542,3640,3259,1,1985
"218",3784,3860,3753,1,2455
"219",3733,3803,3696,1,1
"220",4748,4763,4681,1,1
"221",3839,3868,3882,1,1
"222",3435,3419,3170,1,1
"223",4073,4190,4172,1,1
"224",3792,3887,3911,1997,1970
"225",4153,4209,4232,1,1
"226",4480,4498,4149,4581,4580
"227",3372,3395,3383,298,354
"228",3828,3841,3569,1,1
"229",3938,4013,3855,4379,4342
"230",4592,4583,4397,1,2071
"231",1,1,1,1,1
"232",3994,3996,4003,1,1
"233",3819,3857,3840,3781,3863
"234",3892,3981,3411,4068,4078
"235",3779,3819,3759,1,1
"236",3590,3581,3447,1,1
"237",3808,3882,3829,2115,1
"238",3551,3586,3548,1,1
"239",4134,4296,4142,1,1
"240",3736,4321,3990,4441,4433
"241",3288,3511,3088,3682,3670
"242",3807,3879,3667,1,1
"243",3306,3556,3426,3839,3820
"244",3119,3267,3278,1,1
"245",3795,3856,3789,4146,4171
"246",3721,3881,3783,1,1
"247",3655,3684,3519,1,1
"248",1,1,1,1,1
"249",1,1,1,1,1
"250",3818,3888,3663,1,1
"251",4202,4214,3896,1,1
"252",4171,4306,4269,1,1
"253",3501,3815,3620,4086,4099
"254",1,1,1,1,1
"255",1,1,1,1,1
"256",4136,4161,4088,1,1
"257",3457,3563,3398,1,1
"258",4208,4481,4353,4515,4549
"259",3958,3847,4052,4253,4249
"260",1,1,1,1,1
"261",3811,3861,3782,1,1
"262",1,1,1,1,1
"263",3713,3855,3553,3975,3984
"264",4204,4488,4334,4694,4686
"265",4079,4096,3951,1,1
"266",3210,3415,3127,1,1
"267",3074,3302,3220,1,1
"268",4178,4145,4006,1,1
"269",4494,4563,4558,1,1
"270",3772,3780,3657,1,1
"271",3434,3406,3147,1,1
"272",3683,3920,3921,4099,4096
"273",3465,3485,3017,1,1
"274",1,1,1,1,1
"275",1,1,1,1,1
"276",1,1,1,1,1
"277",4101,4112,3787,1,1
"278",3516,3588,3576,1,1
"279",3825,3855,3644,1,1
"280",1,1,1,1,1
"281",1,1,1,1,1
"282",4048,4151,4047,1,1
"283",3895,3896,3680,4246,4216
"284",3683,3731,3623,4096,4092
"285",4034,4078,4061,1,1
"286",1,1,1,1,1
"287",3652,3695,3531,1,1
"288",4164,4316,4199,1,1
"289",3737,4084,3736,4241,4242
"290",1,1,1,1,1
"291",3823,3849,3794,1,1
"292",3794,3821,3786,1,1
"293",4160,4261,4018,4409,4390
"294",3878,3832,3622,4100,4085
"295",3564,3691,3573,3467,1
"296",3864,3857,3893,1,1
"297",3723,3858,3823,1,1
"298",3589,3646,3575,1208,1
"299",3954,3922,3859,1,1
"300",3720,3792,3468,1975,1
"301",3785,3976,3707,4292,4308
"302",4342,4414,3824,1,1
"303",3484,3440,3316,2018,2009
"304",3826,3869,3676,1,1
"305",3881,3851,3735,4186,4247
"306",3408,3411,2940,1,1
"307",4060,4141,4082,1,1
"308",4036,4075,4008,4221,4262
"309",3814,3822,3777,3489,2000
"310",4019,4160,4151,1,1
"311",1,1,1,1,1
