"","age1_orange.D","age2_no_comorbid_orange.D","age2_comorbid_orange.D","age3_no_comorbid_green.D","age3_comorbid_green.D"
"1",65,86,26,5,31
"2",65,65,26,1,0
"3",62,73,27,0,0
"4",0,0,0,0,0
"5",50,67,20,0,0
"6",64,69,34,0,0
"7",0,0,0,0,0
"8",48,66,32,0,0
"9",59,67,23,0,0
"10",53,88,33,0,0
"11",0,0,0,0,0
"12",57,57,35,0,0
"13",53,67,40,0,0
"14",56,83,30,0,0
"15",56,62,43,0,0
"16",68,69,21,0,0
"17",46,65,31,0,1
"18",47,74,26,0,0
"19",67,86,33,0,0
"20",56,86,34,0,1
"21",46,88,35,0,0
"22",0,0,0,0,0
"23",61,73,31,5,32
"24",0,0,0,0,0
"25",60,63,27,0,0
"26",49,71,30,0,0
"27",47,67,30,0,0
"28",61,77,21,10,38
"29",62,79,29,0,1
"30",0,0,0,0,0
"31",47,66,32,0,0
"32",59,72,30,9,44
"33",74,86,28,9,40
"34",49,71,23,10,34
"35",54,84,33,0,0
"36",54,69,32,0,0
"37",40,82,31,0,0
"38",45,73,38,0,0
"39",55,68,27,7,33
"40",0,0,0,0,0
"41",46,80,33,0,1
"42",0,0,0,0,0
"43",58,65,37,0,0
"44",0,0,0,0,0
"45",54,77,34,0,0
"46",57,72,25,0,0
"47",0,0,0,0,0
"48",69,78,28,0,0
"49",58,71,27,0,0
"50",47,66,33,0,0
"51",62,80,28,0,1
"52",53,96,25,8,37
"53",46,56,26,0,0
"54",0,0,0,0,0
"55",52,79,32,0,0
"56",56,78,39,0,0
"57",62,65,35,0,0
"58",57,65,30,0,0
"59",47,66,30,0,0
"60",48,65,37,0,0
"61",0,0,0,0,0
"62",0,0,0,0,0
"63",64,84,37,0,0
"64",64,65,25,0,0
"65",67,72,26,0,0
"66",56,75,33,0,0
"67",49,74,35,0,0
"68",65,71,30,0,0
"69",45,88,27,0,0
"70",0,0,0,0,0
"71",0,0,0,0,0
"72",0,0,0,0,0
"73",0,0,0,0,0
"74",67,57,32,0,0
"75",65,70,26,14,35
"76",59,79,33,0,0
"77",44,70,33,0,0
"78",0,0,0,0,0
"79",46,67,25,0,0
"80",65,78,32,0,0
"81",71,88,36,0,0
"82",62,67,38,0,0
"83",54,67,29,0,0
"84",58,79,29,7,38
"85",71,72,25,5,37
"86",68,80,28,0,0
"87",60,70,29,10,40
"88",55,67,35,0,0
"89",0,0,0,0,0
"90",63,75,27,7,30
"91",53,60,31,0,0
"92",64,81,37,0,0
"93",61,82,28,0,1
"94",57,70,34,0,0
"95",0,0,0,0,0
"96",51,77,26,0,0
"97",0,0,0,0,0
"98",57,83,34,7,45
"99",62,70,24,0,0
"100",67,82,28,0,0
"101",0,0,0,0,0
"102",52,76,33,0,0
"103",69,89,29,0,0
"104",52,83,33,0,0
"105",70,76,33,0,0
"106",56,93,30,7,40
"107",68,77,29,0,0
"108",0,1,0,0,0
"109",63,67,31,0,0
"110",55,80,35,8,43
"111",54,83,29,0,0
"112",51,76,33,0,0
"113",57,78,39,0,0
"114",41,88,37,0,0
"115",50,90,37,0,0
"116",47,79,38,0,0
"117",56,69,29,0,0
"118",54,69,34,0,0
"119",49,72,27,0,0
"120",0,0,0,0,0
"121",52,83,35,0,0
"122",60,75,26,8,28
"123",0,1,0,0,0
"124",0,0,0,0,0
"125",48,56,29,0,0
"126",54,93,37,8,43
"127",54,73,28,0,0
"128",53,73,33,0,0
"129",58,65,37,0,0
"130",0,0,0,0,0
"131",0,1,0,0,0
"132",66,85,41,8,34
"133",47,93,38,0,0
"134",48,72,30,8,31
"135",53,75,29,0,0
"136",61,61,34,0,0
"137",59,75,34,4,39
"138",48,68,27,0,0
"139",65,78,39,10,29
"140",58,75,32,9,39
"141",59,68,42,0,0
"142",56,58,32,0,0
"143",71,77,28,7,32
"144",40,75,30,0,0
"145",67,85,35,0,0
"146",56,77,34,0,0
"147",63,93,35,0,0
"148",60,62,32,9,44
"149",56,69,37,0,0
"150",53,67,28,0,0
"151",48,81,34,8,34
"152",67,74,31,0,0
"153",56,77,31,8,36
"154",72,64,29,0,0
"155",52,84,31,0,0
"156",60,52,25,4,30
"157",52,63,34,0,0
"158",65,74,25,0,0
"159",67,74,35,0,0
"160",0,0,0,0,0
"161",55,73,27,0,0
"162",61,67,23,0,1
"163",42,67,22,0,0
"164",63,76,33,0,1
"165",54,75,35,8,34
"166",57,77,34,0,0
"167",58,69,30,0,0
"168",59,78,34,0,0
"169",60,72,30,0,0
"170",0,0,0,0,0
"171",54,79,34,0,0
"172",0,0,0,0,0
"173",58,64,30,0,0
"174",68,78,29,0,0
"175",60,73,30,0,0
"176",49,74,32,6,42
"177",46,74,35,0,0
"178",66,77,26,0,0
"179",52,76,37,0,0
"180",61,79,37,0,0
"181",64,71,35,0,0
"182",54,65,36,2,37
"183",45,77,32,0,0
"184",0,0,0,0,0
"185",63,71,26,0,0
"186",56,68,36,0,0
"187",53,77,26,14,38
"188",47,78,37,6,36
"189",65,68,29,0,0
"190",53,83,35,7,27
"191",56,79,39,0,0
"192",64,73,33,0,0
"193",54,76,33,8,33
"194",57,81,30,0,0
"195",54,80,28,4,40
"196",48,75,27,10,33
"197",0,0,0,0,0
"198",63,66,30,0,0
"199",48,61,30,0,0
"200",63,81,35,10,35
"201",49,87,30,0,0
"202",72,60,35,0,0
"203",50,76,34,0,0
"204",58,82,30,0,0
"205",47,82,31,9,48
"206",53,81,29,5,34
"207",0,0,0,0,0
"208",42,65,35,6,44
"209",56,71,30,0,0
"210",74,86,27,0,0
"211",52,75,27,0,0
"212",0,0,0,0,0
"213",50,70,29,0,0
"214",51,78,19,0,0
"215",66,63,27,0,0
"216",50,75,37,8,34
"217",64,70,38,0,1
"218",50,77,36,0,1
"219",54,74,28,0,0
"220",57,67,27,0,0
"221",62,84,29,0,0
"222",55,81,26,0,0
"223",61,88,28,0,0
"224",61,80,31,0,0
"225",56,73,27,0,0
"226",60,88,32,12,45
"227",64,76,25,0,2
"228",62,65,37,0,0
"229",56,85,37,15,38
"230",80,66,29,0,2
"231",0,0,0,0,0
"232",60,72,33,0,0
"233",48,93,38,8,35
"234",54,56,27,4,32
"235",64,72,30,0,0
"236",63,69,24,0,0
"237",65,76,39,0,0
"238",65,79,30,0,0
"239",51,63,34,0,0
"240",51,64,29,13,37
"241",69,68,31,7,36
"242",58,87,35,0,0
"243",63,71,32,10,31
"244",63,68,33,0,0
"245",43,58,37,6,36
"246",52,60,35,0,0
"247",48,76,31,0,0
"248",0,0,0,0,0
"249",0,0,0,0,0
"250",58,79,24,0,0
"251",68,80,29,0,0
"252",59,73,39,0,0
"253",67,82,29,13,37
"254",0,0,0,0,0
"255",0,0,0,0,0
"256",52,71,32,0,0
"257",64,82,30,0,0
"258",49,78,32,6,36
"259",67,78,32,11,36
"260",0,0,0,0,0
"261",56,76,25,0,0
"262",0,0,0,0,0
"263",57,76,29,8,43
"264",57,74,28,12,45
"265",57,67,34,0,0
"266",53,78,29,0,0
"267",69,76,32,0,0
"268",57,85,35,0,0
"269",61,75,42,0,0
"270",54,69,30,0,0
"271",72,66,32,0,0
"272",49,72,29,12,34
"273",62,84,22,0,0
"274",0,0,0,0,0
"275",0,0,0,0,0
"276",0,0,0,0,0
"277",78,68,32,0,0
"278",65,85,27,0,0
"279",57,67,33,0,0
"280",0,0,0,0,0
"281",0,0,0,0,0
"282",62,69,29,0,0
"283",61,68,36,9,38
"284",65,70,25,7,35
"285",52,67,25,0,0
"286",0,0,0,0,0
"287",59,75,43,0,0
"288",62,73,41,0,0
"289",54,66,32,5,41
"290",0,0,0,0,0
"291",51,67,26,0,0
"292",60,91,27,0,0
"293",50,74,34,7,35
"294",64,74,25,4,40
"295",59,62,25,1,0
"296",49,72,35,0,0
"297",62,76,33,0,0
"298",65,73,27,0,0
"299",61,85,22,0,0
"300",46,75,35,0,0
"301",47,84,30,13,35
"302",59,66,29,0,0
"303",64,85,27,0,0
"304",60,78,23,0,0
"305",56,84,29,13,36
"306",72,67,29,0,0
"307",52,66,33,0,0
"308",63,82,33,5,33
"309",62,66,38,0,0
"310",69,69,25,0,0
"311",0,0,0,0,0
"312",49,76,42,0,0
"313",0,0,0,0,0
"314",49,76,32,6,33
"315",49,69,27,5,36
"316",62,70,35,0,0
"317",63,72,41,1,0
"318",0,0,0,0,0
"319",0,0,0,0,0
"320",51,64,26,0,0
"321",75,72,21,0,0
"322",57,74,30,0,0
"323",57,64,32,0,0
"324",67,85,35,0,0
"325",50,78,30,0,0
"326",0,0,0,0,0
"327",58,60,40,1,0
"328",44,66,25,0,0
"329",0,0,0,0,0
"330",39,65,34,0,0
"331",48,60,25,0,0
"332",0,0,0,0,0
"333",57,64,27,0,0
"334",64,86,38,0,0
"335",0,0,0,0,0
"336",61,74,34,0,1
"337",0,0,0,0,0
"338",62,62,42,0,0
"339",44,79,31,0,0
"340",69,71,26,0,0
"341",57,86,34,0,0
"342",59,66,29,0,0
"343",52,73,33,0,0
"344",56,79,38,0,0
"345",64,65,22,8,46
"346",0,0,0,0,0
"347",68,67,40,0,0
"348",56,78,22,0,0
"349",46,86,22,0,0
"350",73,78,30,0,0
"351",51,70,26,0,0
"352",52,64,26,0,0
"353",49,92,40,0,0
"354",76,81,27,0,1
