"","age1_orange.P","age2_no_comorbid_orange.P","age2_comorbid_orange.P","age3_no_comorbid_green.P","age3_comorbid_green.P"
"1",85,73,18,4,5
"2",78,79,12,1,0
"3",64,70,15,0,0
"4",0,1,0,0,0
"5",72,66,13,0,0
"6",72,82,14,0,0
"7",0,1,0,0,0
"8",69,72,17,0,0
"9",89,79,12,0,0
"10",83,89,13,0,0
"11",0,1,0,0,0
"12",78,86,13,0,0
"13",79,102,18,0,0
"14",84,89,16,0,0
"15",63,78,11,0,0
"16",89,76,14,0,0
"17",80,73,11,0,1
"18",72,76,17,0,0
"19",77,82,15,0,0
"20",79,88,16,1,1
"21",79,77,14,0,0
"22",1,1,0,0,0
"23",80,75,15,6,4
"24",0,1,0,0,0
"25",74,76,12,0,0
"26",83,85,13,0,0
"27",74,78,14,0,0
"28",73,73,14,5,8
"29",79,77,12,0,1
"30",0,1,0,0,0
"31",86,78,10,0,0
"32",74,80,13,4,10
"33",76,82,14,5,4
"34",67,79,14,3,4
"35",93,81,12,0,0
"36",79,80,12,0,0
"37",83,87,15,0,0
"38",82,76,13,0,0
"39",73,72,11,4,7
"40",0,1,0,0,0
"41",77,69,15,0,1
"42",0,1,0,0,0
"43",77,72,14,0,0
"44",0,1,0,0,0
"45",89,75,21,0,0
"46",74,75,12,0,0
"47",0,2,0,0,0
"48",68,82,19,0,0
"49",68,91,12,0,0
"50",78,78,10,0,0
"51",82,78,14,1,1
"52",92,82,14,5,5
"53",80,89,14,1,0
"54",0,1,0,0,0
"55",79,70,12,0,0
"56",80,66,12,0,0
"57",90,80,15,0,0
"58",68,78,17,0,0
"59",88,70,14,0,0
"60",65,79,11,0,0
"61",0,1,0,0,0
"62",0,1,0,0,0
"63",72,73,13,0,1
"64",83,95,12,0,1
"65",63,63,15,0,0
"66",87,75,13,0,0
"67",85,77,14,0,0
"68",91,91,13,0,0
"69",81,101,15,0,0
"70",1,1,0,0,0
"71",0,1,0,0,0
"72",0,1,0,0,0
"73",0,1,0,0,0
"74",88,83,11,0,0
"75",94,75,13,3,7
"76",106,93,18,0,0
"77",88,97,12,0,0
"78",0,1,0,0,0
"79",69,62,12,0,0
"80",77,73,12,0,0
"81",80,77,15,0,0
"82",102,87,12,0,0
"83",91,78,16,0,0
"84",81,76,17,5,5
"85",78,81,11,5,7
"86",88,82,14,0,0
"87",85,74,12,5,6
"88",74,72,15,1,0
"89",1,1,0,0,0
"90",82,87,10,3,6
"91",79,87,14,0,0
"92",81,80,15,0,0
"93",87,71,12,0,1
"94",83,83,12,0,1
"95",0,1,0,0,0
"96",79,86,14,0,0
"97",1,1,0,0,0
"98",84,79,14,8,7
"99",84,81,15,0,0
"100",67,68,13,0,0
"101",0,1,0,0,0
"102",66,72,11,0,0
"103",77,72,13,0,0
"104",77,73,15,0,0
"105",78,74,13,0,0
"106",74,80,12,3,7
"107",87,78,11,0,0
"108",0,1,0,0,0
"109",80,89,15,0,0
"110",81,94,20,5,6
"111",80,86,12,0,0
"112",73,82,13,0,0
"113",79,86,16,0,0
"114",88,86,17,0,0
"115",78,82,11,0,0
"116",84,88,12,0,0
"117",76,90,13,0,0
"118",74,60,11,0,0
"119",73,71,13,0,0
"120",0,1,0,0,0
"121",75,91,13,0,0
"122",85,79,12,6,4
"123",0,1,0,0,0
"124",0,1,0,0,0
"125",84,72,16,0,0
"126",80,73,15,4,6
"127",88,72,14,0,0
"128",76,88,16,0,0
"129",81,81,16,0,0
"130",0,1,0,0,0
"131",0,1,0,0,0
"132",74,77,14,4,5
"133",78,88,11,0,0
"134",77,85,14,3,5
"135",69,78,15,0,1
"136",63,80,14,0,0
"137",75,79,14,4,6
"138",81,94,14,0,0
"139",86,79,13,4,4
"140",79,72,13,4,5
"141",75,76,13,0,0
"142",76,82,12,0,0
"143",78,76,17,3,5
"144",73,82,18,0,0
"145",82,100,14,0,0
"146",78,78,12,0,0
"147",91,87,14,0,0
"148",79,77,13,4,5
"149",81,78,13,0,0
"150",66,68,13,0,0
"151",71,81,15,3,6
"152",73,75,16,0,0
"153",76,68,15,6,6
"154",70,72,12,0,0
"155",74,70,12,0,0
"156",81,71,11,4,6
"157",74,75,12,0,0
"158",77,74,17,0,0
"159",77,72,11,0,0
"160",0,1,0,0,0
"161",79,102,15,0,0
"162",80,83,14,0,1
"163",78,81,16,0,0
"164",85,87,11,0,1
"165",77,85,14,4,6
"166",85,86,14,0,0
"167",79,80,18,0,0
"168",81,91,15,0,0
"169",76,81,13,0,0
"170",0,1,0,0,0
"171",84,82,14,0,0
"172",1,1,0,0,0
"173",84,88,14,0,0
"174",71,86,11,0,0
"175",72,77,13,0,0
"176",76,85,15,5,5
"177",87,78,16,0,0
"178",79,71,14,0,0
"179",80,82,14,0,0
"180",74,71,14,0,0
"181",83,70,11,0,0
"182",81,76,15,4,4
"183",75,76,12,0,0
"184",0,1,0,0,0
"185",74,91,14,0,0
"186",82,76,16,0,0
"187",84,82,11,4,6
"188",75,71,10,4,6
"189",70,70,18,0,0
"190",88,76,14,3,6
"191",84,73,14,0,0
"192",95,90,16,0,0
"193",82,71,13,6,7
"194",81,80,11,1,1
"195",70,81,16,4,7
"196",79,74,12,5,5
"197",1,1,0,0,0
"198",79,75,16,0,0
"199",79,88,19,0,0
"200",76,78,13,4,7
"201",84,77,12,0,0
"202",77,77,14,0,0
"203",65,66,13,0,0
"204",77,81,15,0,0
"205",79,77,16,6,6
"206",83,83,18,4,5
"207",0,1,0,0,0
"208",97,83,15,4,9
"209",79,80,14,0,0
"210",74,89,17,0,0
"211",86,84,17,0,0
"212",1,1,0,0,0
"213",93,71,13,0,0
"214",68,77,11,0,0
"215",77,80,13,0,0
"216",78,84,14,3,5
"217",85,80,18,0,1
"218",73,66,18,0,1
"219",66,75,13,0,0
"220",69,61,11,0,0
"221",94,77,13,0,0
"222",87,73,13,0,0
"223",76,84,14,0,0
"224",90,82,11,1,1
"225",83,76,17,0,0
"226",77,84,14,4,7
"227",83,83,15,1,1
"228",78,75,13,0,0
"229",68,88,12,5,9
"230",77,81,18,0,1
"231",0,1,0,0,0
"232",80,74,14,0,0
"233",78,84,18,5,8
"234",70,74,14,4,5
"235",96,91,12,0,0
"236",90,92,15,0,0
"237",93,87,12,1,0
"238",87,80,13,0,0
"239",73,83,14,0,0
"240",69,72,12,6,6
"241",71,83,15,4,7
"242",83,84,12,0,0
"243",96,83,14,3,4
"244",93,99,17,0,0
"245",84,82,13,4,4
"246",91,97,16,0,0
"247",80,73,20,0,0
"248",0,1,0,0,0
"249",0,1,0,0,0
"250",78,89,15,0,0
"251",70,73,16,0,0
"252",67,67,15,0,0
"253",87,78,17,3,6
"254",0,1,0,0,0
"255",0,1,0,0,0
"256",79,83,14,0,0
"257",82,83,14,0,0
"258",80,84,10,6,6
"259",68,75,16,6,6
"260",0,1,0,0,0
"261",86,71,14,0,0
"262",0,1,0,0,0
"263",92,94,13,3,6
"264",82,76,11,3,6
"265",81,77,14,0,0
"266",88,76,18,0,0
"267",85,81,17,0,0
"268",73,68,11,0,0
"269",83,84,13,0,0
"270",88,81,15,0,0
"271",84,82,22,0,0
"272",68,82,12,5,8
"273",87,83,17,0,0
"274",0,1,0,0,0
"275",0,1,0,0,0
"276",0,1,0,0,0
"277",68,79,11,0,0
"278",87,88,14,0,0
"279",85,88,19,0,0
"280",0,1,0,0,0
"281",0,1,0,0,0
"282",94,79,14,0,0
"283",82,79,15,3,7
"284",74,73,14,4,5
"285",86,77,16,0,0
"286",0,1,0,0,0
"287",79,83,16,0,0
"288",69,74,11,0,0
"289",72,86,14,6,5
"290",0,1,0,0,0
"291",78,83,13,0,0
"292",77,83,19,0,0
"293",73,88,16,4,7
"294",95,98,13,5,6
"295",74,71,15,1,0
"296",79,77,14,0,0
"297",86,82,15,0,0
"298",84,80,13,1,0
"299",89,82,15,0,0
"300",86,78,13,1,0
"301",88,82,15,5,7
"302",73,75,13,0,0
"303",88,88,16,1,1
"304",69,80,16,0,0
"305",85,78,10,4,5
"306",80,78,16,0,0
"307",77,77,13,0,0
"308",85,77,14,3,3
"309",92,85,13,1,1
"310",72,73,11,0,0
"311",0,1,0,0,0
"312",81,93,14,0,0
"313",1,1,0,0,0
"314",75,92,12,3,4
"315",76,71,13,4,7
"316",80,80,14,0,0
"317",77,82,16,1,0
"318",0,1,0,0,0
"319",0,1,0,0,0
"320",89,81,16,0,0
"321",77,90,16,0,0
"322",70,77,11,0,0
"323",73,71,11,0,0
"324",80,85,17,0,0
"325",84,64,17,0,0
"326",0,1,0,0,0
"327",77,77,14,1,0
"328",86,78,16,0,0
"329",0,1,0,0,0
"330",78,78,13,0,0
"331",74,73,14,0,0
"332",0,1,0,0,0
"333",68,66,14,0,0
"334",71,67,16,0,0
"335",0,2,0,0,0
"336",76,71,16,0,1
"337",0,1,0,0,0
"338",88,77,13,0,0
"339",82,82,15,0,0
"340",88,74,15,0,0
"341",82,89,16,0,0
"342",90,72,13,0,0
"343",85,72,13,2,0
"344",76,74,12,0,0
"345",80,88,15,6,7
"346",0,1,0,0,0
"347",80,79,15,0,1
"348",69,61,16,0,0
"349",64,73,11,0,0
"350",90,89,14,0,0
"351",69,72,13,0,0
"352",96,82,14,0,0
"353",78,92,16,0,0
"354",68,75,14,1,1
"355",78,81,16,0,0
"356",0,1,0,0,0
"357",81,77,14,0,0
"358",0,1,0,0,0
"359",76,80,14,0,0
"360",88,74,16,0,0
"361",81,106,15,0,0
"362",72,70,11,0,0
"363",78,83,15,0,0
"364",0,1,0,0,0
"365",80,77,15,0,1
"366",2,1,0,0,0
"367",82,81,12,0,0
"368",0,1,0,0,0
"369",74,77,14,3,6
"370",84,93,16,5,7
"371",75,80,14,3,5
"372",0,1,0,0,0
"373",78,80,14,0,0
"374",85,83,17,0,0
"375",88,73,13,0,0
"376",96,85,14,4,5
"377",73,78,12,0,0
"378",86,91,12,0,0
"379",100,89,12,0,0
"380",0,1,0,0,0
"381",85,73,14,0,0
"382",65,77,15,0,0
"383",70,80,12,0,0
"384",67,70,15,1,1
"385",79,84,15,0,0
"386",83,90,13,3,7
