Governorate,District,Sub-district,Cluster,Total_pop,Total number of males,Total number of females,Males from 0 to 6 months of age,Males from 6 to 12 months of age,Males from 1 to 2 years of age,Males from 3 to 5 years of age,Males from 6 to 12 years of age,Males from 13 to 17 years of age,Males from 18 to 50 years of age,Males above 50 years of age,Females from 0 to 6 months of age,Females from 6 to 12 months of age,Females from 1 to 2 years of age,Females from 3 to 5 years of age,Females from 6 to 12 years of age,Females from 13 to 17 years of age,Females from 18 to 50 years of age,Females above 50 years of age,total_0_6_months,total_6_12_months,total_1_2,total_3_5,total_6_12,total_13_17,total_18_50,total_over50,Diabetes,Hypertension,Chronic cardiovascular diseases,Chronic respiratory diseases,Chronic kidney failure,Prop_Total number of males,Prop_Total number of females,Prop_total_0_6_months,Prop_total_6_12_months,Prop_total_1_2,Prop_total_3_5,Prop_total_6_12,Prop_total_13_17,Prop_total_18_50,Prop_total_over50,Prop_Diabetes,Prop_Hypertension,Prop_Chronic cardiovascular diseases,Prop_Chronic respiratory diseases,Prop_Chronic kidney failure,Prop_Males from 0 to 6 months of age,Prop_Males from 6 to 12 months of age,Prop_Males from 1 to 2 years of age,Prop_Males from 3 to 5 years of age,Prop_Males from 6 to 12 years of age,Prop_Males from 13 to 17 years of age,Prop_Males from 18 to 50 years of age,Prop_Males above 50 years of age,Prop_Females from 0 to 6 months of age,Prop_Females from 6 to 12 months of age,Prop_Females from 1 to 2 years of age,Prop_Females from 3 to 5 years of age,Prop_Females from 6 to 12 years of age,Prop_Females from 13 to 17 years of age,Prop_Females from 18 to 50 years of age,Prop_Females above 50 years of age
SY07,SY0703,SY070301,Al Karama,51887,25069,26818,859,945,1605,2686,3768,3990,9938,1278,897,1027,1694,2880,3992,4435,10431,1462,1756,1972,3299,5566,7760,8425,20369,2740,6,5,4,15,1,0.48314606741573035,0.5168539325842697,0.033842773719814215,0.038005666159153545,0.06358047295083546,0.10727157091371635,0.14955576541330198,0.16237207778441615,0.3925646115597356,0.05280706149902673,1.1563590109275926e-4,9.636325091063272e-5,7.709060072850617e-5,2.8908975273189816e-4,1.9272650182126543e-5,0.03426542742031992,0.03769595915273844,0.06402329570385736,0.1071442817822809,0.1503051577645698,0.15916071642267343,0.3964258646136663,0.050979297139893895,0.03344768439108062,0.038295174882541576,0.06316652994257588,0.10739055858005817,0.1488552464762473,0.1653740025356104,0.3889551793571482,0.05451562383473786
SY07,SY0703,SY070301,Al Rahma,23017,11049,11968,344,413,730,1260,1754,1761,3889,898,367,431,764,1424,1866,1896,4333,887,711,844,1494,2684,3620,3657,8222,1785,0,0,0,0,0,0.4800364947647391,0.5199635052352609,0.03089021158274319,0.03666854933310162,0.06490854585740974,0.11660946257114307,0.15727505756614676,0.15888256506060738,0.3572142329582483,0.07755137507059999,0,0,0,0,0,0.03113403927957281,0.03737894832111503,0.06606932754095393,0.11403746945424925,0.15874739795456602,0.1593809394515341,0.3519775545298217,0.08127432346818717,0.03066510695187166,0.036012700534759357,0.06383689839572193,0.11898395721925134,0.15591577540106952,0.15842245989304812,0.36204879679144386,0.07411430481283422
SY07,SY0703,SY070301,Atma,87638,41771,45867,1414,1624,2535,4343,6914,5640,16818,2483,1586,1820,2763,4809,7594,6358,18221,2716,3000,3444,5298,9152,14508,11998,35039,5199,54,6,40,52,4,0.47663114174216664,0.5233688582578334,0.03423172596362309,0.0392980214062393,0.06045322805175837,0.10442958533969282,0.16554462676008125,0.13690408270384993,0.39981514867979645,0.059323581094958805,6.161710673452156e-4,6.846345192724617e-5,4.5642301284830783e-4,5.933499167028001e-4,4.5642301284830784e-5,0.0338512365037945,0.03887864786574418,0.06068803715496397,0.10397165497594024,0.16552153407866702,0.13502190514950563,0.4026238299298556,0.05944315434152881,0.03457823707676543,0.03967994418645213,0.060239387795146836,0.10484662175420237,0.1655656572263283,0.1386181786469575,0.397257287374365,0.059214685939782415
SY02,SY0204,SY020400,Bab Al Salameh,13135,6322,6813,165,176,319,578,991,1031,2860,202,187,207,405,735,1151,1027,2928,173,352,383,724,1313,2142,2058,5788,375,20,19,0,85,0,0.4813094784925771,0.5186905215074229,0.026798629615531023,0.029158736200989722,0.0551199086410354,0.09996193376475067,0.16307575180814618,0.1566806242862581,0.44065473924628856,0.02854967643700038,0.0015226494099733537,0.0014465169394746859,0,0.006471259992386753,0,0.02609933565327428,0.027839291363492565,0.05045871559633028,0.091426763682379,0.15675419171148372,0.16308130338500473,0.4523884846567542,0.03195191395128124,0.027447526787024806,0.03038309114927345,0.059445178335535004,0.10788199031263761,0.16894172904740937,0.15074123000146777,0.42976662263320126,0.025392631733450757
SY07,SY0703,SY070301,Deir Hassan,22402,10755,11647,452,707,936,1472,2120,1657,2767,644,582,818,999,1564,1978,1812,3220,674,1034,1525,1935,3036,4098,3469,5987,1318,255,611,59,11,3,0.48009106329791984,0.5199089367020802,0.04615659316132488,0.0680742790822248,0.08637621640924917,0.13552361396303902,0.18293009552718506,0.15485224533523792,0.2672529238460852,0.05883403267565396,0.011382912239978574,0.02727435050441925,0.0026336934202303365,4.910275868226052e-4,1.3391661458798322e-4,0.04202696420269642,0.06573686657368666,0.08702928870292886,0.13686657368665736,0.19711761971176198,0.15406787540678754,0.2572756857275686,0.0598791259879126,0.0499699493431785,0.07023267794281789,0.08577316047050743,0.13428350648235596,0.1698291405512149,0.15557654331587534,0.2764660427577917,0.05786897913625826
SY02,SY0208,SY020800,Jarablus,18293,8933,9360,281,314,536,787,995,1174,4379,467,300,338,612,885,1038,1224,4387,576,581,652,1148,1672,2033,2398,8766,1043,145,40,40,35,4,0.48832886896627126,0.5116711310337287,0.03176078281309791,0.0356420488711529,0.06275624555841032,0.09140108238123873,0.1111354069862789,0.13108839446782922,0.47919969387197286,0.05701634505001913,0.007926529273492593,0.002186628765101405,0.002186628765101405,0.0019133001694637292,2.1866287651014048e-4,0.03145639762677712,0.03515056531960148,0.060002238889510805,0.08810030225008396,0.11138475316243143,0.1314228142841151,0.4902048583902384,0.05227807007724169,0.03205128205128205,0.03611111111111111,0.06538461538461539,0.09455128205128205,0.11089743589743589,0.13076923076923078,0.4686965811965812,0.06153846153846154
SY07,SY0704,SY070401,Kherbet Aljouz,13508,6254,7254,176,215,371,693,1188,996,2244,371,186,274,448,823,1313,1177,2573,460,362,489,819,1516,2501,2173,4817,831,0,0,0,0,0,0.46298489783831803,0.5370151021616819,0.026798933965057743,0.036200769914124964,0.06063073734083506,0.11222978975421972,0.1851495410127332,0.16086763399466983,0.3566034942256441,0.06151909979271543,0,0,0,0,0,0.028141989126958745,0.03437799808122802,0.059322033898305086,0.11080908218740007,0.18995842660697154,0.15925807483210744,0.358810361368724,0.059322033898305086,0.02564102564102564,0.037772263578715194,0.061759029500964985,0.11345464571271023,0.18100358422939067,0.16225530741659774,0.3547008547008547,0.06341328921974083
SY07,SY0703,SY070301,Qah,25042,12181,12861,419,485,806,1342,2046,1835,4401,847,425,499,850,1366,2112,1904,4802,903,844,984,1656,2708,4158,3739,9203,1750,19,0,6,12,0,0.48642280967973806,0.513577190320262,0.03370337832441498,0.039293986103346376,0.06612890344221707,0.10813832760961585,0.16604105103426245,0.1493091606101749,0.3675025956393259,0.06988259723664245,7.587253414264037e-4,0,2.3959747623991694e-4,4.791949524798339e-4,0,0.034397832690255314,0.03981610705196618,0.06616862326574173,0.11017157868812084,0.1679665052130367,0.15064444626877924,0.3613003858468106,0.06953452097528938,0.033045641862996654,0.03879947126973019,0.06609128372599331,0.10621258067024338,0.16421740144623279,0.14804447554622502,0.37337687582614104,0.0702122696524376
SY07,SY0703,SY070301,Sarmada,1467,717,750,29,40,57,78,97,93,247,76,33,41,62,84,93,98,261,78,62,81,119,162,190,191,508,154,0,0,0,0,0,0.4887525562372188,0.5112474437627812,0.04226312201772325,0.05521472392638037,0.08111792774369461,0.11042944785276074,0.12951601908657123,0.1301976823449216,0.34628493524199044,0.10497614178595774,0,0,0,0,0,0.040446304044630406,0.05578800557880056,0.0794979079497908,0.1087866108786611,0.13528591352859135,0.1297071129707113,0.34449093444909346,0.10599721059972106,0.044,0.05466666666666667,0.08266666666666667,0.112,0.124,0.13066666666666665,0.348,0.104
