"","age1.O","age2_no_comorbid.O","age2_comorbid.O","age3_no_comorbid.O","age3_comorbid.O"
"1",47.5671654974946,46.2510866525341,45.2224677335111,44.3126183610433,41.5905994691281
"2",0,4.0389633601221,0,0,0
"3",0,1.20656437098595,0,0,0
"4",33.9512814364713,37.7453383464537,37.6190592666294,30.835796339865,38.7222681323985
"5",0,10.6819020493427,0,0,0
"6",32.7046449300981,32.7733632359055,38.2414002500209,34.8372768366509,31.6711978381
"7",0,5.16144804418515,0,0,0
"8",61.9735833114671,65.6267586083807,71.780486602041,71.6404896534288,68.028349247971
"9",49.4509411643839,55.9789100428417,57.093456938407,67.7019081978972,52.3427872167674
"10",0,0,0,0,0
"11",0,6.26524230533939,0,0,0
"12",43.6505094491417,47.576776437099,40.5392894426205,42.4197269515652,46.9515312550634
"13",0,11.0904335284368,0,0,0
"14",0,1.21253183249652,0,0,0
"15",33.5903225630188,33.5903225630188,36.5555097280124,32.6252218323121,35.0521106561973
"16",41.8949937866149,39.3504443104356,40.1771851470146,38.61240765959,41.3786416101219
"17",36.6880340317218,43.8817330143329,36.2361015794085,36.1629809584987,41.018802529051
"18",0,1.07757145665944,0,0,0
"19",53.8926976880387,55.1181350336071,49.1656856674105,57.6742129286546,50.1408359613665
"20",44.9369498303633,46.2374453268195,46.7368107767541,44.1364535248665,29.7108486110444
"21",41.3341922015474,44.5417748360219,44.1642406368526,48.841799635076,40.8502152415777
"22",53.0244910124541,53.7886405567168,48.9022855752296,48.6795175844984,47.7585356803265
"23",0,0.970005306490306,0,0,0
"24",46.3721978604217,54.6571416329319,47.1063882804266,60.276522756871,50.2985983744491
"25",43.8790581306326,39.9809532306339,44.374974913084,41.3812036287725,44.8935516402728
"26",45.90367305606,45.3280055049489,39.9568457318559,49.3828512425155,46.1150861508898
"27",10.3480704537019,1.09265825428539,0,0,0
"28",44.5362053252673,45.9324072432472,48.9138018868107,43.7737531904437,42.1471253434741
"29",36.5177394647911,39.8597298730837,34.5569834699335,42.2404664550039,43.4257755637623
"30",38.7776313843221,40.4895451697692,31.6342454353846,34.2834707371359,37.2590698556809
"31",35.3687492899927,39.6439356544083,40.5276575052709,42.1253926220492,37.9063045689715
"32",52.5329353845774,59.1242945730078,56.7783050095366,57.1590315638425,62.5050091601736
"33",45.9517552456984,46.1503985076645,45.1641929702488,44.8782477161526,41.9002304910057
"34",0,8.02904959664993,0,0,0
"35",36.9530449323708,42.8463670702693,46.6710291259694,44.6944896682889,45.5975640322567
"36",0,0.615971784642298,0,0,0
"37",46.8832273104688,44.9128815836727,44.3600093135684,57.6692203653083,49.348180942766
"38",50.6610043742559,51.4611594086811,53.6947748566745,55.4313578338669,45.7146101924323
"39",80.5860190964599,81.6404295968476,87.4463728355018,84.7984508049759,84.3969334446872
"40",38.2756859890168,44.3935552160954,42.9655305561769,34.4194306335314,35.7395618794336
"41",52.6425572040614,54.5648742518957,53.6568027872185,55.5005368684147,65.8489332115432
"42",37.1965160388603,35.7219264500265,37.4035175179519,47.8289703924302,37.9105641706229
"43",37.4020427608754,38.6301565633942,41.1642477737553,37.2864339567384,34.7355752310687
"44",39.3889446416466,36.5276945850463,34.816676482681,38.351679630366,34.2110786795599
"45",50.8611601073765,52.7363850359432,56.3326963089769,53.8279039417108,43.7516000284878
"46",37.8858206492854,39.6329925586073,42.2850432161912,41.5179271787964,41.0956900901878
"47",44.3551944925345,48.8661397672388,40.449545360653,36.3799766048346,46.5048892126691
"48",33.64785882607,36.5678323986483,38.1527916692134,34.4754664752718,34.1457178832775
"49",47.256117752632,50.4357720900611,44.7230679880136,55.7172468233452,48.3150584898115
"50",55.0568890913513,58.9573667115154,61.2999239146585,63.5706279130128,51.574251503082
"51",37.3962802454295,39.1281581574029,40.7259210396254,38.2673323643209,39.5655589445984
"52",37.0787370634043,36.4170375698559,37.7350352412344,47.4129872626093,34.9967275092874
"53",36.3105614263728,41.5306704201597,37.8583066279659,36.5927621413575,40.4800495094294
"54",39.5611172722857,47.5708158166838,44.3493303062339,38.252590679754,39.5332271590322
"55",48.128380610051,52.5631273135746,52.2945406285783,50.0217032310389,50.5414305414751
"56",53.7693739249587,61.2662705986796,54.1358452746048,52.294476159946,50.8665261528656
"57",45.8975858441645,43.7815903109382,41.761059384898,46.0642984943543,42.8391712882949
"58",35.0572396097343,37.0778609061669,34.338811508851,39.4167841263929,34.9019875909531
"59",46.2791594633446,50.9884911348074,51.4253019415998,50.6492360611185,49.2898296359814
"60",0,0.78245063073794,0,0,0
"61",40.723446987756,40.9917570062294,38.1275798054339,37.5225521623792,39.2358986015127
"62",37.5113098548781,41.0130650456142,39.644602475723,48.3010933961542,44.8804681048034
"63",0,3.35698855042321,0,0,0
"64",46.7658367014045,46.8864220224985,52.6602772879337,49.0118555312779,46.1220718986245
"65",0,0.800564850983615,0,0,0
"66",42.4123940749433,44.6059671371052,51.7046468162736,41.9063637596861,42.6458510139354
"67",46.2136068217686,50.8457936986151,45.7832937143925,45.7388485712408,42.0595196959754
"68",50.8712445658628,52.0820151558244,44.6158590888568,59.3833077615556,46.6541127611043
"69",42.8335601023887,45.3437859634611,39.2695923464657,47.7897519045739,55.0227674002964
"70",47.2687817846999,49.8416453653586,48.7513554947807,44.8928514225085,49.2965219696109
"71",0,10.8495145658574,0,0,0
"72",0,8.27393092230897,0,0,0
"73",43.1636578206771,49.7542047062391,48.3981077395742,48.0724117466916,43.0738442022458
"74",46.248222042416,51.3370773457279,49.8156417949687,49.5686654475797,58.067321403161
"75",39.8158387993363,41.1540824876946,37.2798365082695,44.9632218061578,37.4128495539991
"76",47.1359604660448,48.6386711053553,52.3318076020335,51.8395419120828,43.2507507138023
"77",41.4313254485912,43.1463023884767,46.5965432023674,50.9263914975517,37.5679879159963
"78",0,13.8863987888889,13.925899943597,0,0
"79",38.9901427895919,44.5671321684591,42.6721898674969,34.2818335286741,36.0331722802329
"80",44.0352187377561,47.3366801278497,47.6042317667279,48.9444780760251,39.7290660160147
"81",0,2.98370794061406,0,0,0
"82",47.9058110809294,48.4809886981806,54.9183738041056,39.4951367489021,42.1171453361436
"83",42.0471720421853,49.4611117651547,45.5359820354105,50.958816515775,50.1474625851788
"84",53.2986452704955,57.1258822723505,61.7411184757439,49.6873383310835,52.9620217092438
"85",0,3.43056364122353,0,0,0
"86",0,16.4083483975331,0,0,0
"87",43.8795582289363,43.5645444041292,43.5546564145053,46.9262126809406,43.7723796528379
"88",44.6260539508197,44.7747146755916,41.8710969172054,50.6593360674123,42.7008016004552
"89",30.6286405845064,37.4681459495172,34.7781291139954,28.9571360750016,35.4511656131806
"90",46.5371657270787,45.0579813356153,45.6157830816107,45.7214261849554,46.1388627739342
"91",43.006934971571,48.681386501367,45.0184844162568,45.0184844162568,50.7688612159769
"92",53.8049725007929,57.4638406455528,54.8467859996183,53.296039959754,46.895787740504
"93",38.4042152731129,44.7196984717454,45.3386654911242,38.7275594667966,47.7819961187388
"94",43.95245173159,46.6512552586879,38.0284646000936,37.3097357195242,44.8174783235631
"95",47.5481958534357,51.0521668506505,50.8524726186261,52.0720738286974,55.2286760261891
"96",36.4703916342146,38.3491518853255,38.8810175569277,37.5151821384158,41.5013070476912
"97",37.6720015460691,43.0100117927773,42.4009602002643,42.7642001413204,39.1714876813954
"98",41.0176593706612,39.4894216167626,41.0374784549012,48.250369349835,41.878507569761
"99",41.1613744127161,43.4508392298189,42.5555203066376,43.5308784573519,46.3094560458192
"100",34.7009684740091,39.5845585864547,36.4595040567038,39.0046877747894,44.0741102806827
"101",53.9982524969094,59.5410124582423,52.4053759518648,50.3949026921489,56.2558366268895
"102",49.5028284502935,49.3534859147865,53.0487904396381,55.9081704183108,54.7714594205037
"103",0,1.20404792736912,0,0,0
"104",46.3129226231642,49.4081757390602,43.7045735391712,42.1696381787996,46.3361548844077
"105",0,0,0,0,0
"106",0,1.22126320810521,0,0,0
"107",51.0640520502189,52.2312382023655,56.0059079248313,50.5629560891264,59.5097289013297
