"","age1.O","age2_no_comorbid.O","age2_comorbid.O","age3_no_comorbid.O","age3_comorbid.O"
"243",155,131,18,5,8
"244",135,158,17,8,6
"245",137,140,18,7,10
"246",146,144,17,6,8
"247",141,135,16,7,6
"248",138,137,20,5,7
"249",0,0,0,0,0
"250",164,162,19,8,6
"251",0,1,0,0,0
"252",153,130,19,8,8
"253",146,135,16,7,8
"254",152,154,20,6,8
"255",130,142,16,10,9
"256",143,138,22,6,9
"257",158,157,20,7,7
"258",163,150,16,6,9
"259",134,136,15,5,5
"260",153,141,16,8,6
"261",0,1,0,0,0
"262",0,1,0,0,0
"263",152,133,21,8,8
"264",0,1,0,0,0
"265",137,135,15,7,8
"266",177,136,18,6,9
"267",124,139,17,6,7
"268",144,128,14,6,7
"269",138,143,22,7,8
"270",154,132,17,6,8
"271",153,146,13,6,8
"272",137,127,19,5,9
"273",0,1,0,0,0
"274",0,1,0,0,0
"275",0,1,0,0,0
"276",165,147,23,5,8
"277",0,1,0,0,0
"278",137,141,16,8,7
"279",140,132,16,10,6
"280",124,118,16,6,7
"281",164,156,22,5,8
"282",159,140,13,7,6
"283",129,139,14,6,5
"284",132,148,18,7,5
"285",132,129,15,7,8
"286",149,131,19,4,7
"287",0,1,0,0,0
"288",120,126,15,7,7
"289",0,0,0,0,0
"290",133,142,15,7,7
"291",1,1,0,0,0
"292",148,163,23,6,8
"293",133,138,16,7,5
"294",147,130,20,5,6
"295",153,141,14,10,6
"296",138,141,16,8,7
"297",0,1,0,0,0
"298",151,167,18,4,7
"299",135,116,18,6,7
"300",155,142,17,3,9
"301",150,124,15,5,8
"302",132,143,18,8,7
"303",0,1,0,0,0
"304",153,137,16,6,5
"305",1,2,0,0,0
"306",152,136,13,7,5
"307",140,139,17,5,7
"308",140,136,15,6,7
"309",149,139,19,8,6
"310",0,1,0,0,0
"311",0,0,0,0,0
"312",144,159,16,7,7
"313",128,139,17,9,7
"314",0,2,0,0,0
"315",143,123,16,8,6
"316",165,146,14,6,11
"317",144,149,18,8,12
"318",129,131,16,6,9
"319",140,143,18,6,7
"320",145,129,13,10,6
"321",155,158,18,8,8
"322",137,147,16,8,6
"323",148,130,16,6,10
"324",153,162,19,6,6
"325",134,144,12,7,6
"326",141,111,11,6,9
"327",156,135,15,6,7
"328",129,142,14,6,7
"329",158,140,17,6,6
"330",0,0,0,0,0
"331",121,139,21,7,7
"332",124,132,14,6,7
"333",154,161,18,7,8
"334",151,143,15,8,7
"335",150,154,14,6,6
"336",143,160,19,8,9
"337",139,131,15,8,6
"338",152,146,22,7,6
"339",153,143,14,6,10
"340",169,141,20,7,8
"341",0,1,0,0,0
"342",138,142,14,8,6
"343",127,134,16,5,4
"344",138,135,21,7,5
"345",157,164,19,9,6
"346",130,144,14,5,8
"347",135,153,13,5,8
"348",147,139,14,9,8
"349",129,128,18,8,6
"350",146,137,16,9,9
"351",136,148,14,7,8
"352",141,123,15,5,8
"353",1,1,0,0,0
"354",1,2,0,0,0
"355",152,144,14,5,9
"356",142,157,17,8,6
"357",159,156,25,11,7
"358",0,1,0,0,0
"359",139,133,20,7,10
"360",136,132,20,8,7
"361",138,130,14,6,6
"362",152,144,16,4,9
"363",0,1,0,0,0
"364",135,143,18,5,7
"365",159,159,22,4,7
"366",161,149,19,6,8
"367",152,140,20,5,7
"368",143,142,17,6,5
"369",135,153,17,6,6
"370",122,151,16,6,5
"371",146,135,15,7,8
"372",148,127,14,5,7
"373",133,127,19,5,7
"374",147,126,17,6,8
"375",142,147,14,6,6
"376",0,1,0,0,0
"377",134,122,19,6,10
"378",0,1,0,0,0
"379",154,143,23,9,9
"380",160,139,13,5,7
"381",0,1,0,0,0
"382",145,176,19,9,6
"383",133,125,14,6,7
"384",134,127,14,6,8
"385",148,145,15,6,8
"386",134,135,14,4,6
"387",159,143,15,8,11
"388",0,1,0,0,0
"389",126,146,19,6,7
"390",134,135,15,4,8
"391",156,135,15,6,10
"392",131,127,20,10,9
"393",145,128,12,7,6
"394",129,133,14,5,5
"395",149,133,20,6,9
"396",1,1,1,0,0
"397",149,143,16,6,10
"398",2,1,0,0,0
"399",171,161,21,8,8
"400",144,144,20,5,8
"401",140,140,13,7,7
"402",158,166,16,8,7
"403",1,1,1,0,0
"404",1,1,0,0,0
"405",147,165,18,10,8
"406",0,1,0,0,0
"407",156,143,15,6,11
"408",141,142,20,6,7
"409",144,117,14,4,6
"410",116,114,15,4,5
"411",150,142,19,9,7
"412",0,1,0,0,0
"413",148,144,17,6,6
"414",0,1,0,0,0
"415",166,142,13,7,7
"416",164,165,14,7,9
"417",136,144,16,8,6
"418",127,154,19,6,5
"419",146,183,20,6,10
"420",142,137,13,7,8
"421",139,152,16,9,5
"422",163,141,27,6,7
"423",146,153,17,6,5
"424",140,129,10,8,5
"425",153,154,16,8,8
"426",141,125,16,7,8
"427",150,143,17,7,7
"428",143,161,14,5,7
"429",0,0,0,0,0
"430",132,128,16,5,9
"431",140,141,16,6,8
"432",150,154,19,8,6
"433",152,153,21,7,6
"434",143,136,16,9,7
"435",165,144,14,7,8
"436",0,0,0,0,0
"437",0,1,0,0,0
"438",130,148,18,5,8
"439",161,172,14,7,10
"440",118,122,14,7,9
"441",129,152,16,9,9
"442",147,132,11,6,5
"443",137,145,18,5,7
"444",148,147,15,3,9
"445",145,144,20,10,8
"446",153,157,13,7,8
"447",139,153,15,6,6
"448",148,147,15,7,8
"449",136,137,17,5,5
"450",146,122,18,5,10
"451",124,147,24,6,7
"452",125,121,19,5,7
"453",0,1,0,0,0
"454",151,159,21,5,8
"455",152,160,17,4,9
"456",0,1,0,0,0
"457",0,1,0,0,0
"458",129,143,15,4,6
"459",156,154,22,7,7
"460",134,131,20,6,6
"461",148,138,17,7,6
"462",132,144,15,9,6
"463",0,1,0,0,0
"464",119,136,13,5,8
"465",161,138,16,5,8
"466",138,155,19,6,6
"467",0,1,0,0,0
"468",133,136,16,6,8
"469",137,139,18,8,7
"470",156,137,18,10,11
"471",141,138,19,7,9
"472",154,143,18,5,8
"473",150,140,18,6,7
"474",131,132,18,8,5
"475",0,1,0,0,0
"476",143,160,19,7,7
"477",159,150,21,4,8
"478",0,1,0,0,0
"479",167,139,22,7,6
"480",158,135,14,5,8
"481",178,154,21,6,7
"482",151,152,16,6,10
"483",1,1,0,0,0
"484",126,150,18,6,8
"485",138,134,15,6,7
"486",124,135,22,5,4
"487",156,122,16,9,6
"488",143,151,20,9,9
"489",138,137,13,8,5
"490",136,141,16,6,7
"491",138,133,19,5,8
"492",0,1,0,0,0
"493",0,1,0,0,0
"494",139,121,17,6,6
"495",137,146,12,7,8
"496",1,1,2,0,0
"497",159,154,15,6,8
"498",150,141,19,5,8
"499",146,135,16,7,6
"500",0,1,0,0,0
"501",147,140,20,5,9
"502",0,1,0,0,0
"503",151,140,17,7,6
"504",136,129,15,6,8
"505",146,149,17,6,7
"506",145,145,19,6,6
"507",149,154,17,6,8
"508",122,127,20,5,7
"509",136,160,17,7,8
"510",0,1,0,0,0
"511",130,125,16,6,8
"512",137,157,19,6,7
"513",154,137,14,8,7
"514",0,1,0,0,0
"515",143,132,14,5,7
"516",133,133,14,4,6
"517",156,168,18,6,9
"518",0,1,0,0,0
"519",130,137,12,6,9
"520",123,137,15,6,8
"521",0,1,0,0,0
"522",128,129,16,5,5
"523",131,145,17,5,8
"524",0,2,0,0,0
"525",1,1,0,0,0
"526",0,1,0,0,0
"527",145,153,21,8,9
"528",141,152,13,5,6
"529",0,1,0,0,0
"530",164,146,18,7,8
"531",135,141,20,6,8
"532",132,137,19,6,5
"533",135,152,16,5,6
"534",149,145,20,7,5
"535",142,142,18,5,8
"536",121,126,13,4,5
"537",147,160,18,4,9
"538",1,0,0,0,0
"539",159,144,17,8,5
"540",159,153,21,4,6
"541",141,157,15,5,8
"542",142,146,13,4,9
"543",149,137,19,6,8
"544",148,136,16,10,6
"545",0,1,0,0,0
"546",0,1,0,0,0
"547",1,1,0,0,0
"548",132,154,14,6,7
"549",164,144,21,6,6
"550",179,156,15,6,8
"551",160,124,16,5,7
"552",0,1,0,0,0
"553",141,141,15,6,7
"554",147,121,22,6,9
"555",0,1,0,0,0
"556",154,137,20,8,7
"557",146,149,14,7,8
"558",0,1,0,0,0
"559",130,143,14,5,8
"560",0,0,0,0,0
"561",151,136,19,6,5
"562",0,0,0,0,0
"563",0,1,0,0,0
"564",148,128,17,7,5
"565",136,141,14,8,7
"566",139,141,23,7,7
"567",145,140,16,7,6
"568",144,129,15,4,9
"569",152,133,14,7,8
"570",143,144,13,6,7
"571",1,1,0,0,0
"572",135,139,24,6,6
"573",148,162,16,6,9
"574",150,159,14,6,6
"575",1,1,0,0,0
"576",127,144,15,6,8
"577",150,155,20,8,7
"578",0,1,0,0,0
"579",138,164,20,4,10
"580",177,163,12,7,7
"581",0,1,0,0,0
"582",128,130,15,7,5
"583",155,162,18,5,8
"584",0,1,0,0,0
"585",147,152,16,6,7
"586",142,132,16,6,11
"587",135,145,14,4,6
"588",149,145,13,6,6
"589",165,167,18,6,8
"590",149,148,16,9,7
"591",146,144,19,6,8
"592",131,134,13,8,6
"593",136,132,19,8,6
"594",146,143,15,7,5
"595",133,150,15,6,7
"596",141,131,16,4,8
"597",157,154,17,5,7
"598",126,139,19,4,7
"599",150,137,16,6,6
"600",150,138,20,5,8
"601",140,144,18,6,9
"602",127,120,18,7,8
"603",149,150,16,6,10
"604",133,144,19,7,8
"605",135,144,15,6,5
"606",140,146,20,8,6
"607",149,133,16,6,8
"608",157,151,15,6,9
"609",0,1,0,0,0
"610",132,126,14,9,7
"611",0,1,0,0,0
"612",151,156,16,5,12
"613",127,131,20,6,8
"614",137,145,15,8,12
"615",140,124,11,6,9
"616",171,148,22,4,11
"617",163,151,19,6,9
"618",177,158,21,6,9
"619",178,148,13,7,8
"620",155,149,18,6,8
"621",177,161,16,8,7
"622",146,151,18,5,7
"623",130,134,13,8,8
"624",146,127,15,8,6
"625",138,127,14,8,7
"626",136,125,17,6,7
"627",0,1,0,0,0
"628",0,2,0,0,0
"629",1,1,0,0,0
"630",146,124,14,5,7
"631",0,0,0,0,0
"632",161,164,17,8,9
"633",133,138,17,9,7
"634",157,119,16,6,7
"635",0,0,0,0,0
"636",140,153,16,5,6
"637",158,146,17,4,11
"638",161,128,19,6,6
"639",130,146,16,7,7
"640",1,0,0,0,0
"641",0,1,0,0,0
"642",150,125,16,8,7
"643",0,1,0,0,0
"644",156,137,17,8,6
"645",154,169,20,9,6
"646",0,1,0,0,0
"647",155,162,18,7,7
"648",157,163,19,7,7
"649",117,157,17,6,8
"650",0,0,0,0,0
"651",169,142,22,4,8
"652",141,129,14,6,6
"653",151,149,15,9,8
"654",156,127,16,5,8
"655",0,1,0,0,0
"656",141,153,16,7,8
"657",0,1,0,0,0
"658",132,131,13,7,7
"659",148,130,19,8,5
"660",0,1,0,0,0
"661",154,140,20,8,8
"662",134,134,17,6,6
"663",138,124,13,7,8
"664",0,0,0,0,0
"665",0,1,0,0,0
"666",155,158,18,6,8
"667",147,158,14,6,7
"668",159,148,17,8,7
"669",152,148,18,9,7
"670",0,1,0,0,0
"671",154,145,17,6,6
"672",140,138,16,6,9
"673",140,115,15,5,5
"674",155,148,20,6,6
"675",130,134,17,7,8
"676",129,134,14,4,9
"677",140,138,18,11,6
"678",150,140,17,9,6
"679",145,161,11,6,11
"680",148,141,12,6,7
"681",0,1,0,0,0
"682",0,1,0,0,0
"683",144,140,15,5,5
"684",143,145,14,4,6
"685",0,0,0,0,0
"686",132,149,13,8,8
"687",147,125,17,6,7
"688",130,137,15,6,9
"689",144,148,16,8,7
"690",148,138,12,6,11
"691",151,158,14,6,6
"692",143,145,15,6,7
"693",129,130,14,7,7
"694",0,1,0,0,0
"695",1,1,0,0,0
"696",155,148,16,5,7
"697",1,1,0,0,0
"698",0,1,0,0,0
"699",141,149,13,9,7
"700",144,151,19,6,6
"701",163,143,13,5,8
"702",152,139,16,6,7
"703",162,136,19,6,6
"704",0,1,0,0,0
"705",145,123,16,7,6
"706",139,157,18,6,5
"707",0,1,0,0,0
"708",144,148,14,4,9
"709",141,147,18,5,7
"710",0,0,0,0,0
"711",171,147,15,9,9
"712",128,142,18,8,10
"713",0,0,0,0,0
"714",136,137,17,8,7
"715",151,148,18,8,10
"716",145,161,18,8,6
"717",155,140,17,7,6
"718",2,3,0,0,0
"719",138,136,15,6,6
"720",3,1,0,0,0
"721",153,125,15,5,7
"722",151,123,18,6,8
"723",0,1,0,0,0
"724",146,139,17,5,7
"725",129,143,15,6,5
"726",140,162,19,7,7
"727",0,1,0,0,0
"728",164,158,17,9,9
"729",0,1,0,0,0
"730",142,141,19,5,7
"731",167,139,17,6,8
"732",0,1,0,0,0
"733",158,131,13,7,6
"734",0,1,0,0,0
"735",139,140,16,6,8
"736",142,130,18,7,8
"737",142,139,15,11,8
"738",0,1,0,0,0
"739",0,1,0,0,0
"740",137,132,17,7,7
"741",157,170,22,8,8
"742",126,140,20,8,10
"743",123,114,17,6,6
"744",149,137,14,5,9
"745",125,143,18,6,9
"746",0,1,0,0,0
"747",150,127,18,6,5
"748",141,144,16,8,11
"749",152,151,16,8,7
"750",0,1,0,0,0
"751",137,138,17,7,6
"752",132,135,17,11,5
"753",161,159,17,8,10
"754",152,137,24,7,7
"755",121,139,15,5,6
"756",152,139,20,6,7
"757",148,147,12,8,6
"758",132,124,19,5,6
"759",0,1,1,0,0
"760",133,132,16,5,11
"761",146,145,18,4,8
"762",155,166,15,4,8
"763",137,130,12,8,8
"764",151,135,16,7,5
"765",173,155,17,10,7
"766",162,136,12,6,10
"767",130,142,16,5,8
"768",152,138,18,6,6
"769",148,144,21,5,11
"770",0,1,0,0,0
"771",147,148,16,7,9
"772",162,158,19,6,8
"773",1,1,0,0,0
"774",165,159,18,6,7
"775",158,151,16,7,8
"776",0,1,0,0,0
"777",0,2,0,0,0
"778",129,146,16,5,6
"779",162,139,17,6,7
"780",0,1,0,0,0
"781",138,122,20,7,7
"782",145,128,15,5,6
"783",161,145,21,5,5
"784",139,149,15,6,6
"785",139,120,17,5,7
"786",0,1,0,0,0
"787",155,135,20,8,8
"788",153,140,12,10,8
"789",183,151,22,6,7
"790",0,0,0,0,0
"791",142,158,16,4,6
"792",132,131,17,10,5
"793",2,1,0,0,0
"794",0,1,0,0,0
"795",0,0,0,0,0
"796",131,129,19,7,7
"797",0,1,0,0,0
"798",132,139,18,6,10
"799",141,134,12,4,6
"800",141,144,17,6,7
"801",157,143,17,8,6
"802",1,0,0,0,0
"803",138,127,15,5,7
"804",146,136,15,5,7
"805",146,142,14,4,7
"806",154,133,20,6,8
"807",135,137,17,8,7
"808",0,2,0,0,0
"809",115,129,18,6,6
"810",146,148,17,5,7
"811",140,128,15,3,9
"812",143,118,14,7,6
"813",0,1,0,0,0
"814",0,0,0,0,0
"815",154,152,16,7,9
"816",139,128,15,6,6
"817",148,133,16,8,7
"818",151,141,17,8,7
"819",0,1,0,0,0
"820",142,145,17,5,5
"821",137,133,22,7,8
"822",140,137,19,8,5
"823",146,137,13,8,8
"824",0,0,0,0,0
"825",146,153,16,7,6
"826",140,133,14,6,8
"827",145,121,13,8,9
"828",0,1,0,0,0
"829",143,131,19,5,7
"830",150,138,20,8,7
"831",151,142,18,6,9
"832",132,125,14,7,7
"833",144,150,17,7,9
"834",157,152,14,5,6
"835",0,0,0,0,0
"836",170,148,18,5,9
"837",137,141,23,11,6
"838",150,151,17,5,6
"839",152,153,15,6,10
"840",122,117,12,5,7
"841",136,131,17,8,8
"842",0,1,0,0,0
"843",0,0,0,0,0
"844",0,1,0,0,0
"845",0,2,0,0,0
"846",130,139,18,5,6
"847",149,139,19,6,7
"848",141,139,16,5,6
"849",144,142,14,7,6
"850",146,141,13,6,6
"851",153,170,13,8,5
"852",141,159,16,9,8
"853",1,1,0,0,0
"854",158,154,14,6,7
"855",132,130,14,5,5
"856",0,0,0,0,0
"857",134,151,16,8,9
"858",1,1,0,0,0
"859",0,1,0,0,0
"860",154,158,18,9,4
"861",144,147,14,7,7
"862",134,133,15,7,6
"863",140,137,13,7,7
"864",125,134,15,6,6
"865",144,153,19,6,8
"866",0,1,0,0,0
"867",137,159,16,10,8
"868",154,133,15,7,8
"869",141,137,17,8,10
"870",163,133,18,5,6
"871",138,127,19,9,8
"872",0,1,0,0,0
"873",144,139,15,7,6
"874",159,137,15,8,10
"875",127,138,13,6,7
"876",135,126,15,8,6
"877",132,147,16,8,8
"878",151,156,16,8,6
"879",158,147,16,5,7
"880",1,1,1,0,0
"881",0,1,0,0,0
"882",1,0,0,0,0
"883",138,154,12,7,12
"884",0,1,0,0,0
"885",139,139,18,7,5
"886",138,134,18,7,5
"887",134,148,14,4,7
"888",148,148,17,7,6
"889",146,131,14,7,6
"890",149,136,18,7,6
"891",130,148,21,6,10
"892",165,145,18,5,8
"893",158,142,15,4,4
"894",146,146,16,6,5
"895",0,1,0,0,0
"896",0,1,0,0,0
"897",0,1,0,0,0
"898",144,134,16,7,7
"899",155,165,16,8,7
"900",143,125,16,7,7
"901",0,1,0,0,0
"902",142,144,18,5,8
"903",162,150,15,6,9
"904",0,1,0,0,0
"905",0,1,0,0,0
"906",0,1,0,0,0
"907",125,150,15,6,6
"908",133,146,17,8,6
"909",127,142,15,9,8
"910",137,123,14,6,7
"911",150,133,21,7,10
"912",139,137,20,6,4
"913",0,0,0,0,0
"914",143,135,15,6,9
"915",0,1,0,0,0
"916",159,151,19,5,9
