"","age1.O","age2_no_comorbid.O","age2_comorbid.O","age3_no_comorbid.O","age3_comorbid.O"
"1",21.8673218673219,18.3651804670913,14.3769968051118,13.6363636363636,9.38337801608579
"2",20.8845208845209,19.7452229299363,10.3833865814696,13.6363636363636,10.7238605898123
"3",0,0.106157112526539,0,0,0
"4",0,0.106157112526539,0,0,0
"5",25.6756756756757,22.2929936305732,15.9744408945687,15.9090909090909,9.38337801608579
"6",22.3587223587224,21.2314225053079,15.9744408945687,20.4545454545455,20.1072386058981
"7",24.3243243243243,20.9129511677282,23.961661341853,22.7272727272727,10.7238605898123
"8",21.7444717444717,16.5605095541401,10.3833865814696,13.6363636363636,12.0643431635389
"9",24.3243243243243,21.3375796178344,17.5718849840256,15.9090909090909,12.0643431635389
"10",0,0.212314225053079,0,0,0
"11",23.2186732186732,19.0021231422505,15.9744408945687,18.1818181818182,10.7238605898123
"12",22.3587223587224,20.1698513800425,15.9744408945687,11.3636363636364,10.7238605898123
"13",0,0.106157112526539,0,0,0
"14",22.4815724815725,19.0021231422505,18.370607028754,15.9090909090909,9.38337801608579
"15",22.2358722358722,19.8513800424628,15.9744408945687,18.1818181818182,10.7238605898123
"16",20.2702702702703,17.3036093418259,12.779552715655,15.9090909090909,9.38337801608579
"17",20.3931203931204,19.6390658174098,15.1757188498403,18.1818181818182,14.745308310992
"18",24.5700245700246,19.8513800424628,17.5718849840256,13.6363636363636,9.38337801608579
"19",20.7616707616708,21.4437367303609,16.7731629392971,18.1818181818182,12.0643431635389
"20",23.2186732186732,19.0021231422505,16.7731629392971,20.4545454545455,12.0643431635389
"21",24.0786240786241,20.7006369426752,15.1757188498403,20.4545454545455,13.4048257372654
"22",22.4815724815725,19.5329087048832,11.9808306709265,15.9090909090909,18.7667560321716
"23",21.990171990172,18.895966029724,17.5718849840256,11.3636363636364,14.745308310992
"24",24.3243243243243,20.0636942675159,18.370607028754,15.9090909090909,13.4048257372654
"25",22.6044226044226,18.895966029724,17.5718849840256,13.6363636363636,10.7238605898123
"26",21.6216216216216,21.656050955414,21.5654952076677,13.6363636363636,10.7238605898123
"27",22.4815724815725,18.895966029724,15.9744408945687,22.7272727272727,14.745308310992
"28",22.972972972973,17.1974522292994,21.5654952076677,15.9090909090909,12.0643431635389
"29",21.990171990172,19.6390658174098,21.5654952076677,15.9090909090909,16.0857908847185
"30",23.2186732186732,19.1082802547771,20.7667731629393,20.4545454545455,10.7238605898123
"31",23.5872235872236,21.1252653927813,18.370607028754,18.1818181818182,13.4048257372654
"32",21.4987714987715,18.3651804670913,17.5718849840256,15.9090909090909,9.38337801608579
"33",0,0,0,0,0
"34",21.1302211302211,20.0636942675159,20.7667731629393,22.7272727272727,14.745308310992
"35",17.4447174447174,19.4267515923567,15.1757188498403,18.1818181818182,8.04289544235925
"36",22.6044226044226,18.2590233545648,16.7731629392971,20.4545454545455,10.7238605898123
"37",21.2530712530713,19.7452229299363,11.9808306709265,18.1818181818182,9.38337801608579
"38",20.02457002457,16.6666666666667,11.9808306709265,18.1818181818182,9.38337801608579
"39",0,0.212314225053079,0,0,0
"40",22.2358722358722,21.4437367303609,17.5718849840256,20.4545454545455,16.0857908847185
