"","age1.O","age2_no_comorbid.O","age2_comorbid.O","age3_no_comorbid.O","age3_comorbid.O"
"1",54,45,10,4,5
"2",1,1,0,0,0
"3",52,56,11,5,6
"4",0,1,0,0,0
"5",46,57,11,5,8
"6",1,1,0,0,0
"7",0,1,0,0,0
"8",52,52,10,6,6
"9",48,50,11,4,6
"10",0,1,0,0,0
"11",0,0,0,0,0
"12",0,1,0,0,0
"13",50,54,8,6,5
"14",0,0,0,0,0
"15",52,47,9,4,7
"16",49,55,9,5,6
"17",44,60,8,5,7
"18",0,1,0,0,0
"19",60,46,9,5,6
"20",54,59,8,5,6
"21",48,48,11,4,5
"22",40,42,10,3,7
"23",48,48,9,4,6
"24",1,1,0,0,0
"25",47,44,11,4,6
"26",0,1,0,0,0
"27",42,47,12,5,5
"28",40,41,8,3,4
"29",52,47,10,7,6
"30",51,52,11,5,6
"31",0,0,0,0,0
"32",54,51,10,4,9
"33",53,43,7,3,5
"34",42,57,9,3,7
"35",49,50,9,4,10
"36",54,58,9,4,8
"37",0,1,0,0,0
"38",48,50,11,4,5
"39",45,46,9,4,7
"40",41,40,10,3,5
"41",53,51,11,6,7
"42",0,1,0,0,0
"43",0,1,0,0,0
"44",48,44,8,3,7
"45",0,0,0,0,0
"46",1,1,0,0,0
"47",0,1,0,0,0
"48",52,42,9,4,6
"49",42,39,10,5,5
"50",50,43,10,4,6
"51",0,1,0,0,0
"52",53,57,11,4,6
"53",49,62,10,5,8
"54",46,53,9,4,6
"55",0,1,0,0,0
"56",49,51,9,4,4
"57",54,61,8,4,6
"58",44,45,11,4,8
"59",45,46,13,4,9
"60",45,49,8,3,5
"61",45,54,12,6,7
"62",48,50,8,5,6
"63",0,0,0,0,0
"64",49,51,10,4,6
"65",53,51,10,4,5
"66",55,48,14,6,6
"67",0,1,0,0,0
"68",48,46,8,4,8
"69",55,51,10,4,7
"70",0,0,0,0,0
"71",40,45,9,4,6
"72",48,55,9,4,7
"73",44,50,8,5,5
"74",54,51,13,6,6
"75",53,54,10,6,8
"76",0,1,0,0,0
"77",46,51,16,4,6
"78",49,52,7,6,5
"79",0,1,0,0,0
"80",0,1,0,0,0
"81",0,1,0,0,0
"82",51,46,11,5,5
"83",44,62,11,4,8
"84",0,1,0,0,0
"85",0,1,0,0,0
"86",43,46,9,4,4
"87",56,46,13,6,6
"88",0,1,0,0,0
"89",57,57,9,2,6
"90",0,1,1,0,0
"91",0,1,0,0,0
"92",0,1,0,0,0
"93",42,47,8,4,5
"94",52,45,9,3,7
"95",39,49,9,5,6
"96",44,51,9,4,6
"97",0,1,0,0,0
"98",44,43,10,5,5
"99",51,53,11,6,5
"100",45,47,10,4,5
"101",49,48,9,4,6
"102",50,52,10,4,7
"103",47,52,9,5,6
"104",42,47,9,5,7
"105",52,53,13,6,9
"106",0,1,0,0,0
"107",0,1,0,0,0
"108",56,56,13,3,6
"109",43,50,8,4,6
"110",0,0,0,0,0
"111",0,1,0,0,0
"112",0,1,0,0,0
"113",53,55,9,3,7
"114",61,54,12,4,7
"115",43,45,7,4,7
"116",52,52,18,4,7
"117",0,1,0,0,0
"118",53,48,8,4,6
"119",0,1,0,0,0
"120",0,1,0,0,0
"121",52,52,10,5,5
"122",0,1,0,0,0
"123",0,1,0,0,0
"124",46,56,12,4,5
"125",0,1,0,0,0
"126",51,54,10,5,7
"127",49,50,9,5,8
"128",0,1,0,0,0
"129",50,59,11,7,8
"130",51,46,9,5,6
"131",51,53,7,5,5
"132",51,51,9,3,7
"133",43,48,10,3,7
"134",45,60,10,5,7
"135",46,49,12,6,6
"136",55,62,10,5,6
"137",48,52,9,4,6
"138",47,53,10,5,6
"139",46,45,10,5,7
"140",59,64,11,4,7
"141",51,53,11,4,7
"142",41,47,13,4,8
"143",51,56,8,4,8
"144",47,54,10,4,9
"145",54,50,9,3,6
"146",49,52,10,6,6
"147",48,51,13,3,7
"148",54,54,10,4,6
"149",43,42,9,5,8
"150",0,1,0,0,0
"151",49,48,10,7,5
"152",47,52,11,6,6
"153",1,1,0,0,0
"154",57,50,10,3,5
"155",0,1,0,0,0
"156",0,0,0,0,0
"157",48,49,10,5,6
