"","age1.A","age2_no_comorbid.A","age2_comorbid.A","age3_no_comorbid.A","age3_comorbid.A"
"243",33,33,6,3,5
"244",0,0,0,0,0
"245",0,1,0,0,0
"246",0,0,0,0,0
"247",28,36,5,3,2
"248",38,34,5,3,4
"249",0,0,0,0,0
"250",0,0,0,0,0
"251",0,0,0,0,0
"252",35,30,7,3,5
"253",36,27,3,2,3
"254",31,29,3,2,3
"255",37,25,5,3,3
"256",0,0,0,0,0
"257",37,33,8,1,5
"258",25,29,4,2,2
"259",28,31,6,4,1
"260",35,41,8,1,5
"261",36,25,3,3,4
"262",0,0,0,0,0
"263",35,30,9,2,5
"264",0,0,0,0,0
"265",40,30,5,2,3
"266",29,28,7,2,2
"267",38,32,10,2,3
"268",35,27,4,1,3
"269",0,1,0,0,0
"270",33,41,4,2,2
"271",37,43,7,1,3
"272",30,30,7,2,3
"273",30,33,10,2,4
"274",42,33,4,1,4
"275",36,28,8,3,3
"276",0,1,0,0,0
"277",27,31,4,1,3
"278",39,27,6,3,2
"279",34,35,6,1,5
"280",36,34,6,2,4
"281",38,33,5,2,4
"282",0,0,0,0,0
"283",32,31,4,2,6
"284",0,0,0,0,0
"285",34,32,10,3,6
"286",29,28,9,2,4
"287",29,33,5,2,3
"288",31,31,4,2,3
"289",0,0,0,0,0
"290",34,29,7,3,3
"291",31,35,6,3,3
"292",35,36,8,3,5
"293",30,29,4,1,2
"294",35,34,7,2,5
"295",37,28,7,2,3
"296",39,35,7,1,3
"297",36,46,8,2,2
"298",37,40,5,2,4
"299",0,0,0,0,0
"300",29,36,7,3,6
"301",0,0,0,0,0
"302",37,37,5,2,2
"303",0,0,0,0,0
"304",37,29,4,3,6
"305",32,28,8,3,4
"306",35,40,6,3,4
"307",35,36,7,2,3
"308",0,0,0,0,0
"309",0,0,0,0,0
"310",38,39,6,3,4
"311",37,40,5,3,2
"312",31,36,7,2,5
"313",0,0,0,0,0
"314",35,40,4,4,2
"315",38,27,5,4,5
"316",0,0,0,0,0
"317",0,0,0,0,0
"318",0,0,0,0,0
"319",36,37,6,3,6
"320",0,0,0,0,0
"321",44,37,8,4,3
"322",41,27,9,3,4
"323",30,25,7,2,5
"324",40,34,8,2,4
"325",36,38,3,3,5
"326",27,31,5,3,3
"327",32,31,7,2,2
"328",28,27,8,3,4
"329",0,0,0,0,0
"330",34,36,7,2,5
"331",25,32,6,2,3
"332",28,31,5,2,2
"333",30,34,5,1,6
"334",0,0,0,0,0
"335",27,31,5,2,3
"336",27,43,7,3,3
"337",34,36,7,3,5
"338",30,31,7,2,5
"339",37,31,5,3,4
"340",0,0,0,0,0
"341",39,33,6,2,5
"342",0,1,0,0,0
"343",43,36,6,2,3
"344",36,27,6,3,3
"345",30,42,6,2,3
"346",35,37,6,2,4
"347",0,0,0,0,0
"348",31,35,9,1,6
"349",0,0,0,0,0
"350",29,27,4,3,4
"351",33,42,9,3,7
"352",0,0,0,0,0
"353",39,43,5,5,5
"354",35,37,12,2,1
"355",29,37,10,2,3
"356",28,34,6,2,3
"357",28,30,6,2,3
"358",30,34,6,1,4
"359",31,33,7,1,3
"360",33,35,8,3,5
"361",0,0,0,0,0
"362",31,38,5,1,4
"363",0,0,0,0,0
"364",30,27,8,4,3
"365",30,28,5,2,3
"366",26,27,6,2,2
"367",39,23,3,2,2
"368",29,25,6,2,4
"369",28,34,7,3,2
"370",41,34,8,2,2
"371",33,33,5,3,4
"372",0,0,0,0,0
"373",41,31,5,2,3
"374",29,28,7,2,5
"375",0,0,0,0,0
"376",0,0,0,0,0
"377",0,0,0,0,0
"378",32,39,6,4,5
"379",31,34,6,3,4
"380",31,48,8,4,4
"381",28,26,7,2,6
"382",0,1,0,0,0
"383",36,28,6,3,3
"384",0,0,0,0,0
"385",35,34,7,3,2
"386",36,25,5,3,4
"387",31,29,6,2,6
"388",45,39,9,2,4
"389",25,27,9,3,3
"390",45,39,5,3,4
"391",38,36,5,2,3
"392",31,32,3,2,2
"393",38,43,7,4,6
"394",33,30,7,2,4
"395",33,37,7,4,4
"396",32,34,9,1,3
"397",33,38,6,1,2
"398",27,31,6,3,6
"399",26,38,9,5,3
"400",34,36,4,2,5
"401",0,0,0,0,0
"402",39,26,4,2,1
"403",27,37,4,2,4
"404",41,38,7,2,3
"405",35,28,6,3,2
"406",34,35,5,3,3
"407",0,2,0,0,0
"408",37,34,7,4,6
"409",29,45,7,2,3
"410",0,0,0,0,0
"411",0,1,0,0,0
"412",30,41,10,4,4
"413",28,29,3,3,2
"414",33,34,8,2,3
"415",29,24,7,3,3
"416",0,0,0,0,0
"417",28,38,7,3,5
"418",33,34,5,1,6
"419",34,26,6,2,6
"420",44,39,6,3,3
"421",0,0,0,0,0
"422",44,35,6,2,5
"423",30,28,6,1,2
"424",32,30,8,3,5
"425",26,34,6,3,2
"426",0,0,0,0,0
"427",36,29,7,2,5
"428",31,33,3,3,4
"429",35,32,7,1,2
"430",30,44,6,2,4
"431",39,32,7,6,4
"432",0,0,0,0,0
"433",0,0,0,0,0
"434",0,0,0,0,0
"435",0,0,0,0,0
"436",26,30,4,3,2
"437",0,1,0,0,0
"438",30,34,3,2,2
"439",30,30,5,1,8
"440",40,33,4,4,3
"441",0,0,0,0,0
"442",0,0,0,0,0
"443",27,28,5,2,4
"444",30,46,7,2,3
"445",36,35,4,2,7
"446",29,27,6,2,5
"447",0,0,0,0,0
"448",0,0,0,0,0
"449",0,0,0,0,0
"450",32,38,7,1,3
"451",33,40,5,2,5
"452",30,29,5,3,5
"453",34,38,10,3,4
"454",37,30,6,1,6
"455",0,0,0,0,0
"456",38,32,8,3,5
"457",0,1,0,0,0
"458",34,33,5,2,2
"459",0,0,0,0,0
"460",28,37,5,3,1
"461",28,33,9,3,3
"462",0,0,0,0,0
"463",30,39,7,3,2
"464",29,25,6,2,3
"465",32,36,7,2,2
"466",26,41,4,2,3
"467",34,40,5,5,4
"468",40,31,7,2,4
"469",32,32,5,4,3
"470",39,37,4,2,3
"471",39,39,6,2,3
"472",34,23,4,3,3
"473",27,47,6,4,5
"474",39,38,6,2,3
"475",35,38,8,3,3
"476",31,39,7,1,3
"477",31,39,9,4,2
"478",1,1,0,0,0
"479",0,0,0,0,0
"480",33,32,8,3,4
"481",39,35,6,1,6
"482",29,36,8,4,2
"483",39,38,6,1,4
"484",0,0,0,0,0
"485",32,30,6,2,5
"486",31,32,4,2,3
"487",35,37,6,2,4
"488",38,33,6,2,2
"489",30,27,5,4,4
"490",0,0,0,0,0
"491",0,0,0,0,0
"492",40,31,6,2,3
"493",28,38,7,3,6
"494",29,34,7,1,3
"495",29,29,3,2,3
"496",24,34,9,2,6
"497",28,28,6,2,2
"498",31,30,8,3,5
"499",31,27,7,2,4
"500",0,0,0,0,0
