"","age1.P","age2_no_comorbid.P","age2_comorbid.P","age3_no_comorbid.P","age3_comorbid.P"
"1",12.2850122850123,11.6772823779193,17.5718849840256,11.3636363636364,12.0643431635389
"2",0.122850122850123,0.212314225053079,0,0,0
"3",13.8820638820639,11.9957537154989,15.9744408945687,15.9090909090909,16.0857908847185
"4",0,0.106157112526539,0,0,0
"5",13.8820638820639,13.2696390658174,16.7731629392971,18.1818181818182,12.0643431635389
"6",0.245700245700246,0.106157112526539,0,0,0
"7",0,0.106157112526539,0,0,0
"8",12.8992628992629,11.9957537154989,19.9680511182109,18.1818181818182,20.1072386058981
"9",14.4963144963145,12.6326963906582,14.3769968051118,15.9090909090909,13.4048257372654
"10",0,0.106157112526539,0,0,0
"11",0,0.106157112526539,0,0,0
"12",0,0.106157112526539,0,0,0
"13",13.5135135135135,11.4649681528662,9.58466453674121,15.9090909090909,10.7238605898123
"14",0,0.106157112526539,0,0,0
"15",15.1105651105651,11.9957537154989,12.779552715655,18.1818181818182,13.4048257372654
"16",14.987714987715,14.8619957537155,16.7731629392971,13.6363636363636,16.0857908847185
"17",14.7420147420147,12.5265392781316,14.3769968051118,15.9090909090909,12.0643431635389
"18",0,0.106157112526539,0,0,0
"19",14.1277641277641,11.7834394904459,14.3769968051118,15.9090909090909,16.0857908847185
"20",13.7592137592138,15.2866242038217,12.779552715655,13.6363636363636,17.426273458445
"21",15.2334152334152,12.9511677282378,15.9744408945687,22.7272727272727,16.0857908847185
"22",12.8992628992629,11.5711252653928,15.1757188498403,13.6363636363636,16.0857908847185
"23",14.4963144963145,11.2526539278132,12.779552715655,13.6363636363636,13.4048257372654
"24",0.122850122850123,0.106157112526539,0,0,0
"25",14.004914004914,11.0403397027601,15.1757188498403,20.4545454545455,16.0857908847185
"26",0,0.106157112526539,0,0,0
"27",15.3562653562654,12.8450106157113,15.9744408945687,25,12.0643431635389
"28",12.5307125307125,10.5095541401274,15.9744408945687,15.9090909090909,13.4048257372654
"29",14.7420147420147,12.4203821656051,15.1757188498403,18.1818181818182,12.0643431635389
"30",13.022113022113,11.5711252653928,14.3769968051118,22.7272727272727,17.426273458445
"31",0,0.106157112526539,0,0,0
"32",14.004914004914,11.1464968152866,14.3769968051118,13.6363636363636,14.745308310992
"33",12.1621621621622,11.4649681528662,12.779552715655,15.9090909090909,12.0643431635389
"34",13.7592137592138,11.6772823779193,16.7731629392971,15.9090909090909,12.0643431635389
"35",13.6363636363636,11.1464968152866,15.1757188498403,15.9090909090909,21.4477211796247
"36",16.2162162162162,12.208067940552,18.370607028754,22.7272727272727,17.426273458445
"37",0,0.106157112526539,0,0,0
"38",13.2678132678133,12.4203821656051,18.370607028754,11.3636363636364,12.0643431635389
"39",12.8992628992629,12.6326963906582,15.1757188498403,18.1818181818182,18.7667560321716
